line_name,type,east-west,Stops,Frequency,Length (time),Length (km),year,Info
55,bus,ost,"Fontanestrasse - Edelweißstrasse - Ehrenmal Schönholz - Heinrich-Mann-Strasse - Bürgerpark - U-Bhf. Pankow - Prenzlauer Promenade - Heinersdorf, Kirche - Pasedagplatz - Klement-Gottwald-Allee - Piesporter Strasse",7,33,,1989,
56,bus,ost,Gehringstrasse - Rennbahnstrasse - Wigandstaler Strasse - Hamburger Platz - Prenzlauer Promenade - Greilstrasse - Greifswalder Strasse - Storkower Strasse - S-Bhf. Leninallee - Ho-Chi-Minh-Strasse - Vulkanstrasse - Herzbergstrasse - Jacques-Duclos-Strasse - S-Bhf. Storkower Strasse,12,42,,1989,
57,bus,ost,Michelangelostrasse - Stedinger Weg - Storkower Strasse - Conrad-Blenke-Strasse - Dimitroffstrasse - Hufelandstrasse - Bötzowstrasse - Am Friedrichshain - Mollstrasse - Karl-Liebknecht-Strasse - Bhf. Alexanderplatz - Palasthotel - Universitätsstrasse - Bhf. Friedrichstrasse - Oranienburger Tor - Schlegelstrasse - Invalidenstrasse - Platz vor dem Neuen Tor - Orthopädische Klinik - Scharnhorststrasse,2.5,31,,1989,
59,bus,ost,Stadion der Weltjugend - Invalidenstrasse - Oranienburger Tor - Bhf. Friedrichstrasse - U-Bhf. Stadtmitte - Leipziger Strasse - Otto-Grotewohl-Strasse,10,15,,1989,
60,bus,ost,S-Bhf. Kaulsdorf - Briesener Weg - Wernerbad - Grottkauer Strasse - Uckermarkstrasse - S-Bhf. Kaulsdorf,20,14,,1989,
61,bus,ost,"Schöneiche, Dorfaue - Dr.-Wilhelm-Külz-Strasse - S-Bhf. Rahnsdorf - Waldschänke - Zentralschule - S-Bhf. Wilhelmshagen - Fahlenbergstrasse - Hessenwinkel",20,31,,1989,
62,bus,ost,VEB Kombinat Auto Trans - Bhf. Schöneweide - Hoevelstrasse - Springbornstrasse,7.5,13,,1989,
65,bus,ost,Krüllsstrasse - S-Bhf. Treptower Park - S-Bhf. Plänterwald - Baumschulenstrasse - Bhf. Schöneweide - Rudower Strasse - S-Bhf. Oberspree - Oberspree,20,26,,1989,
66,bus,ost,Krüllsstrasse - S-Bhf. Treptower Park - S-Bhf. Plänterwald - Baumschulenstrasse - Bhf. Schöneweide - Sterndamm - Lindhorstweg - Springbornstrasse ,20,27,,1989,
67,bus,ost,S-Bhf. Treptower Park - S-Bhf. Plänterwald - Hänselstrasse - Krematorium - Bhf. Schöneweide - VEB Kombinat Auto Trans,20,26,,1989,
68,bus,ost,"Kaulsdorfer Strasse - S-Bhf. Köpenick - Lindenstrasse - Müggelheimer Strasse - Krankenhaus, Köpenick - Müggelschlößchenweg",10,16,,1989,
78,bus,ost,Arkonaplatz - Invalidenstrasse - Rosenthaler Platz - Alexanderplatz - S-Bhf. Jannowitzbrücke - Adalbertstrasse - U-Bhf. Märkisches Museum - Oberwallstrasse - Bhf. Friedrichstrasse - Schumannstrasse,10,32,,1989,
91,bus,ost,Lindenberger Strasse - S-Bhf. Ahrensfelde - S-Bhf. Otto-Winzer-Strasse - Otto-Buchwitz-Strasse - Alt-Marzahn - Elisabethstrasse - Otto-Buchwitz-Strasse - Siegmarstrasse - Hellersdorfer Strasse - Kaulsdorf-Nord - S-Bhf. Kaulsdorf,20,30,,1989,
92,bus,ost,S-Bhf. Marzahn - S-Bhf. Bruno-Leuschner-Strasse - Paul-Dessau-Strasse - Alt-Marzahn - Charlottenstrasse - Cecilienstrasse - S-Bhf. Biesdorf,10,19,,1989,
93,bus,ost,Lindenhof - Siegfriedstrasse - Fanninger Strasse - U-Bhf. Lichtenberg,0,4,,1989,
94,bus,ost,U-Bhf. Tierpark - Zwieseler Strasse - Robert-Siewert-Strasse - Frankestrasse - U-Bhf. Tierpark,20,13,,1989,
95,bus,ost,Greifswalder Strasse - An den Siedlergärten - Hönower Strasse - Am Rosenhag - Lindenhofstrasse - S-Bhf. Mahlsdorf - Landréstrasse - S-Bhf. Kaulsdorf - Kaulsdorf-Nord - Hellersdorf - LPG Edwin-Hoernle - Otto-Buchwitzstrasse - Alt-Marzahn - Elisabethstrasse - Bruno-Baum-Strasse - S-Bhf. Marzahn,20,33,,1989,
96,bus,ost,S-Bhf. Nöldnerplatz - Schlichtallee - Kraftwerk - IFA-Vertrieb - Bhf. Karlshorst - Waldowallee - U-Bhf. Tierpark - Mellenseestrasse - Volkradstrasse - Weitlingstrasse - S-Bhf. Nöldnerplatz,15,29,,1989,
97,bus,ost,Rangierbahnhof - S-Bhf. Karlshorst - Sangeallee - Wallensteinstrasse - Dolgenseestrasse - Rangierbahnhof,0,15,,1989,
98,bus,ost,Franz-Stenzer-Strasse - S-Bhf. Bruno-Leuschner-Strasse - Backwarenkombinat - Arbeitsstättengebiet Marzahn,0,7,,1989,
99,bus,ost,"Greifswalder Strasse - Hönower Strasse - Am Rosenhag - S-Bhf. Mahlsdorf - Landréstrasse - S-Bhf. Kaulsdorf - Kaulsdorf, Nord - Otto-Buchwitzstrasse - Alt-Marzahn - Elisabethstrasse - S-Bhf. Springpfuhl - Kröver Strasse - S-Bhf. Friedrichsfelde Ost",20,39,,1989,
