,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
157,Oberspree,bus,{'65'},"52.45375171599733, 13.548485333062546",nan,['65']+ {'65'}+ {'65'},
158,Oberwallstrasse,bus,{'78'},"52.515247659191864, 13.39675532805726",nan,['78']+ {'78'}+ {'78'},
159,Omnibus Betriebshof,bus,{'30'},"52.52032432696463, 13.499405664504195",nan,['30']+ {'30'}+ {'30'},
160,Oranienburger Tor,bus,"{'59', '40', '57', '30'}","52.52716314203455, 13.38710905184874",nan,"['30', '57', '40']+ {'59', '57', '30', '40'}+ {'40', '59', '57/E', '30'}",
161,Orthopädische Klinik,bus,{'57'},"52.53421919525423, 13.370479073506473",nan,['57']+ {'57'}+ {'57/E'},
162,Ossietzkyplatz,bus,{'50'},"52.58150700684141, 13.404249587640239",nan,{'50'}+ {'50'},
163,Ostbahnhof,bus,"{'32', '40', '30'}","52.50976670730252, 13.43372198235041",nan,"['30', '32', '40']+ {'30', '40', '32'}+ {'40', '32', '30'}",
164,Ostseestrasse,bus,"{'42', '31'}","52.54785805575692, 13.438529960954577",nan,"['42', '31']+ {'42', '31'}+ {'42', '31'}",
165,Otto-Buchwitz-Strasse,bus,{'91'},"52.55516052370111, 13.574503803805603",nan,{'91'},
166,Otto-Buchwitzstrasse,bus,"{'99', '95'}","52.54074334595275, 13.569788301687792",nan,"{'99', '95'}",
167,Otto-Grotewohl-Strasse,bus,"{'32', '59'}","52.51002480793293, 13.384108809043195+52.51397164862562, 13.38214081290675+52.51648825288664, 13.380775212497827",nan,"['32']+ ['79']+ ['9']+ {'59', '32'}+ {'79'}+ {'9'}+ {'32', '59'}+ {'79'}+ {'9'}",
168,Palasthotel,bus,{'57'},"52.519227896217224, 13.403186725266409",nan,{'57'}+ {'57/E'},
169,"Pankow, Kirche",bus,{'33'},"52.57124680898358, 13.410670715665145",nan,"['33', '7']+ {'7', '33'}+ {'7', '33'}",
170,"Pankow, Rathaus",bus,{'45'},"52.56953908840178, 13.404186437171612",nan,['45']+ {'45'}+ {'45'},
171,Pasedagplatz,bus,{'55'},"52.55967538566088, 13.46027955028295",nan,['55']+ {'55'}+ {'55'},
172,Paul-Dessau-Strasse,bus,{'92'},"52.548103336510415, 13.557032607849528",nan,{'92'},
173,Piesporter Strasse,bus,{'55'},"52.560428325050296, 13.476578086985889",nan,{'55'}+ {'55'},
174,Platz vor dem Neuen Tor,bus,{'57'},"52.52921245715711, 13.378513556812177",nan,['57']+ {'57'}+ {'57/E'},
175,Plauener Strasse,bus,{'48'},"52.539013561031304, 13.511392747727015",nan,{'48'}+ {'48'},
176,Prenzlauer Allee,bus,"{'40', '30'}","52.527023217473634, 13.415667509884004",nan,"{'30', '40'}+ {'40', '30'}",
177,Prenzlauer Chaussee,bus,{'52'},"52.572129197351266, 13.42884466195991",nan,['52']+ {'52'}+ {'52'},
178,Prenzlauer Promenade,bus,"{'55', '56', '45'}",,,,
179,Rangierbahnhof,bus,{'97'},"52.493422460373985, 13.499477188344358",nan,{'97'},
180,Rennbahnstrasse,bus,"{'41', '56'}","52.557029825201695, 13.466976894786637",nan,"['41']+ {'41'}+ {'41', '56'}",
181,Robert-Koch-Platz,bus,"{'40', '30'}","52.527570508835595, 13.37877230286134",nan,"['30', '40']+ {'30', '40'}+ {'40', '30'}",
182,Robert-Siewert-Strasse,bus,{'94'},"52.49299343685124, 13.537803970993119",nan,['94']+ {'94'}+ {'94'},
183,Rolandstrasse,bus,{'50'},"52.58226868825605, 13.41681073833319",nan,['50']+ {'50'}+ {'50'},
184,Rosenthaler Platz,bus,"{'40', '30', '78'}","52.5296729549826, 13.401428926082492",nan,"['30', '78', '78E', '40']+ {'78', '78E', '30', '40'}+ {'40', '78E', '30', '78'}",
185,Rudower Strasse,bus,"{'47', '65', '37'}",,,,
186,Rübezahl,bus,{'27'},"52.423959881229464, 13.629072209079647",nan,{'27'}+ {'27'},
187,S-Bhf. Ahrensfelde,bus,"{'91', '41'}","52.571313719653176, 13.566341546222308",nan,"{'41', '91'}",
188,S-Bhf. Baumschulenweg,bus,{'47'},"52.4674967534767, 13.489379882069517",nan,"['47']+ {'65', '47'}+ {'47'}",
189,S-Bhf. Biesdorf,bus,"{'54', '92'}","52.513432593832405, 13.555387279249894",nan,"['92', '54']+ {'92E', '54', '92'}+ {'92', '54', '92E'}",
