,stop_id,stop_name,type,location,in_lines,identifier
57,196357,Breslauerstrasse Ecke Andreasstrasse,strassenbahn,"52.51112572772843, 13.430544216648766",['1'],
58,196358,Brunnenstrasse Ecke Invalidenstrasse,strassenbahn,"52.5324542,13.3974236","['1', '11'], ['82', '70', '46']","Q65691740, Q65691740"
59,196359,"Buch, Kiesgruben",Autobus,"52.641758052786535, 13.515964627443202",['A 42'],
60,196360,"Bucholz, Elfenallee",strassenbahn,"52.60622577373445, 13.436532929306946",['49'],
61,196361,"Bucholz, Hauptstrasse",strassenbahn,"52.60726996020294, 13.433394005316927",['49'],
62,196362,Buschallee,strassenbahn,"52.553924140794436, 13.467529287034905",['72'],
63,196363,Buschallee Ecke Klement-Gottwald-Allee,Autobus,"52.55387173520125, 13.467543412166556",['A 46'],
64,196364,Buschallee/K.-Gottwald-Allee,strassenbahn,"52.553924140794436, 13.467529287034905",['70'],
65,196365,"Bölschestrasse, Brauerei",strassenbahn,"52.44699265840037, 13.624251999339991","['84', '87']",
66,196366,Bürgerwäldchen,strassenbahn,"52.48924332057368, 13.606368760127548",['83'],Q66364551
67,196367,Bürknersfelde,Autobus,"52.538889807153126, 13.534159376784622",['A 43'],
68,196368,Bürknersfelde,Omnibus,"52.538889807153126, 13.534159376784622",['O 37'],
69,196369,Charlottenstrasse,strassenbahn,"52.51050786460274, 13.391831492474326",['72'],
70,196370,Chemische Fabrik,strassenbahn,"52.42696432509712, 13.573540465650169",['86'],
71,196371,Chemnitzer Strasse/Alt-Kaulsdorf,Autobus,"52.5051288553116, 13.581585054064426",['A 27'],
72,196372,Chemnitzerstrasse Ecke Ulmenstrasse,Autobus,"52.487292887135375, 13.574950596463296",['A 8'],
73,196373,Degnerstrasse,strassenbahn,"52.54488036635163, 13.493949954029993",['63'],
74,196374,Degnerstrasse,strassenbahn,"52.54489445227284, 13.493984825262666",['64'],
75,196375,Dimitroffstrasse,u-bahn,"52.541666666667,13.412222222222",['A'],Q571382
