stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from,neighbourhood,district,east_west,postal_code
Bernauerstr. Ecke Wollinerstr.,tram,2,19610_west,"52.53999960,13.40205640",Q65719652,,,,,,,1961104.0,Gesundbrunnen,Mitte,west,13355
Voltastr. Ecke Wattstr.,tram,2,19611_west,"52.54152997,13.38957176",,,,,,,,19611252.0,Gesundbrunnen,Mitte,west,13355
Weddingplatz,tram,2,19612_west,"52.54152536,13.36919855",,,,,,,,19611282.0,Wedding,Mitte,west,13347
Rathenowerstr. Ecke Perlebergerstr.,tram,2,19613_west,"52.53249877,13.35053125",,,,,,,,1961946.0,Moabit,Mitte,west,10559
Alt-Moabit Ecke Rathenowerstr.,tram,2,19614_west,"52.52356000,13.35779000",Q121863902,,,,,,,196129.0,Moabit,Mitte,west,10557
Stromstr. Ecke Alt-Moabit,tram,2,19615_west,"52.52542313,13.34283987",,,,,,,,19611137.0,Moabit,Mitte,west,10551
Gotzkowskybrücke,tram,2,19616_west,"52.52256202,13.32897628",,,,,,,,1961419.0,Moabit,Mitte,west,10553
Ernst-Reuter-Platz,tram,2,19617_west,"52.51161824,13.32251039",,,,,,,,1961329.0,Charlottenburg,Charlottenburg-Wilmersdorf,west,10587
Bhf. Zoo,tram,2,19618_west,"52.50719346,13.33262988",,,,,,,,1961178.0,Charlottenburg,Charlottenburg-Wilmersdorf,west,10623
Wittenbergplatz,tram,2,19619_west,"52.50185026,13.34309835",,,,,,,,19611335.0,Schöneberg,Tempelhof-Schöneberg,west,10789
Grunewaldstr. Ecke Martin-Lutherstr.,tram,2,196110_west,"52.48911461,13.34498171",,,,,,,,1961441.0,Schöneberg,Tempelhof-Schöneberg,west,10825
Rathaus Schöneberg,tram,2,196111_west,"52.48509788,13.34507201",,,,,,,,1961933.0,Schöneberg,Tempelhof-Schöneberg,west,10825
Hauptstr. Ecke Dominicusstr.,tram,2,196112_west,"52.48179322,13.34838566",,,,,,,,1961479.0,Schöneberg,Tempelhof-Schöneberg,west,10827
Kaiser-Wilhelm-Platz,tram,2,196113_west,"52.48633166,13.35658468",,,,,,,,1961573.0,Schöneberg,Tempelhof-Schöneberg,west,10827
Gotenstr.,tram,2,196114_west,"52.48012791,13.36027467",,,,,,,,1960419.0,Schöneberg,Tempelhof-Schöneberg,west,10829
Grüntalerstr. Ecke Osloerstr.,tram,3,196115_west,"52.55533100,13.39099790",Q65807452,,,,,,,1961445.0,Gesundbrunnen,Mitte,west,13359
U-Bhf. Seestr.,tram,3,196116_west,"52.55024590,13.35163040",Q65729619,,,,,,,19611227.0,Wedding,Mitte,west,13353
Bhf. Beusselstr.,tram,3,196117_west,"52.53430684,13.32833763",,,,,,,,1961112.0,Moabit,Mitte,west,10553
Gotzkowskystr. Ecke Turmstr.,tram,3,196118_west,"52.52723347,13.33050347",,,,,,,,1961420.0,Moabit,Mitte,west,10551
Wiebestr. Ecke Kaiserin-Augusta-Allee,tram,3,196119_west,"52.52581805,13.31804267",,,,,,,,19611300.0,Moabit,Mitte,west,10553
Tauroggenerstr. Ecke Osnabrückerstr.,tram,3,196120_west,"52.52583874,13.30197008",,,,,,,,19611152.0,Charlottenburg,Charlottenburg-Wilmersdorf,west,10589
Luisenplatz,tram,3,196121_west,"52.51951940,13.30002435",,,,,,,,1961730.0,Charlottenburg,Charlottenburg-Wilmersdorf,west,10585
Wilmersdorferstr. Ecke Otto-Suhr-Alle,tram,3,196122_west,"52.51811244,13.30435973",,,,,,,,19611325.0,Charlottenburg,Charlottenburg-Wilmersdorf,west,10585
Wilmersdorferstr. Ecke Kurfürstendamm,tram,3,196123_west,"52.50003268,13.30722146",,,,,,,,19611324.0,Charlottenburg,Charlottenburg-Wilmersdorf,west,10629
Fehrbellinerplatz,tram,3,196124_west,"52.49032473,13.31431730",,,,,,,,1961343.0,Wilmersdorf,Charlottenburg-Wilmersdorf,west,10707
Berlinerstr. Ecke Bundesallee,tram,3,196125_west,"52.48734559,13.33098556",,,,,,,,1961229.0,Wilmersdorf,Charlottenburg-Wilmersdorf,west,10715
Grunewaldstr. Ecke Martin-Lutherstr.,tram,3,196126_west,"52.48911461,13.34498171",,,,,,,,1961441.0,Schöneberg,Tempelhof-Schöneberg,west,10825
Potsdamerstr. Ecke Pallasstr.,tram,3,196127_west,"52.49437098,13.36106007",,,,,,,,1961893.0,Schöneberg,Tempelhof-Schöneberg,west,10781
Mehringdamm Ecke Yorckstr.,tram,3,196128_west,"52.49295489,13.38769436",,,,,,,,1961782.0,Kreuzberg,Friedrichshain-Kreuzberg,west,10961
U-Bhf. Südstern,tram,3,196129_west,"52.48899443,13.40800672",,,,,,,,19611229.0,Kreuzberg,Friedrichshain-Kreuzberg,west,10967
