stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from
"Moabit, Waldstr. Ecke Turmstr.",autobus,A1,19710_west,"52.52718533455642, 13.33055251486945",,,,,,,,1971697.0
Otto-Suhr-Allee Ecke Cauerstr.,autobus,A1,19711_west,"52.51468031353641, 13.315233438719382",,,,,,,,1971770.0
Kurfürstendamm Ecke Leibnizstr.,autobus,A1,19712_west,"52.500627320592564, 13.313050318113724",,,,,,,,1971574.0
Fehrbellinerplatz,autobus,A1,19713_west,"52.49040638965375, 13.314204217177087",,,,,,,,1971270.0
Detmolderstr. Ecke Blissestr.,autobus,A1,19714_west,"52.47876002753526, 13.320303638716377",,,,,,,,1971213.0
Breitenbachplatz,autobus,A1,19715_west,"52.467219717443385, 13.309473490660878",,,,,,,,1971154.0
Botanischer Garten,autobus,A1,19716_west,"52.458598799471524, 13.303436055459807",,,,,,,,1971151.0
Pacelli/Thielallee,autobus,A1,19717_west,"52.4582178770838, 13.287112137316631",,,,,,,,1971771.0
Clayallee Ecke Königin-Luisestr.,autobus,A1,19718_west,"52.46044681153186, 13.274898269312029",,,,,,,,1971199.0
U-Bhf. Oskar-Helene-Heim,autobus,A1,19719_west,"52.450279005868815, 13.270361987159156",,,,,,,,19711139.0
Potsdamerstr. Ecke Clayallee,autobus,A1,197110_west,"52.43504800046437, 13.260425575475969",,,,,,,,1971812.0
Rathaus Zehlendorf,autobus,A1,197111_west,"52.433207520111885, 13.259531923613192",,,,,,,,1971856.0
Beeskowdamm Ecke Teltowerdamm,autobus,A1,197112_west,"52.40897629863205, 13.26737851553465",,,,,,,,197183.0
Wismarerstr. Ecke Goerzallee,autobus,A1,197113_west,"52.42194411178237, 13.29850122813426",,,,,,,,19711251.0
Lindenstr. Ecke Müllerstr.,autobus,A1,197114_west,"52.417547142375135, 13.306660718895618",,,,,,,,1971638.0
Haselhorsterdamm Ecke Gartenfelderstr.,autobus,A10,197115_west,"52.54294023738911, 13.239881944347387",,,,,,,,1971392.0
Paulsternstr. Ecke Nonnendammallee,autobus,A10,197116_west,"52.53818291159043, 13.24773288055646",,,,,,,,1971790.0
Verwaltungs-Gebäude,autobus,A10,197117_west,"52.537063326963775, 13.262285169635492",,,,,,,,19711174.0
Spandauerdamm Ecke Fürstenbrunnerweg,autobus,A10,197118_west,"52.51841552917632, 13.280166898552146",,,,,,,,19711033.0
Kaiserdamm Ecke Königin-Elisabethstr.,autobus,A10,197119_west,"52.51000556968557, 13.281769071308744",,,,,,,,1971511.0
Amtsgericht,autobus,A10,197120_west,"52.50682617853116, 13.297391449613752",,,,,,,,197157.0
Kurfürstendamm Ecke Joachim-Friedrichstr.,autobus,A10,197121_west,"52.49800511755257, 13.296199745571476",,,,,,,,1971573.0
Henriettenplatz,autobus,A10,197122_west,"52.49701780222877, 13.290339505649852",,,,,,,,1971427.0
Elsterplatz,autobus,A10,197123_west,"52.47977982878401, 13.285507613099716",,,,,,,,1971249.0
Königin-Luisestr. Ecke Pacelliallee,autobus,A10,197124_west,"52.45831130961841, 13.287126800851055",,,,,,,,1971585.0
U-Bhf. Thielplatz,autobus,A10,197125_west,"52.45104520805668, 13.281736418792137",,,,,,,,19711151.0
Berlinerstr. Ecke Unter den Eichen,autobus,A10,197126_west,"52.44190336030053, 13.282745145492171",,,,,,,,197194.0
Teltowerdamm Ecke Potsdamerstr.,autobus,A10,197127_west,"52.435059519028655, 13.260384104797224",,,,,,,,19711080.0
Behring-Krankenhaus,autobus,A10,197128_west,"52.42410894567823, 13.251764544509987",,,,,,,,197184.0
Lupsteinerweg,autobus,A10,197129_west,"52.40950895120702, 13.251647735398342",,,,,,,,1971650.0
"Dahlem, Waldfriedhof",autobus,A11,197130_west,"52.45502544975238, 13.266001998265164",,,,,,,,1971205.0
U-Bhf. Oskar-Helene-Heim,autobus,A11,197131_west,"52.450279005868815, 13.270361987159156",,,,,,,,19711139.0
Saargemünderstr. Ecke Kehlerweg,autobus,A11,197132_west,"52.45038485614678, 13.278764465501387",,,,,,,,1971955.0
Corrensplatz,autobus,A11,197133_west,"52.446014012041694, 13.284264679815902",,,,,,,,1971202.0
Unter den Eichen Ecke Habelschwerdterallee,autobus,A11,197134_west,"52.44571623856252, 13.293689331540065",,,,,,,,19711164.0
Ringstr. Ecke Drakestr.,autobus,A11,197135_west,"52.43979421249329, 13.300201657021095",,,,,,,,1971879.0
Wiesenbaude,autobus,A11,197136_west,"52.430495242672045, 13.31180861060395",,,,,,,,19711227.0
Marienstr. Ecke Königsbergerstr.,autobus,A11,197137_west,"52.42958863028136, 13.321319796385126",,,,,,,,1971679.0
Kranoldplatz,autobus,A11,197138_west,"52.427774762936416, 13.326473583049795",,,,,,,,1971565.0
Geraerstr. Ecke Mariannenstr.,autobus,A11,197139_west,"52.421007110699065, 13.334936765948392",,,,,,,,1971323.0
Sondershausenerstr. Ecke Hildburghauserstr.,autobus,A11,197140_west,"52.41593912926577, 13.341726815502268",,,,,,,,19711021.0
Alt-Marienfelde Ecke Marienfelderallee,autobus,A11,197141_west,"52.4136021515511, 13.363298817592286",,,,,,,,197130.0
Daimlerstr. Ecke Großbeerenstr.,autobus,A11,197142_west,"52.42629029622166, 13.374388470163575",,,,,,,,1971208.0
Körtingstr. Ecke Großbeerenstr.,autobus,A11,197143_west,"52.434813531058246, 13.378315641328395",,,,,,,,1971596.0
U-Bhf. Alt-Mariendorf,autobus,A11,197144_west,"52.440202628447636, 13.387296995844753",,,,,,,,19711110.0
Bernauerstr. Ecke Gartenstr.,autobus,A12,197145_west,"52.53343779711892, 13.387504723908156",,,,,,,,197199.0
Gartenplatz,autobus,A12,197146_west,"52.53887149101001, 13.383411331672582",,,,,,,,1971312.0
U-Bhf. Leopold-Platz,autobus,A12,197147_west,"52.54640033291444, 13.359096803326494",,,,,,,,19711130.0
U-Bhf. Seestr.,autobus,A12,197148_west,"52.550315408708514, 13.352298502985231",,,,,,,,19711147.0
Bristolstr. Ecke Barfusstr.,autobus,A12,197149_west,"52.55830888506821, 13.35117447644734",,,,,,,,1971158.0
Emmentalerstr. Ecke Aroserallee,autobus,A12,197150_west,"52.56751501366963, 13.351181437925797",,,,,,,,1971252.0
