stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from
Otto-Suhr-Allee Ecke Cauerstr.,autobus,A1,19671_west,"52.51463990616225, 13.315222709882928",,,,,,,,1967831.0
Kurfürstendamm Ecke Konstanzerstr.,autobus,A1,19672_west,"52.500599097108285, 13.31304940813286",,,,,,,,1967614.0
U-Bhf. Fehrbellinerplatz,autobus,A1,19673_west,"52.490390927187676, 13.31417745809863",,,,,,,,19671190.0
Detmolderstr. Ecke Blissestr.,autobus,A1,19674_west,"52.47876002753526, 13.320303638716377",,,,,,,,1967245.0
Breitenbachplatz,autobus,A1,19675_west,"52.467219717443385, 13.309473490660878",,,,,,,,1967179.0
Botanischer Garten,autobus,A1,19676_west,"52.458598799471524, 13.303436055459807",,,,,,,,1967174.0
U-Bhf. Oskar-Helene-Heim,autobus,A1,19679_west,"52.450279005868815, 13.270361987159156",,,,,,,,19671213.0
Potsdamerstr. Ecke Clayallee,autobus,A1,196710_west,"52.43504800046437, 13.260425575475969",,,,,,,,1967866.0
Rathaus Zehlendorf,autobus,A1,196711_west,"52.433207520111885, 13.259531923613192",,,,,,,,1967910.0
Beeskowdamm Ecke Goerzallee,autobus,A1,196712_west,"52.40988367033843, 13.273529095833517",,,,,,,,196795.0
Wismarerstr. Ecke Lindenstr.,autobus,A1,196713_west,"52.41787520476881, 13.305204497252257",,,,,,,,19671336.0
Hardenbergplatz,autobus,A2,196715_west,"52.50706777810132, 13.333173024250815",,,,,,,,1967429.0
Berlinerstr. Ecke Bundesallee,autobus,A2,196717_west,"52.48735367071187, 13.33100210517226",,,,,,,,1967107.0
Bundesplatz,autobus,A2,196718_west,"52.478678991134835, 13.32860278411238",,,,,,,,1967207.0
Friedrich-Wilhelm-Platz,autobus,A2,196719_west,"52.47128806242274, 13.328362126543809",,,,,,,,1967328.0
"Lankwitz, Kirche",autobus,A2,196725_west,"52.43629186979271, 13.345745387354132",,,,,,,,1967644.0
Trippsteinstr.,autobus,A2,196728_west,"52.41893958981137, 13.346149658204126",,,,,,,,19671175.0
Rathaus Zehlendorf,autobus,A3,196730_west,"52.433207520111885, 13.259531923613192",,,,,,,,1967910.0
U-Bhf. Oskar-Helene-Heim,autobus,A3,196732_west,"52.450279005868815, 13.270361987159156",,,,,,,,19671213.0
U-Bhf. Onkel-Toms-Hütte,autobus,A3,196733_west,"52.45007713385221, 13.251272593463492",,,,,,,,19671212.0
U-Bhf. Krumme Lanke,autobus,A3,196734_west,"52.44308074990891, 13.24046555211665",,,,,,,,19671202.0
Bhf. Lindenthalerallee,autobus,A3,196735_west,"52.43102570943782, 13.229881678326638",,,,,,,,1967132.0
