stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from
Ostbahnhof,tram,1,19640_east,"52.509107635417394, 13.43550619008533",,,,,,,,1964878.0
U-Bhf. Strausbergerplatz,tram,1,19641_east,"52.51808307,13.43293834",,52.51808307,13.43293834,100,U-Bhf. Strausbergerplatz,196524_east,['1'],
Leninplatz,tram,1,19642_east,"52.5232658,13.4326457",,52.5232658,13.4326457,100,Leninplatz,196525_east,['1'],
"Alexanderplatz, Memhardstr.",tram,1,19643_east,"52.5233439,13.4110773",Q65227406,,,,,,,196414.0
Rosenthalerplatz,tram,1,19644_east,"52.5301769,13.4016121",Q65093945,,,,,,,19641024.0
Oranienburger Tor,tram,1,19646_east,"52.5256031,13.3872745",Q65095375,,,,,,,1964864.0
Hannoverschestr.,tram,1,19647_east,"52.52716496126181, 13.387046759579254",,,,,,,,1964451.0
Adalbertstr. Ecke Köpenickerstr.,autobus,A1P,19648_east,"52.50880201,13.42459206",,52.50880201,13.42459206,95,Köpenickerstr. Ecke Adalbertstr.,196531_east,['A1P'],
S-Bhf. Jannowitzbrücke,autobus,A1P,19649_east,"52.514786,13.41805624",,52.514786,13.41805624,100,S-Bhf. Jannowitzbrücke,196532_east,['A1P'],
"Alexanderplatz, Grunerstr.",autobus,A1P,196410_east,"52.52008326,13.41408419",,52.52008326,13.41408419,100,"Alexanderplatz, Grunerstr.",196533_east,['A1P'],
S-Bhf. Warschauerstr.,tram,3,196411_east,"52.506416666667,13.450955555556",Q111252298,,,,,,,19641075.0
Kopernikusstr.,tram,3,196412_east,"52.5105842,13.4526258",,52.5105842,13.4526258,100,Kopernikusstr.,196535_east,['3'],
Bhf. Frankfurterallee,tram,3,196414_east,"52.5138037,13.4773772",,52.5138037,13.4773772,100,Bhf. Frankfurterallee,196537_east,['3'],
Roederplatz,tram,3,196415_east,"52.5266001,13.479068",Q65685373,,,,,,,19641018.0
Hohenschönhauserstr.,tram,3,196416_east,"52.5359329,13.4729468",,52.5359329,13.4729468,100,HohenSchönhauserstr.,196539_east,['3'],
Omnibus-Bhf. Lichtenbergerstr.,tram,3,196417_east,"52.5442346,13.4687215",,52.5442346,13.4687215,100,Omnibus Bhf. Lichtenbergerstr.,196540_east,['3'],
Klement-Gottwald-Allee,tram,3,196418_east,"52.55207481,13.46563086",,52.55207481,13.46563086,100,Klement-Gottwald-Allee,196541_east,['3'],
Antonplatz,tram,3,196419_east,"52.5484803,13.4517416",Q65548849,,,,,,,196469.0
Prenzlauer Promenade,tram,3,196420_east,"52.55155536618067, 13.43032253030515",,,,,,,,1964941.0
Schönhauserallee,tram,3,196421_east,"52.5537705,13.4138898",,52.5537705,13.4138898,100,Schönhauserallee,196544_east,['3'],
Björnsonstr.,tram,3,196422_east,"52.5544232,13.4030585",,52.5544232,13.4030585,100,Björnsonstr.,196545_east,['3'],
S-Bhf. Warschauerstr.,tram,4,196423_east,"52.506416666667,13.450955555556",Q111252298,,,,,,,19641075.0
Grünbergerstr.,tram,4,196424_east,"52.5122359,13.452609",,52.5122359,13.452609,90,Grünbergerstr. Ecke Warschauerstr.,196547_east,['4'],
Frankfurter Tor,tram,4,196425_east,"52.5153903,13.4540172",Q65706246,,,,,,,1964337.0
Bersarinplatz,tram,4,196426_east,"52.519215,13.4525257",,52.519215,13.4525257,100,Bersarinplatz,196549_east,['4'],
Leninallee,tram,4,196427_east,"52.5259343,13.4462368",,52.5259343,13.4462368,90,Leninallee Ecke Dimitroffstr.,196550_east,['4'],
Kniprodestr.,tram,4,196428_east,"52.5325286,13.4406868",Q65707391,,,,,,,1964621.0
Greifswalderstr.,tram,4,196429_east,"52.5364975,13.4334045",Q65548960,,,,,,,1964402.0
