line_id,year,line_name,type,start_stop,length (time),length (km),east_west,frequency (7:30),profile,capacity
196458_west,1964,A74,autobus,Königin-Elisabeth-Str.<> Eythstr.,39.0,,west,15.0,,0
196459_west,1964,A75,autobus,Munsterdamm Ecke Steglitzerdamm<> Hermannplatz,47.0,,west,10.0,,0
196460_west,1964,A76,autobus,Blohmstr. Ecke Wünsdorferstr.<> Platz Der Luftbrücke,36.0,,west,10.0,,0
196461_west,1964,A77,autobus,Daimlerstr.<> Platz Der Luftbrücke,25.0,,west,10.0,,0
196462_west,1964,A78,autobus,Tropfsteinweg Ecke Quarz-Weg<> Platz Der Luftbrücke,26.0,,west,10.0,,0
196463_west,1964,A79,autobus,Leopoldplatz<> Sommerstr. Ecke Klemkestr.,16.0,,west,10.0,,0
196464_west,1964,A80,autobus,"Spandau, Breitestr.<> Nennhauserdamm Ecke Brunsbüttelerdamm",16.0,,west,10.0,,0
196465_west,1964,A81,autobus,"Bhf. Zoo, Hardenbergplatz<> Imbrosweg Ecke Dardanellenweg",44.0,,west,10.0,,0
196466_west,1964,A83,autobus,Nettelbeckplatz<> Belßstr.,47.0,,west,10.0,,0
196467_west,1964,A84,autobus,Ringstr. Ecke Pestalozziplatz<> Gotenstr. Ecke Torgauerstr.,33.0,,west,10.0,,0
196468_west,1964,A85,autobus,"Bhf. Zoo, Hardenbergplatz<> Holtheimerweg",45.0,,west,10.0,,0
196469_west,1964,A86,autobus,Invalidenstr.<> Birkbuschstr. Ecke Siemensstr.,51.0,,west,15.0,,0
196470_west,1964,A87,autobus,"Richard-Wagner-Platz, Wintersteinstr.<> Sophie-Charlotten-Str. Ecke Pulsstr.",10.0,,west,20.0,,0
196471_west,1964,A88,autobus,U-Bhf. Kaiserdamm<> Eichkampstr. Ecke Alteallee,10.0,,west,20.0,,0
196472_west,1964,A89,autobus,Grüntalerstr. Ecke Osloerstr.<> Mehringplatz,39.0,,west,10.0,,0
