Column,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
0,Adlershof,s-bahn,"['KBS 100a', 'KBS 100c']","52.434722222222,13.541388888889",Q323551,"['KBS 100a', 'KBS 103']+ ['KBS 100a', 'KBS 103']+ KBS 103,KBS 100a+ KBS 103,KBS 100a,KBS 106+ KBS 106a,KBS 103,KBS 103a",nan+ nan+ Berlin-Adlershof station+ Berlin-Adlershof station+ Berlin-Adlershof station
1,Akazienallee,bus,['D'],"52.47849809201335, 13.607179083668733",,,
2,Alexanderplatz,bus,"['1', '9']","52.52005246558073, 13.413957243449447",,,
3,Alexanderplatz,s-bahn,"['KBS 101', 'KBS 100c']","52.521388888889,13.411944444444",Q111324700,"['KBS 101', 'KBS 103', 'KBS 102']+ ['KBS 102', 'KBS 101', 'KBS 103']+ KBS 102,KBS 103,KBS 101+ KBS 101,KBS 103,KBS 102+ KBS 101,KBS 102,KBS 103,KBS 103a,KBS 104",nan+ nan+ S-Bahnhof Berlin Alexanderplatz+ S-Bahnhof Berlin Alexanderplatz+ S-Bahnhof Berlin Alexanderplatz
4,Alexanderplatz,strassenbahn,"['72', '64', '73', '65', '60']","52.5219449,13.4143847",Q65548996,['1'],nan
5,Alexanderplatz,u-bahn,"['E', 'A', 'D']","52.5214,13.4119",Q17173458,"['A I', 'D', 'E']+ ['D', 'E', 'A I']+ E,D,A I,A II+ A,E+ A,E",nan+ nan+ Alexanderplatz u-bahn station+ Alexanderplatz u-bahn station+ Alexanderplatz u-bahn station
6,Alexanderstrasse,bus,['1'],"52.51778540833277, 13.418077932963259",,,
7,Schicklerstrasse Ecke Alexanderstrasse,strassenbahn,['82'],"52.51551722524566, 13.418231396470526",,,
8,Alt-Biesdorf,bus,['H'],"52.508805788386496, 13.558724778261455",,,
9,Alt-Friedrichsfelde,bus,"['H', '1']","52.51072943298707, 13.504877027235766",,,
10,Alt-Friedrichsfelde,strassenbahn,['69'],"52.50914093654053, 13.518129930582422",,69E,nan
11,Alt-Kaulsdorf,bus,['H'],"52.50517404169193, 13.581539359412261",,,
12,Alt-Moabit,strassenbahn,['21'],"52.522953428732706, 13.363110996619637",,,
13,Alt-Pichelsdorf,strassenbahn,['75'],"52.512205003004254, 13.20098769648865",,,
14,Am Schlesischen Bahnhof,bus,['1'],"52.511300751384205, 13.434689302904747",,,
15,Am Schlesischen Bahnhof,strassenbahn,['82'],"52.50992342587209, 13.433401993102558",,,
16,Am Treptower Park,strassenbahn,['87'],"52.49174753133871, 13.457760339630582",,,
17,An der Wuhlheide,strassenbahn,"['87', '95']","52.4558167657369, 13.558133104178587",,,
18,Anhalter Bahnhof,s-bahn,"['KBS 105a', 'KBS 103', 'KBS 104a']","52.503055555556,13.381944444444",Q111324573,"['KBS 105', 'KBS 104', 'KBS 105b', 'KBS 106']+ ['KBS 106', 'KBS 105', 'KBS 104']+ KBS 106,KBS 105,KBS 104+ KBS 104,KBS 105,KBS 106+ KBS 100d,KBS 100c,KBS 100e",nan+ nan+ S-Bahnhof Berlin Anhalter Bahnhof+ S-Bahnhof Berlin Anhalter Bahnhof+ S-Bahnhof Berlin Anhalter Bahnhof
19,Anhalter Bahnhof,strassenbahn,['1'],"52.50453275122, 13.382326534592197",,['88']+ ['88']+ 88,nan+ nan+ Anhalter Bahnhof
20,Anhalter Bhf.,strassenbahn,['21'],"52.50449054956299, 13.382289924849571",,"['76', '21']",nan
21,Attilaplatz,strassenbahn,"['96', '99']","52.455498340147045, 13.375619638525905",,"['95', '96']+ ['95', '96']+ 95,96+ 96+ 96",nan+ nan+ Attilaplatz+ Attilaplatz+ Attilaplatz
22,Attilastrasse,strassenbahn,['96'],"52.44680180814698, 13.360708029669821",,,
23,Babelsberg,s-bahn,['KBS 101'],"52.3914,13.0928",Q801326,['KBS 102']+ ['KBS 102']+ KBS 102+ KBS 102,nan+ nan+ Potsdam-Babelsberg station+ Potsdam-Babelsberg station
25,Badstrasse Ecke Pankstrasse,strassenbahn,"['199', '24']","52.55227848989899, 13.381428333797949",,"['36', '23']",nan
26,Badstrasse Ecke Pankstrassse,strassenbahn,"['28', '128', '41', '141']","52.5523075512431, 13.381391516100862",,,
27,Badstrassse,strassenbahn,"['28', '128', '41', '141']","52.54862880712163, 13.387940970243234",,,
28,Baerwaldstrasse Ecke Gneisenaustrasse,strassenbahn,['99'],"52.490331369885155, 13.400299112902015",,,
29,Bahnhof Mahlsdorf,bus,['H'],"52.512509114258, 13.612231040399239",,,
30,Bahnhof Schöneweide,strassenbahn,['91'],"52.45613201289592, 13.51033986454809",,,
31,Bahnhofstrasse,strassenbahn,"['83'] ; ['99']","52.40244986860125, 13.512704137216817 ; 52.38666976464739, 13.407955106521282",,47+ 47,Bahnhofstrasse+ Bahnhofstrasse
32,Bahnhofstrasse Ecke Lindenstrasse,strassenbahn,['83'],"52.4505094,13.572684",Q66095701,"['87']+ 82,87+ 82,87, 83,95,84,86+ 84,87","nan+ Bahnhofstraße/Lindenstraße+ Bahnhofstraße/Lindenstraße, Bahnhofstraße/Lindenstraße+ Bahnhofstraße/Lindenstraße+ Bahnhofstraße/Lindenstraße"
34,Baltenplatz,strassenbahn,"['65', '4']","52.519215,13.4525257",Q65706258,,
35,Baumschulenstrasse,strassenbahn,['95'],"52.460884119473235, 13.481278679734508",,"['91']+ ['92', '91']+ 92+ 95,92+ 92,95",nan+ nan+ Baumschulenstrasse Ecke Köpenicker Landstrasse+ Baumschulenstrasse Ecke Köpenicker Landstrasse+ Baumschulenstrasse Ecke Köpenicker Landstrasse
36,Baumschulenweg,s-bahn,"['KBS 100a', 'KBS 100c']","52.4675,13.489722",Q324336,"['KBS 100a', 'KBS 103']+ ['KBS 103a', 'KBS 100a', 'KBS 103']+ KBS 103,KBS 103a,KBS 100a+ KBS 103,KBS 103a,KBS 100a,KBS 106+ KBS 106a,KBS 106,KBS 103,KBS 103a",nan+ nan+ Berlin-Baumschulenweg station+ Berlin-Baumschulenweg station+ Berlin-Baumschulenweg station
37,Bayerischer Platz,strassenbahn,['3'],"52.48857550103818, 13.340030405284534",,"['60', '3']",nan
38,Bayerischer Platz,u-bahn,['B1'],"52.488333333333,13.340277777778",Q668574,['B I']+ ['B II']+ B III+ B III+ B I,nan+ nan+ Bayerischer Platz station+ Bayerischer Platz station+ Bayerischer Platz station
39,Bellevue,s-bahn,"['KBS 101', 'KBS 100c']","52.52,13.348055555556",Q374018,"['KBS 101', 'KBS 103', 'KBS 102']+ ['KBS 102', 'KBS 101', 'KBS 103']+ KBS 102,KBS 103,KBS 101+ KBS 101,KBS 102+ KBS 100h,KBS 100g",nan+ nan+ Berlin Bellevue station+ Berlin Bellevue station+ Berlin Bellevue station
40,"Köpenick, Bellevuestrasse",strassenbahn,['87'],"52.45511405449567, 13.592192332042357",,,
41,Bergstrasse,strassenbahn,['6'],"52.48084525434906, 13.435357975110138",,66+ 66,Bergstraße Ecke Thorwaldsenstraße+ Bergstraße Ecke Thorwaldsenstraße
42,Bergstrasse,u-bahn,['C'],"52.476111111111,13.439166666667",Q519494,,
43,Berliner Allee Ecke Lichtenberger strasse,strassenbahn,['8'],"52.55200136641885, 13.465720692557477",,,
45,"Berliner Allee, Antonplatz",strassenbahn,"['72', '60', '8']","52.5484803,13.4517416",Q65548849,,
46,Berliner Strasse Ecke Thielallee,bus,['5'],"52.44190329932344, 13.282795959916694",,"A60+ A53+ A11+ A2,AS2+ A60+ AS2",Berliner Strasse Ecke Blissestrasse +  Berliner Strasse Ecke Teltower Damm +  Königsberger Strasse Ecke Ostpreußdendamm +   Bundesallee Ecke Berliner Strasse+ Berliner Strasse Ecke Blissestrasse+ Bundesallee Ecke Berliner Strasse
48,Berliner Strasse Ecke Dorfstrasse,strassenbahn,['99'],"52.465924102673426, 13.38555668803175",,,
49,Berliner Strasse Ecke Humboldtstrasse,strassenbahn,['68'],"52.569293845351886, 13.329886404982428",,,
50,Berliner Strasse Ecke Kaiserallee,strassenbahn,['3'],"52.487339334357976, 13.3309375952067",,,
51,Berliner Strasse Ecke Scharnweberstrasse,strassenbahn,['68'],"52.56404993147306, 13.327860788039368",,,
52,Berliner Strasse Ecke Vinetastrasse,strassenbahn,"['49', '47']","52.55881651892184, 13.413474468962335",,,
53,Berliner Strasse Ecke Wilmersdorfer Strasse,strassenbahn,['3'],"52.51811270120716, 13.304464937779839",,,
54,Bernau,s-bahn,['KBS 103'],"52.6763,13.5931",Q479789,,
56,Bernauer Strasse,u-bahn,['D'],"52.5375,13.396666666667",Q689293,,
57,Bernauer Strasse Ecke Brunnenstrasse,strassenbahn,['4'],"52.5382797167537, 13.39603248653666",,,
58,Betriebsbahnhof Schöneweide,s-bahn,"['KBS 100a', 'KBS 100c']","52.44676,13.52391",Q4526101,"['KBS 100a', 'KBS 103']+ ['KBS 100a', 'KBS 103']+ KBS 103,KBS 100a+ KBS 103,KBS 100a,KBS 106+ KBS 106a,KBS 103,KBS 103a",nan+ nan+ Berlin-Johannisthal railway station+ Berlin-Johannisthal railway station+ Berlin-Johannisthal railway station
