,stop_id,stop_name,type,location,in_lines,identifier
0,19460,Adlershof,s-bahn,"52.434722222222,13.541388888889","['KBS 100a', 'KBS 100c']",Q323551
1,19461,Akazienallee,bus,"52.47849809201335, 13.607179083668733",['D'],nan
2,19462,Alexanderplatz,bus,"52.52005246558073, 13.413957243449447","['1', '9']",nan
3,19463,Alexanderplatz,s-bahn,"52.521388888889,13.411944444444","['KBS 101', 'KBS 100c']",Q111324700
4,19464,Alexanderplatz,strassenbahn,"52.5219449,13.4143847","['72', '64', '73', '65', '60']",Q65548996
5,19465,Alexanderplatz,u-bahn,"52.5214,13.4119","['E', 'A', 'D']",Q17173458
6,19466,Alexanderstrasse,bus,"52.51778540833277, 13.418077932963259",['1'],nan
7,19467,Alt-Biesdorf,bus,"52.508805788386496, 13.558724778261455",['H'],nan
8,19468,Alt-Friedrichsfelde,bus,"52.51072943298707, 13.504877027235766","['H', '1']",nan
9,19469,Alt-Friedrichsfelde,strassenbahn,"52.50914093654053, 13.518129930582422",['69'],nan
10,194610,Alt-Kaulsdorf,bus,"52.50517404169193, 13.581539359412261",['H'],nan
11,194611,Alt-Moabit,strassenbahn,"52.522953428732706, 13.363110996619637",['21'],nan
12,194612,Alt-Pichelsdorf,strassenbahn,"52.512205003004254, 13.20098769648865",['75'],nan
13,194613,Am Schlesischen Bahnhof,bus,"52.511300751384205, 13.434689302904747",['1'],nan
14,194614,Am Schlesischen Bahnhof,strassenbahn,"52.50992342587209, 13.433401993102558",['82'],nan
15,194615,Am Treptower Park,strassenbahn,"52.49174753133871, 13.457760339630582",['87'],nan
16,194616,An der Wuhlheide,strassenbahn,"52.4558167657369, 13.558133104178587","['87', '95']",nan
17,194617,Anhalter Bahnhof,s-bahn,"52.503055555556,13.381944444444","['KBS 105a', 'KBS 103', 'KBS 104a']",Q111324573
18,194618,Anhalter Bahnhof,strassenbahn,"52.50453275122, 13.382326534592197",['1'],nan
19,194619,Anhalter Bhf.,strassenbahn,"52.50449054956299, 13.382289924849571",['21'],nan
20,194620,Attilaplatz,strassenbahn,"52.455498340147045, 13.375619638525905","['96', '99']",nan
21,194621,Attilastrasse,strassenbahn,"52.44680180814698, 13.360708029669821",['96'],nan
22,194622,Babelsberg,s-bahn,"52.3914,13.0928",['KBS 101'],Q801326
23,194623,Badstrasse Ecke Pankstrasse,strassenbahn,"52.55227848989899, 13.381428333797949","['199', '24']",nan
24,194624,Badstrasse Ecke Pankstrassse,strassenbahn,"52.5523075512431, 13.381391516100862","['28', '128', '41', '141']",nan
25,194625,Badstrassse,strassenbahn,"52.54862880712163, 13.387940970243234","['28', '128', '41', '141']",nan
26,194626,Baerwaldstrasse Ecke Gneisenaustrasse,strassenbahn,"52.490331369885155, 13.400299112902015",['99'],nan
27,194627,Bahnhof Mahlsdorf,bus,"52.512509114258, 13.612231040399239",['H'],nan
28,194628,Bahnhof Schöneweide,strassenbahn,"52.45613201289592, 13.51033986454809",['91'],nan
29,194629,Bahnhofstrasse,strassenbahn,"52.38666976464739, 13.407955106521282",['99'],nan
30,194630,Bahnhofstrasse,strassenbahn,"52.40244986860125, 13.512704137216817",['83'],nan
31,194631,Bahnhofstrasse Ecke Lindenstrasse,strassenbahn,"52.4505094,13.572684",['83'],Q66095701
