,line_id,year,line_name,type,start_stop,Length (time),east_west,Frequency
0,19461,1946,1,bus,Flughafen<> Alt-Friedrichsfelde  ,0,both/unkown,25
1,19462,1946,1,strassenbahn,Hackescher Markt<> Anhalter Bahnhof,15,both/unkown,10
2,19463,1946,17,bus,"Zehlendorf, Rathaus <> Stölpchensee",0,both/unkown,30
3,19464,1946,21,strassenbahn,Wiebestrasse<> Anhalter Bhf.,15,both/unkown,6
4,19465,1946,23,strassenbahn,Rosenthal<> Fennstrasse,20,both/unkown,10
5,19466,1946,4,strassenbahn,Warschauer Brücke<> Strelitzerstrasse,15,both/unkown,7
6,19467,1946,5,bus,"Steglitz, Rathaus <> Zehlendorf, Rathaus ",0,both/unkown,60
7,19468,1946,6,strassenbahn,"Schönberg, Wartburgplatz<> Treptow, Elsenstrasse",0,both/unkown,12
8,19469,1946,8,strassenbahn,"Seestrasse, Friedhöfe<> Gürtelstrasse Ecke Frankfurter Allee",20,both/unkown,15
9,194610,1946,9,bus,"Alexanderplatz <> Charlottenburg, Knie",15,both/unkown,10
10,194611,1946,13,strassenbahn,Türschmidtstrasse Ecke Karlshorster Strasse<> Kraftwerk Klingenberg,30,both/unkown,15
11,194612,1946,3,strassenbahn,Gotzkowskystrasse<> Gardepionierplatz,0,both/unkown,10
12,194613,1946,D,bus,"U-Bhf. Friedrichsfelde<> Dahlwitz, Kol. Waldesruh",0,both/unkown,12
13,194614,1946,H,bus,U-Bhf. Lichtenberg <> Hönow,0,both/unkown,15
14,194615,1946,24,strassenbahn,Buchholz<> Ramlerstrasse,20,,15
15,194616,1946,25,strassenbahn,"Tegel, Alt-Tegel<> Togostrasse",0,,15
16,194617,1946,27,bus,"Müggelheim<> Köpenick, Krankenhaus",30,,20
17,194618,1946,27,strassenbahn,"Buckow<> Neukölln, Steinmetzstrasse",20,both/unkown,10
18,194619,1946,28,strassenbahn,Tegelort<> Ramlerstrasse,0,,30
19,194620,1946,128,strassenbahn,Heiligensee<> Ramlerstrasse,0,,30
20,194621,1946,41,strassenbahn,"Tegel, Alt-Tegel<> Ramlerstrasse",20,,15
21,194622,1946,141,strassenbahn,"Wilhelmsruh, Hauptstrasse<> Ramlerstrasse",20,,15
22,194623,1946,47,strassenbahn,Nordend<> U-Bahnhof Danziger Strasse,0,,10
23,194624,1946,147,strassenbahn,"Britz, Rudower Strasse <> Schönefeld",0,,15
24,194625,1946,49,strassenbahn,Buchholz<> U-Bahnhof Danziger Strasse,0,,15
25,194626,1946,54,strassenbahn,"Spandau, Johannesstrift<> Richard-Wagner-Platz ",0,,15
26,194627,1946,55,strassenbahn,Spandau markt<> Gotzkowskystrasse,20,,6
27,194628,1946,60,strassenbahn,"Weißensee, Rennbahnstrasse<> Rathaus ",15,,5
28,194629,1946,62,strassenbahn,"Charlottenburg, Königin-Elisabeht-Strasse <> Wilmersdorf, Emser Platz",20,,15
29,194630,1946,64,strassenbahn,"Hohenschönhausen, Degener Strasse<> Rathaus ",15,,10
30,194631,1946,65,strassenbahn,"Lichtenberg, Scheffelstrasse<> Rathaus ",0,,10
31,194632,1946,68,strassenbahn,"Wittenau, Nordbahnhof<> Togostrasse",15,,7
32,194633,1946,69,strassenbahn,"Landsberger Allee Ecke Elbinger Strasse<> Oberschöneweide, Edisonstrass Ecke Wilhelminenhofstrasse",20,,7
33,194634,1946,72,strassenbahn,"Weißensee, Rennbahnstrasse<> Rathaus ",15,,7
34,194635,1946,73,strassenbahn,Heinersdorf<> Rathaus ,0,,15
35,194636,1946,74,strassenbahn,"Lichterfelde, Händelplatz<> Spittelmarkt",10,,5
36,194637,1946,75,strassenbahn,Hakenfelde<> Alt-Pichelsdorf ,10,,5
