,line_id,stop_name,stop_order,stop_id
0,19461,Flughafen,0,1946151
1,19461,Franz-Mehring-Strasse,1,1946158
2,19461,Hallesches Tor,2,1946212
3,19461,Lindenstrasse,3,1946325
4,19461,Jerusalemer Strasse,4,1946257
5,19461,Dönhoffplatz,5,1946138
6,19461,Werderscher markt,6,1946596
7,19461,Schloßplatz,7,1946476
8,19461,Alexanderplatz,8,19462
9,19461,Alexanderstrasse,9,19466
10,19461,Holzmarkstrasse,10,1946240
11,19461,Schlesischer Bahnhof,11,1946472
12,19461,Am Schlesischen Bahnhof,12,194613
13,19461,Fruchtstrasse,13,1946172
14,19461,Kürstriner Platz,14,1946301
15,19461,Frankfurter Allee,15,1946153
16,19461,Frankfurter Allee Ecke Warschauer Strasse,16,1946157
17,19461,Frankfurter Allee Ecke Gürtelstrasse,17,1946156
18,19461,Alt-Friedrichsfelde,18,19468
19,19462,Hackescher Markt,0,1946206
20,19462,Rosenthaler Strasse,1,1946459
21,19462,Rosenthaler Platz,2,1946457
22,19462,Invalidenstrasse,3,1946252
23,19462,Stettiner Bhf.,4,1946531
26,19462,Chausseestrasse,5,1946125
27,19462,Friedrichstrasse,6,1946170
28,19462,Weidendammbrücke,7,1946589
29,19462,Prinz-Louis-Ferdinand-Strasse,8,1946426
30,19462,Dorotheenstrasse,9,1946136
31,19462,Hindenburgplatz,10,1946232
32,19462,Potsdamer Platz,11,1946414
33,19462,Anhalter Bahnhof,12,194618
34,19463,"Zehlendorf, Rathaus",0,1946628
35,19463,Potsdamer Chaussee,1,1946412
36,19463,Bhf. Nikolassee,2,194676
37,19463,Bhf. Wannsee,3,194683
38,19463,Stölpchensee,4,1946539
39,19464,Wiebestrasse,0,1946600
40,19464,Thälmannstrasse Ecke Waldstrasse,1,1946556
41,19464,Rathenower Strasse,2,1946436
42,19464,Alt-Moabit,3,194611
43,19464,Moltkebrücke,4,1946345
44,19464,Lehrter Bhf.,5,1946309
45,19464,Moltkestrasse,6,1946346
46,19464,Fürst-Bismarck-Strasse,7,1946173
47,19464,Königsplatz,8,1946291
48,19464,Hindenburgplatz,9,1946232
49,19464,Potsdamer Platz,10,1946414
50,19464,Anhalter Bhf.,11,194619
51,19465,Rosenthal,0,1946456
52,19465,Reichskanzlerdamm,1,1946437
53,19465,Bismarckplatz,2,194689
54,19465,Grabbeallee,3,1946189
55,19465,"Pankow, Schönholzer Strasse",4,1946395
56,19465,Wollankstrasse,5,1946620
57,19465,Wollankstrasse Ecke Brehmestrasse,6,1946621
58,19465,Prinzenallee Ecke Brehmestrasse,7,1946427
59,19465,Pankstrasse,8,1946400
60,19465,Nettelbeckplatz,9,1946360
61,19465,Reinickendorfer Strasse,10,1946448
62,19465,Weddingplatz,11,1946588
63,19465,Fennstrasse,12,1946149
64,19466,Warschauer Brücke,0,1946583
65,19466,Warschauer Strasse,1,1946586
66,19466,Baltenplatz,2,194632
67,19466,Elbinger Strasse Ecke Lansberger Allee,3,1946142
68,19466,Elbinger Strasse Ecke Prenzelauer Allee,4,1946143
69,19466,Danziger Strasse Ecke Schönhauser Allee,5,1946133
70,19466,Bernauer Strasse Ecke Brunnenstrasse,6,194653
71,19466,Strelitzerstrasse,7,1946536
72,19467,"Steglitz, Rathaus",0,1946527
73,19467,Schloßstrasse,1,1946477
74,19467,Unter den Eichen,2,1946571
75,19467,Berliner Strasse Ecke Thielallee,3,194647
76,19467,"Zehlendorf, Rathaus",4,1946628
77,19468,"Schönberg, Wartburgplatz",0,1946482
78,19468,Mühlenstrasse Ecke Hauptstrasse,1,1946355
79,19468,Bhf. Schöneberg,2,194680
80,19468,Sachsendamm,3,1946465
81,19468,Bhf. Papestrasse,4,194678
82,19468,"Tempelhof, Schöneberger Strasse",5,1946553
83,19468,Dorfstrasse,6,1946134
84,19468,Dorfstrasse Ecke Berliner Strasse,7,1946135
85,19468,Germaniastrasse,8,1946178
86,19468,Gottlieb-Dunkel-Strasse,9,1946187
87,19468,Mariendorfer Weg,10,1946336
88,19468,Mariendorfer Weg Ecke Chausseestrasse,11,1946337
89,19468,Knesebeckstrasse,12,1946279
90,19468,Bhf. Neukölln,13,194675
91,19468,Bergstrasse,14,194638
92,19468,Erkstrasse,15,1946145
93,19468,Wildenbruchstrasse,16,1946601
94,19468,"Treptow, Elsenstrasse",17,1946559
95,19469,"Seestrasse, Friedhöfe",0,1946501
96,19469,Seestrasse Ecke Müllerstrasse,1,1946500
97,19469,Seestrasse Ecke Markstrasse,2,1946499
98,19469,Osloer strasse,3,1946386
99,19469,Osloer Strasse Ecke Prinzenallee,4,1946385
100,19469,Bornholmer Strasse,5,194695
101,19469,Bhf. Bornholmer Strasse,6,194657
102,19469,Bornholmer Strasse Ecke Schönhauser Allee,7,194696
103,19469,Wisbyer Strasse Ecke Bornholmerstrasse,8,1946613
104,19469,Wisbyer Strasse Ecke Prenzlauer Allee,9,1946614
105,19469,Gustav-Adolf-Strasse Ecke Langhansstrasse,10,1946202
106,19469,"Berliner Allee, Antonplatz",11,194641
107,19469,Berliner Allee Ecke Lichtenberger strasse,12,194640
108,19469,Weißenseer Weg Ecke Hohenschönhauser Strasse,13,1946593
109,19469,"Lichtenberg, Röderplatz",14,1946315
110,19469,Möllendorffstrasse Ecke Scheffelstrasse,15,1946350
111,19469,Gürtelstrasse Ecke Frankfurter Allee,16,1946205
112,194610,Alexanderplatz,0,19462
113,194610,Schloßplatz,1,1946476
114,194610,Unter den Linden Ecke Friedrichstrasse,2,1946573
115,194610,Brandenburger Tor,3,194698
116,194610,Charlottenburger Chaussee,4,1946120
117,194610,"Charlottenburg, Knie",5,1946118
118,194611,Türschmidtstrasse Ecke Karlshorster Strasse,0,1946565
119,194611,Köpenicker Chaussee,1,1946297
120,194611,Kraftwerk Klingenberg,2,1946284
121,194612,Gotzkowskystrasse,0,1946188
122,194612,Thälmannstrasse Ecke Beusselstrasse,1,1946555
123,194612,Kaiserin-Augusta-Allee Ecke Tauroggener Strasse,2,1946267
124,194612,Berliner Strasse Ecke Wilmersdorfer Strasse,3,194649
125,194612,Wilmerdorfer Strasse,4,1946605
126,194612,Wilmersdorfer Strasse Ecke Kantstrasse,5,1946610
127,194612,Wilmersdorfer Strasse Ecke Kurfürstendamm,6,1946611
128,194612,Brandenburgische Strasse,7,194699
129,194612,Fehrbelliner Platz,8,1946147
130,194612,Berliner Strasse Ecke Kaiserallee,9,194645
131,194612,Bayerischer Platz,10,194635
132,194612,Grunewaldstrasse,11,1946199
134,194612,Goltzstrasse,12,1946186
135,194612,Winterfeldtplatz,13,1946612
136,194612,Pallasstrasse,14,1946390
137,194612,Pallasstrasse Ecke Potsdamer Strasse,15,1946391
138,194612,Goebenstrasse,16,1946185
139,194612,Yorckstrasse,17,1946624
140,194612,Yorckstrasse Ecke Franz-Mehring-Strasse,18,1946625
141,194612,Gneisenausstrasse,19,1946183
142,194612,Gardepionierplatz,20,1946175
143,194613,U-Bhf. Friedrichsfelde,0,1946567
144,194613,Treskowallee,1,1946562
145,194613,Warmbader Strasse,2,1946582
146,194613,Biesdorf-Süd,3,194687
147,194613,"Kaulsdorf-Süd, Zimmermannstrasse",4,1946274
148,194613,Ulmenstrasse,5,1946570
149,194613,"Mahlsdorf-Süd, Kohlisstrasse",6,1946332
150,194613,Akazienallee,7,19461
151,194613,"Dahlwitz, Kol. Waldesruh",8,1946130
152,194614,U-Bhf. Lichtenberg,0,1946568
153,194614,Alt-Friedrichsfelde,1,19468
154,194614,Alt-Biesdorf,2,19467
155,194614,Alt-Kaulsdorf,3,194610
156,194614,Bhf. Kaulsdorf,4,194666
157,194614,Giesestrasse,5,1946181
158,194614,"Mahlsdorf, Zeppelinstrasse",6,1946331
159,194614,Bahnhof Mahlsdorf,7,194627
160,194614,Hönower Strasse,8,1946248
161,194614,Hönow,9,1946247
162,194615,Buchholz,0,1946106
163,194615,Pasewalker Strasse,1,1946402
164,194615,Bhf. Pankow-Heinersdorf,2,194677
165,194615,"Pankow, Damerowstrasse",3,1946394
166,194615,Breite Strasse Ecke Berliner Strasse,4,1946100
167,194615,Wollankstrasse Ecke Schönholzer Strasse,5,1946622
168,194615,Wollankstrasse Ecke Brehmestrasse,6,1946621
169,194615,Prinzenallee Ecke Osloer Strasse,7,1946428
170,194615,Badstrasse Ecke Pankstrasse,8,194623
171,194615,"Brunnenstrasse, Gesundbrunnen",9,1946104
172,194615,Ramlerstrasse,10,1946432
173,194616,"Tegel, Alt-Tegel",0,1946545
174,194616,Berlinerstrasse Ecke Seidelstrasse,1,194650
175,194616,"Reinickendorf, Scharnweberstrasse",2,1946445
176,194616,Scharnweberstrasse Ecke Berliner Strasse,3,1946468
177,194616,Müllerstrasse,4,1946356
178,194616,Müllerstrasse Ecke Seestrasse,5,1946357
179,194616,Togostrasse,6,1946558
180,194617,Müggelheim,0,1946351
