stop_name,type,line_name,stop_id,location,identifier,latitude,longitude,match_score,matched_name,matched_stop_id,matched_historical_lines,location_from,neighbourhood,district,east_west,postal_code
Revalerstr.,tram,3,19670_east,"52.50855230,13.45099355",,,,,,,,1967931.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10245
Warschauerstr.,tram,3,19671_east,"52.50502000,13.44863000",Q63490275,,,,,,,19671278.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10245
Holteistr. Ecke Boxhagenerstr.,tram,3,19672_east,"52.50882350,13.46596900","Q65675805, Q65675805",,,,,,,1967494.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10245
Bhf. Frankfurterallee,tram,3,19673_east,"52.51380370,13.47737720",Q65948557,,,,,,,1967123.0,Lichtenberg,Lichtenberg,east,10365
Roederplatz,tram,3,19674_east,"52.52660010,13.47906800",Q65685373,,,,,,,1967942.0,Fennpfuhl,Lichtenberg,east,10367
Hohenschönhauserstr.,tram,3,19675_east,"52.53593290,13.47294680",Q65553684,,,,,,,1967485.0,Fennpfuhl,Lichtenberg,east,10369
Lichtenbergerstr.,tram,3,19676_east,"52.55203261,13.46568992",,,,,,,,1967666.0,Weißensee,Pankow,east,13088
Antonplatz,tram,3,19677_east,"52.54848030,13.45174160",Q65548849,,,,,,,196766.0,Weißensee,Pankow,east,13088
Prenzlauer Promenade,tram,3,19678_east,"52.55155537,13.43032253",,,,,,,,1967876.0,Prenzlauer Berg,Pankow,east,10409
Schönhauserallee,tram,3,19679_east,"52.55377050,13.41388980",Q65076842,,,,,,,19671056.0,Prenzlauer Berg,Pankow,east,10439
Björnsonstr.,tram,3,196710_east,"52.55442320,13.40305850",Q65920495,,,,,,,1967152.0,Prenzlauer Berg,Pankow,east,10439
Markusstr.,tram,4,196711_east,"52.51349889,13.42412751",,,,,,,,1967732.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10179
Ostbahnhof,tram,4,196712_east,"52.50910764,13.43550619",,,,,,,,1967823.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10243
Mühlenstr.,tram,4,196713_east,"52.50854394,13.43489758",,,,,,,,1967766.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10243
Revalerstr.,tram,4,196714_east,"52.50855230,13.45099355",,,,,,,,1967931.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10245
Grünbergerstr.,tram,4,196715_east,"52.51223590,13.45260900",Q65706239,,,,,,,1967406.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10243
Frankfurter Tor,tram,4,196716_east,"52.51539030,13.45401720",Q65706246+nan,,,,,,,1967318.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10243
Bersarinplatz,tram,4,196717_east,"52.51921500,13.45252570",Q65706258,,,,,,,1967118.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10249
Leninallee,tram,4,196718_east,"52.52593430,13.44623680",Q65553230,,,,,,,1967654.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10249
Kniprodestr.,tram,4,196719_east,"52.53252860,13.44068680",Q65707391,,,,,,,1967582.0,Prenzlauer Berg,Pankow,east,10407
Greifswalderstr.,tram,4,196720_east,"52.53649750,13.43340450",Q65548960,,,,,,,1967390.0,Prenzlauer Berg,Pankow,east,10405
Prenzlauerallee,tram,4,196721_east,"52.53965220,13.42447890",Q65222180,,,,,,,1967875.0,Prenzlauer Berg,Pankow,east,10405
U-Bhf. Dimitroffstr.,tram,4,196722_east,"52.54019280,13.41139790",Q65088313,,,,,,,19671188.0,Prenzlauer Berg,Pankow,east,10435
Eberswalderstr. Ecke Oderbergerstr.,tram,4,196723_east,"52.54061077,13.40455993",",+nan",,,,,,,1967269.0,Prenzlauer Berg,Pankow,east,10437
Hönower Wiesenweg Ecke Blockdammweg,tram,13,196724_east,"52.48430451,13.50580476",,,,,,,,1967509.0,Karlshorst,Lichtenberg,east,10317
Kraftwerk Klingenberg,tram,13,196725_east,"52.48813740,13.49586850",Q66079524,,,,,,,1967594.0,Rummelsburg,Lichtenberg,east,10317
S-Bhf. Rummelsburg,tram,13,196726_east,"52.50105580,13.47623920",Q66069079,,,,,,,19671000.0,Rummelsburg,Lichtenberg,east,10317
Holteistr. Ecke Boxhagenerstr.,tram,13,196727_east,"52.50882350,13.46596900","Q65675805, Q65675805",,,,,,,1967494.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10245
Frankfurter Tor,tram,13,196728_east,"52.51539030,13.45401720",Q65706246+nan,,,,,,,1967318.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10243
Bersarinplatz,tram,13,196729_east,"52.51921500,13.45252570",Q65706258,,,,,,,1967118.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10249
Leninallee,tram,13,196730_east,"52.52593430,13.44623680",Q65553230,,,,,,,1967654.0,Friedrichshain,Friedrichshain-Kreuzberg,east,10249
Kniprodestr.,tram,13,196731_east,"52.53252860,13.44068680",Q65707391,,,,,,,1967582.0,Prenzlauer Berg,Pankow,east,10407
Greifswalderstr.,tram,13,196732_east,"52.53649750,13.43340450",Q65548960,,,,,,,1967390.0,Prenzlauer Berg,Pankow,east,10405
Prenzlauerallee,tram,13,196733_east,"52.53965220,13.42447890",Q65222180,,,,,,,1967875.0,Prenzlauer Berg,Pankow,east,10405
U-Bhf. Dimitroffstr.,tram,13,196734_east,"52.54019280,13.41139790",Q65088313,,,,,,,19671188.0,Prenzlauer Berg,Pankow,east,10435
Oderbergerstr. Ecke Eberswalderstr.,tram,13,196735_east,"52.54061077,13.40455993",,,,,,,,1967797.0,Prenzlauer Berg,Pankow,east,10437
"Rosenthal, Hauptstr.",tram,22,196736_east,"52.59700630,13.37639160",Q65364985,,,,,,,1967947.0,Rosenthal,Pankow,east,13158
Nordendstr.,tram,22,196737_east,"52.58853400,13.38829520",Q65428345,,,,,,,1967789.0,Niederschönhausen,Pankow,east,13156
Kurt-Fischer-Platz,tram,22,196738_east,"52.57866800,13.39830160",Q65032974,,,,,,,1967619.0,Niederschönhausen,Pankow,east,13156
"Pankow, Rathaus",tram,22,196739_east,"52.56948160,13.40380450",Q65055060,,,,,,,1967838.0,Pankow,Pankow,east,13187
"Pankow, Kirche",tram,22,196740_east,"52.57064520,13.41031150",Q65055066,,,,,,,1967836.0,Pankow,Pankow,east,13187
U-Bhf. Vinetastr.,tram,22,196741_east,"52.55961680,13.41323200",Q65075426,,,,,,,19671233.0,Pankow,Pankow,east,13189
Bornholmerstr. Ecke Schönhauserallee,tram,22,196742_east,"52.55377050,13.41388980",Q65076842,,,,,,,1967169.0,Prenzlauer Berg,Pankow,east,10439
S-Bhf. Schönhauserallee,tram,22,196743_east,"52.54936190,13.41357340",Q65088013,,,,,,,19671001.0,Prenzlauer Berg,Pankow,east,10439
U-Bhf. Dimitroffstr.,tram,22,196744_east,"52.54019280,13.41139790",Q65088313,,,,,,,19671188.0,Prenzlauer Berg,Pankow,east,10435
Nordend,tram,46,196745_east,"52.59021040,13.40275240",Q65032696,,,,,,,1967788.0,Niederschönhausen,Pankow,east,13156
Ossietzkyplatz,tram,46,196746_east,"52.58100580,13.40401481",,,,,,,,1967820.0,Niederschönhausen,Pankow,east,13156
Kurt-Fischer-Platz,tram,46,196747_east,"52.57866800,13.39830160",Q65032974,,,,,,,1967619.0,Niederschönhausen,Pankow,east,13156
"Pankow, Kirche",tram,46,196748_east,"52.57064520,13.41031150",Q65055066,,,,,,,1967836.0,Pankow,Pankow,east,13187
U-Bhf. Vinetastr.,tram,46,196749_east,"52.55961680,13.41323200",Q65075426,,,,,,,19671233.0,Pankow,Pankow,east,13189
Bornholmerstr. Ecke Schönhauserallee,tram,46,196750_east,"52.55377050,13.41388980",Q65076842,,,,,,,1967169.0,Prenzlauer Berg,Pankow,east,10439
S-Bhf. Schönhauserallee,tram,46,196751_east,"52.54936190,13.41357340",Q65088013,,,,,,,19671001.0,Prenzlauer Berg,Pankow,east,10439
U-Bhf. Dimitroffstr.,tram,46,196752_east,"52.54019280,13.41139790",Q65088313,,,,,,,19671188.0,Prenzlauer Berg,Pankow,east,10435
