,stop_name,line_count,type,in_lines
1078,"Norden, Schillerstrasse",1,bus,['A7']
1079,"Blanenfelde, Hauptstrasse",1,bus,['A7']
1080,"Schildow, Breitestrasse",1,bus,['A7']
1081,U-Bhf. Friedrichsfelde,2,bus,"['A8', 'A43']"
1082,Gregoroviusweg (Gymnasium),1,bus,['A8']
1083,Gleiwitzerstrasse Ecke Köpenickerstrasse,1,bus,['A8']
1084,Chamnitzerstrasse Ecke Ulmenstrasse,1,bus,['A8']
1085,"Kaulsdorf, Sadowastrasse",1,bus,['A8']
1086,Potsdamer Platz/Leipziger Platz,1,bus,['A9']
1087,Kaiserhof/Thälmannplatz,1,bus,['A9']
1088,Karlplatz,1,bus,['A9']
1089,Neues Tor,1,bus,['A9']
1090,Stettiner Bhf./Nordbahnhof,1,bus,['A9']
1091,Innsbrucker Platz,5,strassenbahn,['88']
1092,Innsbrucker Platz,5,bus,['A16']
1093,Innsbrucker Platz,5,u-bahn,['B I']
1094,Innsbrucker Platz,5,s-bahn,"['KBS 100a', 'KBS 100']"
1095,Bayerischer Platz,3,strassenbahn,"['60', '3']"
1096,Bayerischer Platz,3,u-bahn,['B I']
1097,Viktoria-Luise-Platz,1,u-bahn,['B I']
1098,Nollendorfplatz,6,strassenbahn,['76E']
1099,Nollendorfplatz,6,u-bahn,"['A I', 'B I', 'B II']"
1100,Nollendorfplatz,6,bus,['A16']
1101,Kurfürstenstrasse,2,u-bahn,"['B I', 'B II']"
1102,Gleisdreieck,3,u-bahn,"['A I', 'B I', 'B II']"
1103,Möckernbrücke,2,u-bahn,"['B I', 'B II']"
1104,Hallesches Tor,4,strassenbahn,['21']
1105,Hallesches Tor,4,u-bahn,"['B I', 'B II', 'C I']"
1106,Prinzenstrasse,3,strassenbahn,['1']
1107,Prinzenstrasse,3,u-bahn,"['B I', 'B II']"
1108,Kottbuser Tor,1,u-bahn,['B I']
1109,Warschauer Brücke,3,strassenbahn,"['3', '4']"
1110,Warschauer Brücke,3,u-bahn,['B II']
1111,Schlesisches Tor,3,strassenbahn,"['3', '4']"
1112,Schlesisches Tor,3,u-bahn,['B II']
1113,Görlitzer Bahnhof,1,u-bahn,['B II']
1114,Kottbusser Tor,3,u-bahn,"['B II', 'D']"
1115,Prinzenstrasse,3,strassenbahn,['1']
1116,Prinzenstrasse,3,u-bahn,"['B I', 'B II']"
1117,Hallesches Tor,4,strassenbahn,['21']
1118,Hallesches Tor,4,u-bahn,"['B I', 'B II', 'C I']"
1119,Möckernbrücke,2,u-bahn,"['B I', 'B II']"
1120,Gleisdreieck,3,u-bahn,"['A I', 'B I', 'B II']"
1121,Kurfürstenstrasse,2,u-bahn,"['B I', 'B II']"
1122,Nollendorfplatz,6,strassenbahn,['76E']
1123,Nollendorfplatz,6,u-bahn,"['A I', 'B I', 'B II']"
1124,Nollendorfplatz,6,bus,['A16']
1125,Wittenbergplatz,7,strassenbahn,"['76', '77', '76E']"
1126,Wittenbergplatz,7,u-bahn,"['A I', 'B II', 'A II']"
1127,Uhlandstrasse,1,u-bahn,['B II']
1128,Seestrasse,1,u-bahn,['C I']
1129,Leopoldplatz,1,u-bahn,['C I']
1130,Bahnhof Wedding,1,u-bahn,['C I']
1131,Reinickendorfer Strasse,1,u-bahn,['C I']
1132,Walter-Ulbricht-Stadion,1,u-bahn,['C I']
1133,Nordbahnhof,6,strassenbahn,['46']
1134,Nordbahnhof,6,u-bahn,['C I']
1135,Nordbahnhof,6,s-bahn,"['KBS 105', 'KBS 104', 'KBS 105b', 'KBS 106']"
1136,Oranienburger Tor,5,strassenbahn,"['46', '1', '70']"
1137,Oranienburger Tor,5,bus,['A40']
1138,Oranienburger Tor,5,u-bahn,['C I']
1139,Bahnhof Friedrichstrasse,1,u-bahn,['C I']
1140,Französisiche Strasse,1,u-bahn,['C I']
1141,Stadtmitte,1,u-bahn,['C I']
1142,Kochstrasse,1,u-bahn,['C I']
1143,Hallesches Tor,4,strassenbahn,['21']
1144,Hallesches Tor,4,u-bahn,"['B I', 'B II', 'C I']"
1145,Mehringdamm,3,strassenbahn,['95']
1146,Mehringdamm,3,u-bahn,"['C II', 'C I']"
1147,Gneisenaustrasse,1,u-bahn,['C I']
1148,Südstern,2,strassenbahn,['3']
1149,Südstern,2,u-bahn,['C I']
1150,Hermannplatz,6,strassenbahn,"['3', '95', '26', '47']"
