line_name,Stops,Frequency,Length (time),Length (km),type,east-west,year
1,Hallesches Tor (Stresemannstrasse) - Prinzenstrasse - U-Bhf. Moritzplatz - Brückenstrasse/Neanderstrasse - Schillingbrücke - Andreasplatz - Alexanderplatz - Rosentaler Platz - Invalidenstrasse Ecke Chausseestrasse - Oranienburger Tor - Dorotheestrasse (Bhf. Friedrichstrasse) - Charlottenstrasse Ecke Unter den Linden,12,,,strassenbahn,both/unkown,1951
2,"Werftstrasse Ecke Alt-Moabit - Rathenowerstrasse, Kriminalgericht - Stromstrasse Ecke Turmstrasse - Waldstrasse Ecke Gotzkowskystrasse - Knie - Bhf. Zoo - U-Bhf. Wittenbergplatz - U-Bhf. Nollendorfplatz - Potsdamerstrasse Ecke Bülowstrasse - Mansteinstrasse (Bhf. Großgörschenstrasse)",15,,,strassenbahn,both/unkown,1951
3,Osloerstrasse Ecke Grüntalerstrasse - Prinzenallee Ecke Osloerstrasse - Oskarplatz - Müllerstrasse Ecke Seestrasse - Seestraßenbrücke - Turmstrasse Ecke Gotzkowskystrasse - Osnabrückerstrasse Ecke Taurroggenerstrasse - Schloßbrücke/Luisenplatz - Berlinerstrasse Ecke Wilmersdorferstrasse - Kanststrasse Ecke Wilmersdorferstrasse - Fehrbelliner Platz - Brandenburgischestrasse Ecke Berlinerstrasse - Bundesallee Ecke Berlinerstrasse - Bayerischer Platz - Martin-Luther-Strasse Ecke Grunewaldstrasse - Potsdamerstrasse Ecke Goebenstrasse - Mehringdamm Ecke Gneisenaustrasse - Zossenerstrasse Ecke Gneisenaustrasse - Südstern - Hermannplatz,15,,,strassenbahn,both/unkown,1951
3,"Osloerstrasse Ecke Grüntalerstrasse - Schönhauser Allee/Berlinerstrasse - Prenzlauer Allee/Prenzlauer Promenade - Berliner Allee Ecke Langhansstrasse - Hohenschönhauserstrasse Ecke Weißenseerweg - Landsberger Allee & Weißenseer Weg - Roederstrasse/Herzbergerstrasse - Stalinallee - Boxhagenerstrasse - Warschauer Brücke - Schlesisches Tor - Treptow, Elsenstrasse",20,,,strassenbahn,both/unkown,1951
4,Strelitzerstrasse Ecke Bernauerstrasse - Eberwalderstrasse Ecke Schönhauserallee - Prenzlauerstrasse Ecke Dimitroffstrasse - Greifswalderstrasse Ecke Dimitroffstrasse - Leninallee Ecke Bersarinstrasse - Weidenweg Ecke Bersarinstrasse - Boxhagenerstrasse Ecke Warschauerstrasse - Kopernikusstrasse Ecke Warschauerstrasse - Warschauer Brücke - Stralauer Allee Ecke Warschauerstrasse - Schlesisches Tor,12.5,,,strassenbahn,both/unkown,1951
6,Kurfürstendamm Ecke Joachimstalerstrasse - Bhf. Zoo - U-Bhf. Wittenbergplatz - Grunewaldstrasse Ecke Martin-Luther-Strasse - Rudolf-Wilde-Platz (Schöneberger Rathaus) - Hauptstrasse Ecke Dominicusstrasse - Alboinstrasse Ecke Schönebergerstrasse - Tempelhofer Damm Ecke Alt-Tempelhof - Gottlieb-Dunkel-Strasse Ecke Germaniastrasse - Hermannstrasse Ecke Hertastrasse - U-Bhf. Neukölln - U-Bhf. Rathaus Neukölln - Elsenstrasse Ecke Heidelbergerstrasse,15,,,strassenbahn,both/unkown,1951
13,Kraftwerk Klingenberg - Nöldnerstrasse Ecke Karlshorsterstrasse - Holteistrasse Ecke Boxhagenerstrasse - Warschaerstrasse Ecke Boxhagenerstrasse - Bersarinstrasse station - Weidenweg Ecke Bersarinstrasse - Leninallee Ecke Dimitroffstrasse ,16.5,,,strassenbahn,both/unkown,1951
14,Bersarinplatz - Bersarinstrasse Ecke Warschauerstrasse - Holteistrasse Ecke Boxhagenerstrasse - Karlshorsterstrasse Ecke Nöldnerstrasse - Lückstrasse Ecke Wilhelmstrasse - Frankfurter Tor - Siegfriedstrasse Ecke Herzbergerstrasse - Möllendorferstrasse Ecke Herzbergerstrasse - Scheffelstrasse Ecke Möllendorferstrasse,17.5,,,strassenbahn,both/unkown,1951
15,"Marienfelde, Daimlerstrasse - Mariendorfer Damm Ecke Alt-Mariendorf - Germaniastrasse Ecke Gottlieb-Dunkel-Strasse - Hermannstrasse Ecke Hertastrasse - Bhf. Neukölln - Bhf. Sonnenallee - Neukölln, Schulenburgpark",15,,,strassenbahn,both/unkown,1951
21,"Moabit, Wiebestrasse - Gotzkowskystrasse Ecke Waldstrasse - Stromstrasse Ecke Turmstrasse - Rathenowerstrasse (Kriminalgericht)  - Lehrter Bhf. - Brandenburger Tor - Potsdamer Platz, Voßstrasse - Anhalter Bhf. - Hallesches Tor - Gneisenaustrasse Ecke Zossenerstrasse - Friesenstrasse Ecke Schwiebusserstrasse",115,,,strassenbahn,both/unkown,1951
23,"Rosenthal, Quickbornerstrasse - Siedlung Weiche - Grenzweiche - Platanenstrasse Ecke Klosterweg - Bismarckplatz - Pankow, Rathaus - Bhf. Wollankstrasse (Grenze) - Badstrasse Ecke Pankstrasse - Nettelbeckplatz - Weddingplatz - Augustenburger Platz (Virchow-Krankenhaus)",15,,,strassenbahn,both/unkown,1951
24,"Buchholz, Hauptstrasse - Eweststrasse Ecke Paswealkerstrasse - Blankenburger Weiche - Heinersdorfer Weiche - Bhf. Pankow-Heinersdorf - Pankow, Kirche - Pankow, Rathaus - Bhf. Wollankstrasse - Prinzenstrasse Ecke Badstrasse - Bhf. Gesundbrunnen - Rügenerstrasse Ecke Brunnenstrasse",15,,,strassenbahn,both/unkown,1951
25,"Tegel, Alt-Tegel - Bernauerstrasse (Gaswerke) - Sportplatz (Reinickendorf-West) - Berlinerstrasse Ecke Scharnweberstrasse - Londonerstrasse (Rehberge) - Seestrasse Ecke Müllerstrasse - Müllerstrasse Ecke Schulstrasse - Weddingplatz - Stromstrasse Ecke Turmstrasse - Waldstrasse/Gotzkowskystrasse - Knie - Bhf. Zoo - U-Bhf. Wittenbergplatz - Grunewaldstrasse Ecke Martin-Luther-Strasse - Rudolf-Wilde-Platz (Schöneberger Rathaus) - Hauptstrasse Ecke Dominicusstrasse - Kaiser-Wilhelm-Platz - Schöneberg, Gotenstrasse",15,,,strassenbahn,both/unkown,1951
