line_name,type,east-west,Stops,Frequency_7-30,Length (time),direction,Length (km),year
A 8,Autobus,east,"Waldesruh, Malhlsdorfer Allee - Fichtestrasse Ecke Schopenhauerstrasse - Hultschiner Damm - Sadowastrasse - Chemnitzer Ecke Ulmenstrasse - Alt-Biesdorf, Oberfeldstrasse - Alt-Friedrichsfelde, Am Tierpark - U-Bhf. Friedrichsfelde",10,33,,13.2,1964
A 8E,Autobus,east,"Sadowastrasse - Chemnitzer Ecke Ulmenstrasse - Alt-Biesdorf, Oberfeldstrasse - Alt-Friedrichsfelde, Am Tierpark - U-Bhf. Friedrichsfelde",10,21,,8.3,1964
A 9,Autobus,east,Kurische Strasse - Dimitroffstrasse - Königstor - S-Bhf. Alexanderplatz - Marx-Engels-Platz - Friedrichstrasse - Bhf. Friedrichstrasse - Oranienburger Tor - Platz vor dem Neuen Tor - Scharnhorststrasse Ecke Kieler Strasse,7,27,,7.3,1964
A D,Autobus,east,"Diepensee - Kienberg - Waltersdorf - Bohnsdorf, Waldstrasse - S-Bhf. Grünau",10,24,,10.6,1964
A S,Autobus,east,"Zühlsdorf - Summt, Seegarten - Triftweg, LPG - Mühlenbeck, Schule - Mönchmühle - Schildow, Kirche",50,25,,12.4,1964
A 38,Autobus,east,"Bonsdorf, Waldstrasse - Eichbuschplatz - Joachimstrasse - S-Bhf. Grünau",150,13,,6.7,1964
A L,Autobus,east,"Neu-Lindenberg - Lindenberg - Malchow, Dorfstrasse",32,15,,5.9,1964
A Z,Autobus,east,"Groß Ziethen - Klein Ziethen - Waßmannsdorf, Warteh. - Schönefeld, Kirche - Bhf. Schönefeld",20,24,,17.2,1964
A 82P,Autobus,east,Kinderheim - Friedrich-Junge-Strasse - Markgrafendamm,20,5,,1.2,1964
O 30,Omnibus,east,"Kosterstrasse - Andreasstrasse - Küstriner Platz - Warschauer Strasse - Boxhagenerstrasse Ecke Holteistrasse - S-Bhf. Rummelsburg - Weitlingstrasse - Bhf. Lichtenberg - Obus-Bf. Siegfriedstrasse - Roederplatz - Proskauer Ecke Dolziger Strasse - Ebertystrasse Ecke Leninallee - Greifswalderstrasse Ecke Dimitroffstrasse - Königstor - Alexanderplatz, Neue Königstrasse - Klosterstrasse",15,67,,18.9,1964
O 37,Omnibus,east,"Marzahner Chaussee - Alt-Marzahn, Kirche - Elisabethstrasse - S-Bhf. Biesdorf - Alt-Biesdorf, Oberfeldstrasse -  Alt-Friedrichsfelde, Am Tierpark - Bhf. Lichtenberg",15,26,,16.2,1964
O 40,Omnibus,east,Ostbahnhof - Küstriner Platz - Stalinallee - Leninplatz - Königstor - Prenzlauer Tor - Rosenthaler Platz - Oranienburger Tor - Robert-Koch-Platz,10,23,,6.3,1964
KBS 101,s-bahn,east,Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Nöldnerplatz - Lichtenberg - Friedrichsfelde Ost - Biesdorf - Kaulsdorf - Mahlsdorf - Hoppegarten (Mark) - Neuenhagen (b Bln) - Fredersdorf (b Bln) - Giebelsee - Strausberg,,,,,1964
KBS 101c,s-bahn,east,Strausberg - Strausberg Stadt - Strausberg Nord,,,,,1964
KBS 102,s-bahn,east,Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Rummelsburg - Betriebsbahnhof Rummelsburg - Karlshorst - Wuhlheide - Köpenick - Hirschgarten - Friedrichshagen - Rahnsdorf - Wilhelmshagen - Erkner,,,,,1964
KBS 103,s-bahn,east,Falkensee - Albrechtshof,,,,,1964
KBS 103,s-bahn,east,Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - Schöneweide - Betriebsbahnhof Schöneweide - Adlershof - Grünau - Eichwalde - Zeuthen - Wildau - Königs Wusterhausen,,,,,1964
KBS 103a,s-bahn,east,Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - Schöneweide - Betriebsbahnhof Schöneweide - Adlershof - Altglienicke - Grünbergallee - Zentralflughafen Berlin-Schönefeld,,,,,1964
KBS 104,s-bahn,east,Oranienburg - Lehnitz - Borgsdorf - Birkenwerder - Hohen Neuendorf (b Bln) - Bergfelde (b Bln) - Schönfließ - Blankenburg - Pankow-Heinersdorf - Pankow - Schönhauser Allee - Prenzlauer Allee - Greifswalder Str. - Leninallee - Zentralviehhof - Frankfurter Allee - Ostkreuz - Warschauer Str. - Ostbahnhof - Jannowitzbrücke - Alexanderplatz,,,,7.7,1964
KBS 104d,s-bahn,east,Hennigsdorf (b Bln) - Hennigsdorf Nord - Hohenschöpping - Velten (Mark),,,,11.8,1964
KBS 106,s-bahn,east,Bernau (b Bln) - Zepernick (b Bernau) - Röntgental - Buch - Karow - Blankenburg - Pankow-Heinersdorf - Pankow - Schönhauser Allee - Prenzlauer Allee - Greifswalder Str. - Leninallee - Zentralviehhof - Frankfurter Allee - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - Schöneweide - Oberspree - Spindlersfeld,,,,6.3,1964
KBS 106a,s-bahn,east,Schönhauser Allee - Prenzlauer Allee - Greifswalder Str. - Leninallee - Zentralviehhof - Frankfurter Allee - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - Schöneweide - Betriebsbahnhof Schöneweide - Adlershof - Altglienicke - Grünbergallee - Zentralflughafen Berlin-Schönefeld,,,,5.4,1964
1,strassenbahn,east,"Ostbahnhof - U-Bhf. Strausberger Platz - Leninplatz - Alexanderplatz, Memhardstr. - Rosenthaler Platz - Invalidenstrasse Ecke Chausseestrasse - Oranienburger Tor - Hannoversche Strasse",20,28,,9.9,1964
3,strassenbahn,east,S-Bhf. Warschauer Strasse - Kopernikusstrasse - Holteistrasse Ecke Boxhagenerstrasse - Bhf. Frankfurter Allee - Roederplatz - Hohenschönhauser Strasse - Omnibus-Bhf. Lichtenberger Strasse - Klement-Gottwald-Allee - Antonplatz - Prenzlauer Promenade - Schönhauser Allee - Björnsonstrasse,12,45,,11.7,1964
4,strassenbahn,east,S-Bhf. Warschauer Strasse - Grünberger Strasse - Frankfurter Tor - Bersarinplatz - Leninallee - Kniprodestrasse - Greifswalder Strasse - Prenzlauer Allee - U-Bhf. Dimitroffstrasse - Eberswalderstrasse Ecke Oderberger Strasse,12,26,,8.3,1964
11,strassenbahn,east,"Heinrich-Heine-Strasse - S-Bhf. Jannowitzbrücke - Alexanderplatz, Memhardstrasse - Rosenthaler Platz - Brunnenstrasse Ecke Invalidenstrasse - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",20,27,,11.8,1964
