line_name,Stops,Frequency,Length (time),type,east-west,year
3,Revalerstrasse - Warschauer Strasse - Holteistrasse Ecke Boxhagenerstrasse - Bhf. Frankfurter Allee - Roederplatz - Hohenschönhauser Strasse - Lichtenberger Strasse - Antonplatz - Prenzlauer Promenade - Schönhauser Allee - Björnsonstrasse,15,42,strassenbahn,Ost,1967
4,Markusstrasse - Ostbahnhof - Mühlenstrasse - Revalerstrasse - Grünberger Strasse - Frankfurter Tor - Bersarinplatz - Leninallee - Kniprodestrasse - Greifswalder Strasse - Prenzlauer Allee - U-Bhf. Dimitroffstrasse - Eberswalderstrasse Ecke Oderberger Strasse,8,36,strassenbahn,Ost,1967
13,Hönower Wiesenweg Ecke Blockdammweg - Kraftwerk Klingenberg - S-Bhf. Rummelsburg - Holteistrasse Ecke Boxhagenerstrasse - Frankfurter Tor - Bersarinplatz - Leninallee - Kniprodestrasse - Greifswalder Strasse - Prenzlauer Allee - U-Bhf. Dimitroffstrasse - Oderberger Strasse Ecke Eberswalderstrasse,8,42,strassenbahn,Ost,1967
22,"Rosenthal, Hauptstrasse - Nordendstrasse - Kurt-Fischer-Platz - Pankow, Rathaus - Pankow, Kirche - U-Bhf. Vinetastrasse - Bornholmerstrasse Ecke Schönhauser Allee - S-Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse",12,29,strassenbahn,Ost,1967
46,"Nordend - Ossietzkyplatz - Kurt-Fischer-Platz - Pankow, Kirche - U-Bhf. Vinetastrasse - Bornholmerstrasse Ecke Schönhauser Allee - S-Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Brunnenstrasse - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",10,44,strassenbahn,Ost,1967
49,"Buchholz, Hauptstrasse - Industriebahn - Galenusstrasse - S-Bhf. Pankow-Heinersdorf - Klaustalerstrasse Ecke Damerowstrasse - Pankow, Kirche - S-Bhf. Vinetastrasse - Bornholmer Strasse - S-Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Rosenthaler Platz - Hackescher Markt",11,39,strassenbahn,Ost,1967
63,"Hohenschönhausen, Gartenstadt - Falkenbergerstrasse Ecke Wartenberger Strasse - Degnerstrasse - Weißenseer Weg - Steuerhaus - S-Bhf. Leninallee - Dimitroffstrasse Ecke Landsberger Allee - Leninplatz - Hans-Beimler-Strasse - U-Bhf. Luxemburgplatz - Hackescher Markt - Friedrichstrasse Ecke Oranienburgerstrasse - Invalidenstrasse Ecke Chausseestrasse - Walter-Ulbricht-Stadion, Pflugstrasse",20,49,strassenbahn,Ost,1967
64,"Hohenschönhausen, Falkenberger Strasse - Degnerstrasse - Weißenseer Weg - Steuerhaus - S-Bhf. Leninallee - Dimitroffstrasse Ecke Landsberger Allee - Leninplatz - U-Bhf. Strausberger Platz - Am Ostbahnhof - S-Bhf. Jannowitzbrücke - U-Bhf. Märkisches Museum - Spittelmarkt - Dönhoffplatz",20,41,strassenbahn,Ost,1967
70,"Hohenschönhausen, Falkenberger Strasse - Berliner Strasse Ecke Suermondtstrasse - Stadion Buschallee - Kniprodeallee - Buschallee Ecke Klement-Gottwald-Allee - Lichtenberger Strasse - Antonplatz - Prenzlauer Promenade - Humannplatz - U-Bhf. Dimitroffstrasse - Brunnenstrasse - Chausseestrasse - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",10,49,strassenbahn,Ost,1967
71,"Romain-Rolland-Strasse - Heinersdorf, Kirche - Prenzlauer Promenade - S-Bhf. Prenzlauer Allee - Prenzlauer Allee - Prenzlauer Tor - U-Bhf. Luxemburgplatz - Hackescher Markt - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",10,40,strassenbahn,Ost,1967
72,"Weißensee, Pasedagplatz - Buschallee - Lichtenberger Strasse - Antonplatz - Prenzlauer Promenade - S-Bhf. Prenzlauer Allee - Prenzlauer Allee - Prenzlauer Tor - U-Bhf. Luxemburgplatz - Hackescher Markt",10,34,strassenbahn,Ost,1967
73,"Weißensee, Bernkastelerstrasse - Buschallee - Antonplatz - S-Bhf. Greifswalderstrasse - Greifswalderstrasse Ecke Dimitroffstrasse - Königstor - Prenzlauer Tor -  U-Bhf. Luxemburgplatz - Hackescher Markt - Friedrichstrasse - Invalidenstrasse Ecke Chausseestrasse - Walter-Ulbricht-Stadion über Greifswalderstrasse",12,38,strassenbahn,Ost,1967
74,"Wießensee, Pasedagplatz - Buschallee - Antonplatz - S-Bhf. Greifswalder Strasse - Greifswalderstrasse Ecke Dimitroffstrasse - Königstor - Mollstrasse Ecke Hans-Beimler-Strasse - Leninplatz - U-Bhf. Strausberger Platz - Am Ostbahnhof - S-Bhf. Jannowitzbrücke - U-Bhf. Märkisches Museum - Spittelmarkt - Dönhoffplatz - Friedrichstrasse Ecke Leipzigerstrasse - Leipziger Strasse Ecke Otto-Grotewohl-Strasse",8,47,strassenbahn,Ost,1967
82,"Mahlsdorf-Süd, Hubertus - Uhlenhorst - S-Bhf. Köpenick - Hegelschule - Pionierpark - Rathenaustrasse - Wilhelminenhofstrasse Ecke Edisonstrasse - Heinrich-Duncker-Strasse Ecke Ehrlichstrasse - Hönower Wiesenweg - Kraftwerk Klingenberg - Karlshorsterstrasse - S-Bhf. Ostkreuz - Stralauer Allee Ecke Markgrafendamm - Warschauer Strasse - Ostbahnhof - U-Bhf. Strausburger Platz - Leninplatz - Hans-Beimler-Strasse - U-Bhf. Luxemburgplatz - Rosenthaler Platz - Veteranenstrasse Ecke Invalidenstrasse - Chausseestrasse - Walter-Ulbricht-Stadion",20,89,strassenbahn,Ost,1967
82P,Kinderheim - Friedrich-Junge-Strasse - Markgrafendamm,20,5,bus,Ost,1967
83,Wendenschloß Ecke Ekhofstrasse - VEB Schiffswerft - RFT-Werk - Strab. Bhf. Köpenick - Lindenstrasse Ecke Bahnhofstrasse - S-Bhf. Köpenick - Uhlenhorst - Mahlsdorf-Süd - Bürgerwäldchen - Rahnsdorfer Strasse - S-Bhf. Mahlsdorf,20,49,strassenbahn,Ost,1967
83E,S-Bhf. Köpenick - Lindenstrasse Ecke Bahnhofstrasse - Strab. Bhf. Köpenick - RFT-Werk - VEB Schiffswerft - Wendenschloß,0,21,strassenbahn,Ost,1967
84,"Am Falkenberg - Altglienicke, Kirche - Benzolwerk - S-Bhf. Adlershof - S-Bhf. Spindlersfeld - Schloßplatz Köpenick - Bahnhofstrasse Ecke Lindenstrasse - Seelenbinderstrasse Ecke Bahnhofstrasse - Hirschgarten - S-Bhf. Friedrichshagen - Bölschestrasse, Brauerei - Friedrichshagen, Wasserwerk",10,57,strassenbahn,Ost,1967
85,"Wendenschloß - VEB Schiffswerft - RFT-Werk - Strab. Bhf. Köpenick - Lindenstrasse Ecke Hegelschule - Pionierpark - Edisonstrasse - Brückenstrasse - Bhf. Schöneweide - Johannisthal, Haeckelstrasse",20,42,strassenbahn,Ost,1967
86,"Alt-Schmöckwitz - Waldidyll - Karolinenhof Mitte - Richtershorn - S-Bhf. Grünau - Chemische Fabrik - Jachtwerft - Schloßplatz Köpenick - Lindenstrasse Ecke Bahnhofstrasse - S-Bhf. Köpenick - Uhlenhorst - Mahlsdorf-Süd, Hubertus",20,51,strassenbahn,Ost,1967
87,"Rahnsdorf - Wasserwerk - S-Bhf. Friedrichshagen - Bölschestrasse, Brauerei -  Hirschgarten - Seelenbinderstrasse Ecke Bahnhofstrasse - Bahnhofstrasse Ecke Lindenstrasse - Pionierpark - Rathenaustrasse - Wilhelminenhofstrasse Ecke Edisonstrasse - Bhf. Schöneweide - Köpenicker Landstrasse Ecke Baumschulenstrasse - S-Bhf. Plänterwald - Am Treptower Park Ecke Elsenstrasse - Wiener Brücke",20,70,strassenbahn,Ost,1967
92,"Oberspree, Bruno-Bürgel-Weg - Britzerstrasse Ecke Schnellerstrasse - Bhf. Schöneweide - Baumschulenstrasse Ecke Köpenicker Landstrasse - S-Bhf. Baumschulenweg - Sonnenallee Ecke Baumschulenstrasse",15,18,strassenbahn,Ost,1967
95,Krankenhaus Köpenick - Müggelheimer Strasse/Wendenschloßstraße - Lindenstrasse Ecke Hegelschule - Pionierpark - Rathenaustrasse - Edisonstrasse - Bhf. Schöneweide - Baumschulenstrasse Ecke Köpenicker Landstrasse - S-Bhf. Plänterwald - Elsenstrasse Ecke Am Treptower Park - Wiener Brücke,20,48,strassenbahn,Ost,1967
A1,"Moabit, Waldstrasse Ecke Turmstrasse - Otto-Suhr-Allee Ecke Cauer Strasse - Kurfürstendamm Ecke Konstanzer Strasse - U-Bhf. Fehrbelliner Platz - Detmolder Strasse Ecke Blissestrasse - Breitenbachplatz - Botanischer Garten - Pacelli/Theilallee - Clayallee Ecke Königin-Luise-Strasse - U-Bhf. Oskar-Helene-Heim - Potsdamer Strasse Ecke Clayallee - Rathaus Zehlendorf - Beeskowdamm Ecke Goerz Allee - Wismarer Strasse Ecke Lindenstrasse - Lindenstrasse Ecke Müllerstrasse",15,58,bus,West,1967
A2,"Hardenbergplatz - Spichernstrasse Ecke Joachimstaler Strasse - Berliner Strasse Ecke Bundesallee - Bundesplatz - Friedrich-Wilhelm-Platz - Schloßstrasse Ecke Feuerbachstrasse - Alsenstrasse Ecke Feuerbachstrasse - Bergstrasse Ecke Bismarckstrasse - Steglitzer Damm Ecke Halske Strasse - Leonorenstrasse Ecke Albrechstrasse - Lankwitz, Kirche - Havensteinstrasse Ecke Gallwitzstrasse - Lerbacher Weg Ecke Tautenbergstrasse - Trippsteinstrasse - Sonderhauserstrasse Ecke Hildburghauserstrasse",10,39,bus,West,1967
