line_name,type,east-west,Stops,Frequency,Length (time),Length (km),year,Route
15,strassenbahn,Ost,Bhf. Lichtenberg - Straßenbahn-Betriebshof - Herzbergstrasse - Ho-Chi-Minh-Strasse - Franz-Jacob-Strasse - S-Bhf. Leninallee - Dimitroffstrasse - Leninplatz - Hans-Beimlerstrasse - Prenzlauer Allee - U-Bhf. Rosa-Luxemburg-Platz - Hackescher Markt,20,37,,1980,
16,bus,West,Reinickendorf Klemkestrasse/Sommerstrasse - Reginhardstrasse - Pankower Allee - Residenzstrasse - U-Bhf. Osloerstrasse - Luise-Schröder-Platz - U-Bhf. Seestrasse - Amrumerstrasse - U-Bhf. Amrumerstrasse - Fennstrasse - Turmstrasse - Alt-Moabit - U-Bhf. Hansaplatz - Großer Stern - Lützowplatz - U-Bhf. Nollendorfplatz - Martin-Luther-Strasse - John-F.-Kennedy-Platz - U-Bhf. Innsbrucker Platz - U-Bhf. Bundesplatz - Wiesbadenerstrasse - Breitenbachplatz,15,63,,1980,
17,bus,West,Grunewald Fontanestrasse - Hagenplatz - Teplitzerstrasse - Roseneck - Berkaerstrasse - U-Bhf. Rüdesheimer Platz - Laubacherstrasse/Südwestkorso - U-Bhf. Friedrich-Wilhelm-Platz - Kaisereiche/Schmiljanstrasse - U-Bhf. Walther-Schreiber-Platz - U-Bhf. Schloßstrasse - Kielerstrasse - U-Bhf. Rathaus Steglitz - Klingsorstrasse - Bismarckstrasse - Halskestrasse - Albrechtstrasse - Leonorenstrasse - Birkbuschstrasse - Königsbergerstrasse - Marienstrasse/Königswarter Krankenhaus - Jungfernstieg - Kranoldplatz - Oberhofer Platz - Lichterfelde Celsiusstrasse,12,56,,1980,
17,strassenbahn,Ost,"Besarinstrasse - S-Bhf. Leninallee - Franz-Jacob-Strasse - Herzbergstrasse - Siegfriedstrasse - Allee der Kosmonauten - S-Bhf. Friedrichsfelde Ost - U-Bhf. Tierpark - Hochschule für Ökonomie - Bhf. Karlshorst - Wilhelminenhofstrasse - Bhf. Schöneweide - Johannisthal, Haeckelstrasse",12,56,,1980,
18,bus,West,"U-Bhf. Oskar-Helene-Heim - Krankenhaus Oskar-Helene-Heim - Sophie-Charlotte-Strasse - Schützallee - Scharfestrasse - Potsdamerstrasse - Fischerhüttenstrasse - Lindenthaler Allee - Spanische Allee - Von-Luck-Strasse/Waldfriedhof - Isoldestrasse - Nibelungenstrasse - Kronprinzessinenweg - Am Großen Wannsee - Endestrasse - Pfaueninselchaussee - Rathaus Wannsee - Charlottenstrasse  - Wilhelmplatz, Stölpchensee - Kohlhasenbrück - Königsweg - Bernhard-Beyer-Strasse - Steinstücken",20,33,,1980,
18,strassenbahn,Ost,"Biesdorf, Karl-Maron-Strasse - Boschpolerstrasse - S-Bhf. Springpfuhl - Rhinstrasse - Siegfriedstrasse - Ho-Chi-Minh-Strasse - Franz-Jacob-Strasse - S-Bhf. Leninallee - Dimitroffstrasse - Leninplatz - Hans-Beimler-Strasse - U-Bhf. Rosa-Luxemburg-Platz - Veteranenstrasse - Chausseestrasse - Stadion der Weltjugend",20,49,,1980,
19,bus,West,Grunewald Roseneck - Teplitzerstrasse - Richard-Strauß-Strasse - Koenigsallee/Hagenplatz - Kurfürstendamm/Rathenauplatz - Henriettenplatz - Joachim-Friedrich-Strasse - Lehniner Platz - U-Bhf. Adenauerplatz - Olivaer Platz/Leibnizstrasse - Bleibtreustrasse - U-Bhf. Uhlandstrasse - U-Bhf. Kurfürstendamm - Breitscheidplatz - Marburgerstrasse - U-Bhf. Wittenbergplatz - Martin-Luther-Strasse - U-Bhf. Nollendorfplatz - Potsdamerstrasse - Goebenstrasse - U-Bhf.  Yorckstrasse - Großbeerenstrasse - U-Bhf. Mehringdamm - U-Bhf. Platz der Luftbrücke - Platz der Luftbrücke,10,44,,1980,
19,strassenbahn,Ost,"Köpenick, Krankenhaus - Wendenschloßstrasse - Freiheit - Institut für Lehrerbildung - Erich-Weinert-Klubhaus - Pionierpark - Rathenaustrasse - Edisonstrasse - Bhf. Karlshorst - Hochschule für Ökonomie - U-Bhf. Tierpark - S-Bhf. Friedrichsfelde Ost - Allee der Kosmonauten - Siegfriedstrasse - Ho-Chi-Minh-Strasse - Franz-Jacob-Strasse - S-Bhf. Leninallee - Dimitroffstrasse - Artur-Becker-Strasse",20,73,,1980,
2,bus,West,"U-Bhf. Friedrich-Wilhelm-Platz - Stubenrauchstrasse - U-Bhf. Walther-Schreiber-Platz - Alsen-/Fregestrasse - Bismarckstrasse - Lauenburger Platz - Bergstrasse - Selerweg - Steglitzer Damm - Munsterdamm - Albrechtstrasse - Leonorenstrasse - Rathaus Lankwitz - Lankwitz, Kirche - Hildburghauserstrasse - Waldsassenerstrasse - Marienfelde, Waldsassenerstrasse",7.5,36,,1980,
20,bus,West,Tegelort - Falkenplatz - Heiligenseestrasse/Gabelung - Schulzendorfer Weg - Karolinenstrasse - Gabrielenstrasse -  Alt-Tegel/U-Bhf.  Tegel - Gorkistrasse - Ziekowstrasse - Freie Scholle - Dianaplatz - Oraniendamm - Zabel-Krüger-Damm - Am Vierrutenberg - Lübars Alt-Lübars,15,41,,1980,
