line_name,type,east-west,Stops,Frequency,Length (time),Length (km),year,Route
41,bus,West,Rudow Stadtgrenze - U-Bhf. Rudow - Zwickauer Damm - Arnikaweg - Lipschitzallee - Grüner Weg - Parchimer Allee - Blaschkoallee - U-Bhf. Grenzallee - Naumburgerstrasse - Sonnenallee - Saalestrasse - Wildenbruchstrasse - Pannierstrasse - Hermannplatz - U-Bhf. Kottbusser Damm - U-Bhf. Kottbusser Tor - Oranienplatz - U-Bhf. Moritzplatz - Alexandrinenstrasse - Alte Jakobstrasse - Lindenstrasse - Neuenburgerstrasse - Gitschinerstrasse - U-Bhf. Hallesches Tor,12,58,,1980,
42,bus,Ost,"Buch, Zepernickerstrasse - Karowerstrasse - Stadtrandsiedlung - Alt-Karow - Straße 26 - Alt-Blankenburg - Heinersdorf, Kirche - Am Steinberg - Ostseestrasse",20,30,,1980,
43,bus,Ost,S-Bhf. Marzahn - Annenstrasse - Boschpolerstrasse - S-Bhf. Springpfuhl - S-Bhf. Friedrichsfelde Ost - U-Bhf. Friedrichsfelde - Weitlingstrasse - S-Bhf. Nöldnerplatz,10,28,,1980,
44,bus,Ost,"Hönow, Nord - Hönow, Dorf - Thälmannstrasse - Greifswalderstrasse - Am Rosenhag - S-Bhf. Mahlsdorf - Treskowstrasse",60,19,,1980,
45,bus,Ost,"Wilhelmsruh, Schillerstrasse - Edelweißstrasse - Ehrenmal Schönholz - Heinrich-Mann-Platz - Pankow, Rathaus - S-Bhf. Pankow - Prenzlauer Promenade - Am Steinberg - Hamburger Platz - Klement-Gottwald-Allee - Lichtenbergerstrasse - Bernkastelerstrasse - Gehringstrasse - Schwarzelfenweg",7,38,,1980,
46,strassenbahn,Ost,"Nordend - Kurt-Fischer-Strasse - Bürgerpark - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow - Schönhauser Allee - U-Bhf. Dimitroffstrasse - Brunnenstrasse - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",15,48,,1980,
47,bus,Ost,"Treptow, Eichenstrasse - S-Bhf. Treptower Park - Treptow, Rathaus - S-Bhf. Baumschulenweg - Sonnenallee - Johannisthaler Chaussee - Sterndamm - Bhf. Schöneweide",15,30,,1980,
48,bus,Ost,"Hohenschönhausen, Chemie-Handel - Plauenerstrasse - Leninallee - Genslerstrasse - Ho-Chi-Minh-Strasse - S-Bhf. Leninallee - Dimitroffstrasse - Richard-Sorge-Strasse",10,27,,1980,
48,bus,West,Zehlendorf Fischerhüttenstrasse  Ecke Potsdamerstrasse - Potsdamerstrasse - Teltower Damm - Berlinerstrasse - Seehofstrasse - Sundgauerstrasse - Dahlemer Weg - Drakestrasse - Wrangelstrasse - U-Bhf. Rathaus Steglitz - U-Bhf. Schloßstrasse - U-Bhf. Walther-Schreiber-Platz - Kaisereiche - Breslauer Platz/Rathaus Friedenau - U-Bhf. Innsbrucker Platz - Dominicusstrasse - Albertstrasse - Kaiser-Wilhelm-Platz - U-Bhf. Kleistpark - Goebenstrasse - Bülowstrasse - U-Bhf. Kurfürstenstrasse - Lützowstrasse - Potsdamer Brücke - Tiergartenstrasse Philharmonie,12,46,,1980,
49,strassenbahn,Ost,"Bucholz, Hauptstrasse - Rosenthalerstrasse - S-Bhf. Pankow-Heinersdorf - Klausthalerstrasse - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow - Bhf. Schönhauser Allee - U-Bhf. Dimitroffstrasse - Rosenthaler Platz - Hackescher Markt",10,40,,1980,
5,bus,West,"U-Bhf. Ruhleben - Krematorium Ruhleben - Güterbahn Ruhleben - Teltowerstrasse - Tiefwerderweg - Grenadierstrasse - Stresowplatz - Spandau, Markt - Rathaus Spandau - Galenstrasse - Staakenerstrasse - Petzoldtweg - Zeppelinstrasse - Spekteweg - Merzigerstrasse - Falkenseer Chaussee - Westerwaldstrasse Ecke Friedhof - Frankenwaldstrasse - Am Kiesteich - Falkenseer Chaussee/Stadtrandstrasse - Waldkrankenhaus - Spandau, Nervenklinik",10,32,,1980,
50,bus,Ost,Rolandstrasse - Kurt-Fischer-Strasse - Bürgerpark - Dolomitenstrasse - U-Bhf. Pankow,7.5,15,,1980,
50,bus,West,Grunewald Roseneck - Hohenzollerndamm - Berkaerstrasse/ Elsterplatz - Forckenbeckstrasse - Landeckerstrasse - Cunostrasse - Rudolstädterstrasse - Berlinerstrasse - U-Bhf. Fehrbelliner Platz - Emser Platz - Uhlandstrasse - Nassauischestrasse - U-Bhf. Güntzelstrasse - Prager Platz - Landshuterstrasse - Münchenerstrasse - Martin-Luther-Strasse - Eisenacherstrasse - Winterfeldtplatz - Potsdamerstrasse - Mansteinstrasse - Schöneberg Mansteinstrasse,15,26,,1980,
51,bus,Ost,"Buch, Am Sandhaus - S-Bhf. Buch - Zepernickerstrasse -  Zepernick, Kirche",20,,,1980,
52,bus,Ost,Achtermannstrasse - Prenzlauer Chaussee - Kissingenstrasse - Stadtbezirksgericht - U-Bhf. Pankow,15,12,,1980,
52,bus,West,Rudow Stubenrauchstrasse - Seidelbastweg - Efeuweg - Rudowerstrasse - Lipschitzallee - Loewensteinring - Fritz-Erler-Allee - U-Bhf. Johannisthaler Ch. - Kölner Damm - Buckower Damm - Buckower Friedhof - Quarzweg - Lichtenrader Damm - Kettingerstrasse - Buckower Chaussee - Motzenerstrasse - Gutshof Marienfeld - Alt-Marienfelde - Ahrensdorferstrasse - Baußnernweg - Marienfelde Stadtrandsiedlung,12,38,,1980,
53,bus,Ost,"Hohenschönhausen, Degnerstrasse - Falkenbergerstrasse - Marzahnerstrasse - Chemie-Handel - Leninallee - Allee der Kosmonauten - Kröverstrasse - S-Bhf. Friedrichsfelde Ost - Straße der Befreiung - U-Bhf. Friedrichsfelde - Mellenseestrasse - U-Bhf. Tierpark",10,39,,1980,
53,bus,West,Nikolassee Alemannenstrasse - An der Rehwiese - Krottnaurerstrasse - Waldemarplatz - Argentinische Allee - Forststrasse - U-Bhf. Krumme Lanke - Sven-Hedin-Strasse - Hartmannsweiler Weg - Potsdamerstrasse - Teltower Damm - Rathaus Zehlendorf - Machnowerstrasse - Knesebeckstrasse - Dahlemer Weg - Osteweg - Luzernerstrasse - Thuner Platz - Goerzallee - Drakestrasse - Ostpreußendamm - Marienstrasse - Morgensternstrasse - Kranoldplatz - Lichterfelde Oberhofer Platz,15,40,,1980,
54,bus,Ost,Bhf. Lichtenberg - U-Bhf. Friedrichsfelde -  Alt-Biesdorf - S-Bhf. Biesdorf - Elisabethstrasse - Alt-Marzahn - Stadtberg - Annenstrasse - S-Bhf. Springpfuhl - Rhinstrasse - Leninallee - Genslerstrasse - Ho-Chi-Minh-Strasse - S-Bhf. Leninallee - Dimitroffstrasse - Artur-Becker-Strasse,20,60,,1980,
54,bus,West,"Spandau Johannesstift - Stadtpark/Cautiusstrasse - Hohenzollernring - Lynarstrasse - Wröhmännerpark - Moritzstrasse - Rathaus Spandau - Ruhlebenerstrasse - Teltowerstrasse - Krematorium Ruhleben - U-Bhf. Ruhleben - Reichsstrasse - Klinikum Westend - Königin-Elisabeth-Strasse - Spandauer-Damm-Brücke - Sophie-Charlotten-Strasse - Klausenerplatz - Luisenplatz - Wilmersdorferstrasse - U-Bhf. Richard-Wagner-Platz - Leibnizstrasse - U-Bhf. Ernst-Reuter-Platz - Jebensstrasse/Amerikahaus - Zoo, Hardenbergplatz",10,45,,1980,
55,bus,Ost,"Wilhelmsruh, Fontanestrasse - Edelweißstrasse - Ehrenmal Schönholz - Heinrich-Mann-Strasse - Bürgerpark - S-Bhf. Pankow - U-Bhf. Pankow - Prenzlauer Promenade - Heinersdorf, Kirche - Pasedagplatz - Klement-Gottwald-Allee - Piesporterstrasse",6,33,,1980,
55,bus,West,Jakob-Kaiser-Platz - Letterhausweg - U-Bhf. Siemensdamm - Quellweg - U-Bhf. Rohrdamm - Schaltwerk - Paulsternstrasse - Gartenfelderstrasse - Haselhorster Damm - Siedlung Haselhorst - Am Juliusturm - Zitadellenweg - BMW-Maschinenfabrik - Zur Zitadelle - Carl-Schurz-Strasse - Wröhmännerpark - Triftstrasse - Park-/Lynarstrasse - Schäferstrasse - Hohenzollernring - Reußstrasse - Rauchstrasse - Mertensstrasse - Werderstrasse - Spandau Hakenfelde,15,33,,1980,
56,bus,Ost,Gehringstrasse - Wigandstalerstrasse - Hamburger Platz - Prenzlauer Promenade - Grellstrasse - Greifswalderstrasse - Storkowerstrasse - Leninallee - S-Bhf. Storkowerstrasse,6,28,,1980,
56,bus,West,"U-Bhf. Ruhleben - Krematorium Ruhleben - Klärwerkstrasse - Freiheit 42/43 - Pichelswerderstrasse - Stresowplatz - Charlottenstrasse - Spandau, Markt - Carl-Schurz-Strasse -  Wröhmännerpark - Triftstrasse - Lynar-/Parkstrasse - Schäferstrasse - Hohenzollernring - Reußstrasse - Rauchstrasse - Mertensstrasse - Spandau Hakenfelde",15,23,,1980,
57,bus,Ost,Artur-Becker-Strasse Ecke Michelangelostrasse - Storkowerstrasse - Dimitroffstrasse - Am Friedrichshain - Karl-Liebknecht-Strasse - Bhf. Alexanderplatz - Deutsche Staatsoper - Charlottenstrasse - Bhf. Friedrichstrasse - Oranienburgerstrasse - Oranienburger Tor - Invalidenstrasse - Platz vor dem Neuen Tor - Orthopädische Klinik - Scharnhorststrasse,3,31,,1980,
57,bus,West,Rudower Ring (U-Bhf. Zwickauer Damm) - Zittauerstrasse - U-Bhf. Zwickauer Damm - Neuköllnerstrasse - Seidelbastweg/Stubenrauchstrasse - Köpenickerstrasse - Alt-Rudow - U-Bhf. Rudow - Lockenhuhnweg - Geflügelsteig - Rhodeländerweg - Groß-Ziethener-Ch. - U-Bhf. Rudow - Alt-Rudow - Köpenickerstrasse - Seidelbastweg/Stubenrauchstrasse - Neuköllnerstrasse - U-Bhf. Zwickauer Damm - Zittauerstrasse - Rudower Ring (U-Bhf. Zwickauer Damm),20,41,,1980,
6,bus,West,"Wannsee, Kronprinzessinnenweg - Königstrasse - Pfaueninselchaussee - Rathaus Wannsee - Friedenstrasse - Schäferberg - Nikolskoer Weg - Glienicker Brücke",30,14,,1980,
60,bus,Ost,"S-Bhf. Kaulsdorf, Bausdorfstrasse - Briesener Weg - Wernerbad - Grottkauerstrasse - Uckermarkstrasse - S-Bhf. Kaulsdorf, Bausdorfstrasse",20,14,,1980,Rundverkehr
60,bus,West,Wittenbergplatz - Breitscheidplatz - Kantstrasse - Uhlandstrasse - Kürfürstendamm/U-Bhf. Uhlandstrasse - Lietzenburgerstrasse - Ludwigkirchstrasse - U-Bhf. Hohenzollernplatz - Güntzelstrasse - U-Bhf.  Blissestrasse - Blissestrasse - U-Bhf. Heidelberger Platz - Bingerstrasse - Sodenerstrasse - Kirchstrasse - Berkaerstrasse - Rathaus Schmargendorf - Elsterplatz - Roseneck - Königen-Luise-Strasse - Hüttenweg - U-Bhf. Oskar-Helene-Heim - Krankenhaus Oskar-Helene-Heim - Berlinerstrasse - Rathaus Zehlendorf,15,47,,1980,
61,bus,Ost,"Schöneiche, Dorfaue - Dr. Wilhelm-Külz-Strasse - S-Bhf. Rahnsdorf - Waldschänke - Zentralschule - S-Bhf. Wilhelmshagen - Fahlenbergstrasse - Hessenwinkel",20,31,,1980,
61,bus,West,Bernauerstrasse Ecke Wollinerstrasse - Lortzingstrasse - Ramlerstrasse - U-Bhf. Gesundbrunnen - U-Bhf. Pankstrasse - Exerzierstrasse - Schulstrasse - U-Bhf. Osloerstrasse - Koloniestrasse - Prinzenallee - Soldinerstrasse - Kühnemannstrasse - Pankower Allee - Reginhardstrasse - Residenzstrasse - Emmentalerstrasse - Lindauer Allee - Flottenstrasse - Paracelsus-Bad - Gemeindefriedhof - Ollenhauerstrasse - Kurt-Schumacher-Platz - Uranusweg - U-Bhf. Scharnweberstrasse ,15,46,,1980,
62,bus,Ost,"VEB Kombinat Auto Trans - Bhf. Schöneweide - Hoevelstrasse - Springbornstrassestrasse",7.5,13,,1980,
62,bus,West,"Wilhelmsruher Damm Märkisches Viertel - Treuenbrietzenerstrasse - Gemeindezentrum - Oranienburgerstrasse - Roedernallee - Alt-Wittenau - Karl-Bonhoeffer-Nervenklinik - Lindauer Allee - Auguste-Viktoria-Allee - U-Bhf. Kurt-Schumacher-Platz - Kaserne Napoleon - Kaserne Südtor - Saatwinkler Damm - U-Bhf. Jakob-Kaiser-Platz - Jakob-Kaiser-Platz - Olbersstrasse/DRK-Krankenhaus - Landgericht - Schloßbrücke - Luisenplatz - Wilmersdorferstrasse - U-Bhf. Richard-Wagner-Platz - Leibnizstrasse - U-Bhf. Ernst-Reuter-Platz - Steinplatz - Zoo, Hardenbergplatz",12,43,,1980,
63,bus,West,Spandau Waldkrankenhaus - Pflegeheim - Kolonie Waldfrieden - Bötzow-Bahn - Gliensteig - Schwanter Weg - Kisselnallee - Pionierstrasse - Falkenseer Chaussee - Zweibrückerstrasse - Askanierring - Flankenschanze - Falkenseer Damm - Falkenseer Platz - Rathaus Spandau - Galenstrasse - Staakenerstrasse - Petzoldweg - Zeppelinstrasse - Schulzenstrasse - Viersenerstrasse - Dyrotzerstrasse - Straße 393 - Spandau Seegefelder Weg,15,30,,1980,
63,strassenbahn,Ost,"Hohenschönhausen, Gartenstadt - Wartenbergerstrasse - Suermondtstrasse - Oberseestrasse - Ho-Chi-Minh-Strasse - S-Bhf. Leninallee - Dimitroffstrasse - Leninplatz - Hans-Beimler-Strasse - Prenzlauer Allee - U-Bhf. Rosa-Luxemburg-Platz - Hackescher Markt - Oranienburger Tor - Stadion der Weltjugend",12,52,,1980,
64,bus,Ost,"Krüllsstrasse - S-Bhf. Treptower Park - Treptow, Rathaus - S-Bhf. Treptower Park - Karl-Kunger-Strasse",15,18,,1980,
64,bus,West,Senftenberger Ring Märkisches Zentrum - Calauerstrasse - Eichhorster Weg - Wilhelmsruher Damm - Dannenwalder Weg - Roedernallee - Tessenowstrasse - Flottenstrasse - Lindauer Allee - Humboldt-Krankenhaus - Gotthardstrasse - Holländerstrasse/Friedhöfe - Londonerstrasse - U-Bhf. Afrikanischestrasse - Nachtigalplatz - Transvaalstrasse - Seestrasse - U-Bhf. Amrumerstrasse - U-Bhf. Leopoldplatz,15,33,,1980,
65,bus,Ost,Krüllsstrasse - S-Bhf. Treptower Park - S-Bhf. Plänterwald - Baumschulenstrasse - Bhf. Schöneweide - S-Bhf. Oberspree - Oberspree,20,26,,1980,
65,bus,West,Wedding Seestrasse Ecke Müllerstrasse - Müllerstrasse/U-Bhf. Seestrasse - Afrikanischestrasse - Beusselstrasse - Paul-Hertz-Siedlung - Jakob-Kaiser-Platz - Spandauer Damm - ICC/Omnibusbahnhof - Rathenauplatz - Hohenzollerndamm - Mecklenburgischestrasse - Bundesallee - Innsbrucker Platz - Dominicusstrasse - Sportzentrum Schöneberg - Gotenstrasse - Alboinstrasse - Berlinickeplatz - U-Bhf. Alt-Tempelhof - Hermannstrasse - Bendastrasse - U-Bhf. Neukölln - Sonnenallee - Grenzallee - Neukölln Schulenburgpark,10,58,,1980,
66,bus,Ost,Krüllsstrasse - S-Bhf. Treptower Park - S-Bhf. Plänterwald - Baumschulenstrasse - Bhf. Schöneweide - Sterndamm - Lindhorstweg - Springbornstrasse ,20,27,,1980,
67,bus,Ost,S-Bhf. Treptower Park - S-Bhf. Plänterwald - Hänselstrasse - Krematorium - Bhf. Schöneweide - VEB Kombinat Auto Trans,20,26,,1980,
68,bus,Ost,Kaulsdorferstrasse - S-Bhf. Köpenick - Lindenstrasse - Schloßplatz - Pablo-Neruda-Strasse - Anemonenstrasse - Wendenschloßstrasse,10,15,,1980,
69,bus,West,Eichkamp Dauerwaldweg - Waldschulallee - Jafféstrasse/Deutschlandhalle - ICC/Ausstellungshallen - Rathenauplatz - Henriettenplatz - Joachim-Friedrich-Strasse - Lehniner Platz - U-Bhf. Adenauerplatz - Olivaer Platz - Sächsischestrasse - Uhlandstrasse - Joachimstalerstrasse - U-Bhf. Kurfürstendamm - Kantstrasse - Breitscheidplatz - Bayreutherstrasse - Lützowplatz - Tiergartenstrasse - Großer Stern - Schloß Bellevue - Kongreßhalle - Entlastungsstrasse - Reichstag,20,37,,1980,
7,bus,Ost,"Glienicke, Kirche - Breitscheidstrasse - Lessingstrasse - Johannes-Diekmann-Strasse - Schildow - Blankenfelde - Nordend-Arena - Nordend - Kurt-Fischer-Strasse - Bürgerpark - Pankow, Kirche - S-Bhf. Pankow - U-Bhf. Pankow",10,42,,1980,
7,bus,West,"U-Bhf. Alt-Mariendorf - Körtingstrasse - Rennbahn Mariendorf - Pilatusweg - Titlisweg - Säntisstrasse - Daimlerstrasse - Brandaustrasse - Buckower Chaussee - Nahmitzer Damm - Nunsdorfer Ring - Sperenbergerstrasse - Schichauweg - Lichtenrade, Motzenerstrasse Egestorffstrasse",15,15,,1980,
70,bus,West,"Wollankstrasse Ecke Kattegatstrasse - Elisabeth-Friedhof - Soldinerstrasse - Osloerstrasse - U-Bhf. Pankstrasse - Brunnenplatz - Wiesenstrasse - Nettelbeckplatz - Müllerstrasse - Am Nordhafen - Lehrterstrasse - Stephanstrasse - Rathenowerstrasse - Birkenstrasse - Turmstrasse - Wilsnackerstrasse - Krankenhaus Moabit - U-Bhf. Turmstrasse - Rathaus Tiergarten - Ottostrasse - Waldstrasse/Beusselstrasse - Berlichingenstrasse - Moabit Wiebestrassestrasse",12,34,,1980,
70,strassenbahn,Ost,"Hohenschönhausen, Falkenbergerstrasse - Suermondtstrasse - Stadion Buschallee - Kniprodeallee - Klement-Gottwald-Allee - Antonplatz - Wisbyerstrasse - Humannplatz - U-Bhf. Dimitroffstrasse - Brunnenstrasse - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",15,46,,1980,
71,strassenbahn,Ost,"Heinersdorf - Heinersdorf, Kirche - Am Steinberg - Wisbyerstrasse - S-Bhf. Prenzlauer Allee - Dimitroffstrasse - Knaackstrasse - Wilhelm-Pieck-Strasse - U-Bhf. Rosa-Luxemburg-Platz - Hackescher Markt - Oranienburger Tor - Am Kupfergraben",15,37,,1980,
72,strassenbahn,Ost,Pasedagplatz - Lichtenbergerstrasse - Antonplatz - Wisbyerstrasse - S-Bhf. Prenzlauer Allee - Dimitroffstrasse - Knaackstrasse - Wilhelm-Pieck-Strasse - U-Bhf.  Rosa-Luxemburg-Platz - Hackescher Markt,15,31,,1980,Kein Verkehr zwischen 7.49 und 12.34
75,bus,West,"Steglitzer Damm Ecke Munsterdamm - Steglitzer Damm - Bismarckstrasse - Bergstrasse - Feuerbachstrasse - Kaisereiche - Rathaus Friedenau - U-Bhf. Innsbrucker Platz - Dominicusstrasse - Kaiser-Wilhelm-Platz - U-Bhf. Kleistpark - Goebenstrasse - Bülowstrasse - U-Bhf. Kurfürstenstrasse - Lützowstrasse - Potsdamer Brücke - Askanischer Platz - U-Bhf. Kochstrasse/Friedrichstrasse - Lindenstrasse - U-Bhf. Moritzplatz - Adalbertstrasse - U-Bhf. Görlitzer Bhf. - Spreewaldplatz - Sonnenallee - Hermannplatzstrasse",10,51,,1980,
75,bus,West,Steglitzer Damm Ecke Munsterdamm - Steglitzer Damm - Bismarckstrasse - Bergstrasse - Feuerbachstrasse - Kaisereiche - Rathaus Friedenau - U-Bhf. Innsbrucker Platz - Dominicusstrasse - Kaiser-Wilhelm-Platz - U-Bhf. Kleistpark - Goebenstrasse - Bülowstrasse - U-Bhf. Kurfürstenstrasse - Lützowstrasse - Potsdamer Brücke - Askanischer Platz - U-Bhf. Kochstrasse/Friedrichstrasse - Lindenstrasse - U-Bhf. Moritzplatz - Adalbertstrasse - U-Bhf. Görlitzer Bhf. - Spreewaldplatz - Sonnenallee - Hermannplatz,10,50,,1980,
76E,bus,West,U-Bhf. Alt-Mariendorf - Körtingstrasse - Rennbahn Mariendorf - Pilatusweg - Titlisweg - Säntisstrasse/Tauernallee - Göllweg - Buckower Chaussee/Marienfelder Chaussee - Raabestrasse - Goethestrasse - Grimmstrasse - Barnetstrasse - Steinstrasse - Rhinstrasse - John-Locke-Strasse - Riedingerstrasse - Lichtenrade Bahnhofstrasse ,10,20,,1980,
78,bus,Ost,Arkonaplatz - Rosenthaler Platz - Alexanderplatz - S-Bhf. Jannowitzbrücke - Adalbertstrasse - U-Bhf. Märkisches Museum - Breite-Strasse - Oberwallstrasse - Bhf. Friedrichstrasse - Schumannstrasse,10,31,,1980,
78E,bus,Ost,Arkonaplatz -  Rosenthaler Platz - Alexanderplatz - S-Bhf. Jannowitzbrücke - Adalbertstrasse,10,18,,1980,
79,bus,Ost,Alexanderstrasse - S-Bhf. Jannowitzbrücke - U-Bhf. Märkisches Museum - Französischestrasse - Otto-Grotewohl-Strasse,15,11,,1980,Kein Verkehr zwischen 7:51 und 14:03
79,bus,West,U-Bhf. Alt-Mariendorf -  Körtingstrasse - Rennbahn Mariendorf - Pilatusweg - Titlisweg - Säntisstrasse/Tauernallee - Ankogelweg - Buckower Chaussee/Marienfelder Chaussee - Raabestrasse - Potsdamerstrasse - Bernauerstrasse - Töpchiner Weg - Kloster-Zinna-Strasse - Alt-Lichtenrade - Groß-Ziethener-Strasse - Taunusstrasse - Nahariyastrasse - Skarbinastrasse - Lichtenrade Nahariyastrasse,20,19,,1980,
8,bus,Ost,"Waldesruh, Mahlsdorfer Allee - Summterstrasse - Hultschiner Damm - Sadowastrasse - Jägerstrasse - Köpenickerstrasse - Elsterwerdaer Platz - Oberfeldstrasse - Rhinstrasse - Robert-Uhrig-Strasse - Bhf. Lichtenberg",7.5,35,,1980,
8,bus,West,Flughafen Berlin Tegel - Flugsteig 15 - Haupthalle - Verwaltungsgebäude/Luftfracht - Kaserne Südtor - U-Bhf. Kurt-Schumacher-Platz - Holländerstrasse - Gotthardstrasse - Teichstrasse - Aroser Allee - Genferstrasse - Residenzstrasse - Stargardtstrasse - Pankower Allee - Ritterlandweg - U-Bhf. Osloerstrasse,15,24,,1980,
80,bus,West,"U-Bhf. Ruhleben - Krematorium Ruhleben - Güterbahn Ruhleben - Teltowerstrasse - Tiefwerderweg - Grenadierstrasse - Stresowplatz - Spandau, Markt - Rathaus Spandau - Klosterstrasse - Elsflether Weg - Grünhofer Weg - Nauenerstrasse - Päwesiner Weg - Egelpfuhlstrasse - Harburger Weg - Magistratsweg - Louise-Schroeder-Siedlung - Zweiwinkelweg - Staaken Brunsbütteler Damm",10,25,,1980,
81,bus,West,"U-Bhf. Friedrich-Wilhelm-Platz - Stubenrauchstrasse - U-Bhf. Walther-Schreiber-Platz - Alsen-/Fregstrasse - Bismarckstrasse - Bergstrasse - Steglitzer Damm - Munsterdamm - Albrechtstrasse - Leonorenstrasse - Calandrellistrasse/Stadtbad - Rathaus Lankwitz - Lankwitz, Kirche - Bruchwitzstrasse - Alt-Lankwitz - Mühlenstrasse - Alt-Lankwitz, Dorfaue - Greinerstrasse/Dederingstrasse - Alt-Mariendorf - U-Bhf. Alt-Mariendorf - Am Heidefriedhof - Britzerstrasse - Dardanellenweg - Mariendorf Dardanellenweg",7.5,39,,1980,
82,strassenbahn,Ost,Mahlsdorf-Süd - Wongrowitzer Steig - S-Bhf. Köpenick - Institut für Lehrerbildung - Erich-Weinert-Klubhaus - Pionierpark - Rathenaustrasse - Wilhelminenhofstrasse - Hermann-Duncker-Strasse - Hönower Wiesenweg - Kraftwerk Klingenberg - S-Bhf. Ostkreuz,12,51,,1980,
83,strassenbahn,Ost,S-Bhf. Mahlsdorf - Alt-Mahlsdorf - Rahnsdorferstrasse - Bürgerwäldchen - Ruhlsdorferstrasse - Mahlsdorf-Süd - Wongrowitzer Steig - S-Bhf. Köpenick - Lindenstrasse - Grünstrasse - Strassenbahn-Betriebshof - VEB Yachtwerft - Wendenschloß,15,44,,1980,
84,bus,West,Lichterfelde Ringstrasse Ecke Weißwasserweg - Finckensteinallee - Baselerstrasse - Kadettenweg - Karwendelstrasse - Hindenburgdamm - Bäkestrasse - Krahmerstrasse - Moltkestrasse (Klinikum) - Klingsorstrasse - Haydnstrasse - Händelplatz - Fronhoferstrasse - Albrechtstrasse - Düppelstrasse - Friedenauer Brücke - Sachsendamm - Torgauerstrasse - Gustav-Müller-Platz - Kolonnenstrasse - Kaiser-Wilhelm-Platz - U-Bhf. Kleistpark - Goebenstrasse - Bülowstrasse - U-Bhf. Kurfürstenstrasse,12,36,,1980,
84,strassenbahn,Ost,"Wasserwerk - Brauerei - S-Bhf. Friedrichshagen - Hirschgarten - Lindenstrasse - Grünstrasse - S-Bhf. Spindlersfeld - S-Bhf. Adlershof - Kanalbrücke - Altglienicke, Kirche - Am Falkenberg",20,58,,1980,
85,bus,West,Lichterfelde-Süd Holtheimer Weg - Ostpreußendamm - Goerzallee - Thuner Platz  - Osteweg - Rittberg-Krankenhaus - Finckensteinallee - Drakestrasse - Gardeschützenweg - Moltkestrasse - Händelplatz - Birkbuschstrasse - Schloßstrasse/Wrangelstrasse - U-Bhf. Rathaus Steglitz - U-Bhf. Schloßstrasse - U-Bhf. Walther-Schreiber-Platz - Kaisereiche - Rathaus Friedenau - U-Bhf. Innsbrucker Platz - Rathaus Schöneberg - Grunewaldstrasse - Barbarossastrasse - Hohenstaufenstrasse - Motzstrasse - Wittenbergplatz,10,50,,1980,
85,strassenbahn,Ost,"Johannisthal, Haeckelstrasse - Bhf. Schöneweide - Wilhelminenhofstrasse - Rathenaustrasse - Pionierpark - Erich-Weinert-Klubhaus - Institut für Lehrerbildung - Grünstrasse - Wendenschloßstrasse - Köpenick, Straßenbahn-Betriebshof - VEB Yachtwerft - Wendenschloß",0,40,,1980,Kein Verkehr zwischen 7.00 und 13.20
86,bus,West,"Fehrbelliner Platz - U-Bhf. Blissestrasse - Am Volkspark - Weimarischestrasse - U-Bhf. Bundesplatz - U-Bhf. Friedrich-Wilhelm-Platz - U-Bhf. Walther-Schreiber-Platz - U-Bhf. Schloßstrasse - U-Bhf. Rathaus Steglitz - Fronhofer-/Wrangelstrasse - Klingsorstrasse - Sedanstrasse - Siemensstrasse - Stadion Lichterfelde - Königsbergerstrasse - Morgensternstrasse - Giesensdorferstrasse - Osdorferstrasse - Fahrenheitstrasse - Lichterfelde, Celsiusstrasse",12,41,,1980,
86,strassenbahn,Ost,"Hirtestrasse - S-Bhf. Köpenick - Lindenstrasse - Grünstrasse - VEB Kühlbetrieb - VEB Berlin-Chemie - S-Bhf. Grünau - Regattatribünen - Freibad Grünau - Richtershorn - Karolinenhof-Mitte - Reifenwerk - Alt-Schmöckwitzstrasse",10,44,,1980,
87,bus,West,U-Bhf. Richard-Wagner-Platz - Wilmersdorferstrasse - Luisenplatz - Klausenerplatz - Sophie-Charlotten-Strasse - Mollwitzstrasse - Heubnerweg - Pulsstrasse,20,10,,1980,
88,bus,West,"U-Bhf. Rathaus Steglitz - Fronhoferstrasse/Wrangelstrasse - Birkbuschstrasse - Breitestrasse/Haydnstrasse - Klingsorstrasse - Amfortasweg - Klinikum Steglitz - Hindenburgdamm - Moltkestrasse - Lichterfelde, Augustaplatz",10,12,,1980,
89,bus,West,"Bornholmerstrasse - Prinzenallee - Koloniestrasse - U-Bhf. Osloerstrasse - Louise-Schroeder-Platz - Indischestrasse - U-Bhf. Seestrasse/Müllerstrasse - Togostrasse - Afrikanischestrasse - Seestrasse/Friedhöfe - Plötzensee/Dohnagestell - Beusselstrasse - Sickingenstrasse - Wittstockerstrasse - Huttenstrasse/Turmstrasse - Berlichingenstrasse - Wiebestrasse - Kaiserin-Augusta-Allee - Ilsenburgerstrasse - U-Bhf. Mierendorffplatzstrasse",10,29,,1980,
9,bus,Ost,John-Schehr-Strasse - Am Friedrichshain - Mollstrasse - Alexanderplatz - Spandauerstrasse - Breitestrasse - Friedrichstrasse - Otto-Grotewohl-Strasse,2.5,19,,1980,
