,line_name,Stops,Frequency,Length (time),type,east-west,year
39,A11,"Saargemünder Strasse - U-Bhf. Oskar-Helene-Heim - Ihnestrasse - Corrensplatz - Unter den Eichen Ecke Habelschwerdter-Allee - Bhf. Lichterfelde-West - Ringstrasse - Wiesenbaude - Ostpreußendamm Ecke Wilhelmstrasse - Marienstrasse - Morgensternstrasse Ecke Wilhelmstrasse - Kranoldplatz - Langestrasse - Hildburghauser Strasse - Stadtilmer Weg - Marienfelde, Alt-Marienfelde",7.5,34.0,bus,West,1964
40,A12,Gartenstrasse Ecke Bernauer Strasse - Grenzstrasse - U-Bhf. Leopold-Platz - U-Bhf. Seestrasse - Bristolstrasse - Emmentaler Strasse - Lindauer Strasse - Tessenowstrasse Ecke Oranienburgerstrasse - Eichborndamm Ecke Alt-Wittenau - Cyclopstrasse - Zabel-Krüger-Damm - Almutstrasse Ecke Berliner Strasse - Hermsdorfer Damm Ecke Berlinerstrasse - Zeltinger Platz - Donnersmarckplatz - Hainbuchenstrasse Ecke Kastanienallee,20.0,54.0,bus,West,1964
41,A12S,Leopoldplatz - U-Bhf. Seestrasse - Barfusstrasse - Emmentaler Strasse - Lindauer Strasse - Oranienburger Strasse - Rathaus Reinickendorf - Cyclopstrasse - Zabel-Krüger-Damm - Schildower Strasse - Hermsdorfer Damm Ecke Berlinerstrasse - Oswinsteig - Hohefeldstrasse - Im Fischgrund - Zeltinger Platz,10.0,31.0,bus,West,1964
42,A13,Alt-Heiligensee - Am Dachsbau - Gabelung - Ruppiner Chaussee - U-Bhf. Tegel - Bernauer Strasse - Krankenhaus Tegel-Süd - Strasse nach Saatwinkel - Paulsternstrasse - Daumstrasse - Carl-Schurz-Strasse Ecke Neuendorfer Strasse - Rathaus Spandau - Seebugerstrasse Ecke Pichelsdorferstrasse - Päwesiner Weg - Heerstrasse Ecke Wilhelmstrasse - Weinmeisterhornweg,15.0,57.0,bus,West,1964
43,A14,Alt-Heiligensee - Mattenbuder Pfad Chaussee Ecke Hennigsdorfer Strasse - Ruppiner Chaussee Ecke Hennigsdorfer Strasse - Ruppiner Chaussee & Schulzendorferstrasse - Heiligenseestrasse Ecke Ruppiner Chaussee - U-Bhf. Tegel - Ziekowstrasse Ecke Gorkistrasse - Alt-Wittenau Ecke Eichborndamm - Tessenowstrasse Ecke Roedernallee - Aroser Allee - Kopenhagener Strasse - Pankower Allee - Pankstrasse - U-Bhf. Gesundbrunnen - Rügener Strasse,20.0,53.0,bus,West,1964
44,A15,"Lübarser Strasse Ecke Eichhorster Weg - Cyclopstrasse Ecke Oranienburger Strasse - Alt-Wittenau Ecke Eichborndamm - Breitenbachstrasse Ecke Eichborndamm - Holzhauser Strasse - Borsigwalder Weg  - Gorkistrasse - U-Bhf. Tegel - Hermsdorfer Damm Ecke Karolinenstrasse - Schulzendorfer Strasse - Bhf. Hermsdorf - Dominikus-Krankenhaus - Donnersmarckplatz - Zeltinger Platz - Am Pilz - Frohnau, Invalidensiedlung",20.0,55.0,bus,West,1964
45,A16,Osloer Strasse - Louise-Schroeder-Platz - U-Bhf. Seestrasse - Virchow-Krankenhaus - Fennstrasse Ecke Tegeler Strasse - Wilsnacker Strasse Ecke Turmstrasse - Hansaplatz - Großer Stern - Lützowplatz - Nollendorfplatz - Rathaus Schöneberg - Innsbrucker Platz - Bundesplatz - Wiesbadener Strasse - Breitenbachplatz - Englerallee,15.0,50.0,bus,West,1964
46,A17,"Grunewald, Fontanestrasse - Hagenplatz - Roseneck - Warnemünder Strasse - U-Bhf. Rüdesheimer Platz - Friedrich-Wilhelm-Platz - Bundesallee Ecke Rheinstrasse - Rathaus Steglitz - Stadtpark - Leonorenstrasse - Stadion Lichterfelde - Ostpreußendamm Ecke Wilhelmstrasse - Morgensternstrasse Ecke Wilhelmstrasse - Oberhofer Platz  - Saaleckplatz",10.0,46.0,bus,West,1964
47,A18,Saargemünder Strasse - U-Bhf. Oskar-Helene-Heim - Sophie-Charlotten-Strasse - Scharfestrasse - Potsdamer Strasse Ecke Berliner Strasse - Mittelstrasse - Wolzogenstrasse - Benschallee - Waldfriedhof - Quantzstrasse - Kronprinzessinen Weg - Am Grossen Wannsee - Pfaueninsel-Chaussee - Rathaus Wannsee - Stölpchensee - Kohlhasenbrück,20.0,32.0,bus,West,1964
48,A19,Roseneck - Hagenplatz - Erdener Strasse - Henriettenplatz - Wilmersdorfer Strasse - Olivaer Platz - Joachimstaler Strasse Ecke Kurfürstendamm - Breitscheidplatz - Wittenbergplatz - Nollendorfplatz - Bülowstrasse Ecke Potsdamer Strasse - Bautzener Strasse Ecke Yorckstrasse - Katzbachstrasse - Mehringdamm - Flughafen,10.0,39.0,bus,West,1964
49,A20,"Tegelort - Gerlindeweg Ecke Friederikestrasse - Falkenplatz - Mühlenstrasse - Heiligenseestrasse - Karolinenstrasse - U-Bhf. Tegel - Hatzfeldtallee - Martin-Luther-Friedhof - Freie Scholle - Waldhornstrasse - Cyclopstrasse Ecke Waidmannsluster Damm - Oraniendamm Ecke Zabel-Krüger-Damm - Am Vierrutenberg Ecke Zabel-Krüger-Damm - Lübars, Dorfaue",15.0,36.0,bus,West,1964
50,A21,Wentowsteig - Oranienburger Strasse Ecke Wilhelmsruher Damm - Alt-Wittenau Ecke Eichborndamm - Kienhorststrasse - Scharnweberstrasse - Kurt-Schumacher-Platz - Kaserne Südtor - Heckerdamm - Olbersstrasse - Luisenplatz - Kantstrasse - Stuttgarter Platz - Amtsgericht Charlottenburg - Kurfürstendamm Ecke Joachimsthaler Strasse - Bhf. Hohenzollerndamm - U-Bhf. Fehrbelliner Platz,15.0,50.0,bus,West,1964
53,A24,Wiebestrasse - Gotzkowskystrasse - Stromstrasse - Rathenower Strasse - Alt-Moabit - John-Foster-Dulles-Allee - Tiergartenstrasse - Lützowplatz - Potsdamer Strasse Ecke Schöneberger Ufer - Hafenplatz - Askanischer Platz - U-Bhf. Hallesches Tor - Alexandrinenstrasse Ecke Neuenburgerstrasse - Gneisenaustrasse Ecke Zossener Strasse - Columbiadamm Ecke Friesenstrasse - Flughafen,15.0,39.0,bus,West,1964
54,A25,Unionplatz - Gotzkowskybrücke - Hansaplatz - U-Bhf. Ernst-Reuter-Platz - Bhf. Zoo - Pariser Strasse Ecke Joachimstaler Strasse - Berliner Strasse Ecke Bundesallee - Bundesplatz - Kaisereiche - Grazer Platz - Attilaplatz - Tempelhofer Damm Ecke Ordensmeisterstrasse - Gottlieb-Dunkel-Strasse Ecke Germaniastrasse - Britzer Damm Ecke Tempelhofer Weg - U-Bhf. Parchimer Allee - Grüner Weg Ecke Buschkrug Allee,10.0,59.0,bus,West,1964
57,A28,Loewenhardtdamm - Dudenstrasse - Kreuzbergstrasse - Yorckstrasse - Mehringdamm - Zossener Strasse - Südstern - Urban-Krankenhaus - U-Bhf. Prinzenstrasse - U-Bhf Kottbusser Tor - Oranienstrasse - Waldemarstrasse - Mariannenplatz - Manteuffelstrasse Ecke Köpenickerstrasse - U-Bhf. Schlesisches Tor - Heckmannufer,7.5,30.0,bus,West,1964
58,A29,Roseneck - Berkaer Strasse - Bismarckplatz - Henriettenplatz - Joachim-Friedrich-Strasse - Wilmersdorfer Strasse - Olivaer Platz - Uhlandstrasse - Joachimstaler Strasse - Breitscheidplatz - Wittenbergplatz - Lutherstrasse - Lützowstrasse - Lützowstrasse Ecke Potsdamer Strasse - Askanischer Platz - U-Bhf. Kochstrasse - Oranienplatz,10.0,40.0,bus,West,1964
