,line_name,Stops,Frequency,Length (time),type,east-west,year
102,A70,"Bhf. Wollankstrasse - Osloer Strasse - Badstrasse - Wiesenstrasse - Ravenestrasse Ecke Reinickdorferstrasse - Weddingplatz - Am Nordhafen - Rathenower Strasse - Turmstrasse/Rathenower Strasse - Krankenhaus Moabit - Stromstrasse - Rathaus Tiergarten - Waldstrasse/Gotzkowskystrasse - Reuchlinstrasse - Wiebestrasse, Strassenbahnhof",10.0,27.0,bus,West,1964
103,A71,"Bhf. Wilhelmsruh - Lindauer Strasse - Emmentaler Strasse - Schäfersee, Pankower Allee - Provinzstrasse/Pankower Allee - Ritterlandweg - Prinzenallee/Soldiner Strasse - Osloer Strasse - Badstrasse/Prinzenallee - Bhf. Gesundbrunnen - Ramlerstrasse - Rügener Strasse - Usedomer Strasse - Bernauer Strasse Ecke Brunnenstrasse - Bernauer Strasse Ecke Wolliner Strasse",15.0,22.0,bus,West,1964
104,A72,Alt-Reinickendorf Ecke Rödern Allee - Lindauer Strasse Ecke Residenzstrasse - Pankower Allee Ecke Residenzstrasse - Luise-Schröder-Platz - Nauener Platz - Weddingplatz - Rathenower Strasse Ecke Perleberger Strasse - Turmstrasse Ecke Stromstrasse - Waldstrasse Ecke Turmstrasse - Wiebestrasse Ecke Kaiserin-Augusta-Allee - Tauroggener Strasse Ecke Osnabrücker Strasse - Landgericht - Jakob-Kaiser-Platz - Quellweg Ecke Nonnendamm Allee - Paulsternstrasse Ecke Gartenfelderstrasse - Gartenfeld,15.0,46.0,bus,West,1964
105,A73,Bhf. Zoo - Wittenbergplatz - Motzstrasse - Grunewaldstrasse - Rathaus Schöneberg - Hauptstrasse Ecke Dominicusstrasse - Ebersstrasse Ecke Dominicusstrasse - Suadicanistrasse Ecke Sachsendamm - Tempelhofer Damm Ecke Alt-Tempelhof - Rohdestrasse Ecke Germaniastrasse - Gottlieb-Dunkel-Strasse Ecke Tempelhofer Weg - Britzer Damm Ecke Gradestrasse - Buschkrug Alle Ecke Blaschko-Allee,10.0,35.0,bus,West,1964
106,A74,Königin-Elisabeth-Strasse - Spandauer Damm - Klausenerplatz - Schlossstrasse Ecke Seelingstrasse - Sophie-Charlotten-Platz - Kaiser-Friedrich-Strasse - Stuttgarter Platz - Kurfürstendamm Ecke Wilmersdorferstrasse - Fehrbelliner Platz - Bundesallee Ecke Berliner Strasse - Martin-Luther-Strasse - Rathaus Schöneberg - Hauptstrasse (Schöneberg) - Suadicanistrasse Ecke Sachsendamm - Egelingzeile - Eythstrasse,15.0,39.0,bus,West,1964
107,A75,Munsterdamm Ecke Steglitzer Damm - Bismarckstrasse Ecke Bergstrasse - Lauenburger Platz - Kaisereiche - Innsbrucker Platz - Dominicusstrasse Ecke Hauptstrasse - Kaiser-Wilhelm-Platz - U-Bhf. Bülowstrasse - Am Karlsbad - Askanischer Platz - U-Bhf. Kochstrasse - Oranienstrasse - U-Bhf. Moritzplatz - Spreewaldplatz - Sonnenallee Ecke Pannierstrasse - Hermannplatz,10.0,47.0,bus,West,1964
108,A76,Blohmstrasse Ecke Wünsdorfer Strasse - Bhf. Lichtenrade - Marienfelder Strasse Ecke Lichtenrader Damm - Potsdamer Strasse Ecke Lichtenrader Damm - Buckower Chaussee Ecke Lichtenrader Damm - Mariendorfer Damm Ecke Tauernallee - Rennbahn - Alt-Mariendorf Ecke Mariendorfer Damm - Kaiserstrasse Ecke Lichtenrader Damm - Burgemeister Strasse Ecke Tempelhofer Damm - Alt-Tempelhof Ecke Tempelhofer Damm - U-Bhf. Tempelhof - Thuyring Ecke Tempelhofer Damm - Bayernring Ecke Tempelhofer Damm - Platz der Luftbrücke,10.0,36.0,bus,West,1964
109,A77,Daimlerstrasse - Bhf. Marienfelde - Körtingstrasse - Mariendorfer Damm - Kaiserstrasse Ecke Mariendorfer Damm - Markgrafenstrasse Ecke Mariendorfer Damm - Burgemeister Strasse Ecke Tempelhofer Damm - Rathaus Tempelhof - Alt-Tempelhof Ecke Tempelhofer Damm - U-Bhf. Tempelhof - Thuyring Ecke Tempelhofer Damm - Paradestrasse Ecke Tempelhofer Damm - Bayernring Ecke Tempelhofer Damm - Platz der Luftbrücke,10.0,25.0,bus,West,1964
110,A78,Tropfsteinweg Ecke Quarz-Weg - Tauernallee Ecke Grünstein Weg - Mariendorfer Damm Ecke Tauernallee - Rennbahn - Alt-Mariendorf Ecke Mariendorfer Damm - Kaiserstrasse Ecke Mariendorfer Damm - Burgemeisterstrasse Ecke Tempelhofer Damm - Alt-Tempelhof Ecke Tempelhofer Damm - U-Bhf. Tempelhof - Thuyring Ecke Tempelhofer - Bayernring Ecke Tempelhofer - Platz der Luftbrücke,10.0,26.0,bus,West,1964
111,A79,Leopoldplatz - Nazarethkirchstrasse Ecke Turinerstrasse - Prinz-Eugen-Strasse - Reinickendorfer Strasse Ecke Schulstrasse - Exerzierstrasse Ecke Schulstrasse - Osloerstrasse Ecke Schwedenstrasse - Ritterlandweg - Pankower Allee Ecke Markstrasse - Letteplatz - Schwabstrasse Ecke Reginhardstrasse - Hausotterstrasse Ecke Reginhardstrasse - Raschdorffstrasse Ecke Reginhardstrasse - Sommerstrasse Ecke Klemkestrasse,10.0,16.0,bus,West,1964
114,A80,"Spandau, Breitestrasse - Rathaus Spandau - Seegefelderstrasse Ecke Carl-Schurz-Strasse - Klosterstrasse Ecke Carl-Schurz-Strasse - Nauener Strasse Ecke Brunsbütteler Damm - Egelpfuhlstrasse - Magistratsweg Ecke Brunsbütteler Damm - Nennhauser Damm Ecke Brunsbütteler Damm",10.0,16.0,bus,West,1964
115,A81,"Bhf. Zoo, Hardenbergplatz - U-Bhf. Spichernstrasse - Berliner Strasse Ecke Joachimstalerstrasse - Bundesplatz - Schlossstrasse Ecke Feuerbachstrasse - Feuerbachstrasse Ecke Bismarckstrasse - Bergstrasse Ecke Bismarckstrasse - Bismarckstrasse Ecke Steglitzer Damm - LeonLeonorenstrasse Ecke Siemensstrasse - Lankwitz, Kirche - Alt-Lankwitz, Dorfaue - Alt-Mariendorf Ecke Mariendorfer Damm - Imbrosweg Ecke Goldenes Horn - Imbrosweg Ecke Dardanellenweg",10.0,44.0,bus,West,1964
116,A83,"Nettelbeckplatz - Weddingplatz - Heidestrasse Ecke Fennstrasse - Washingtonplatz - Potsdamer Strasse Ecke Verbindungsstrasse - Reichpietsch-Ufer Ecke Potsdamer Strasse - Lützowstrasse Ecke Potsdamer Strasse - Bülowstrasse Ecke Potsdamer Strasse - Kaiser-Wilhelm-Platz - Innsbrucker Platz - Grazer Platz - Bergstrasse Ecke Thorwaldstrasse - Steglitzer Damm Ecke Munsterdamm - Lankwitz, Kirche - Malteserstrasse Ecke Paul-Schneider-Strasse - Preysingstrasse Ecke Malteser Strasse - Belßstrasse",10.0,47.0,bus,West,1964
117,A84,Ringstrasse Ecke Pestalozziplatz - Kadettenweg Ecke Finckenstein Allee - Wiesenbaude - Krahmerstrasse Ecke Hindenburgdamm - Klingsorstrasse Ecke Hindenburgdamm - Händelplatz - Schlossstrasse Ecke Albrechtstrasse - Rathaus Steglitz - Florastrasse - Bundesallee Ecke Rheinstrasse - Kaisereiche - Innsbrucker Platz - Martin-Luther-Strasse Ecke Hauptstrasse - Dominicusstrasse Ecke Hauptstrasse - Kaiser-Wilhelm-Platz - Gotenstrasse Ecke Torgauerstrasse,10.0,33.0,bus,West,1964
118,A85,"Bhf. Zoo, Hardenbergplatz - Wittenbergplatz - Grunewaldstrasse Ecke Martin-Luther-Strasse - Bundesallee Ecke Berliner Strasse - Bundesplatz - Friedrich-Wilhelm-Platz - Schloßstrasse Ecke Bundesallee - Rathaus Steglitz - Hindenburgdamm Ecke Gardeschützweg - Händelplatz - Moltkestrasse - Drakestrasse Ecke Ringstrasse - Rittberg-Krankenhaus - Thuner Platz - Ostpreußendamm Ecke Dorstenerstrasse - Holtheimer Weg",10.0,45.0,bus,West,1964
119,A86,Invalidenstrasse - Stromstrasse Ecke Alt-Moabit - Alt-Moabit Ecke Gotzkowskystrasse - Ernst-Reuter-Platz - Cauerstrasse Ecke Wilmersdorferstrasse - Richard-Wagner-Platz - Kantstrasse Ecke Wilmersdorferstrasse - Kurfürstendamm Ecke Wilmersdorferstrasse - Fehrbelliner Platz - Hildegardstrasse - Bundesplatz - Schloßstrasse Ecke Bundesallee - Rathaus Steglitz - Hindenburgdamm - Klingsorstrasse - Birkbuschstrasse Ecke Siemensstrasse,15.0,51.0,bus,West,1964
120,A87,"Richard-Wagner-Platz, Wintersteinstrasse - Richard-Wagner-Platz - Wilmersdorferstrasse Ecke Otto-Suhr-Allee - Luisenplatz - Schlossstrasse Ecke Spandauer Damm - Spandauer Damm Ecke Sophie-Charlotten-Strasse - Sophie-Charlotten-Strasse Ecke Pulsstrasse",20.0,10.0,bus,West,1964
121,A88,U-Bhf. Kaiserdamm - Neue-Kant-Strasse Ecke Messedamm - Halenseestrasse Ecke Messedamm - Deutschland Halle - Eichkampstrasse Ecke Alte Allee,20.0,10.0,bus,West,1964
122,A89,Grüntaler Straße Ecke Osloer Strasse - Drontheimer Strasse Ecke Osloer Strasse - Osloer Strasse Ecke Schwedenstrasse - Reinickendorferstrasse Ecke Osloer Strasse - U-Bhf. Seestrasse - Saatwinkler Damm Ecke Seestrasse - Huttenstrasse Ecke Beusselstrasse - Tauroggener Strasse Ecke Meriendorffstrasse - Luisenplatz - Kantstrasse Ecke Wilmersdorferstrasse - Kurfürstendamm Ecke Wilmersdorferstrasse - U-Bhf. Fehrbelliner Platz - Brandenburgischestrasse Ecke Blissestrasse - Bundesallee Ecke Berliner Strasse - Martin-Luther-Strasse Ecke Grunewaldstrasse - Potsdamer Strasse Ecke Pallasstrasse - Mehringdamm - U-Bhf. Gneisenaustrasse - Mehringplatz,10.0,39.0,bus,West,1964
124,A90,"Bhf. Zoo, Hardenbergplatz - Ernst-Reuter-Platz - Alt-Moabit Ecke Gotzkowskystrasse - U-Bhf. Turmstrasse - Rathenowerstrasse Ecke Alt-Moabit - Perlebergerstrasse Ecke Rathenowerstrasse - Am Nordhafen Ecke Tegelerstrasse  - Weddingplatz - Gartenstrasse Ecke Grenzstrasse - Wattstrasse Ecke Usedomerstrasse - Vinetaplatz",15.0,35.0,bus,West,1964
125,A91,U-Bhf. Leinestrasse - Siegfriedstrasse Ecke Hermannstrasse - Silbersteinstrasse Ecke Hermannstrasse - Mariendorfer Weg Ecke Hermannstrasse - Germaniapromenade Ecke Hermannstrasse - Franz-Körner-Strasse Ecke Britzer Damm - Blaschkoallee Ecke Britzer Damm - Britzer Damm Ecke Tempelhofer Weg - Mohriner Alle Ecke Buckower Damm - Gutschmidtstrasse Ecke Buckower Damm - Schlosserweg Ecke Buckower Damm - Zimmererweg Ecke Buckower Damm - Dachdeckerweg Ecke Buckower Damm - Parkfriedhof Neukölln - Alt-Buckow Ecke Buckower Damm,7.5,19.0,bus,West,1964
126,A92,Machandelweg - U-Bhf. Ruhleben - Grunewaldstrasse Ecke Ruhlebenerstrasse - Klosterstrasse Ecke Carl-Schurz-Strasse - Seeburgerstrasse Ecke Klosterstrasse - Pichelsdorferstrasse Ecke Klosterstrasse - Wilhelmstrasse Ecke Heerstrasse - Reimerweg Ecke Heerstrasse,20.0,24.0,bus,West,1964
127,A99,Brunnenstrasse Ecke Lortzingstrasse - U-Bhf. Gesundbrunnen - Brunnenplatz - Nettelbeckplatz - Rathenower Strasse - Unionplatz - Saatwinkler Damm Ecke Seestrasse - Jakob-Kaiser-Platz - Wernerwerk - Quellweg Ecke Nonnendamm Allee - Paulsternstrasse Ecke Nonnendamm Allee - Gartenfelderstrasse Ecke Nonnendamm Allee - Carl-Schurz-Strasse Ecke Seegefelder Strasse - Rathaus Spandau - Hochgerichtstrasse - Germersheimer Platz,10.0,48.0,bus,West,1964
132,AS1s,Bhf. Zoo - U-Bhf. Ernst-Reuter-Platz - Cauerstrasse - Richard-Wagner-Platz - Luisenplatz - Fürstenbrunner Weg - Kirschenallee - Schloss Ruhwald - U-Bhf. Ruhleben - Teltower Strasse - Rathaus Spandau - Hafenplatz - Lynastrasse - Klinkeplatz - Hohenzollernring Ecke Schönwalderstrasse,15.0,28.0,bus,West,1964
133,AS2s,"Bhf. Zoo - Hardenbergstrasse Ecke Joachimstalerstrasse - Kurfürstendamm Ecke Joachimstalerstrasse - Rankeplatz, Bundeshaus - Berliner Strasse Ecke Bundesallee - Bundesplatz - Schlossstrasse, Wilhelm-Schreiber-Platz - Canovastrasse - Attilaplatz - Mariendorfer Damm Ecke Kaiserstrasse - Alt-Mariendorf Ecke Mariendorfer Damm - Tauernallee, Adlermühle - Buckower Chaussee Ecke Mariendorfer Damm - Lichtenrade, Goethestrasse - Goltzstrasse - Bhf. Lichtenrade - Lichtenrade, Blohmstrasse Ecke Wünsdorfer Strasse",17.0,44.0,bus,West,1964
134,AS3s,"Bhf. Zoo - Hardenbergstrasse - Kurfürstendamm Ecke Joachimstalerstrasse - Rankeplatz/Bundeshaus - U-Bhf. Spichernstrasse - U-Bhf. Fehrbelliner Platz - Seesener Strasse Ecke Hohenzollerndamm - Berkaer Strasse, Elsterplatz - Roseneck - Pücklerstrasse - Königin-Luise-Strasse - U-Bhf. Oskar-Helene-Heim - Sundgauer Strasse - Winfriedstrasse - Clayallee/Teltower Damm - Rathaus Zehlendorf",15.0,29.0,bus,West,1964
135,AS4,Bhf. Zoo - Savignyplatz - Leibnizstrasse Ecke Kantstrasse - Wilmersdrofer Strasse Ecke Kantstrasse - Amtsgericht - Wundtstrasse Ecke Neue Kantstrasse - Messedamm Ecke Halenseestrasse - Spanische Allee Ecke Kronprizessinnenweg - Bhf. Wannsee - Am Großen Wannsee - Rathaus Wannsee - Stölpchensee,20.0,39.0,bus,West,1964
137,A I,Schlesisches Tor - Görlitzer Bahnhof (Oranienstr.) - Kottbusser Tor - Prinzenstr. - Hallesches Tor - Gleisdreieck - Kurfürstenstr. - Nollendorfplatz - Wittenbergplatz - Zoologischer Garten - Ernst-Reuter-Platz - Deutsche Oper (Bismarckstr.) - Sophie-Charlotte-Platz - Kaiserdamm (Messedamm) - Theodor-Heuss-Platz - Ruhleben,10.0,36.0,u-bahn,West,1964
138,A II,Schlesisches Tor - Görlitzer Bahnhof (Oranienstr.) - Kottbusser Tor - Prinzenstr. - Hallesches Tor - Möckernbrücke - Gleisdreieck - Kurfürstenstr. - Nollendorfplatz - Wittenbergplatz - Augsburger Str. - Spichernstrasse - Hohenzollernplatz - Fehrbelliner Platz - Heidelberger Platz - Rüdesheimer Platz - Breitenbachplatz - Podbielskiallee - Dahlem-Dorf - Thielplatz - Oskar-Helene-Heim - Onkel Toms Hütte - Krumme Lanke,10.0,40.5,u-bahn,West,1964
139,A III,Deutsche Oper (Bismarckstr.) - Richard-Wagner-Platz,10.0,2.0,u-bahn,West,1964
140,B I,Nollendorfplatz - Bayerischer Platz - Innsbrucker Platz,5.0,6.0,u-bahn,West,1964
141,B III,Wittenbergplatz - Kurfürstendamm - Uhlandstrasse,10.0,3.0,u-bahn,West,1964
142,C I,Tegel - Borsigwerke - Holzhauser Str. - Seidelstr. (Flughafen Tegel) - Scharnweberstr. (Eichborndamm) - Kurt-Schumacher-Platz - Afrikanische Str. - Rehberge - Seestr. - Leopoldplatz - Bahnhof Wedding - Reinickendorfer Str. - Bahnhof Friedrichstr. (Stadtbahn) - Kochstr. - Hallesches Tor - Mehringdamm - Gneisenaustr. - Südstern - Hermannplatz - Rathaus Neukölln - Karl-Marx-Str. - Neukölln (Südring) - Grenzallee - Blaschkoallee - Parchimer Allee - Britz-Süd,5.0,45.0,u-bahn,West,1964
143,C II,Mehringdamm - Flughafen - Paradestr. - Tempelhof (Südring),5.0,5.0,u-bahn,West,1964
144,D,Gesundbrunnen - Voltastr. - Moritzplatz - Kottbusser Tor - Kottbusser Damm (Schönleinstr.) - Hermannplatz - Boddinstr. - Leinestr.,10.0,19.5,u-bahn,West,1964
145,G,Leopoldplatz - Amrumer Strasse - Pulitzstrasse - Birkenstrasse - Turmstrasse - Hansaplatz - Zoologischer Garten - Kurfürstendamm - Spichernstrasse,3.5,10.5,u-bahn,West,1964
146,KBS 100,Gesundbrunnen - Wedding - Putlitzstr. - Beusselstr. - Jungfernheide - Westend - Witzleben - Westkreuz - Halensee - Hohenzollerndamm - Schmargendorf - Wilmersdorf - Innsbrucker Platz - Schöneberg - Papestr. - Tempelhof - Hermannstr. - Neukölln - Sonnenallee,,,s-bahn,West,1964
147,KBS 100a,Gesundbrunnen - Wedding - Putlitzstr. - Beusselstr. - Jungfernheide - Siemensstadt-Fürstenbrunn - Spandau - Spandau West - Staaken,,,s-bahn,West,1964
148,KBS 100c,Heiligensee - Schulzendorf (b Tegel) - Tegel - Eichbornstr. - Wittenau (Kremmener Bahn) - Reinickendorf - Schönholz - Wollankstr. - Gesundbrunnen - Humboldthain - Friedrichstr. - Anhalter Bahnhof - Yorckstr. - Papestr. - Priesterweg - Mariendorf - Marienfelde - Buckower Ch. - Lichtenrade,,,s-bahn,West,1964
149,KBS 100b,Jungfernheide - Wernerwerk - Siemensstadt - Gartenfeld,,,s-bahn,West,1964
150,KBS 100d,Gesundbrunnen - Humboldthain - Friedrichstr. - Anhalter Bahnhof - Yorckstr. - Papestr. - Priesterweg - Südende - Lankwitz - Lichterfelde Ost - Lichterfelde Süd,,,s-bahn,West,1964
151,KBS 100e,Frohnau - Hermsdorf - Waidmannslust - Wittenau (Nordbahn) - Wilhelmsruh - Schönholz - Wollankstr. - Gesundbrunnen - Humboldthain - Friedrichstr. - Anhalter Bahnhof - Großgörschenstr. - Schöneberg - Friedenau - Feuerbachstr. - Steglitz - Botanischer Garten - Lichterfelde West - Sundgauer Str. - Zehlendorf - Lindenthaler Allee - Schlachtensee - Nikolassee - Wannsee,,,s-bahn,West,1964
152,KBS 100f,Zehlendorf - Düppel-Kleinmachnow,,,s-bahn,West,1964
153,KBS 100g,Friedrichstr. - Lehrter Stadtbahnhof - Bellevue - Tiergarten - Zoologischer Garten - Savignyplatz - Charlottenburg - Westkreuz - Eichkamp - Heerstr. - Olympiastadion - Pichelsberg - Spandau - Spandau West,,,s-bahn,West,1964
154,KBS 100h,Friedrichstr. - Lehrter Stadtbahnhof - Bellevue - Tiergarten - Zoologischer Garten - Savignyplatz - Charlottenburg - Westkreuz - Grunewald - Nikolassee - Wannsee,,,s-bahn,West,1964
155,KBS 100k,Zoologischer Garten - Savignyplatz - Charlottenburg - Halensee - Hohenzollerndamm - Schmargendorf - Wilmersdorf - Innsbrucker Platz - Schöneberg - Papestr. - Tempelhof - Hermannstr. - Neukölln - Köllnische Heide,,,s-bahn,West,1964
175,Wannsee<>Kladow (Betrieb durch Stern und Kreisschiffahrt),Kladow - Wannsee,60.0,20.0,Fähre,West,1964
