,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
0,Adamstrasse Ecke Wilhelmstrasse,bus,['A13'],,,,
1,Adlershof,s-bahn,"['KBS 100a', 'KBS 103']","52.434722222222,13.541388888889",Q323551,"KBS 103,KBS 100a+ KBS 103,KBS 100a,KBS 106+ KBS 106a,KBS 103,KBS 103a",Berlin-Adlershof station+ Berlin-Adlershof station+ Berlin-Adlershof station
2,Adolf-Scheidt-Platz,strassenbahn,['95'],"52.478194856980814, 13.37836902238447",nan,95+ 96+ 96,Adolf-Scheidt-Platz+ Adolf-Scheidt-Platz+ Adolf-Scheidt-Platz
3,Afrikanische Str.,u-bahn,['C I'],"52.560027777778,13.334633333333",Q559239,"C I,C II+ C I+ C I",Afrikanische Straße+ Afrikanische Straße+ Afrikanische Straße
4,"Ahrensfeld, Lichtenbergerstrasse",bus,['A46'],,,,
5,Alboinstrasse Ecke Schönebergerstrasse,strassenbahn,['6'],,,,
6,Albrechtshof,s-bahn,['KBS 103'],"52.5494,13.1283",Q800470,KBS 103+ KBS 103+ KBS 103,Berlin Albrechtshof station+ Berlin Albrechtshof station+ Berlin Albrechtshof station
7,Alexanderplatz,s-bahn,"['KBS 102', 'KBS 101', 'KBS 103']","52.521388888889,13.411944444444",Q111324700,"KBS 102,KBS 103,KBS 101+ KBS 101,KBS 103,KBS 102+ KBS 101,KBS 102,KBS 103,KBS 103a,KBS 104",S-Bahnhof Berlin Alexanderplatz+ S-Bahnhof Berlin Alexanderplatz+ S-Bahnhof Berlin Alexanderplatz
8,Alexanderplatz,u-bahn,"['D', 'E', 'A I']","52.5214,13.4119",Q17173458,"E,D,A I,A II+ A,E+ A,E",Alexanderplatz u-bahn station+ Alexanderplatz u-bahn station+ Alexanderplatz u-bahn station
9,"Alexanderplatz, Grunerstrasse",strassenbahn,"['74', '22', '71', '72']","52.52008326268696, 13.41408418961877",nan,"82,74,74E,72,71+ 71+ 71","Alexanderplatz, Grunerstrasse+ Alexanderplatz, Grunerstrasse+ Alexanderplatz, Grunerstrasse"
10,"Alexanderplatz, Grunestrasse",strassenbahn,['64'],"52.52008326268696, 13.41408418961877",nan,64,"Alexanderplatz, Grunerstrasse"
11,"Alexanderplatz, Memhardstr.",strassenbahn,['1'],"52.5233439,13.4110773","Q65227406+Q65227406, Q65227406","1, 63,11,72,74E,22,74+ 1",", Memhardstraße+ nan+ Memhardstraße"
12,"Alexanderplatz, Memhardstrasse",strassenbahn,"['63', '69', '11']","52.5233439,13.4110773",Q65227406,"63,69,11,22+ 11,72,74E,82,22,74,63,69",Memhardstraße+ nan
13,"Alt-Biesdorf, Oberfeldstrasse",bus,['A8'],"52.50918606891929, 13.553347058493491",",+nan","A8+ O37, A8,A8E+ O37,A8,A8E","Alt-Biesdorf, Oberfeldstrasse+ , Alt-Biesdorf, Oberfeldstrasse+ nan+ Alt-Biesdorf, Oberfeldstrasse"
14,Alt-Kladow,bus,['A34'],"52.454591413254434, 13.144488043956764",nan,"A35,A34+ A34,A35+ A34,A35",Alt-Kladow+ Alt-Kladow+ Alt-Kladow
15,Alt-Kladow Ecke Kladower Damm,bus,['A35'],"52.453456955410275, 13.143930501157236",nan,A35E,nan
16,Alt-Mariendorf,strassenbahn,['99'],"52.4401532176395, 13.387265005984174",nan,99,Alt-Mariendorf
17,Alt-Marienfelde Ecke Marienfelderallee,bus,['A52'],,,,
18,"Alt-Marzahn, Kirche",bus,"['A37', 'O37']","52.542423454435976, 13.564061751343658",nan,O37+ O37+ O37,"Alt-Marzahn, Kirche+ Alt-Marzahn, Kirche+ Alt-Marzahn, Kirche"
19,Alt-Moabit/Paulstrasse,bus,['A24'],,,,
20,Alt-Müggelheim,bus,['A27'],"52.41018331064196, 13.665897531850348",nan,A27,Alt-Müggelheim
21,Alt-Reinickendorf Ecke Roedernstrasse,bus,"['A12', 'A12S']",,,,
22,Alt-Schmöckwitz,strassenbahn,['86'],"52.3752767,13.649549",Q66459540,86+ 86+ 86,Alt-Schmöckwitz+ Alt-Schmöckwitz+ Alt-Schmöckwitz
23,Alt-Tegel,bus,['A15'],,,,
24,Alt-Tegel Ecke Schloßstrasse,strassenbahn,"['28', '29']",,,,
25,Alt-Tegel/Gorkistrasse,bus,['A13'],,,,
26,Alt-Tempelhof,strassenbahn,"['98', '99']","52.4660774066416, 13.3856316379907",nan,"99,98,96",Alt-Tempelhof
27,Alt-Tempelhof Ecke Tempelhofer Damm,strassenbahn,['96'],,,,
28,Alt-Wittenau Ecke Holzhauserstrasse,bus,"['A21', 'A15']",,,,
29,Alt-Wittenau Ecke Oranienburgerstrasse,strassenbahn,['68'],,,,
30,"Altglienicke, Am Falkenberg",strassenbahn,['84'],"52.41079970042163, 13.570452931545786",nan,84+ 84,"Altglienicke, Am Falkenberg+ Altglienicke, Am Falkenberg"
31,"Altglienicke, Kirche",bus,['A23'],"52.421845729296805, 13.539407702079252",nan,A23+ A23+ A23,"Altglienicke, Kirche+ Altglienicke, Kirche+ Altglienicke, Kirche"
32,Am Grossen Wannsee,bus,['A6'],"52.420496581432594, 13.167192967572669",nan,"A6,A18,A51,A3+ A6,A51,A18+ A18,A51",Am Grossen Wannsee Ecke Königstrasse+ Am Grossen Wannsee Ecke Königstrasse+ Am Grossen Wannsee Ecke Königstrasse
33,Am Knie,bus,['A2'],,,,
34,Am Knie,strassenbahn,['2'],,,,
35,Am Kupfergraben,strassenbahn,"['1', '46']","52.5194208,13.3953839",Q65055027,"1+ 46,70,1+ 46,70,11",Am Kupfergraben+ Am Kupfergraben+ Am Kupfergraben
36,Am Rosenhag,bus,"['A44E', 'A44']","52.52474356253909, 13.621775828105108",nan,"A44E,A44+ A44,A44E+ A44,A44E",Am Rosenhag+ Am Rosenhag+ Am Rosenhag
37,"Am Steinberg, Thulestrasse",strassenbahn,['71'],,,,
38,Am Vierrutenberg,bus,['A20'],,,,
39,Am Wilden Eber,bus,['A10'],,,,
40,Amtsgerichsplatz,bus,['A10'],"52.50685665976427, 13.295057483522156",nan,A10+ A10,Amtsgerichsplatz+ Amtsgerichsplatz
41,Amtsgericht,strassenbahn,['75'],"52.50682617853116, 13.297391449613752",nan,"76,75+ 75,76+ 75,76",Amtsgericht+ Amtsgericht+ Amtsgericht
42,Amtsgericht Charlottenburg,bus,['A21'],"52.50571853839105, 13.295347400894903",nan,A21+ A21+ A21,Amtsgericht Charlottenburg+ Amtsgericht Charlottenburg+ Amtsgericht Charlottenburg
43,Andreasstrasse,bus,['O30'],"52.51797306914227, 13.432895480772247",nan,O30+ O30+ O30,Andreasstrasse/Lebuser Strasse+ Andreasstrasse/Lebuser Strasse+ Andreasstrasse/Lebuser Strasse
44,Anhalter Bahnhof,s-bahn,"['KBS 106', 'KBS 105', 'KBS 104']","52.503055555556,13.381944444444",Q111324573,"KBS 106,KBS 105,KBS 104+ KBS 104,KBS 105,KBS 106+ KBS 100d,KBS 100c,KBS 100e",S-Bahnhof Berlin Anhalter Bahnhof+ S-Bahnhof Berlin Anhalter Bahnhof+ S-Bahnhof Berlin Anhalter Bahnhof
45,Anhalter Bahnhof,strassenbahn,['88'],"52.50453275122, 13.382326534592197",nan,88,Anhalter Bahnhof
46,Anhalter Bhf.,bus,"['A24', 'A29']","52.504693895352524, 13.381969502572149",nan,"A24,A29",Anhalter Bhf.
47,Antonplatz,strassenbahn,"['70', '74', '3', '72']","52.5484803,13.4517416",Q65548849,"74,70,74E,72,3+ 3,70,72,74E,74+ 72,74E,3,74,70",Antonplatz+ Antonplatz+ Antonplatz
48,"Arnsalder Platz, Dimitroffstrasse",bus,['A9'],,,,
49,Arnswalder Platz,strassenbahn,"['13', '4']",,,,
50,Aroserallee Ecke Reinickendorferstrasse,strassenbahn,['41'],,,,
51,Asternplatz,bus,['A48'],,,,
52,Attilaplatz,bus,['A25'],"52.45590179888225, 13.376512495751076",nan,"A25,AS2+ A25,AS2,A68+ AS2s,A25,A68",Attilaplatz+ Attilaplatz+ Attilaplatz
53,Attilaplatz,strassenbahn,"['95', '96']","52.455498340147045, 13.375619638525905",nan,"95,96+ 96+ 96",Attilaplatz+ Attilaplatz+ Attilaplatz
54,Augustenburger Platz,bus,['A16'],"52.542186362228115, 13.34942313975666",nan,A64,nan
55,Augustenburger Platz,strassenbahn,['23'],"52.54195473048106, 13.349004434392675",nan,25,Augustenburger Platz
56,"BVG-Bf. Lichtenberg, Siegfriedstrasse",strassenbahn,['69'],"52.5206411,13.4994454",Q66014798,"69E,69",Betriebshof Lichtenberg
57,"BVG-Bf. Lichtenberg, Siegfriestrasse",bus,['O30'],"52.52004640241046, 13.499373630980266",nan,O30,"BVG-Bf. Lichtenberg, Siegfriedstrasse"
58,Babelsberg,s-bahn,['KBS 102'],"52.3914,13.0928",Q801326,KBS 102+ KBS 102,Potsdam-Babelsberg station+ Potsdam-Babelsberg station
59,Badenschestrasse Ecke Berlinerstrasse,strassenbahn,['60'],,,,
60,Badenschestrasse Ecke Bundeasallee,bus,['A25'],,,,
61,Badenschestrasse Ecke Martin-Luther-Strasse,strassenbahn,['25'],,,,
62,Badewiese Ecke Kladower Damm,bus,"['A35', 'A34']",,,,
63,Badstrasse Ecke Prinzenallee,strassenbahn,['23'],,,,
64,Baerwaldstrasse Ecke Urbanstrasse,strassenbahn,['95'],"52.493899843231475, 13.403460093532933",nan,95+ 95,nan+ nan
65,Bahnhof Friedrichstr. (Stadtbahn),u-bahn,['C I'],"52.520111111111,13.388305555556",Q3753274,"C I,C II+ C I+ C I",Friedrichstraße metro station+ Friedrichstraße metro station+ Friedrichstraße metro station
66,Bahnhof Lichtenberg (Zentralfriedhof),u-bahn,['E'],"52.510556,13.496389",Q3831986,E+ E+ E,Lichtenberg metro station+ Lichtenberg metro station+ Lichtenberg metro station
67,Bahnhof Tempelhof,strassenbahn,['98'],"52.46587999632718, 13.38561353594905",nan,98,Bahnhof Tempelhof
68,Bahnhof Wedding,u-bahn,['C I'],"52.5425,13.366111",Q4018733,"C I,C II+ C I+ C I",U-Bahnhof Wedding+ U-Bahnhof Wedding+ U-Bahnhof Wedding
69,Bahnhofstrasse Ecke Königstrasse,bus,['A51'],,,,
70,Bahnhofstrasse Ecke Lindenstrasse,bus,['A27'],"52.45096281111, 13.572146868709519",nan,A27+ A27+ A27,Bahnhofstrasse Ecke Lindenstrasse+ Bahnhofstrasse Ecke Lindenstrasse+ Bahnhofstrasse Ecke Lindenstrasse
71,Bahnhofstrasse Ecke Lindenstrasse,strassenbahn,['87'],"52.4505094,13.572684","Q66095701+Q66095701, Q66095701","82,87+ 82,87, 83,95,84,86+ 84,87","Bahnhofstraße/Lindenstraße+ Bahnhofstraße/Lindenstraße, Bahnhofstraße/Lindenstraße+ Bahnhofstraße/Lindenstraße+ Bahnhofstraße/Lindenstraße"
72,"Bahnhofstrasse, Bhf. wannsee",bus,['A18'],,,,
73,Baltenring,bus,['A49'],,,,
74,Baselerstrasse,strassenbahn,"['77', '78']",,,,
75,Baumschulenstrasse,strassenbahn,"['92', '91']","52.469081846595664, 13.491329912138305",nan,"92+ 95,92+ 92,95",Baumschulenstrasse Ecke Köpenicker Landstrasse+ Baumschulenstrasse Ecke Köpenicker Landstrasse+ Baumschulenstrasse Ecke Köpenicker Landstrasse
76,Baumschulenstrasse Ecke Südostallee,bus,['A47'],"52.46095841731415, 13.481191835004426",nan,A47+ A47+ A47,Baumschulenstrasse Ecke Südostallee+ Baumschulenstrasse Ecke Südostallee+ Baumschulenstrasse Ecke Südostallee
77,Baumschulenweg,s-bahn,"['KBS 103a', 'KBS 100a', 'KBS 103']","52.4675,13.489722",Q324336,"KBS 103,KBS 103a,KBS 100a+ KBS 103,KBS 103a,KBS 100a,KBS 106+ KBS 106a,KBS 106,KBS 103,KBS 103a",Berlin-Baumschulenweg station+ Berlin-Baumschulenweg station+ Berlin-Baumschulenweg station
78,"Baumschulenweg, Sonnenallee",strassenbahn,['95'],"52.46729434178432, 13.489094025693007",nan,95,"Baumschulenweg, Sonnenallee"
79,Bayerischer Platz,u-bahn,['B II'],"52.488333333333,13.340277777778",Q668574,B III+ B III+ B I,Bayerischer Platz station+ Bayerischer Platz station+ Bayerischer Platz station
80,Beckerstrasse Ecke Rubensstrasse,strassenbahn,['66'],,,,
81,"Beerwinkel, Wasserwerk",bus,['A5'],,,,
82,Behring-Krankenhaus,bus,['A10'],"52.42410894567823, 13.251764544509987",nan,A10+ A10+ A10,Behring-Krankenhaus+ Behring-Krankenhaus+ Behring-Krankenhaus
83,Bellevue,s-bahn,"['KBS 102', 'KBS 101', 'KBS 103']","52.52,13.348055555556",Q374018,"KBS 102,KBS 103,KBS 101+ KBS 101,KBS 102+ KBS 100h,KBS 100g",Berlin Bellevue station+ Berlin Bellevue station+ Berlin Bellevue station
84,Belziger Strasse Ecke Martin-Luther-Strasse,strassenbahn,['66'],,,,
85,Benzolwerk,strassenbahn,['84'],"52.426414690299055, 13.546444409734137",nan,84+ 84,Benzolwerk+ Benzolwerk
86,"Bergfelde, Karl-Marx-Strasse",bus,['AN'],"52.665111405939506, 13.307446011435928",nan,AN,"Bergfelde, Karl-Marx-Strasse"
87,Berliner Strasse Ecke Wilhelmstrasse,bus,['A11'],,,,
88,Berlinerstrasse,bus,['A2'],,,,
89,Berlinerstrasse Ecke Bernauerstrasse,bus,['A13'],,,,
90,Berlinerstrasse Ecke Blissestrasse,strassenbahn,['44'],,,,
91,Berlinerstrasse Ecke Bundesallee,bus,['A25'],,,,
92,Berlinerstrasse Ecke Teltower Damm,bus,['A48'],,,,
93,Berlinerstrasse Ecke Thielallee,bus,['A10'],,,,
94,Berlinerstrasse Ecke Uhlandstrasse,strassenbahn,['51'],,,,
95,Berlinerstrasse/Alt-Tegel,bus,"['A20', 'A14']",,,,
96,Berlinickeplatz,strassenbahn,['95'],"52.466329675590764, 13.378144688199017",nan,95+ 96+ 96,Berlinickeplatz Ecke Manteuffelstrasse+ Berlinickeplatz Ecke Manteuffelstrasse+ Berlinickeplatz Ecke Manteuffelstrasse
97,Bernau (b Bln),s-bahn,['KBS 106'],"52.6763,13.5931",Q479789,KBS 106+ KBS 106+ KBS 106,Bernau bei Berlin station+ Bernau bei Berlin station+ Bernau bei Berlin station
98,Bernauer Str.,u-bahn,['D'],"52.5375,13.396666666667",Q689293,D,Bernauer Straße station
99,Bernauerstrasse Ecke Berlinerstrasse,strassenbahn,"['41', '28', '29', '25']",,,,
100,Bernauerstrasse Ecke Wollinerstrasse,strassenbahn,"['24', '41', '2']",,,,
101,Bersarinplatz,strassenbahn,"['13', '4']","52.519215,13.4525257",Q65706258,"4,13+ 13,4+ 4,13",Bersarinplatz+ Bersarinplatz+ Bersarinplatz
102,Bersarinstr. (Frankfurter Tor),u-bahn,['E'],"52.515833333333,13.454166666667",Q568627,E,Frankfurter Tor metro station
