,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
1183,Rathenauplatz,bus,"{'69', '10', '65'}","52.49476692065044, 13.28558322563665",nan,"['65', '10', '69']",
1184,Rathenaustrasse,strassenbahn,"{'21', '26', '25', '19', '82'}","52.45839999273065, 13.526636078406641","nan, nan","['19'], ['26', '21', '85', '25', '82']",
1185,Rathenower Strasse,bus,"{'99', '24', '90', '70', '72'}",,,,
1186,Rathhaus Lichtenberg,strassenbahn,{'12'},,,,
1187,Rauchstrasse,bus,"{'97', '56', '55'}","52.56158033427233, 13.208497165613881",nan,"['55', '97', '56']",
1188,Ravensberger Strasse,bus,{'74'},,,,
1189,Reginhardstrasse,bus,"{'61', '16'}","52.55973623829915, 13.369825086746086",nan,"['61', '16']",
1190,Rehberge,u-bahn,{'6'},"52.5567,13.3412",Q253850,['6'],
1191,Reichartstrasse,bus,{'73'},,,,
1192,Reichssportfeldstrasse,bus,{'92'},"52.507517684394834, 13.242104839695287",nan,['94'],
1193,Reichsstrasse,bus,{'54'},"52.523889003718295, 13.249291006923162",nan,['54'],
1194,Reichstag,bus,{'69'},"52.517799188341854, 13.375996413386812",nan,['69'],
1195,Reimerweg,bus,{'97'},"52.52173113162445, 13.155046653249078",nan,['97'],
1196,Reinickendorf,s-bahn,{'153'},,,,
1197,Reinickendorf Klemkestrasse/Sommerstrasse,bus,{'16'},"52.57478477098419, 13.37354774742704",nan,['16'],
1198,Reinickendorfer Strasse,u-bahn,{'6'},,,,
1199,Rennbahn Mariendorf,bus,"{'76', '79', '78', '76E', '7'}",,,,
1200,Rennbahnstrasse,bus,{'41'},"52.557029825201695, 13.466976894786637",nan,['41'],
1201,Residenzstrasse,bus,"{'8', '61', '14', '16'}","52.56381283897653, 13.364253153053868+52.57050931699572, 13.360816126370876",nan,"['61', '8']+ ['16', '14']",
1202,Reuchlinstrasse,bus,{'24'},"52.5278079827492, 13.324842775070394",nan,['24'],
1203,Reußstrasse,bus,"{'56', '55'}","52.560137874398194, 13.208162628463588",nan,"['55', '56']",
1204,Revaler Strasse,bus,{'34'},,,,
1205,Rhinstrasse,bus,"{'76E', '54'}",,,,
1206,Rhinstrasse,strassenbahn,"{'18', '12', '11'}",,,,
1207,Rhodeländerweg,bus,{'57'},"52.40713328930192, 13.484808389563007",nan,['57'],
1208,Richard-Strauß-Strasse,bus,{'19'},"52.479965234142696, 13.271554896480897",nan,['19'],
1209,Richard-Wagner-Platz,u-bahn,{'7'},"52.5175,13.306388888889",Q662201,['7'],
1210,Riedingerstrasse,bus,{'76E'},"52.38669123593835, 13.40074373073594",nan,['76E'],
1211,Ringslebenstrasse,bus,{'91'},,,,
1212,Rittberg-Krankenhaus,bus,{'85'},"52.42987951650218, 13.288961460110901",nan,['85'],
1213,Ritterfelddamm/Alt-Kladow,bus,{'35'},"52.45430591400899, 13.144340198276218",nan,['35'],
1214,Ritterlandweg,bus,"{'22', '8'}","52.560372075724004, 13.368987882993496",nan,"['8', '22']",
1215,Robert-Koch-Platz,bus,"{'30', '40'}","52.527570508835595, 13.37877230286134",nan,"['30', '40']",
1216,Robert-Siewert-Strasse,bus,{'94'},"52.49299343685124, 13.537803970993119",nan,['94'],
1217,Rochowstrasse,bus,{'34'},"52.499504196943626, 13.458048159576794",nan,['34'],
1218,Roedernallee,bus,"{'12', '62', '64', '14'}",,,,
1219,Roedernallee/Paracelsus-Bad,bus,{'22'},"52.57541300102986, 13.347797381139875",nan,['22'],
1220,Roelckestrasse,strassenbahn,"{'3', '20'}",,,,
1221,Rohrdamm,u-bahn,{'7'},"52.537222222222,13.2625",Q570911,['7'],
1222,Rohrweihstrasse,bus,{'14E'},"52.59040403175795, 13.224337522478312",nan,['14E'],
1223,Rolandstrasse,bus,{'50'},"52.58226868825605, 13.41681073833319",nan,['50'],
1224,Rosa-Luxemburg-Platz,u-bahn,{'A'},"52.528333333333,13.410277777778",Q658790,['A'],
1225,Roseggerstrasse,strassenbahn,{'83'},,,,
1226,Roseneck,bus,"{'17', '60'}","52.47580089902253, 13.282411270445099",nan,"['60', '17']",
1227,"Rosenthal, Quickborner Strasse",strassenbahn,{'22'},,,,
1228,Rosenthaler Platz,bus,"{'78', '78E', '30', '40'}","52.5296729549826, 13.401428926082492",nan,"['30', '78', '78E', '40']",
1229,Rosenthaler Platz,strassenbahn,"{'18', '49', '11'}",,,,
1230,Rosenthaler Strasse,strassenbahn,{'49'},,,,
1231,Rotkopfweg,bus,{'93'},,,,
1232,Rubensstrasse,bus,{'25'},"52.46719629887777, 13.344180031084372",nan,['25'],
1233,Rubensstrasse/Krankenhaus,bus,{'76'},,,,
1234,Rudolf-Schwarz-Strasse,bus,{'57'},,,,
1235,Rudolstädter Strasse,bus,"{'50', '21'}",,,,
1236,Rudow,u-bahn,{'7'},"52.415833333333,13.496111111111",Q660024,['7'],
1237,Rudow Stadtgrenze,bus,{'41'},"52.401396246491636, 13.513752704948178",nan,['41'],
1238,Rudow Stubenrauchstrasse,bus,{'52'},"52.42413109104233, 13.48548111318564",nan,['52'],
1239,Rudower Chaussee,bus,{'23'},"52.42943744244677, 13.52950856960954",nan,['23'],
1240,Rudower Ring (U-Bhf. Zwickauer Damm),bus,{'57'},"52.42316772174534, 13.484176739454373",nan,['57'],
1241,Rudower Strasse,bus,"{'52', '37'}",,,,
1242,Ruhleben,u-bahn,{'1'},"52.525555555556,13.241388888889",Q656401,['1'],
