,stop_id,stop_name,type,location,in_lines,identifier
0,19760,Achtermannstrasse,bus,"52.57652468032656, 13.418517187666131",['52'],nan
1,19761,Adalbertstrasse,bus,"52.50548699996121, 13.42221404498021","['75', '78']",nan
2,19762,Adamstrasse,bus,"52.521029117218866, 13.19780699419913","['35', '97', '34']",nan
3,19763,Adamstrasse/Wilhelmstrasse,bus,"52.5210885080291, 13.18793717048703",['92'],nan
4,19764,Adenauerplatz,bus,"52.5000625313404, 13.307046279256586","['69', '86', '89', '9', '19', '74', '29']",nan
5,19765,Adlergestell,bus,"52.42906836522549, 13.550721825592491",['23'],nan
6,19766,Adlershof,s-bahn,"52.434722222222,13.541388888889","['110', '140', '141', '115']",Q323551
7,19767,Adolf-Martens-Strasse,bus,"52.4439303939079, 13.288858198599703",['11'],nan
8,19768,Adolf-Scheidt-Platz/Krankenhaus,bus,"52.47818518185836, 13.37828632745728",['96'],nan
9,19769,Afrikanische Str. (Friedrich-Ebert-Siedlung),u-bahn,"52.560027777778,13.334633333333",['6'],Q559239
10,197610,Afrikanische Strasse,bus,"52.54630534791768, 13.343982606132034","['89', '65', '64']",nan
11,197611,Ahrensdorfer Strasse,bus,"52.40904426274492, 13.359316733496573",['52'],nan
12,197612,Akademie der Wissenschaften,bus,"52.6361286884856, 13.501898618531815",['51'],nan
13,197613,Albertstrasse,bus,"52.4844490887776, 13.352821218973295","['75', '48']",nan
14,197614,Alboinplatz,bus,"52.46105995730699, 13.369787146273511",['74'],nan
15,197615,Alboinstrasse,bus,"52.46990229894651, 13.372044983558128","['73', '65', '74']",nan
16,197616,Alboinstrasse Ecke Arnulfstrasse,bus,"52.455734475168725, 13.369897515809024",['68'],nan
17,197617,Albrechtstrasse,bus,"52.44699308706475, 13.342439352513631","['17', '30', '81', '2', '83']",nan
18,197618,Albrechtstrasse,bus,"52.45654850047487, 13.322386656459386",['84'],nan
19,197619,Albrechtstrasse,bus,"52.461538575992826, 13.376822231146619","['96', '68'], ['96', '68']","nan, nan"
