Column,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
0,Achtermannstrasse,bus,['52'],"52.57652468032656, 13.418517187666131",,,
1,Adalbertstrasse,bus,"['75', '78']","52.50548699996121, 13.42221404498021",nan,A1P+ ['A18'],nan+ nan
2,Adamstrasse,bus,"['35', '97', '34']","52.521029117218866, 13.19780699419913",nan,"A35,A34+ A34,A35+ A34,A35",Adamstrasse Ecke Pichelsdorfer Strasse+ Adamstrasse Ecke Pichelsdorfer Strasse+ Adamstrasse Ecke Pichelsdorfer Strasse
3,Adamstrasse/Wilhelmstrasse,bus,['92'],"52.5210885080291, 13.18793717048703",,,
4,Adenauerplatz,bus,"['69', '86', '89', '9', '19', '74', '29']","52.5000625313404, 13.307046279256586",,,
5,Adlergestell,bus,['23'],"52.42906836522549, 13.550721825592491",,,
6,Adlershof,s-bahn,"['110', '140', '141', '115']","52.434722222222,13.541388888889",Q323551,"['KBS 100a', 'KBS 103']+ ['KBS 100a', 'KBS 103']+ KBS 103,KBS 100a+ KBS 103,KBS 100a,KBS 106+ KBS 106a,KBS 103,KBS 103a+ ['KBS 103', 'KBS 103a', 'KBS 106a', 'KBS 105']",nan+ nan+ Berlin-Adlershof station+ Berlin-Adlershof station+ Berlin-Adlershof station+ nan
7,Adolf-Martens-Strasse,bus,['11'],"52.4439303939079, 13.288858198599703",,,
8,Adolf-Scheidt-Platz/Krankenhaus,bus,['96'],"52.47818518185836, 13.37828632745728",,,
9,Afrikanische Strasse,bus,"['89', '65', '64']","52.54630534791768, 13.343982606132034",nan,A16+ A64+ A16,Afrikanische Strasse Ecke Seestrasse +  Afrikanische Strasse Ecke Müllerstrasse+ Afrikanische Strasse Ecke Seestrasse
10,Ahrensdorfer Strasse,bus,['52'],"52.40904426274492, 13.359316733496573",,,
11,Akademie der Wissenschaften,bus,['51'],"52.6361286884856, 13.501898618531815",nan,['51B'],nan
12,Albertstrasse,bus,"['75', '48']","52.4844490887776, 13.352821218973295",,,
13,Alboinstrasse ; Alboinstrasse Ecke Arnulfstrasse,bus,"['73', '65', '74'] ; ['68']","52.46990229894651, 13.372044983558128 ; 52.455734475168725, 13.369897515809024",,,
14,Albrechtstrasse ; Albrechtstrasse,bus,"['96', '68']","52.461538575992826, 13.376822231146619",,,
15,Albrechtstrasse,bus,"['17', '30', '81', '2', '83'] ; ['84']","52.44699308706475, 13.342439352513631 ; 52.45654850047487, 13.322386656459386",nan,A57,Albrechtstrasse Ecke Rheinhardtstrasse
16,Alexanderplatz,bus,"['9', '78', '57']","52.5219449,13.4143847",Q65548996,['A18'],nan
17,Alexanderplatz,s-bahn,"['110', '100', '105', '115']","52.521388888889,13.411944444444",Q111324700,"['KBS 101', 'KBS 103', 'KBS 102']+ ['KBS 102', 'KBS 101', 'KBS 103']+ KBS 102,KBS 103,KBS 101+ KBS 101,KBS 103,KBS 102+ KBS 101,KBS 102,KBS 103,KBS 103a,KBS 104+ ['KBS 103', 'KBS 102', 'KBS 101', 'KBS 103a']",nan+ nan+ S-Bahnhof Berlin Alexanderplatz+ S-Bahnhof Berlin Alexanderplatz+ S-Bahnhof Berlin Alexanderplatz+ nan
18,Alexanderplatz,u-bahn,"['A', 'E']","52.5214,13.4119",Q17173458,"['A I', 'D', 'E']+ ['D', 'E', 'A I']+ E,D,A I,A II+ A,E+ A,E+ ['A', 'E']",nan+ nan+ Alexanderplatz u-bahn station+ Alexanderplatz u-bahn station+ Alexanderplatz u-bahn station+ nan
19,Alexanderstrasse,bus,['79'],"52.51386856319859, 13.417677915769008",,,
20,Alexandrinenstrasse,bus,"['41', '29']","52.50514667360263, 13.4052810548807",,,
21,Alsen-/Fregestrasse,bus,['76'],"52.46381573178922, 13.33148620356095",,,
22,Alsen-/Fregstrasse,bus,"['81', '2']","52.46374242546418, 13.331639020201665",,,
23,Alt-Buckow,bus,"['91', '78']","52.42367373113363, 13.436635183302798",,,
24,Alt-Gatow,bus,['34E'],"52.48354259089879, 13.182970819429137",,,
25,Alt-Heiligensee,bus,"['14', '13']","52.60616921042186, 13.210646859320935",nan,"A14,A13+ A14,A13+ A14,A13+ ['A14E']",Alt-Heiligensee+ Alt-Heiligensee+ Alt-Heiligensee+ nan
26,Alt-Karow,bus,"['31', '42']","52.60931228539711, 13.481265848599735",nan,A42+ ['A42'],nan+ nan
27,Blankenburg,bus,['42'],"52.5814876422036, 13.445171400473535",,,
28,Alt-Lankwitz,bus,['81'],"52.43848298401557, 13.354194783337245",,,
29,"Alt-Lankwitz, Dorfaue",bus,['81'],"52.43908382575332, 13.354417745001864",nan,A81+ ['A81'],nan+ nan
30,Alt-Lankwitz/Krankenhaus,bus,['96'],"52.43730490015878, 13.358440903360284",,,
31,Alt-Lichtenrade,bus,['30'],"52.39426173436838, 13.41108129819545",,,
32,Alt-Lübars,bus,['20'],"52.62035855836396, 13.355625125789404",,,
33,Alt-Mahlsdorf,strassenbahn,['83'],"52.5051992,13.6133347",Q66364530,,
34,Alt-Mariendorf,bus,"['81', '93', '77', '11']","52.44015553185248, 13.387328254903215",nan,AS2+ AS2,Alt-Mariendorf Ecke Mariendorfer Damm+ Alt-Mariendorf Ecke Mariendorfer Damm
35,Alt-Marienfelde,bus,"['11', '52']","52.413385082183694, 13.36338063003787",nan,A52+ A52+ A52,Alt-Marienfelde Ecke Marienfelder Allee+ Alt-Marienfelde Ecke Marienfelder Allee+ Alt-Marienfelde Ecke Marienfelder Allee
36,Alt-Moabit,bus,"['1', '90'] ; ['24'] ; ['16']","52.52381231642733, 13.329817608488819 ; 52.52368883820615, 13.356893941995768 ; 52.52452711686722, 13.3496548557308",nan,A24+ A66+ A24+ A24,Alt-Moabit Ecke Rathenower Strasse +  Alt-Moabit Ecke Wilsnacker Strasse+ Alt-Moabit Ecke Rathenower Strasse+ Alt-Moabit Ecke Rathenower Strasse
37,Alt-Müggelheim,bus,['27'],"52.41018331064196, 13.665897531850348",nan,['A27']+ A27,nan+ Alt-Müggelheim
38,Alt-Pichelsdorf/Freybrücke,bus,['94'],"52.5122477912736, 13.200889215866068",,,
39,Alt-Reinickendorf,bus,['72'],"52.575147029035925, 13.352351303026827",,,
40,Alt-Rudow/Köpenicker Strasse,bus,['57'],"52.41770072121206, 13.49572951039219",,,
41,Alt-Schmöckwitz,strassenbahn,['86'],"52.3752767,13.649549",Q66459540,['86']+ ['86']+ 86+ 86+ 86+ ['86'],nan+ nan+ Alt-Schmöckwitz+ Alt-Schmöckwitz+ Alt-Schmöckwitz+ nan
42,Alt-Stralau,bus,['34'],"52.49250215076991, 13.477901745330643",,,
43,Alt-Tegel/U-Bhf. Tegel,bus,"['15', '20', '13']","52.58989357817254, 13.283311087588116",,,
44,Alt-Wittenau,bus,"['62', '22E', '21'] ; ['12', '14']","52.58973926240553, 13.334237941623051 ; 52.59333225029317, 13.322111304991704","nan+nan, nan","A62+ A21,A15+ A62+ A15,A21+ A62, A62","Alt-Wittenau Ecke Oranienburger Straße +  Alt-Wittenau Ecke Eichborndamm+ Alt-Wittenau Ecke Oranienburger Straße+ Alt-Wittenau Ecke Eichborndamm+ Alt-Wittenau Ecke Oranienburger Straße, Alt-Wittenau Ecke Eichborndamm"
45,"Alt-Wittenau, Kirche",bus,['15'],"52.59234320289579, 13.326780429547306",,,
46,Alte Försterei,strassenbahn,"['26', '25', '85']","52.456506,13.5638379",Q66095713,,
47,Alte Jakobstrasse,bus,"['41', '29']","52.50613416467695, 13.401652450907681",,,
48,Alte-Jakobstrasse,bus,['95'],"52.500273466362906, 13.397070753342504",,,
49,Altenheim Hottengrund,bus,['35E'],"52.44892366863784, 13.114237745947817",nan,A35E+ ['A35E'],nan+ nan
50,Altglienicke,s-bahn,"['140', '115']","52.4073,13.5588",Q4736651,"['KBS 103a', 'KBS 106a']",nan
51,"Altglienicke, Kirche",bus,['23'],"52.421845729296805, 13.539407702079252",nan,['A23']+ A23+ A23+ A23+ ['A23'],"nan+ Altglienicke, Kirche+ Altglienicke, Kirche+ Altglienicke, Kirche+ nan"
52,"Altglienicke, Kirche",strassenbahn,['84'],"52.421845729296805, 13.539407702079252",nan,84+ ['84'],nan+ nan
53,Am Barschsee,bus,['44'],"52.537192166439674, 13.63399884211256",,,
54,Am Beelitzhof,bus,['66'],"52.432202091928794, 13.186661564435827",nan,A3+ A3+ A3,Am Beelitzhof Ecke Kronprinzessinnenweg+ Am Beelitzhof Ecke Kronprinzessinnenweg+ Am Beelitzhof Ecke Kronprinzessinnenweg
55,Am Eichenquast,bus,['91'],"52.41781715081436, 13.449467038795506",,,
56,Am Falkenberg,strassenbahn,['84'],"52.41079970042163, 13.570452931545786",nan,84+ ['84'],nan+ nan
57,Am Friedrichshain,bus,"['9', '57', '32']","52.52873150888438, 13.424352760138131",,,
58,Am Graben,bus,['35'],"52.47903536411806, 13.17933172348599",,,
59,Am Großen Wannsee,bus,"['3', '66', '18']","52.420496581432594, 13.167192967572669",nan,AS4,nan
60,Am Heidefriedhof,bus,['81'],"52.43998235203173, 13.393010546456246",,,
61,Am Juliusturm,bus,"['97'] ; ['55', '13']","52.539578710212595, 13.2054936901799 ; 52.5391851772199, 13.231889166537522",,,
62,Am Kiesteich,bus,"['99', '5']","52.551166212587965, 13.165323363657249",,,
63,Am Kleinen Wannsee,bus,['6'],"52.42038822283073, 13.166405542911209",,,
64,Am Kupfergraben,strassenbahn,"['71', '70', '22', '46']","52.5194208,13.3953839",Q65055027,"['1', '46']+ 1+ 46,70,1+ 46,70,11+ ['71', '46', '70']",nan+ Am Kupfergraben+ Am Kupfergraben+ Am Kupfergraben+ nan
65,Am Nordgraben Ecke Roedernallee,bus,['12'],"52.588108073077045, 13.33987637535727",,,
