,line_id,year,line_name,type,start_stop,Length (time),east_west,Frequency
0,19761,1976,1,bus,"Moabit, Waldstrasse<> Lichterfelde, Lindenstrasse",66,West,12
1,19762,1976,10,bus,"Haselhorster Damm<> Zehlendorf-Süd, Sachtlebenstrasse E. Lupsteiner Weg",0,West,12
2,19763,1976,11,bus,Dahlem Waldfriedhof<> U-Bhf. Alt-Mariendorf,43,West,7
3,19764,1976,12,bus,"Wedding, Bernauer Strasse<> Maximiliankorso E. Hainbuchenstrasse",0,West,15
4,19765,1976,13,bus,Alt-Heiligensee<> Heerstrasse Ecke Weinmeisterhornweg,0,West,13
5,19766,1976,13,strassenbahn,Eberswalder Strasse<> Blockdammweg Ecke Hönower Wiesenweg,36,Ost,15
6,19767,1976,14,bus,Gesundbrunnen Rügener Strasse<> Alt-Heiligensee,0,West,15
7,19768,1976,14,strassenbahn,Artur-Becker-Strasse<> Falkenberger Strasse,17,Ost,12
8,19769,1976,15,bus,Waidmannslust Oraniendamm<> Frohnau Invalidensiedlung,0,West,20
9,197610,1976,15,strassenbahn,Bhf. Berlin-Lichtenberg<> Hackescher Markt,37,Ost,20
10,197611,1976,16,bus,Reinickendorf Klemkestrasse/Sommerstrasse<> Breitenbachplatz Englerallee,0,West,15
11,197612,1976,17,bus,"Grunewald, Fontanestrasse<> Lichterfelde Celsiusstrasse",0,West,10
12,197613,1976,17,strassenbahn,Haeckelstrasse<> Stadion der Weltjugend,68,Ost,10
13,197614,1976,18,bus,U-Bhf. Oskar-Helene-Heim<> Kohlhasenbrück-Steinstücken,0,West,20
14,197615,1976,19,bus,Roseneck<> Platz der Luftbrücke,44,West,10
15,197616,1976,19,strassenbahn,"Köpenick, Krankenhaus<> Artur-Becker-Strasse",73,Ost,20
16,197617,1976,2,bus,"U-Bhf. Friedrich-Wilhelm-Platz<> Marienfelde, Waldsassener Strasse",36,West,7
17,197618,1976,20,bus,Tegelort<> Alt-Lübars,0,West,15
18,197619,1976,21,bus,Quickborner Strasse Märkisches Viertel<> Fehrbelliner Platz,0,West,15
19,197620,1976,21,strassenbahn,"Eberswalder Strasse<> Köpenick, Krankenhaus",72,Ost,20
20,197621,1976,22,strassenbahn,"Rosenthal, Hauptstrasse<> Am Kupfergraben",49,Ost,15
21,197622,1976,22E,bus,U-Bhf. Holzhauser Strasse<> Alt-Wittenau,0,West,15
22,197623,1976,23,bus,Falkenhöhe<> S-Bhf. Adlershof,29,Ost,20
23,197624,1976,23,bus,"Zoo, Hardenbergplatz<> Siemensstadt Rohrdamm E. Buolstraße",0,West,15
24,197625,1976,24,bus,Moabit Wiebestrasse<> Platz der Luftbrücke,41,West,15
25,197626,1976,25,bus,Britz-Süd<> U-Bhf. Friedrich-Wilhelm-Platz,0,West,12
26,197627,1976,25,strassenbahn,Sterndamm<> Rahnsdorf,48,Ost,20
