stop_id,stop_name,type,location,in_lines,identifier,stop_description
194672,Bhf. Lichtenrade,strassenbahn,"52.38669305818232, 13.39694576786419",['99'],,
194673,Bhf. Mahlsdorf,strassenbahn,"52.51253960592773, 13.612269169915399",['83'],,
194674,Bhf. Mariendorf,strassenbahn,"52.447078310256, 13.361439800164863",['96'],,
194675,Bhf. Neukölln,strassenbahn,"52.469429556071695, 13.441761396090287",['6'],,
194676,Bhf. Nikolassee,bus,"52.43378197004219, 13.193152057415048",['17'],,
194677,Bhf. Pankow-Heinersdorf,strassenbahn,"52.5777355,13.4281593",['24'],Q66195804,
194678,Bhf. Papestrasse,strassenbahn,"52.474088737380455, 13.363804736501839",['6'],,
194679,Bhf. Prenzlauer Allee,strassenbahn,"52.5448075,13.427408","['72', '73']",Q65219791,
194680,Bhf. Schöneberg,strassenbahn,"52.479867391229774, 13.352797522353837",['6'],,
194681,Bhf. Schöneweide,strassenbahn,"52.45640818289644, 13.509916574756422",['95'],,
194682,Bhf. Tempelhof,strassenbahn,"52.470773327648985, 13.385638027802058",['99'],,
194683,Bhf. Wannsee,bus,"52.42151302311533, 13.17810256503659",['17'],,
194684,Bhf. Wedding,u-bahn,"52.5425,13.366111",['C'],Q4018733,
194685,Bhf. Weißensee,strassenbahn,"52.540767536231364, 13.438418814778837",['60'],,
194686,Biesdorf,s-bahn,"52.5131,13.5554",['KBS 101'],Q4892357,
194687,Biesdorf-Süd,bus,"52.49390691698614, 13.561942550423845",['D'],,
194688,Birkenwerder,s-bahn,"52.6885,13.2888",['KBS 104'],Q2343634,
194689,Bismarckplatz,strassenbahn,"52.57979168986186, 13.398319596978663","['199', '47', '23']",,
194690,Bismarckstrasse,strassenbahn,"52.580570918026496, 13.401710070736616",['47'],,
194691,Blankenburg,s-bahn,"52.5915,13.4435",['KBS 103'],Q800469,
194692,Boddinstrasse,u-bahn,"52.48,13.425277777778",['D'],Q819495,
194693,Borgsdorf,s-bahn,"52.7155,13.2764",['KBS 104'],Q4093486,
194694,Bornholmer Str.,s-bahn,"52.554287,13.397985","['KBS 104', 'KBS 105', 'KBS 103']",Q32662318,
194695,Bornholmer Strasse,strassenbahn,"52.5537705,13.4138898",['8'],,
194696,Bornholmer Strasse Ecke Schönhauser Allee,strassenbahn,"52.5537705,13.4138898",['8'],Q65076842,
194697,Botanischer Garten,s-bahn,"52.44806,13.30722",['KBS 104a'],Q800498,
194698,Brandenburger Tor,bus,"52.51776764730101, 13.370281416321609",['9'],,
194699,Brandenburgische Strasse,strassenbahn,"52.50008221195205, 13.306978939890724","['3', '62']",,
1946100,Breite Strasse Ecke Berliner Strasse,strassenbahn,"52.57099160012513, 13.40999970857956","['49', '24', '47']",,
1946101,Breitenbachplatz,u-bahn,"52.466388888889,13.308055555556",['A2'],Q571339,
1946102,"Britz, Rudower Strasse",strassenbahn,"52.44286829705947, 13.45615959331519",['147'],,
1946103,Brunnenstrasse,strassenbahn,"52.5324542,13.3974236","['199', '28', '128', '41', '24', '141']",Q65691740,
1946104,"Brunnenstrasse, Gesundbrunnen",strassenbahn,"52.54842580988483, 13.388018631243888","['24', '28', '128', '41', '141', '199']",,
1946105,Buch,s-bahn,"52.6359,13.4917",['KBS 103'],Q4892359,
1946106,Buchholz,strassenbahn,"52.619072064369824, 13.393383358408967","['49', '24']",,
1946107,Buckow,strassenbahn,"52.42355261827082, 13.436838614074265",['27'],,
1946108,"Buckow-Ost, Rudower Strasse",strassenbahn,"52.43428074617617, 13.469028794063673",['147'],,
1946109,Buckower Ch.,s-bahn,"52.4103,13.3829",['KBS 105a'],Q800499,
1946110,Buckower Chaussee,strassenbahn,"52.43210375221334, 13.435048135233718",['27'],,
1946111,Bulgarische Strasse,strassenbahn,"52.48142358933512, 13.473067363351124",['91'],,
1946112,Buschkrug,strassenbahn,"52.452470895695484, 13.450748195174354",['147'],,
1946113,Börse,s-bahn,"52.5226,13.4022","['KBS 101', 'KBS 100c']",Q689312,
1946114,Carl-Schurz-Strasse,strassenbahn,"52.53759585854496, 13.203799788543511","['54', '75']",,
1946115,Carolinenstrasse Ecke Conradshöher Chaussee,strassenbahn,"52.597963503369265, 13.275045981437504",['128'],,
1946116,Carstennstrasse,strassenbahn,"52.432751581042794, 13.287050510011854",['77'],,
1946117,Charlottenburg,s-bahn,"52.504722222222,13.303333333333","['KBS 101', 'KBS 100c']",Q111326217,
1946118,"Charlottenburg, Knie",bus,"52.512535145950686, 13.321796492553819",['9'],,
1946119,"Charlottenburg, Königin-Elisabeht-Strasse",strassenbahn,"52.518592490142176, 13.283070656683321",['62'],,
1946120,Charlottenburger Chaussee,bus,"52.513938592229856, 13.350204275572693",['9'],,
1946121,"Charlottenburger Chaussee, U-Bhf. Ruhleben",strassenbahn,"52.52600471402874, 13.241309892919059",['54'],,
1946122,Chauseestrasse Ecke Blaschkoallee,strassenbahn,"52.452665402462785, 13.438541176798315",['27'],,
1946123,Chausseestrasse,strassenbahn,"52.43937787982445, 13.387599101427494",['99'],,
1946124,Chausseestrasse,strassenbahn,"52.444151379426934, 13.433518263070448",['27'],,
1946125,Chausseestrasse,strassenbahn,"52.52716975261716, 13.387046161831702",['1'],,
1946126,Conradshöher Chaussee,strassenbahn,"52.58905755725733, 13.240889150790816",['28'],,
1946127,Conradshöher Chaussee Ecke Carolinenstrasse,strassenbahn,"52.59789482528517, 13.275115353233018",['28'],,
1946128,Dahlem-Dorf,u-bahn,"52.456944444444,13.289444444444",['A2'],Q668585,
1946129,Dahlewitz,s-bahn,"52.326389,13.419722",['KBS 105a'],Q5208886,
1946130,"Dahlwitz, Kol. Waldesruh",bus,"52.478269416919034, 13.62093701953678",['D'],,
1946131,Dammbrücke,strassenbahn,"52.44841874575463, 13.574648976218885","['83', '95']",,
1946132,Danziger Strasse,u-bahn,"52.541666666667, 13.412222222222",['A'],Q571382,
1946133,Danziger Strasse Ecke Schönhauser Allee,strassenbahn,"52.54104742454958, 13.412165003566182",['4'],,
1946134,Dorfstrasse,strassenbahn,"52.46605116645637, 13.37863626316366",['6'],,
1946135,Dorfstrasse Ecke Berliner Strasse,strassenbahn,"52.46590130350415, 13.38556580514773",['6'],,
1946136,Dorotheenstrasse,strassenbahn,"52.518718761338874, 13.388522669782862",['1'],,
1946137,Dreilinden,s-bahn,"52.40334210617422, 13.175963626814108",['KBS 104a'],Q96473908,
1946138,Dönhoffplatz,bus,"52.51104121136219, 13.39862526380472",['1'],,
1946139,Dönhoffplatz,strassenbahn,"52.509950568117645, 13.398144081918815","['87', '74']",,
1946140,Eichbornstr.,s-bahn,"52.5776,13.3169",['KBS 105'],Q800500,
1946141,Eichkamp,s-bahn,"52.4987,13.2702",['KBS 100c'],Q800504,
1946142,Elbinger Strasse Ecke Lansberger Allee,strassenbahn,"52.5264128560996, 13.447642432361302",['4'],,
1946143,Elbinger Strasse Ecke Prenzelauer Allee,strassenbahn,"52.5396522,13.4244789",['4'],Q65222180,
1946144,Eldenaer Strasse,strassenbahn,"52.520416962203576, 13.473386263465185",['65'],,
1946145,Erkstrasse,strassenbahn,"52.481710013190636, 13.440170901917053",['6'],,
1946146,Exerzierstrasse,strassenbahn,"52.55374755712111, 13.377246753472674","['28', '128', '41', '141']",,
1946147,Fehrbelliner Platz,strassenbahn,"52.49032472677901, 13.314317300484289","['3', '62']",,
1946148,Fehrbelliner Platz,u-bahn,"52.490277777778,13.314444444444",['A2'],Q663245,
1946149,Fennstrasse,strassenbahn,"52.54108945864209, 13.368519561996605",['23'],,
1946150,Feuerbachstr.,s-bahn,"52.463611111111,13.332777777778",['KBS 104a'],Q800501,
1946151,Flughafen,bus,"52.470965141866394, 13.385641462324475",['1'],,
1946152,Forkenbeckplatz,strassenbahn,"52.5201985,13.4585731",['65'],Q66044398,
1946153,Frankfurter Allee,bus,"52.51348352208039, 13.476830323062508",['1'],,
1946154,Frankfurter Allee,s-bahn,"52.514166666667,13.474722222222",['KBS 100'],Q111250033,
1946155,Frankfurter Allee,u-bahn,"52.513638888889,13.475694444444",['E'],Q3752007,
1946156,Frankfurter Allee Ecke Gürtelstrasse,bus,"52.51348326435681, 13.476984666930822",['1'],,
1946157,Frankfurter Allee Ecke Warschauer Strasse,bus,"52.5158293510385, 13.453999993701924",['1'],,
1946158,Franz-Mehring-Strasse,bus,"52.49508128500466, 13.389323838894562",['1'],,
1946159,Franz-Mehring-Strasse,u-bahn,"52.493888888889,13.388333333333",['C'],Q657905,
1946160,Franz-Mehring-Strasse Ecke Gneisenaustrasse,strassenbahn,"52.49289753565708, 13.387758933826115",['99'],,
1946161,Französische Strasse,u-bahn,"52.514722222222,13.389166666667",['C'],Q571479,
1946162,Freybrücke,strassenbahn,"52.511784691779035, 13.203183873771536",['75'],,
1946163,Friedenau,s-bahn,"52.47,13.341",['KBS 104a'],Q800471,
1946164,"Friedenau, Friedrich-Wilhelm-Platz",strassenbahn,"52.471981070085796, 13.328404849316785",['77'],,
1946165,"Friedenau, Rheinstrasse",strassenbahn,"52.465007265543484, 13.32855730681896","['74', '77']",,
1946166,Friedrich-Karl-strasse,strassenbahn,"52.45582815857282, 13.383932790023245",['99'],,
1946167,Friedrichsfelde,u-bahn,"52.506111111111,13.512777777778",['E'],Q429781,
1946168,Friedrichsfelde Ost,s-bahn,"52.5141,13.5198",['KBS 101'],Q800473,
1946169,Friedrichstr.,s-bahn,"52.52027777777778,13.386944444444444","['KBS 101', 'KBS 100c', 'KBS 104a']",Q111219456,
1946170,Friedrichstrasse,strassenbahn,"52.51986268004412, 13.388183618668693",['1'],,
1946171,Frohnau,s-bahn,"52.6325,13.2902",['KBS 104'],Q800472,
1946172,Fruchtstrasse,bus,"52.5121233087592, 13.438416859495533",['1'],,
1946173,Fürst-Bismarck-Strasse,strassenbahn,"52.52081005309171, 13.372234861490762",['21'],,
1946174,Fürstenwalder Damm,strassenbahn,"52.4498638,13.661534",['87'],Q66361484,
1946175,Gardepionierplatz,strassenbahn,"52.48915625862438, 13.407771678016932",['3'],,
1946176,Gardepionierplatz,u-bahn,"52.489444444444,13.407777777778",['C'],Q656081,
1946177,Gartenfeld,s-bahn,"52.54695,13.24882",['KBS 100b'],Q96080469,
1946178,Germaniastrasse,strassenbahn,"52.46053782557012, 13.418009045149528",['6'],,
1946179,Gesundbrunnen,s-bahn,"52.548611111111,13.389444444444","['KBS 104', 'KBS 105', 'KBS 100', 'KBS 103']",Q111239092,
1946180,Gesundbrunnen,u-bahn,"52.548611,13.389444",['D'],Q3761416,
1946181,Giesestrasse,bus,"52.516082749660676, 13.598007724215872",['H'],,
1946182,Gleisdreieck,u-bahn,"52.49952,13.37409",['A'],Q678372,
1946183,Gneisenausstrasse,strassenbahn,"52.49118173025337, 13.396394305880412",['3'],,
1946184,Gneisenaustrasse,u-bahn,"52.491388888889,13.395555555556",['C'],Q668618,
1946185,Goebenstrasse,strassenbahn,"52.493927894212824, 13.36386105025039",['3'],,
1946186,Goltzstrasse,strassenbahn,"52.48987556540933, 13.353165536219167",['3'],,
1946187,Gottlieb-Dunkel-Strasse,strassenbahn,"52.46039602352925, 13.418101877605094",['6'],,
1946188,Gotzkowskystrasse,strassenbahn,"52.52567490695968, 13.330198327307098","['3', '55']",,
