,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
0,Achtermannstrasse,bus,{'52'},"52.57652468032656, 13.418517187666131",nan,['52']+ {'52'},
1,Adalbertstrasse,bus,"{'75', '78E', '78'}","52.50548699996121, 13.42221404498021",nan,"['78', '75', '78E']+ {'78', '78E'}",
2,Adamstrasse,bus,"{'13', '35', '97', '34'}",,,,
3,Adamstrasse/Wilhelmstrasse,bus,{'92'},"52.5210885080291, 13.18793717048703",nan,{'92'},
4,Adenauer Platz,u-bahn,{'7'},"50.991325,7.130507",Q22692648,{'7'},
5,Adlergestell,strassenbahn,{'86'},,,,
6,Adlershof,s-bahn,"{'141', '110', '140', '115'}","52.434722222222,13.541388888889",Q323551,"['KBS 141', 'KBS 140', 'KBS 115', 'KBS 110']+ {'141', '115', '140', '110'}",
7,Adolf-Scheidt-Platz/Krankenhaus,bus,{'96'},"52.47818518185836, 13.37828632745728",nan,['96']+ {'96'},
8,Adolf-Schiedt-Platz,bus,{'96E'},,,,
9,Afrikanische Strasse,bus,"{'89', '65'}","52.54630534791768, 13.343982606132034",nan,"{'89', '65'}",
10,Afrikanische Strasse,u-bahn,{'6'},"52.560027777778,13.334633333333",Q559239,{'6'},
11,Ahrensdorfer Strasse,bus,{'52'},"52.40904426274492, 13.359316733496573",nan,{'52'},
12,"Ahrensfelde, Lindenberger Strasse",bus,{'41'},,,,
13,Akademie der Wissenschaften,bus,{'51E'},"52.6361286884856, 13.501898618531815",nan,{'51E'},
14,Albertinenstrasse,strassenbahn,"{'28', '24'}",,,,
15,Albertstrasse,bus,{'48'},"52.4844490887776, 13.352821218973295",nan,['48']+ {'48'},
16,Alboinplatz,bus,{'74'},"52.46105995730699, 13.369787146273511",nan,{'74'},
17,Alboinstrasse,bus,"{'74', '25', '68', '65', '73'}",,,,
18,Albrechtstrasse,bus,"{'96', '81', '68', '84', '83', '2', '32'}",,,,
19,Alexanderplatz,bus,"{'78E', '9', '78'}","52.5219449,13.4143847",nan,"['78', '9', '78E', '112']+ {'78', '9', '78E'}",
20,Alexanderplatz,s-bahn,"{'101', '100', '105', '115', '143', '110'}","52.521388888889,13.411944444444",Q111324700,"['KBS 105', 'KBS 115', 'KBS 100', 'KBS 143', 'KBS 110']+ {'143', '100', '115', '105', '110'}",
21,Alexanderplatz,u-bahn,"{'E', 'A'}","52.5214,13.4119",Q17173458,"['E', 'A']+ {'A', 'E'}",
22,Alexanderstrasse,bus,{'79'},"52.51778540833277, 13.418077932963259",nan,['79']+ {'79'},
23,Alexandrinenstrasse,bus,{'41'},"52.50514667360263, 13.4052810548807",nan,"['41', '29']+ {'41', '29'}",
24,Allee der Kosmonauten,bus,"{'53', '48'}","52.54468067619617, 13.56457587733865",nan,['53']+ {'53'},
25,Allee der Kosmonauten,strassenbahn,"{'17', '19'}","52.5259894,13.5186756",Q65683164,"['19', '17']+ {'17', '19'}",
26,Alsen-/Fregestrasse,bus,"{'2', '76'}","52.46381573178922, 13.33148620356095",nan,"['2']+ {'76', '2'}",
27,Alsen-/Fregstrasse,bus,{'81'},"52.46374242546418, 13.331639020201665",nan,['81']+ {'81'},
28,Alt-Biesdorf,bus,{'54'},"52.508805788386496, 13.558724778261455",nan,['54'],
29,Alt-Blankenburg,bus,"{'42', '31'}","52.59317785157442, 13.454731457303565",nan,"['42', '31']+ {'42', '31'}",
30,Alt-Buckow,bus,{'91'},"52.42367373113363, 13.436635183302798",nan,{'91'},
31,Alt-Gatow,bus,{'34E'},"52.48354259089879, 13.182970819429137",nan,['34E'],
