line_name,Stops,Frequency,Length (time),Length (km),type,east-west,year
A1,"Moabit, Waldstrasse - Heimholtzstrasse, Autobusbahnhof - Bismarckstrasse Ecke Leibnizstrasse - Kurfürstendamm Ecke Konstanzer Strasse - U-Bhf. Fehrbelliner Platz - Detmolder Strasse Ecke Blissestrasse - Breitenbachplatz - Botanischer Garten - U-Bhf. Oskar-Helene-Heim - Potsdamer Strasse Ecke Clayallee - Bhf. Zehlendorf - Teltower Damm Ecke Beeskowdamm - Goerzallee Ecke Wismarerstrasse - Lichterfelde, Süd, Lindenstrasse",15,57,,bus,West,1956
A10,"Haselhorst, Kirche - Gartenfelderstrasse Ecke Paulsternstrasse - Verwaltungs-Gebäude - Rohrdammbrücke (Bhf. Siemensstadt, Fürstenbrunn) - Spandauer Damm Ecke Königin-Elisabeth-Strasse - U-Bhf. Kaiserdamm - Bhf. Witzleben - Amtsgerichsplatz - Joachim-Friedrichstrasse Ecke Kurfürstendamm - Bhf. Halensee - Elsterplatz - Am Wilden Eber - Königin-Luise-Strasse, Dahlem-Dorf - U-Bhf. Thielplatz - Corrensplatz - Berlinerstrasse Ecke Thielallee - Winfriedstrasse Ecke Berlinerstrasse - Clayallee Ecke Teltower Damm - Bhf. Zehlendorf - Behring-Krankenhaus - Zehlendorf, Andreezeile Ecke Sachtlebenstrasse",15,58,,bus,West,1956
A11,Saargemünder Strasse - U-Bhf. Oskar-Helene-Heim - Ihnestrasse - Corrensplatz - Unter den Eichen Ecke Habelschwerdterallee - Bhf. Lichterfelde-West - Ringstrasse Ecke Drakestrasse - Wiesenbaude - Berliner Strasse Ecke Wilhelmstrasse - Marienstrasse Ecke Wilhelmstrasse - Bismarckstrasse Ecke Wilhelmstrasse - Bhf. Lichterfelde-Ost - Lange Strasse Ecke Lorenzstrasse - Hildburghauser Strasse Ecke Sonderhauserstrasse - Trippsteinstrasse Ecke Sonderhauserstrasse,5,26,,bus,West,1956
A12,"U-Bhf. Seestrasse - Emmentalerstrasse Ecke Aroserallee - Alt-Reinickendorf Ecke Roedernstrasse - Oranienburgerstrasse Ecke Alt-Wittenau - Holzhauserstrasse Ecke Alt-Wittenau - Cyclopstrasse Ecke Hermsdorferstrasse - Waidmannsluster Damm Ecke Oraniendamm - Hermsdorfer Damm Ecke Hohefeldstrasse - Bhf. Frohnau - Frohnau, Invalidensiedlung",10,44,,bus,West,1956
A12S,U-Bhf. Seestrasse - Emmentalerstrasse Ecke Aroserallee - Alt-Reinickendorf Ecke Roedernstrasse - Oranienburgerstrasse Ecke Alt-Wittenau - Holzhauserstrasse Ecke Alt-Wittenau - Cyclopstrasse Ecke Hermsdorferstrasse - Waidmannsluster Damm Ecke Oraniendamm - Hermsdorfer Damm Ecke Hohefeldstrasse - Bhf. Frohnau,10,34,,bus,West,1956
A13,"Spandau, Weinmeisterhornweg - Heerstrasse Ecke Wilhelmstrasse - Adamstrasse Ecke Wilhelmstrasse - Päwesiner Weg Ecke Seeburgerstrasse - Rathaus Spandau - Gartenfelderstrasse Ecke Nonnendammallee - Gartenfelderstrasse Ecke Paulsternstrasse - Kabelwerk - Weg nach Saatwinkel - Wasserwerk - Krankenhaus Tegel-Süd - Berlinerstrasse Ecke Bernauerstrasse - Alt-Tegel/Gorkistrasse - Bhf. Tegel ",15,45,,bus,West,1956
A14,"Osloerstrasse Ecke Schwedenstrasse - Koloniestrasse Ecke Drontheimerstrasse - Pankowerallee Ecke Provinzstrasse - Herbstrasse, Bhf. Schönholz - Residenzstrasse/Kopenhagenerstrasse - Roedernallee Ecke Reinickdorferstrasse - Lindenweg Ecke Roedernallee - Oranienburgerstrasse Ecke Alt-Wittenau - Holszhauserstrasse, Rathaus Reinickendorf - Hermsdorferstrasse Ecke Alt-Wittenau - Ziekowstrasse Ecke Gorkistrasse - Berlinerstrasse/Alt-Tegel - Heiligenseestrasse Ecke Karolinenstrasse - Bhf. Schulzendorf - Kaserne - Bhf. Heiligensee - Heiligensee, Hennigsdorferstrasse Ecke Mattenbuder Pfad",20,44,,bus,West,1956
A15,Bhf. Wittenau - Alt-Wittenau Ecke Holzhauserstrasse - Bhf. Eichbornstrasse - Borsigwalder Weg Ecke Conradstrasse - Alt-Tegel - Hermsdorfer Damm Ecke Karolinenstrasse - Bhf. Hermsdorf - Dominikus-Krankenhaus - Donnersmarckplatz - Bhf. Frohnau,15,38,,bus,West,1956
A16,"U-Bhf. Seestrasse - Seestrasse Ecke Amrumerstrasse - Augustenburger Platz - Bhf. Pulitzstrasse - Turmstrasse Ecke Stromstrasse - Hansaplatz - Großer Stern - Lützowplatz - Nollendorfplatz, Einemstrasse - Martin-Luther-Strasse Ecke Motzstrasse - Grunewaldstrasse Ecke Martin-Luther-Strasse - Rathaus Schöneberg - Innsbrucker Platz - Kufsteinerstrasse Ecke Wexstrasse - Bundesplatz - Wiesbadener Strasse Ecke Süd-West-Korso - Breitenbachplatz - Englerallee, Breitenbachplatz",6,39,,bus,West,1956
A17,"Bhf. Grunewald - Hagenplatz - Roseneck - U-Bhf. Rüdesheimer Platz - Kaisereiche - Bundesallee - Rathaus Steglitz - Stadtpark Steglitz - Leonorenstrasse - Stadion Lichterfelde-Ost - Wilhelmstrasse - Lichterfelde, Saaleckplatz",10,46,,bus,West,1956
A18,"Saargemünder Strasse - U-Bhf. Oskar-Helene-Heim - Sophie-Charlotten-Strasse - Potsdamer Strasse Ecke Clayallee - Spanische Allee Ecke Potsdamer Chaussee - Quantzstrasse Ecke Potsdamer Chaussee - Bahnhofstrasse,  Bhf. wannsee - Rathaus Wannsee - Stölpchensee - Kohlhasenbrück",7,30,,bus,West,1956
A19,"Roseneck, Grunewald - Hagenplatz - Bhf. Halensee - Joachimthalerstrasse Ecke Kurfürstendamm - Wilmersdorfer Strasse Ecke Kurfürstendamm - Leinbnizstrasse Ecke Kurfürstendamm - Uhlandstrasse Ecke Kurfürstendamm - Breitscheidplatz - Wittenbergplatz - Nollendorfplatz - Potsdamer Strasse Ecke Bülowstrasse - Bhf. Yorckstrasse - Katzbachstrasse - Yorckstrasse Ecke Mehringdamm - Dudenstrasse Ecke Mehringdamm - Tempelhof, Flughafen",10,38,,bus,West,1956
A2,"Am Knie - Bhf. Zoo - Berlinerstrasse Ecke Bundesallee - Bundesplatz - Schloßstrasse Ecke Bundesallee - Feuerbachstrasse Ecke Bismarckstrasse - Stadtpark Steglitz - Siemensstrasse Ecke Leonorenstrasse - Lankwitz, Kirche - Lankwitz, Trippsteinstrasse",10,40,,bus,West,1956
A20,"Bhf. Tegel - Berlinerstrasse/Alt-Tegel - Kettelerpfad - Freie Scholle - Bhf. Waidmannslust - Oraniendamm Ecke Waidmannslusterdamm - Am Vierrutenberg - Lübars, Alt-Lübars",15,20,,bus,West,1956
A21,Wentowsteig Ecke Wilhelmsruher Damm - Oranienburger Strasse Ecke Eichborndamm - Alt-Wittenau Ecke Holzhauserstrasse - Bhf. Eichbornstrasse - Sportplatz Reinickendorf - Kurt-Schumacher-Platz - Saatwinkler Damm - Bhf. Jungfernheide - Luisenplatz - Stuttgarter Platz - Amtsgericht Charlottenburg - Kurfürstendamm Ecke Joachim-Friedrich-Strasse - Bhf. Hohenzollerndamm - U-Bhf. Fehrbelliner Platz,10,50,,bus,West,1956
A22,"Hessenwinkel, Lindenstrasse - S-Bhf. Wilhelmshagen - Zentralschule - Paradiesgarten - S-Bhf. Rahnsdorf - Fichtenau, Stadtgrenze",20,25,8.4,bus,Ost,1956
A23,"Altglienicke, Kirche - Dankmarsteig - Wolfmarsteig - Altglienicke, Kirche ",20,15,3.5,bus,Ost,1956
A24,"Moabit, Wiebestrasse Strassenbahnhof - Gotzkowskystrasse Ecke Turmstrasse - Stromstrasse Ecke Turmstrasse - Rathenower Strasse Ecke Turmstrasse - Alt-Moabit/Paulstrasse - Brückenallee Ecke Altonaerstrasse - Großer Stern - Lützowplatz - Potsdamer Strasse Ecke Lützowstrasse - Anhalter Bhf. - U-Bhf. Hallesches Tor - U-Bhf. Gneisenaustrasse - Friesenstrasse Ecke Columbiadamm - Tempelhof, Flughafen",7.5,37,,bus,West,1956
A25,Unionplatz - Turmstrasse Ecke Huttenstrasse - Gotzkowskybrücke Ecke Alt-Moabit - Hansaplatz - U-Bhf. Ernst-Reuter-Platz - Bhf. Zoo - Kurfürstendamm Ecke Joachimstalerstrasse - Berlinerstrasse Ecke Bundesallee - Badenschestrasse Ecke Bundeasallee - Hildegardstrasse Ecke Bundesallee - Süd-West-Korso Ecke Bundesallee - Wiesbadenerstrasse Ecke Bundesallee - Kaisereiche - Bismarckstrasse Ecke Beckerstrasse - Rubensstrasse Ecke Grazer Platz - Grazer Damm Ecke Prellerweg - Röblingstrasse Ecke Arnulfstrasse - Attilaplatz - Tempelhofer Damm Ecke Friedrich-Karl-Strasse - Gottlieb-Dunkel-Strasse Ecke Germaniastrasse - Gradestrasse (51) Ecke Tempelhofer Weg - Britzer Damm Ecke Tempelhofer Weg - Fritz-Reuter-Allee Ecke Parchimerallee - Grüner Weg Ecke Buschkrugallee,10,57,,bus,West,1956
A27,"S-Bhf. Kaulsdorf, Planitzstrasse - Chemnitzer Strasse - Ulmenstrasse - Gehsener Strasse - S-Bhf. Köpenick - Bahnhofstrasse Ecke Lindenstrasse - Köpenick, Krankenhaus - Chausseehaus - Alt-Müggelheim",10,47,16,bus,Ost,1956
A28,Loewenhardtdamm Ecke Boelckestrasse - Dudenstrasse Ecke Katzbachstrasse - Monumentenstrasse Ecke Katzbachstrasse - Yorckstrasse Ecke Großbeerenstrasse - Mehringdamm Ecke Gneisenaustrasse - U-Bhf. Gneisenaustrasse - Urbanstrasse Ecke Baerwaldstrasse - U-Bhf. Prinzenstrasse - U-Bhf Kottbusser Tor - Manteuffelstrasse Ecke Köpenicker Strasse - U-Bhf. Schlesisches Tor - Schlesischestrasse Ecke Heckmannufer,7.5,27,,bus,West,1956
A29,Roseneck - Hubertussportplatz - Bismarckplatz - Bhf. Halensee - Joachim-Friedrich-Strasse Ecke Kurfürstendamm - Wilmersdorfer Strasse Ecke Kurfürstendamm - Uhlandstrasse Ecke Kurfürstendamm - Breitscheidplatz - Wittenbergplatz - Lützowplatz Ecke Lützowstrasse - Potsdamer Strasse Ecke Lützowstrasse - Anhalter Bhf.,10,30,,bus,West,1956
A3,"Rathaus Zehlendorf - U-Bhf. Oskar-Helene-Heim - U-Bhf. Onkel-Toms-Hütte - U-Bhf. Krumme Lanke - Bhf. Zehlendorf-West - Potsdamer Chaussee Ecke Spanische Allee - Bhf. Nikolassee - Bhf. Wannsee - Rathaus Wannsee - Stölpchensee, Wilhelmplatz",10,39,,bus,West,1956
A3E,"Saargemünderstrasse - U-Bhf. Oskar-Helene-Heim - Sophie-Charlotte-Strasse - Potsdamerstrasse Ecke Berlinerstrasse - Bhf. Zehlendorf - Jänickestrasse - Lichterfelde, Osteweg",30,11,,bus,West,1956
A31,"Gartenstadt, Staaken, Heidelbergplan - Eichholzbahn - Magistratsweg Ecke Brunsbütteler Damm - Egelpfuhlstrasse Ecke Brunsbütteler Damm - Brunsbütteler Damm Ecke Klosterstrasse - Rathaus Spandau - Breitestrasse Ecke Charlottenstrasse - Bhf. Spandau",15,20,,bus,West,1956
A32 (Obus),"Breitenbachplatz - Rathaus Steglitz - Stadtpark Steglitz - Lankwitz, Kirche - Marchandstrasse/Lankwitzer Ring - Marienfelder Allee Ecke Lankwitzstrasse - Bhf. Marienfelde",5,28,,bus,West,1956
A33 (Obus),"Bhf. Steglitz - Stadtpark Steglitz - Bhf. Südende - Bhf. Mariendorf - Kaiserstrasse/Ringstrasse - Mariendorf, Kaiserstrasse Ecke Mariendorfer Damm",10,15,,bus,West,1956
A34,"Spandau, Friedhof - Hafenplatz - Rathaus Spandau - Heerstrasse Ecke Pichelsdorferstrasse - Gatow, Kirche - Badewiese Ecke Kladower Damm - Gatow, Flugplatz - Neukladowerallee Ecke Kladower Damm - Alt-Kladow - Groß-Glienicke, Gutshof",30,45,,bus,West,1956
A35,"Germersheimer Platz - Rathaus Spandau - Heerstrasse Ecke Pichelsdorferstrasse - Weinmeisterhornweg - Gatow, Kirche - Badewiese Ecke Kladower Damm - Flugplatz - Neukladowerallee Ecke Kladower Damm - Alt-Kladow Ecke Kladower Damm - Kladow, Hottengrund (Stadtgrenze)",30,38,,bus,West,1956
A36,"S-Bhf. Grünau - Bohnsdorf, Kirche - Falkenhöhe - Waltersdorfer Chaussee (Spinne) - Schönefeld, Dorfplatz",40,21,6.2,bus,Ost,1956
A37,"Bhf. Lichtenberg - Friedrichsfelde, Schloßstrasse - S-Bhf. Biesdorf - Cäcilienstrasse - Geißenweide, Elisabethstrasse - Alt-Marzahn, Kirche",10,26,,bus,Ost,1956
A38,"Waltersdorf - Bohnsdorf, Waldstrasse - Lindenstrasse Ecke Waltersdorferstrasse - Merkurstrasse Ecke Schulzendorferstrasse - S-Bhf. Grünau",10,18,6.7,bus,Ost,1956
A39,"Wartenberg, Siedlung - Birkholzer Weg - Falkenberger Chaussee - Hohenschönhausen, Falkenberger Strasse",15,13,4.2,bus,Ost,1956
A4,Brixplatz - Reichskanzlerplatz - Masurenallee Ecke Messedamm - Halenseestrasse Ecke Kurfürstendamm - Bhf. Halensee - Hochmeisterplatz - U-Bhf. Fehrbelliner Platz - Bundesallee Ecke Badensche Strasse - Rathaus Schöneberg - Innsbrucker Platz - Dominicusstrasse Ecke Hauptstrasse - Kaiser-Wilhelm-Platz - Katzbachstrasse Ecke Dudenstrasse - U-Bhf. Flughafen - Friesenstrasse Ecke Columbiadamm - U-Bhf. Boddinstrasse - Rathaus Neukölln - Finowstrasse Ecke Sonnenallee,12,54,,bus,West,1956
A41,"Leninallee Ecke Dimitroffstrasse - Steuerhaus - Weißenseer Weg - Genslerstrasse - Dingelstädterstrasse - Marzahn, Bürknersfelde",15,19,,bus,Ost,1956
A42,"Buch, Zepernicker Strasse - Lindenberger Weg - Karow, Kirche - Strasse 46, Güteraußenring - Blankenburg, Bahnhofstrasse - Heinersdorf, Kirche - Gustav-Adolf-Strasse Ecke Rennbahnstrasse - Ostseestrasse Ecke Prenzlauerallee",15,41,12.1,bus,Ost,1956
A43,"Bürknersfelde - Marzahn, Pekrunstrasse - Güterbahnhof Springpfuhl - S-Bhf. Friedrichsfelde-Ost - U-Bhf. Friedrichsfelde",20,19,6.2,bus,Ost,1956
A44,"Hönow, Dorfstrasse - Hönowerstrasse Ecke Greifswalder Strasse - Am Rosenhag - S-Bhf. Mahlsdorf",20,13,4.3,bus,Ost,1956
A44E,Greifswalder Strasse - Am Rosenhag - S-Bhf. Mahlsdorf,20,10,,bus,Ost,1956
A45,"Wilhelmsruh, Fontanestrasse - Hauptstrasse Ecke Edelweißstrasse - Provinzstrasse - Heinrich-Mann-Platz - Florastrasse, S-Bhf. Pankow - Kissingenplatz - Prenzlauer Promenade Ecke Thulestrasse - Mirbachplatz - Rennbahnstrasse - Weißensee, Feldmannstrasse",7,45,,bus,Ost,1956
A46,"Ahrensfeld, Lindenbergerstrasse - Bhf. Ahrensfelde - Falkenberg, Schule - Strasse nach Wartenberg - Malchower Weg - Klement-Gottwald-Allee Ecke Falkenbergerstrasse - Weißensee, Feldtmannstrasse - Malchow, Dorfstrasse",15,34,,bus,Ost,1956
A47,"Bhf. Schöneweide - Sterndamm Ecke Königsheideweg - Baumschulenstrasse  Ecke Südostallee - S-Bhf. Baumschulenweg, Glanzstrasse",15,16,,bus,Ost,1956
A48,"Potsdamer Strasse Ecke Fischerhüttenstrasse - Berlinerstrasse Ecke Teltower Damm - Sundgauer Strasse Ecke Berlinerstrasse - Thielallee Ecke Berlinerstrasse - Drakestrasse Ecke Unter den Eichen - Asternplatz - Hindenburgdamm Ecke Schloßstrasse - Rathaus Steglitz - Bundesallee, Titaniapalast - Kaisereiche - Innsbrucker Platz - Dominicusstrasse Ecke Hauptstrasse - Kaiser-Wilhelm-Platz - Bülowstrasse Ecke Potsdamerstrasse - Lützowstrasse Ecke Potsdamerstrasse - Potsdamer Brücke, Am Karlsbad",10,35,,bus,West,1956
A49,"Kaulsdorf, Bausdorfstrasse - Ridbacher Strasse - Baltenring - Uckermarkstrasse - Kaulsdorf, Hönowerstrasse Ecke Bausdorfstrasse",20,14,,bus,Ost,1956
A5,"Machandelweg Ecke Charlottenburger Chaussee - U-Bhf. Ruhleben - Teltowerstrasse Ecke  Charlottenburgerstrasse - Spandau, Markt - Rathaus Spandau - Bhf. Spandau-West - Hochgerichtstrasse Ecke Seegefelderstrasse - Zeppelinstrasse Ecke Falkenhagener Chaussee - Beerwinkel, Wasserwerk - Spandau, Waldkrankenhaus",10,26,,bus,West,1956
A50,"Emser Platz, Pfalzburgerstrasse - Fehrbelliner Platz - Konstanzerstrasse Ecke Hohenzollerndamm - Bhf. Hohenzollerndamm - Flinsbergerplatz - Elsterplatz - Roseneck, Rheinbabenallee, Grunewald",10,12,,bus,West,1956
A51,Bhf. Wannsee - Bahnhofstrasse Ecke Königstrasse - Königstrasse Ecke Am Grossen Wannsee - Koblanckstrasse - Colomierstrasse - Krankenhaus Wannsee - Zum Heckeshorn - Krankenhaus Heckeshorn,50,10,,bus,West,1956
A52,"Alt-Marienfelde Ecke Marienfelderallee - Gutshof Marienfelde - Bhf. Buckower Chaussee - Lichtenrader Damm Ecke Buckower Chaussee - Buckower Damm Ecke Alt-Buckow - Johannisthaler Chaussee Ecke Rudower Strasse - Wildmeisterdamm Ecke Neuköllnerstrasse - Neuköllnerstrasse Ecke Köpenickerstrasse - Rudow, Kanalstrasse Ecke Mimosenweg",30,38,,bus,West,1956
A55,"Wilhelmsruh, Fontanestrasse - Hauptstrasse Ecke Edelweißstrasse - Provinzstrasse - Schulzestrasse, S-Bhf. Wollkanstrasse - Florastrasse, S-Bhf. Pankow - Prenzlauerstrasse Ecke Granitzstrasse - Heinersdorf, Kirche - Weißensee, Rennbahnstrasse Ecke Gustav-Adolf-Strasse - Weißensee, Schwarzelfenweg ",15,41,,bus,Ost,1956
A6,Bhf. Wannsee - Königstrasse Ecke Bahnhofstrasse - Am Grossen Wannsee - Pfaueninselchaussee - Rathaus Wannsee - Friedenstrasse - Golfplatz - Nikolskoer Weg - Glienicker Brücke,60,13,,bus,West,1956
A7,"Glienicke, Kirche - Sophienstrasse - Glienicke, Pilz - Schildow, Kirche - Blankenfelde, Hauptstrasse - Industriebahn - Nordend, Schillerstrasse - Ossietzkyplatz - Kurt-Fischer-Platz - Pankow, Rathaus - U-Bhf. Vinetastrasse",20,43,,bus,Ost,1956
A8,"Waldesruh - Summterstrasse - Hultschiner Damm - Chemnitzer Ecke Ulmenstrasse - Zimmermannstrasse - Glewitzerstrasse - Alt-Biesdorf, Oberfeldstrasse - Schloßstrasse Ecke Alt-Friedrichsfelde - U-Bhf. Friedrichsfelde",12,35,12,bus,Ost,1956
A82P,Kinderheim - Friedrich-Junge-Strasse - Markgrafendamm,20,5,,bus,Ost,1956
A9,"Scharnhorststrasse, Volkspolizeikrankenhaus - Invalidenstrasse Ecke Chausseestrasse - Oranienburger Tor - S-Bhf. Friedrichstrasse - Unter den Linden Ecke Friedrichstrasse - Spandauerstrasse, Rathaus - Bhf. Alexanderplatz - Königstor - Arnsalder Platz, Dimitroffstrasse",12,26,7.1,bus,Ost,1956
AL,"Lindenberg - Malchow, Dorfstrasse",80,8,,bus,Ost,1956
AN,"Bhf. Hohen Neuendorf - Bergfelde, Karl-Marx-Strasse - Schönfließ , Kirche - Leninplatz - Glienicke, Elsässerstrasse",20,28,,bus,Ost,1956
B I,Warschauer Brücke - Schlesisches Tor - Görlitzer Bahnhof (Oranienstr.) - Kottbusser Tor - Prinzenstr. - Hallesches Tor - Möckernbrücke - Gleisdreieck - Kurfürstenstr. - Nollendorfplatz - Wittenbergplatz - Uhlandstrasse,10,23,,u-bahn,Ost/West,1956
B II,Nollendorfplatz - Viktoria-Luise-Platz - Bayerischer Platz - Rathaus Schöneberg - Innsbrucker Platz (Hauptstr.),5,6.5,,u-bahn,Ost/West,1956
C I,Kurt-Schumacher-Platz - Afrikanische Str. - Rehberge - Seestr. - Leopoldplatz - Bahnhof Wedding - Reinickendorfer Str. - Schwartzkopffstr. - Nordbahnhof - Oranienburger Tor - Bahnhof Friedrichstr. (Stadtbahn) - Französische Str. - Stadtmitte (Leipziger Str.) - Kochstr. - Hallesches Tor - Mehringdamm - Gneisenaustr. - Südstern - Hermannplatz - Rathaus Neukölln - Karl-Marx-Str. - Neukölln (Südring) - Grenzallee,5,34.5,,u-bahn,West,1956
C II,Mehringdamm - Flughafen - Paradestrasse - Tempelhof (Südring),5,5,,u-bahn,West,1956
D,Gesundbrunnen - Voltastr. - Bernauer Str. - Rosenthaler Platz - Weinmeisterstr. - Alexanderplatz - Jannowitzbrücke - Neanderstr. - Moritzplatz - Kottbusser Tor - Kottbusser Damm (Schönleinstr.) - Hermannplatz - Boddinstr. - Leinestr.,5,23,,u-bahn,West,1956
E,Alexanderplatz - Schillingstr. - Strausberger Platz - Marchlewskistr. - Bersarinstr. (Frankfurter Tor) - Samariterstr. - Stalinallee - Magdalenenstr. - Bahnhof Lichtenberg (Zentralfriedhof) - Friedrichsfelde (Tierpark),5,17,,u-bahn,Ost,1956
KBS 100,Gesundbrunnen - Schönhauser Allee - Prenzlauer Allee - Greifswalder Str. - Leninallee - Zentralviehhof - Stalinallee - Ostkreuz - Treptower Park - Sonnenallee - Neukölln - Hermannstr. - Tempelhof - Papestr. - Schöneberg - Innsbrucker Platz - Wilmersdorf - Schmargendorf - Hohenzollerndamm - Halensee - Westkreuz - Witzleben - Westend - Jungfernheide - Beusselstr. - Putlitzstr. - Wedding - Gesundbrunnen,,,,s-bahn,,1956
KBS 100a,Westend - Witzleben - Westkreuz - Halensee - Hohenzollerndamm - Schmargendorf - Wilmersdorf - Innsbrucker Platz - Schöneberg - Papestr. - Tempelhof - Hermannstr. - Neukölln - Köllnische Heide - Baumschulenweg - Schöneweide - Betriebsbahnhof Schöneweide - Adlershof - Grünau,,,,s-bahn,,1956
KBS 100b,Blankenburg - Pankow-Heinersdorf - Pankow - Schönhauser Allee - Prenzlauer Allee - Greifswalder Str. - Leninallee - Zentralviehhof - Stalinallee - Ostkreuz - Warschauer Str. ,,,,s-bahn,,1956
KBS 100c,Gesundbrunnen - Schönhauser Allee - Prenzlauer Allee - Greifswalder Str. - Leninallee - Zentralviehhof - Stalinallee - Ostkreuz - Warschauer Str.,,,,s-bahn,,1956
KBS 100d,Jungfernheide - Wernerwerk - Siemensstadt - Gartenfeld,,,,s-bahn,,1956
KBS 101,Staaken - Spandau West - Spandau - Pichelsberg - Reichssportfeld - Heerstr. - Eichkamp - Westkreuz - Charlottenburg - Savignyplatz - Zoologischer Garten - Tiergarten - Bellevue - Lehrter Stadtbahnhof - Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Nöldnerplatz - Lichtenberg - Friedrichsfelde Ost - Biesdorf - Kaulsdorf - Mahlsdorf - Hoppegarten (Mark) - Neuenhagen (b Bln) - Fredersdorf (b Bln) - Giebelsee - Strausberg,,,,s-bahn,,1956
KBS 101a,Strausberg - Strausberg Stadt - Strausberg Nord,,,,s-bahn,,1956
KBS 102,Potsdam - Babelsberg - Griebnitzsee - Wannsee - Nikolassee - Grunewald - Westkreuz - Charlottenburg - Savignyplatz - Zoologischer Garten - Tiergarten - Bellevue - Lehrter Stadtbahnhof - Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Rummelsburg - Betriebsbahnhof Rummelsburg - Karlshorst - Wuhlheide - Köpenick - Hirschgarten - Friedrichshagen - Rahnsdorf - Wilhelmshagen - Erkner,,,,s-bahn,,1956
KBS 103,Falkensee - Albrechtshof - Spandau West - Spandau - Pichelsberg - Reichssportfeld - Heerstr. - Eichkamp - Westkreuz - Charlottenburg - Savignyplatz - Zoologischer Garten - Tiergarten - Bellevue - Lehrter Stadtbahnhof - Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - Schöneweide - Betriebsbahnhof Schöneweide - Adlershof - Grünau - Eichwalde - Zeuthen - Wildau - Königs Wusterhausen,,,,s-bahn,,1956
KBS 103a,Spandau West - Spandau - Siemensstadt-Fürstenbrunn - Jungfernheide - Beusselstr. - Putlitzstr. - Wedding - Gesundbrunnen - Schönhauser Allee - Prenzlauer Allee - Greifswalder Str. - Leninallee - Zentralviehhof - Stalinallee - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - Schöneweide - Oberspree - Spindlersfeld,,,,s-bahn,,1956
KBS 104,Oranienburg - Lehnitz - Borgsdorf - Birkenwerder - Hohen-Neuendorf (b Bln) - Frohnau - Hermsdorf - Waidmannslust - Wittenau (Nordbahn) - Wilhelmsruh - Schönholz - Wollankstr. - Bornholmer Str. - Gesundbrunnen - Humboldthain - Nordbahnhof - Oranienburger Str. - Friedrichstr. - Unter den Linden - Potsdamer Platz - Anhalter Bahnhof - Großgörschenstr. - Schöneberg - Friedenau - Feuerbachstr. - Steglitz - Botanischer Garten - Lichterfelde West - Sundgauer Str. - Zehlendorf - Zehlendorf West - Schlachtensee - Nikolassee - Wannsee,,,,s-bahn,,1956
KBS 104a,Zehlendorf - Düppel-Kleinmachnow,,,,s-bahn,,1956
KBS 104b,Wannsee - Dreilinden - Stahnsdorf,,,,s-bahn,,1956
KBS 105,Velten (Mark) - Hohenschöpping - Hennigsdorf (b Bln) - Heiligensee - Schulzendorf (b Tegel) - Tegel - Eichbornstr. - Wittenau (Kremmener Bahn) - Reinickendorf - Schönholz - Wollankstr. - Bornholmer Str. - Gesundbrunnen - Humboldthain - Nordbahnhof - Oranienburger Str. - Friedrichstr. - Unter den Linden - Potsdamer Platz - Anhalter Bahnhof - Yorckstr. - Papestr. - Priesterweg - Mariendorf - Marienfelde - Buckower Ch. - Lichtenrade - Mahlow - Blankenfelde (Kr. Zossen) - Dahlewitz - Rangsdorf,,,,s-bahn,,1956
KBS 106,Bernau (b Bln) - Zepernick (Kr Niederbarnim) - Röntgental - Buch - Karow - Blankenburg - Pankow-Heinersdorf - Pankow - Bornholmer Str. - Gesundbrunnen - Humboldthain - Nordbahnhof - Oranienburger Str. - Friedrichstr. - Unter den Linden - Potsdamer Platz - Anhalter Bahnhof - Yorckstr. - Papestr. - Priesterweg - Südende - Lankwitz - Lichterfelde Ost - Lichterfelde Süd - Teltow,,,,s-bahn,,1956
O30,"Kosterstrasse - Andreasstrasse - Küstriner Platz - Warschauer Strasse - Neue Bahnhofstrasse - S-Bhf. Rummelsburg - Münsterlandstrasse - Bhf. Lichtenberg - Stalinallee - BVG-Bf. Lichtenberg, Siegfriestrasse - Roederplatz - Proskauer Ecke Dolziger Strasse - Leninallee Ecke Dimitroffstrasse - Dimitroffstrasse Ecke Greifswalderstrasse - Königstor - U-Bhf. Alexanderplatz - Klosterstrasse",20,72,18.9,bus,Ost,1956
O37,"Bürknersfelde - Alt-Marzahn, Kirche - Elisabethstrasse - Cecilienstrasse - S-Bhf. Biesdorf - Schlossstrasse Ecke Alt-Friedrichsfelde - Bhf. Lichtenberg",,,10,bus,Ost,1956
O40,Ostbahnhof - Küstriner Platz - Stalinallee - Leninplatz - Königstor - Prenzlauer Tor - Rosenthaler Platz - Oranienburger Tor - Robert-Koch-Platz,12,23,6.3,bus,Ost,1956
O41,Bürknersfelde - Dingelstädter Strasse - Siegfriestrasse - Weißenseer Weg - Oderbruchstrasse - Dimitroffstrasse,10,18,6.2,bus,Ost,1956
