,stop_name,line_count,type,in_lines
0,Schillingbrücke (Ostbahnhof),1,strassenbahn,['1']
1,Stalinallee,8,strassenbahn,['1']
2,Stalinallee,8,u-bahn,['E']
3,Stalinallee,8,s-bahn,"['KBS 100', 'KBS 103a', 'KBS 100c', 'KBS 100b']"
4,Stalinallee,8,bus,"['O40', 'O30']"
5,Leninplatz,6,strassenbahn,"['1', '63', '69', '64']"
6,Leninplatz,6,bus,"['AN', 'O40']"
7,"Leninallee, Kleine Frankfurterstrasse",1,strassenbahn,['1']
8,"Alexanderplatz, Memhardstr.",1,strassenbahn,['1']
9,"Gipsstrasse, U-Bhf. Weinmeisterstrasse",1,strassenbahn,['1']
10,Rosenthaler Platz,6,strassenbahn,"['1', '22', '49', '11']"
11,Rosenthaler Platz,6,u-bahn,['D']
12,Rosenthaler Platz,6,bus,['O40']
13,Brunnen Ecke Invalidenstrasse,2,strassenbahn,"['1', '11']"
14,Invalidenstrasse Ecke Chausseestrasse,5,strassenbahn,"['1', '46', '11', '70']"
15,Invalidenstrasse Ecke Chausseestrasse,5,bus,['A9']
16,Oranienburger Tor,8,strassenbahn,"['46', '11', '70', '69', '1']"
17,Oranienburger Tor,8,bus,"['A9', 'O40']"
18,Oranienburger Tor,8,u-bahn,['C I']
19,"Weidendammbrücke, Bhf. Friedrichstrasse",3,strassenbahn,"['1', '46', '70']"
20,Am Kupfergraben,2,strassenbahn,"['1', '46']"
21,"Wienerstrasse, Spreewaldplatz",1,strassenbahn,['2']
22,Hermannplatz,7,strassenbahn,"['94', '2', '47', '95', '26']"
23,Hermannplatz,7,u-bahn,"['D', 'C I']"
24,Südstern,3,strassenbahn,"['3', '2']"
25,Südstern,3,u-bahn,['C I']
26,Mehringdamm,4,strassenbahn,"['3', '2']"
27,Mehringdamm,4,u-bahn,"['C I', 'C II']"
28,Goebenstrasse Ecke Bülowstrasse,1,strassenbahn,['2']
29,Nollendorfplatz,6,strassenbahn,['2']
30,Nollendorfplatz,6,u-bahn,"['B II', 'B I', 'A I', 'A II']"
31,Nollendorfplatz,6,bus,['A19']
32,Wittenbergplatz,9,strassenbahn,"['6', '25', '2', '77', '78']"
33,Wittenbergplatz,9,u-bahn,"['B I', 'A I']"
34,Wittenbergplatz,9,bus,"['A19', 'A29']"
35,Bhf. Zoo,10,strassenbahn,"['6', '51', '25', '2', '55', '77', '78', '54']"
36,Bhf. Zoo,10,bus,"['A2', 'A25']"
37,Am Knie,2,strassenbahn,['2']
38,Am Knie,2,bus,['A2']
39,Gotzkowskystrasse Ecke Turmstrasse,3,strassenbahn,"['3', '2']"
40,Gotzkowskystrasse Ecke Turmstrasse,3,bus,['A24']
41,Turmstrasse Ecke Rathenowerstrasse,1,strassenbahn,['2']
42,Fennbrücke,2,strassenbahn,"['23', '2']"
43,Weddingplatz,3,strassenbahn,"['25', '23', '2']"
44,Usedomerstrasse,2,strassenbahn,"['41', '2']"
45,Bernauerstrasse Ecke Wollinerstrasse,3,strassenbahn,"['24', '41', '2']"
46,Mühlenstrasse,2,strassenbahn,"['4', '3']"
47,Bhf. Warschauer Brücke,2,strassenbahn,"['4', '3']"
48,Boxhagener Strasse,2,strassenbahn,"['13', '3']"
49,"Bhf. Stalineallee, Gürtelstrasse",1,strassenbahn,['3']
50,Rathaus Lichtenberg,1,strassenbahn,['3']
51,Roederplatz,3,strassenbahn,"['3', '69']"
52,Roederplatz,3,bus,['O30']
53,Landsberger Chaussee,1,strassenbahn,['3']
54,Hohenschönhauser Strasse,1,strassenbahn,['3']
55,Klement-Gottwald-Allee/Lichtenberger Strasse,1,strassenbahn,['3']
56,Antonplatz,4,strassenbahn,"['70', '74', '3', '72']"
57,Prenzlauer Promenade Ecke Gustav-Adolf-Strasse,2,strassenbahn,"['70', '3']"
58,Schönhauser Allee,7,strassenbahn,"['70', '3']"
59,Schönhauser Allee,7,u-bahn,['A I']
60,Schönhauser Allee,7,s-bahn,"['KBS 100', 'KBS 103a', 'KBS 100c', 'KBS 100b']"
61,Björnsonstrasse,1,strassenbahn,['3']
62,"Neukölln, Hermannplatz",2,strassenbahn,"['27', '3']"
63,Südstern,3,strassenbahn,"['3', '2']"
64,Südstern,3,u-bahn,['C I']
65,Zosener Strasse Ecke Gneisenaustrasse,1,strassenbahn,['3']
66,Mehringdamm,4,strassenbahn,"['3', '2']"
67,Mehringdamm,4,u-bahn,"['C I', 'C II']"
68,Potsdamer Strasse,1,strassenbahn,['3']
69,Martin-Luther-Strasse,1,strassenbahn,['3']
