,stop_name,line_count,type,in_lines
0,SchillingBrücke (Ostbahnhof),1,strassenbahn,['1']
1,U-Bhf. Strausberger Platz,1,strassenbahn,['1']
2,Stalinallee,7,strassenbahn,['1']
3,Stalinallee,7,bus,['O40']
4,Stalinallee,7,s-bahn,"['KBS 100c', 'KBS 103a', 'KBS 100b', 'KBS 100']"
5,Leninplatz,5,strassenbahn,"['69', '1', '63', '64']"
6,Leninplatz,5,bus,['O40']
7,"Alexanderplats, Memhardstr.",1,strassenbahn,['1']
8,Rosenthaler Platz,6,strassenbahn,"['22', '11', '1', '49']"
9,Rosenthaler Platz,6,bus,['O40']
10,Rosenthaler Platz,6,u-bahn,['D']
11,Brunnen Ecke Invalidenstrasse,2,strassenbahn,"['11', '1']"
12,Invaliden- Ecke Chausseestrasse,4,strassenbahn,"['46', '11', '1', '46E']"
13,"WeidendammBrücke, Bhf. Friedrichstrasse",3,strassenbahn,"['46', '1', '70']"
14,Am Kupfergraben,1,strassenbahn,['1']
15,Köpenicker Strasse Ecke Adalbertstrasse,1,strassenbahn,['11']
16,Bhf. JannowitzBrücke,1,strassenbahn,['11']
17,"Alexanderplatz, Memhardstrasse",4,strassenbahn,"['22', '11', '63', '69']"
18,Rosenthaler Platz,6,strassenbahn,"['22', '11', '1', '49']"
19,Rosenthaler Platz,6,bus,['O40']
20,Rosenthaler Platz,6,u-bahn,['D']
21,Brunnen Ecke Invalidenstrasse,2,strassenbahn,"['11', '1']"
22,Invaliden- Ecke Chausseestrasse,4,strassenbahn,"['46', '11', '1', '46E']"
23,"Oranienburger Tor, Hannoversche Strasse",2,strassenbahn,"['11', '46E']"
24,"Klingenberg, Blockdammweg",1,strassenbahn,['13']
25,Karlshorster Strasse,1,strassenbahn,['13']
26,Holteistrasse,2,strassenbahn,['13']
27,Holteistrasse,2,bus,['O30']
28,Frankfurter Tor/Stalinallee,2,strassenbahn,"['13', '4']"
29,Bersarinplatz,2,strassenbahn,"['13', '4']"
30,Leninallee,7,strassenbahn,"['13', '4']"
31,Leninallee,7,s-bahn,"['KBS 100c', 'KBS 103a', 'KBS 100b', 'KBS 100']"
32,Kniprodestrasse,3,strassenbahn,"['13', '4', '69E']"
33,Greifswalder Strasse,4,strassenbahn,"['13', '4']"
34,Greifswalder Strasse,4,bus,"['A44E', 'A44']"
35,Prenzlauer Allee,7,strassenbahn,"['13', '4']"
36,Prenzlauer Allee,7,s-bahn,"['KBS 100c', 'KBS 103a', 'KBS 100b', 'KBS 100']"
37,U-Bhf. Dimitroffstrasse,7,strassenbahn,"['49', '70', '46', '13', '4', '46E', '22']"
38,Oderberger Strasse,2,strassenbahn,"['13', '4']"
39,Daimlerstrasse,1,strassenbahn,['15']
40,Bhf. Marienfelde,2,strassenbahn,['15']
41,Bhf. Marienfelde,2,bus,['A32']
42,K rtingstrasse,1,strassenbahn,['15']
43,Mariendorfer Damm,2,strassenbahn,['15']
44,Mariendorfer Damm,2,bus,['AS2']
45,Imbrosweg,1,strassenbahn,['15']
46,Mariendorfer Friedhof,1,strassenbahn,['15']
47,Industriestrasse,2,strassenbahn,"['26', '15']"
48,Germaniastrasse,2,strassenbahn,"['26', '15']"
49,Frauenklinik,1,strassenbahn,['15']
50,Hermannstrasse,2,strassenbahn,"['26', '15']"
51,U-Bhf. Neukölln,2,strassenbahn,"['47', '15']"
52,Richardstrasse,1,strassenbahn,['15']
53,Bhf. Sonnenallee,3,strassenbahn,"['95', '15']"
54,Bhf. Sonnenallee,3,bus,['A67']
55,Dammweg,2,strassenbahn,['15']
56,Dammweg,2,bus,['A67']
57,Schulenburgpark,2,strassenbahn,"['95', '15']"
58,Wolliner Strasse,3,strassenbahn,"['25', '2']"
59,Wolliner Strasse,3,bus,['A71']
60,Voltastrasse,1,strassenbahn,['2']
61,Weddingplatz,6,strassenbahn,"['25', '2', '35']"
62,Weddingplatz,6,bus,"['A12S', 'A12', 'A70']"
63,Rathenower Strasse,4,strassenbahn,"['2', '35']"
64,Rathenower Strasse,4,bus,"['A70', 'A24']"
