Stops,Frequency,Length (time),Length (km),line_name,type,east-west,year,start_stop,last_change
Wentowsteig - Oranienburger Strasse - Alt-Wittenau - Bhf. Eichbornstrasse - Scharnweberstrasse - Kurt-Schumacher-Platz - Kaserne Südtor - Heckerdamm - Bhf. Jungfernheide - Luisenplatz - Kantstrasse - Stuttgarter Platz - Amtsgericht Charlottenburg - Kurfürstendamm - Bhf. Hohenzollerndamm - U-Bhf. Fehrbelliner Platz,10,49.0,,A21,bus,West,1960,,
"Hessenwinkel, Lindenstrasse - Fahlenbergstrasse Ecke Fürstenwalder Allee - S-Bhf. Wilhelmshagen - Zentralschule - Waldschänke - S-Bhf. Rahnsdorf - Fichtenau, Stadtgrenze",20,27.0,8.5,A22,bus,Ost,1960,,
"Altglienicke, Kirche - Gerosteig - Dankmarsteig - Altglienicke, Kirche ",20,13.0,3.5,A23,bus,Ost,1960,,
Wiebestrasse - GotzkowskyStrasse - StromStrasse - Rathenower Strasse - Alt-Moabit - John-Foster-Dulles-Allee - Tiergartenstrasse - Lützowplatz - Potsdamer Strasse - Hafenplatz - Anhalter Bhf. - U-Bhf. Hallesches Tor - Gneisenaustrasse - Columbiadamm - Tempelhofer Damm - Flughafen,5,38.0,,A24,bus,West,1960,,
Unionplatz - Gotzkowskybrücke - Hansaplatz - U-Bhf. Ernst-Reuter-Platz - Bhf. Zoo - U-Bhf. Spichernstrasse - Bundesplatz - Kaisereiche - Grazer Platz - Attilaplatz - Tempelhofer Damm - Gottlieb-Dunkel-Strasse - Grüner Weg - Gutschmidtstrasse,10,63.0,,A25,bus,West,1960,,
"S-Bhf. Kaulsdorf, Planitzstrasse - Chemnitzer Strasse - Ulmenstrasse - Gehsener Strasse - S-Bhf. Köpenick - Bahnhofstrasse Ecke Lindenstrasse - Köpenick, Krankenhaus - Chausseehaus - Alt-Müggelheim",10,42.0,,A27,bus,Ost,1960,,
Loewenhardtdamm - Dudenstrasse - Kreuzbergstrasse - Yorckstrasse - Mehringdamm - Zossener Strasse - Südstern - Urban-Krankenhause - U-Bhf. Prinzenstrasse - U-Bhf Kottbusser Tor - Oranienstrasse - Waldemarstrasse - Mariannenplatz - Köpenicker Strasse Ecke Manteuffelstrasse - U-Bhf. Schlesisches Tor - Heckmannufer,7.5,29.0,,A28,bus,West,1960,,
Roseneck - Berkaer Strasse - BSC-Sportplatz - Bismarckplatz - Bhf. Halensee - Joachim-Friedrich-Strasse - Wilmersdorfer Strasse - Olivaer Platz - Uhlandstrasse - Joachimstaler Strasse - Breitscheidplatz - Wittenbergplatz - Lutherstrasse - Lützowstrasse - Potsdamer Strasse - Anhalter Bhf.,10,32.0,,A29,bus,West,1960,,
Rathaus Zehlendorf - Winifriedstrasse - Sundgauer Strasse - U-Bhf. Oskar-Helene-Heim - U-Bhf. Onkel-Toms-H tte - U-Bhf. Krumme Lanke - Bhf. Lindenthaler Allee - Benschallee - Schopenhauerstrasse - Bhf. Nikolassee - Am Beelitzhof - Bhf. Wannsee - Am Grossen Wannsee - Pfaueninsel-Chaussee - Rathaus Wannsee - Stölpchensee,10,39.0,,A3,bus,West,1960,,
Machandelweg - U-Bhf. Ruhleben - Friedhof Ruhleben - Kinderheim Ruhleben - Teltower Strasse - Grenadierstrasse - Stresowplatz - Breite Strasse - Rathaus Spandau - Brunsb tteler Damm - Nauener Strasse - Egelpfuhlstrasse - Magistratsweg - Spandauer Strasse - Hackbuschstrasse - Heidebergplan,15,24.0,,A31,bus,West,1960,,
"Breitenbachplatz - GritznerStrasse - SchlossStrasse - Rathaus Steglitz - SedanStrasse - StindeStrasse - LeonorenStrasse - Lankwitz, Kirche - Marienfelder Strasse - Marchandstrasse - Marienfelder Allee - Stegerwaldstrasse - Bhf. Marienfelde",5,28.0,,A32,bus,West,1960,,
Bhf. Steglitz - Breite Strasse - Klingsorstrasse - Sedanstrasse - Bismarckstrasse - Halskestrasse - Bhf. Südende - Bhf. Mariendorf - Kurfürstenstrasse - Kaiserstrasse/Ringstrasse - Rathaus Mariendorf - Kaiserstrasse,10,15.0,,A33,bus,West,1960,,
"Spandau, Friedhof - Askanierring - Hafenplatz - Rathaus Spandau - Wilhelmstrasse Ecke Pichelsdorferstrasse - Adamstrasse - Heerstrasse - Weinmeisterhornweg - Ortsgrenze Gatow - Gatow, Kirche - Großglienicker Weg - Krankenhaus Hohengatow - Krankenhaus Havelhöhe - Alt-Kladow - Schwiezerhaus - Gutshof",30,45.0,,A34,bus,West,1960,,
"Germersheimer Platz - Askanierring - Rathaus Spandau - Wilhelmstrasse Ecke Pichelsdorferstrasse - Adamstrasse - Heerstrasse - Gatower Strasse - Weinmeisterhornweg - Ortsgrenze Gatow - Gatow, Kirche - Großglienicker Weg - Krankenhaus Hohengatow - Krankenhaus Havelhöhe - Alt-Kladow - Krampnitzer Weg - Hottengrund",30,38.0,,A35,bus,West,1960,,
"Waltersdorf - Bohnsdorf, Waldstrasse - Eichbuschplatz - Joachimstrasse - S-Bhf. Grünau",20,18.0,6.7,A38,bus,Ost,1960,,
"Wartenberg, Siedlung - Wartenberg, Dorfstrasse - Falkenberger Chaussee - Kolonie ""Land in Sonne"" - Hohensch nhausen, Falkenberger Strasse",18,13.0,4.2,A39,bus,Ost,1960,,
Brixplatz - Reichskanzlerplatz - Messedamm - Bhf. Halensee - Hochmeisterplatz - U-Bhf. Fehrbelliner Platz - Bundesallee Ecke Badensche Strasse - Rathaus Sch neberg - Innsbrucker Platz - Dominicusstrasse - Kaiser-Wilhelm-Platz - U-Bhf. Flughafen - Friesenstrasse - U-Bhf. Boddinstrasse - Rathaus Neukölln - Finowstrasse,10,54.0,,A4,bus,West,1960,,
"Buch, Zepernicker Strasse - Alt-Buch - Lindenberger Weg - Karow, Bahnhofstrasse - G terau enring - Blankenburg, Bahnhofstrasse - Heinersdorf, Kirche - Am Steinberg - Ostseestrasse (Spitze)",12,34.0,12.1,A42,bus,Ost,1960,,
"Bürknersfelde - Marzahn, Berliner Chaussee - G terbahnhof Springpfuhl - S-Bhf. Friedrichsfelde-Ost - Schlossstrasse Ecke Alt-Friedrichsfelde - U-Bhf. Friedrichsfelde",20,19.0,6.2,A43,bus,Ost,1960,,
"Hönow, Dorfstrasse - Greifswalder Strasse - Am Rosenhag - S-Bhf. Mahlsdorf",15,13.0,4.3,A44,bus,Ost,1960,,
Greifswalder Strasse - Am Rosenhag - S-Bhf. Mahlsdorf,10,10.0,2.8,A44E,bus,Ost,1960,,
"Wilhelmsruh, Fontanestrasse - Hauptstrasse Ecke Edelwei strasse - Ehrenmal - Heinrich-Mann-Platz - Pankow, Rathaus - Pankow, Kirche - Prenzlauer Promenade Ecke Kissingenstrasse - Am Steinberg - Langhans Strasse Ecke Gustav-Adolf-Strasse - Hamburger Platz - Pistoriusstrasse Ecke Klement-Gottwald-Allee - Klement-Gottwald-Allee Ecke Bernkasteler Strasse - Weißensee, Schwarzelfenweg",15,42.0,13.3,A45,bus,Ost,1960,,
"Ahrensfeld, Kirche - Stadtrandsiedlung - Falkenberg, Schule - Strasse nach Wartenberg - Malchower Weg - Falkenberger Strasse - Klement-Gottwald-Allee Ecke Bernkasteler Strasse - Feldtmannstrasse - Malchow, Dorfstrasse",15,30.0,10.8,A46,bus,Ost,1960,,
"Bhf. Schöneweide - Sterndamm - Johannisthaler Chaussee - Baumschulenstrasse  Ecke Südostallee - S-Bhf. Baumschulenweg - Eichbuschallee - Treptow, Rathaus - S-Bhf. Treptower Park",20,26.0,9.3,A47,bus,Ost,1960,,
Potsdamer Strasse Ecke Fischerh ttenstrasse - Teltower Damm - Sundgauer Strasse - Dahlemer Weg - Drakestrasse - Hindenburgdamm - Rathaus Steglitz - Bundesallee - Kaisereiche - Innsbrucker Platz - Dominicusstrasse - Kaiser-Wilhelm-Platz - Goeben-/Pallasstrasse - U-Bhf. Bülowstrasse - Lützowstrasse - Margaretenstrasse,5,38.0,,A48,bus,West,1960,,
"Kaulsdorf, Bausdorfstrasse - Ridbacher Strasse - Grottkauer Strasse - Uckermarkstrasse - Kaulsdorf, Bausdorfstrasse",20,14.0,5.4,A49,bus,Ost,1960,,
Machandelweg - U-Bhf. Ruhleben - Friedhof Ruhleben - Hauptkinderheim - Teltower Strasse - Grenadierstrasse - Stresowplatz - Breite Strasse - Rathaus Spandau - Bhf. Spandau-West - Hochgerichtstrasse - Falkenseer Chaussee - Viersener Strasse - Wolburgsweg - Stadtrandstrasse - Waldkrankenhaus,10,24.0,,A5,bus,West,1960,,
Roseneck - Hohenzollerndamm - Elsterplatz - Forckenbeckstrasse - Flinsberger Platz - Cunostrasse - Bhf. Hohenzollerndamm - Konstanzer Strasse - Ruhrstrasse - Fehrbelliner Platz - Emser Platz - Uhlandstrasse - Nassauische Strasse - Prager Platz,10,15.0,,A50,bus,West,1960,,
Bhf. Wannsee - Königstrasse/Kronprinzessinnenweg - Am Grossen Wannsee - KoblanckStrasse - Colomierstrasse - Krankenhaus Wannsee - Zum Heckeshorn - Krankenhaus Heckeshorn,30,10.0,,A51,bus,West,1960,,
Alt-Marienfelde - Gutshof Marienfelde - Bhf. Buckower Chaussee - Lichtenrader Damm - B hler Weg - Buckower Friedhof - Buckower Damm - Grüner Weg - Triftweg - Rudower Strasse - Efeuweg - Wildmeisterdamm - Köpenicker Strasse - Friedhof Rudow - Kanalstrasse - Mimosenweg,30,38.0,,A52,bus,West,1960,,
Krumme Lanke - Sven-Hedin-Strasse - Hartmannsweiler Weg - Potsdamer Strasse - Berliner Strasse - Teltower Damm - Rathaus Zehlendorf - Bhf. Zehlendorf - Seehofstrasse - Knesebeckstrasse - J nickestrasse - Dahlemer Weg - Osteweg - 4. Ring - Luzerner Strasse - Thuner Platz,30,19.0,,A53,bus,West,1960,,
"Wilhelmsruh, Fontanestrasse - Hauptstrasse Ecke Edelwei strasse - Ehrenmal - S-Bhf. Wollkanstrasse - Pankow, Rathaus - Pankow, Kirche - Retzbacher Weg - Heinersdorf, Kirche - Weißensee, Rennbahnstrasse Ecke Gustav-Adolf-Strasse - Große Seestrasse Ecke Klement-Gottwald-Allee - Weißensee, Liebermannstrasse Ecke Piesporter Strasse ",15,38.0,11.4,A55,bus,Ost,1960,,
"Weißensee, Feldtmannstrasse - Rennbahnstrasse Ecke Gustav-Adolf-Strasse - Hamburger Platz - Prenzlauer Allee (Spitze) - Wicherstrasse",15,12.0,4.2,A56,bus,Ost,1960,,
Kniprodestrasse Ecke Erml ndische Strasse - Königstor - S-Bhf. Alexanderplatz - Marx-Engels-Platz - Bhf. Friedrichstrasse - Albrechtstrasse - Robert-Koch-Platz,7,24.0,6.5,A57,bus,Ost,1960,,
Bhf. Wannsee - Königstrasse - Am Grossen Wannsee - Endestrasse - Pfaueninsel-Chaussee - Rathaus Wannsee - Friedenstrasse - Sch ferberg - Nikolskoer Weg - Schloss Glienicke - Glienicker Brücke,60,13.0,,A6,bus,West,1960,,
"Roseneck, Hundekehl - Warnem nder/Berkaer Strasse - Zappoter/Oeynhauser Strasse - Hamburger Strasse, Rudolf-Mosse-Platz - U-Bhf. Heidelberger Platz - Brabanter Platz - Am Volkspark - Berliner Strasse - Postamt - G ntzelstrasse - Ludwigkirchstrasse/Pariser Strasse - Kurfürstendamm - Joachimstaler Strasse - Breitscheidplatz - Wittenbergplatz",10,25.0,,A60,bus,West,1960,,
"ZobeltitzStrasse - U-Bhf. Scharnweberstrasse, Sportplatz - Schillingstrasse - U-Bhf. Kurt-Schumacher-Platz - Humboldtstrasse - Sebastianfriedhof - Teichstrasse - Aroser Allee - Osloer Strasse - Exerzierstrasse - Pankstrasse - Bhf. Gesundbrunnen - Rügener Strasse - Bernauer Strasse - Gartenplatz, Feldstrasse",10,32.0,,A61,bus,West,1960,,
"Wittenau - Alt-Wittenau - Heilst tten, Wittenau - Auguste-Viktoria-Allee - U-Bhf. Kurt-Schumacher-Platz - Kaserne, Südtor - Saatwinkler Damm - Heckerdamm - Bhf. Jungfernheide - Luisenplatz - Richard-Wagner-Platz - U-Bhf. Ernst-Reuter-Platz - Bhf. Zoo - Marburger Strasse - Wittenbergplatz",10,38.0,,A62,bus,West,1960,,
Radelandstrasse - Pionierstrasse - Falkenseer Chaussee - ZweiBrücker Strasse - Askanierring - Bezirksamt - Moritzstrasse - Rathaus Spandau - Bhf. Spandau-West - Staakener Strasse - Hochgerichtstrasse - Viersener Strasse - Dyotzer Strasse - Leuthingerweg - Strasse 393 - Seegefelder Weg,30,23.0,,A63,bus,West,1960,,
U-Bhf. Kurt-Schumacher-Platz - Afrikanische Strasse - Petersallee (Freilichtbühne Rehberge) - Sansibarstrasse - T rkenstrasse - Seestrasse - U-Bhf. Seestrasse - U-Bhf. Leopoldplatz - Triftstrasse - Nettelbeckplatz - Gerichstrasse - Lenzener Platz - Grenzstrasse - Gartenplatz - Bernauer Strasse - Bernauer Strasse Ecke Gartenstrasse ,10,21.0,,A64,bus,West,1960,,
Goebelplatz - Kurt-Schumacher-Damme - Bhf. Jungfernheide - Landgericht - SchlossBrücke - Luisenplatz - Bhf. Westend - Königin-Elisabeth-Strasse - U-Bhf. Kaiserdamm - Masurenallee - Rathenauplatz - Bhf. Hohenzollerndamm - U-Bhf. Heidelberg Platz - Bundesplatz - Innsbrucker Platz - Bhf. Sch neberg - Berlinickeplatz - Bhf. Tempelhof - U-Bhf. Paradesstrasse - Flughafen Tempelhof,15,49.0,,A65,bus,West,1960,,
Bismarckplatz - Bhf. Halensee - Joachim-Friedrich-Strasse - Wilmersdorfer Strasse - Olivaer Platz - Uhlandstrasse - Joachimstaler Strasse - Breitscheidplatz - Wichmannstrasse - Großer Stern - Hansaplatz - Bhf. Bellevue - Alt-Moabit - Turmstrasse - Perleberger Strasse - Stephanplatz,10,31.0,,A66,bus,West,1960,,
"Jerusalems-Kirche, Lindenstrasse - Moritzplatz - Oranienplatz - U-Bhf. Kottbusser Tor - Kottbusser Brücke - Hohenstaufenplatz - Hermannplatz - Reuterstrasse - Fuldastrasse - Erkstrasse - Hertzbergplatz - Bhf. Sonnenallee - Dammweg - Neuköllnische Allee - Am Oberhafen - U-Bhf. Grenzallee",10,25.0,,A67,bus,West,1960,,
"Clayallee - Vogelsang - Thielallee/Pacelliallee - U-Bhf. Dahlem-Dorf - Postamt, Museum Dahlem - Arnimallee - Botanischer Garten - Kaiser-Wilhelm-Strasse - Lepsiusstrasse - Rathaus Steglitz - Bhf. Steglitz - Breite Strasse - Bergstrasse - Bismarckstrasse - Munsterdamm - Grazer Damm, OverbeckStrasse",15,19.0,,A68,bus,West,1960,,
Bismarckplatz - Rathenauplatz - Bhf. Halensee - Joachim-Friedrich-Strasse - Wilmersdorfer Strasse - Leibnizstrasse - Bleibtreustrasse - Uhlandstrasse - Joachimstaler Strasse - Breitscheidplatz - Wittenbergplatz - Lutherstrasse - Lützowplatz - Tiergartenstrasse - Kongre halle - Brandenburger Tor,20,28.0,,A69,bus,West,1960,,
"Glienicke, Kirche - Els sser Strasse - Schildow, Kirche - Blankenfelde, Hauptstrasse - Kolonie ""Daheim"" - Nordend - Ossietzkyplatz - Kurt-Fischer-Platz - Pankow, Rathaus - U-Bhf. Vinetastrasse",17,40.0,14.7,A7,bus,Ost,1960,,
"Bhf. Wollankstrasse - Osloer Strasse - Badstrasse - Brunneplatz - Wiesenstrasse - Bhf. Wedding - Weddingplatz - Am Nordhafen - Rathenower Strasse - Turmstrasse/Rathenower Strasse - Krankenhaus Moabit - Stromstrasse - Rathaus Tiergarten - Waldstrasse/Gotzkowskystrasse - Reuchlinstrasse - Wiebestrasse, Strassenbahnhof",10,26.0,,A70,bus,West,1960,,
"Bhf. Wilhelmsruh - Lindauer Strasse - Emmentaler Strasse - Sch fersee, Pankower Allee - Letteplatz, Strassenbahnhof - Provinzstrasse/Pankower Allee - Ritterlandweg - Prinzenallee/Soldiner Strasse - Osloer Strasse - Badstrasse/Prinzenallee - Bhf. Gesundbrunnen - Ramlerstrasse - Rügener Strasse - Usedomer Strasse - Bernauer Strasse/Brunnenstrasse - Wolliner Strasse",15,21.0,,A71,bus,West,1960,,
"Waldesruh - Malhlsdorfer Allee - Fichtestrasse  Ecke Schopenhauerstrasse - Hultschiner Damme - Sadowastrasse - Chemnitzer Ecke Ulmenstrasse - Eichenallee - Alt-Biesdorf, Oberfeldstrasse - Schlossstrasse Ecke Alt-Friedrichsfelde - U-Bhf. Friedrichsfelde",7,36.0,13.2,A8,bus,Ost,1960,,
Kinderheim - Friedrich-Junge-Strasse - Markgrafendamm,20,5.0,1.2,A82P,bus,Ost,1960,,
Kurische Strasse - Königstor - S-Bhf. Alexanderplatz - Marx-Engels-Platz - Bhf. Friedrichstrasse - Chausseestrasse Ecke Invalidenstrasse - Scharnhorst- Ecke Kieler Strasse,10,27.0,7.3,A9,bus,Ost,1960,,
"Diepensee, Flughafen - Waltersdorfer Chaussee (Spinne) - Sch nefeld, Siedlung - Bohnsdorf, Kirche - Gartenstadtweg - S-Bhf. Grünau",7.5,,,AD/36,bus,Ost,1960,,
"Neu-Lindenberg - Lindenberg - Malchow, Dorfstrasse",45,,,AL,bus,Ost,1960,,
"S-Bhf. Hohen Neuendorf - Bergfelde, Karl-Marx-Strasse - Schönfließ, Kirche - Glienicke, Breitscheidstrasse - Glienicke, Kirche",20,20.0,8.3,AN,bus,Ost,1960,,
Bhf. Zoo - U-Bhf. Ernst-Reuter-Platz - Cauerstrasse - Luisenplatz - Fürstenbrunner Weg - Schloss Ruhwald - U-Bhf. Ruhleben - Teltower Strasse - Rathaus Spandau - Hafenplatz - Lynastrasse - Klinkeplatz - Hohenzollernring,15,28.0,,AS1,bus,West,1960,,
"Bhf. Zoo - HardenbergStrasse - Kurfürstendamm - Rankeplatz, Bundeshaus - Berliner Strasse - Bundesplatz - Schlossstrasse, Wilhelm-Schreiber-Platz - Canovastrasse - Attilaplatz - Mariendorfer Damm - Alt-Mariendorf - Tauernallee, Adlerm hle - Buckower Chaussee - Lichtenrade, Goethestrasse - Goltzstrasse - Lichtenrade, Blohmstrasse Ecke  W nsdorfer Strasse",20,40.0,,AS2,bus,West,1960,,
"Bhf. Zoo - HardenbergStrasse - Kurfürstendamm - Rankeplatz/Bundeshaus - U-Bhf. Fehrbelliner Platz - Bhf. Hohenzollerndamm - Berkaer Strasse, Elsterplatz - Roseneck - P cklerstrasse - Königin-Luise-Strasse - U-Bhf. Oskar-Helene-Heim - Sundgauer Strasse - Winfriedstrasse - Clayallee/Teltower Damm - Rathaus Zehlendorf",15,24.0,,AS3,bus,West,1960,,
"Groß Ziethen - Bhf. Groß Ziethen - Klein Ziethen - Waßmannsdorf, Warteh. - Selchow - Waltersforder Chaussee (Spinne) - Sch nefeld, Siedlung - S-Bhf. Grünau",60,36.0,17.2,AZ,bus,Ost,1960,,
"Kosterstrasse - Andreasstrasse - Küstriner Platz - Warschauer Strasse - Holteistrasse - S-Bhf. Rummelsburg - M nsterlandstrasse - Bhf. Lichtenberg - BVG-Bf. Lichtenberg, Siegfriestrasse - Roederplatz - Proskauer Ecke Dolziger Strasse - Ebertystrasse Ecke Leninallee - Greifswalderstrasse Ecke Dimitroffstrasse - Königstor - S-Bhf. Alexanderplatz - Klosterstrasse",20,72.0,18.9,O30,bus,Ost,1960,,
"Bürknersfelde - Alt-Marzahn, Kirche - Elisabethstrasse - Cecilienstrasse Ecke Oberfeldstrasse - S-Bhf. Biesdorf - Schlossstrasse Ecke Alt-Friedrichsfelde - Bhf. Lichtenberg",,,,O37,bus,Ost,1960,,
Ostbahnhof - Küstriner Platz - Stalinallee - Leninplatz - Königstor - Rosenthaler Platz - Oranienburger Tor - Robert-Koch-Platz,10,23.0,6.3,O40,bus,Ost,1960,,
Bürknersfelde - Dingelstädter Strasse - Siegfriestrasse - Weißenseer Weg - Oderbruchstrasse - Dimitroffstrasse,10,18.0,6.2,O41,bus,Ost,1960,,
"Alt-Schm ckwitz - Eichwalde, Uhlandstrasse - Bhf. Eichwalde",60,14.0,3.5,Schmöckwitz<>Eichwalde (VEB Kraftverkehr Schöneiche-Rüdersdorf),bus (Umlandlinie),both/unkown,1960,,
"Alt-Schm ckwitz - Konsum Wernsdorf - Konsum Ziegenhals - Ziegenhals, VA Dienststelle",90,19.0,9.0,Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf),bus (Umlandlinie),both/unkown,1960,,
Kladow - Wannsee,60,20.0,,Wannsee<>Kladow (Betrieb durch Stern und Kreisschiffahrt),bus,both/unkown,1960,,
Pankow (Vinetastr.) - Schönhauser Allee - Dimitroffstr. - Senefelderplatz - Luxemburgplatz - Alexanderplatz - Klosterstr. - Märkisches Museum - Spittelmarkt - Hausvogteiplatz - Stadtmitte (Mohrenstr.) - Thälmannplatz - Potsdamer Platz - Gleisdreieck - Bülowstr. - Nollendorfplatz - Wittenbergplatz - Zoologischer Garten - Ernst-Reuter-Platz - Deutsches Opernhaus (Bismarckstr.) - Sophie-Charlotte-Platz - Kaiserdamm (Messedamm) - Reichskanzlerplatz,,,,A I,u-bahn,Ost/West,1960,Pankow <>Reichskanzlerplatz,01.11.1956
Pankow (Vinetastr.) - Schönhauser Allee - Dimitroffstr. - Senefelderplatz - Luxemburgplatz - Alexanderplatz - Klosterstr. - Märkisches Museum - Spittelmarkt - Hausvogteiplatz - Stadtmitte (Mohrenstr.) - Thälmannplatz - Potsdamer Platz - Gleisdreieck - Bülowstr. - Nollendorfplatz - Wittenbergplatz - Spichernstr. (Bundesallee) - Hohenzollernplatz - Fehrbelliner Platz - Heidelberger Platz - Rüdesheimer Platz - Breitenbachplatz - Podbielskiallee - Dahlem-Dorf - Thielplatz - Oskar-Helene-Heim - Onkel Toms Hütte - Krumme Lanke,,,,A II,u-bahn,Ost/West,1960,Pankow <>Breitenbachplatz,01.11.1956
Deutsches Opernhaus (Bismarckstr.) - Richard-Wagner-Platz,,,,A III,u-bahn,West,1960,Deutsches Opernhaus<>Richard-Wagner-Platz,18.05.1945
Warschauer Brücke - Schlesisches Tor - Görlitzer Bahnhof (Oranienstr.) - Kottbusser Tor - Prinzenstr. - Hallesches Tor - Möckernbrücke - Gleisdreieck - Kurfürstenstr. - Nollendorfplatz - Wittenbergplatz - Zoologischer Garten - Ernst-Reuter-Platz - Deutsches Opernhaus (Bismarckstr.) - Sophie-Charlotte-Platz - Kaiserdamm (Messedamm) - Reichskanzlerplatz - Neu-Westend - Olympia-Stadion - Ruhleben,,,,B I,u-bahn,Ost/West,1960,Warschauer Brücke<>Ruhleben,01.05.1957
Warschauer Brücke - Schlesisches Tor - Görlitzer Bahnhof (Oranienstr.) - Kottbusser Tor - Prinzenstr. - Hallesches Tor - Möckernbrücke - Gleisdreieck - Kurfürstenstr. - Nollendorfplatz - Wittenbergplatz - Spichernstr. (Bundesallee) - Hohenzollernplatz - Fehrbelliner Platz - Heidelberger Platz - Rüdesheimer Platz - Breitenbachplatz - Podbielskiallee - Dahlem-Dorf - Thielplatz - Oskar-Helene-Heim - Onkel Toms Hütte - Krumme Lanke,,,,B II,u-bahn,Ost/West,1960,Kottbusser Tor<>Krumme Lanke,01.05.1957
Nollendorfplatz - Viktoria-Luise-Platz - Bayerischer Platz - Rathaus Schöneberg - Innsbrucker Platz (Hauptstr.),,,,B III,u-bahn,West,1960,Nollendorfplatz<>Innsbrucker Platz,01.05.1957
Tegel - Borsigwerke - Holzhauser Str. - Seidelstr. (Flugplatz Tegel) - Scharnweberstr. (Eichborndamm) - Kurt-Schumacher-Platz - Afrikanische Str. - Rehberge - Seestr. - Leopoldplatz - Bahnhof Wedding - Reinickendorfer Str. - Schwartzkopffstr. - Nordbahnhof - Oranienburger Tor - Bahnhof Friedrichstr. (Stadtbahn) - Französische Str. - Stadtmitte (Leipziger Str.) - Kochstr. - Hallesches Tor - Mehringdamm - Gneisenaustr. - Südstern - Hermannplatz - Rathaus Neukölln - Karl-Marx-Str. - Neukölln (Südring) - Grenzallee,,,,C I,u-bahn,West,1960,Tegel<>Grenzallee,31.05.1958
Tegel - Borsigwerke - Holzhauser Str. - Seidelstr. (Flugplatz Tegel) - Scharnweberstr. (Eichborndamm) - Kurt-Schumacher-Platz - Afrikanische Str. - Rehberge - Seestr. - Leopoldplatz - Bahnhof Wedding - Reinickendorfer Str. - Schwartzkopffstr. - Nordbahnhof - Oranienburger Tor - Bahnhof Friedrichstr. (Stadtbahn) - Französische Str. - Stadtmitte (Leipziger Str.) - Kochstr. - Hallesches Tor - Mehringdamm - Flughafen - Paradestr. - Tempelhof (Südring),,,,C II,u-bahn,West,1960,Mehringdamm<>Tempelhof,31.05.1958
Gesundbrunnen - Voltastr. - Bernauer Str. - Rosenthaler Platz - Weinmeisterstr. - Alexanderplatz - Jannowitzbrücke - Neanderstr. - Moritzplatz - Kottbusser Tor - Kottbusser Damm (Schönleinstr.) - Hermannplatz - Boddinstr. - Leinestr.,,,,D,u-bahn,West,1960,Gesundbrunnen<>Leinestraße,16.06.1945
Alexanderplatz - Schillingstr. - Strausberger Platz - Marchlewskistr. - Bersarinstr. (Frankfurter Tor) - Samariterstr. - Stalinallee (Ringbahn) - Magdalenenstr. - Bahnhof Lichtenberg (Zentralfriedhof) - Friedrichsfelde (Tierpark),,,,E,u-bahn,Ost,1960,Alexanderplatz<>Friedrichsfelde,23.06.1945
Gesundbrunnen - Schönhauser Allee - Prenzlauer Allee - Greifswalder Str. - Leninallee - Zentralviehhof - Stalinallee - Ostkreuz - Treptower Park - Sonnenallee - Neukölln - Hermannstr. - Tempelhof - Papestr. - Schöneberg - Innsbrucker Platz - Wilmersdorf - Schmargendorf - Hohenzollerndamm - Halensee - Westkreuz - Witzleben - Westend - Jungfernheide - Beusselstr. - Putlitzstr. - Wedding - Gesundbrunnen,,,,KBS 100,s-bahn,,1960,Vollring,19.12.1945
Wilmersdorf - Innsbrucker Platz - Schöneberg - Papestr. - Tempelhof - Hermannstr. - Neukölln - Köllnische Heide - Baumschulenweg - Schöneweide - Betriebsbahnhof Schöneweide - Adlershof - Grünau,,,,KBS 100a,s-bahn,,1960,Wilmersdorf<>Grünau,31.05.1959
Blankenburg - Pankow-Heinersdorf - Pankow - Schönhauser Allee - Prenzlauer Allee - Greifswalder Str. - Leninallee - Zentralviehhof - Stalinallee - Ostkreuz - Warschauer Str.,,,,KBS 100b,s-bahn,,1960,Blankenburg<>Warschauer Straße,23.10.1955
Gartenfeld - Siemensstadt - Wernerwerk - Jungfernheide - Beusselstr. - Putlitzstr. - Wedding - Gesundbrunnen - Schönhauser Allee - Prenzlauer Allee - Greifswalder Str. - Leninallee - Zentralviehhof - Stalinallee - Ostkreuz - Warschauer Str.,,,,KBS 100c,s-bahn,,1960,Gartenfeld oder Halensee<>Warschauer Straße,05.10.1959
Halensee - Westkreuz - Witzleben - Westend - Jungfernheide - Beusselstr. - Putlitzstr. - Wedding - Gesundbrunnen - Schönhauser Allee - Prenzlauer Allee - Greifswalder Str. - Leninallee - Zentralviehhof - Stalinallee - Ostkreuz - Warschauer Str.,,,,KBS 100c,s-bahn,,1960,Gartenfeld oder Halensee<>Warschauer Straße,05.10.1959
Jungfernheide - Wernerwerk - Siemensstadt - Gartenfeld,,,,KBS 100d,s-bahn,,1960,Jungfernheide<>Gartenfeld,19.12.1945
