Stops,Frequency,Length (time),Length (km),line_name,type,east-west,year,start_stop,last_change
"Buchholz, Hauptstrasse - Blankenburger Weiche - S-Bhf. Pankow-Heinersdorf - Pankow, Kirche - U-Bhf. Vinetastrasse - S-Bhf. Sch nhauser Allee - U-Bhf. Dimitroffstrasse - Rosenthaler Platz - Hackescher Markt, Große Präsidentenstrasse",8,41.0,10.6,49,strassenbahn,Ost,1960,,
"Nollendorfplatz - Wittenbergplatz - Bhf. Zoo - U-Bhf. Reuter-Platz - Richard-Wagner-Platz - Luisenplatz - Königin-Elisabeth-Strasse - Kirschenallee - Schloss Ruhwald - U-Bhf. Ruhleben - Teltower Strasse - Spandau, Markt - Carl-Schurz-Strasse - Hafenplatz - Hohenzollernring - Hakenfelde",20,59.0,,53,strassenbahn,West,1960,,
"Nollendorfplatz - Wittenbergplatz - Bhf. Zoo - U-Bhf. Ernst-Reuter-Platz - Richard-Wagner-Platz - Luisenplatz - Königin-Elisabeth-Strasse - Kirschenallee - Schloss Ruhwald - U-Bhf. Ruhleben - Teltower Strasse - Spandau, Markt - Carl-Schurz-Strasse - Hafenplatz - Hohenzollernring - Johannesstift",20,60.0,,54,strassenbahn,West,1960,,
"Nollendorfplatz - Wittenbergplatz - Bhf. Zoo - U-Bhf. Ernst-Reuter-Platz - Cauerstrasse - Richard-Wagner-Platz - Luisenplatz - OsnaBrücker Strasse - Bhf. Jungfernheide - Siemensplatz - Quellweg - Paulsternstrasse - Zitadellenweg - Spandau, Markt - Rathaus Spandau - Nauener Strasse",12,54.0,,55,strassenbahn,West,1960,,
Wintersteinstrasse - U-Bhf. Ernst-Reuter-Platz - Bhf. Zoo - Wittenbergplatz - Rathaus Sch neberg - Hauptstrasse - Bhf. Papestrasse - Tempelhofer Damm - Gottlieb-Dunkel-Strasse - Britzer Damm - Buschkrug - U-Bhf. Grenzallee - Bhf. Neukölln - Rathaus Neukölln - Elsenstrasse,10,57.0,,6,strassenbahn,West,1960,,
Königin-Elisabeth-Strasse - Spandauer Damm - Klausenerplatz - Schloßstrasse Ecke Spandauer Damm - Kaiser-Friedrich-Strasse - Stuttgarter Platz - Kurfürstendamm - Fehrbelliner Platz - Bundesallee Ecke Berliner Strasse - Martin-Luther-Strasse - Rathaus Sch neberg - Hauptstrasse (Sch neberg) - Bhf. Papestrasse - Bosestrasse - Eythstrasse,15,49.0,,60,strassenbahn,West,1960,,
"Hohensch nhausen, Gartenstadt - Falkenbergerstrasse Ecke Wartenberger Strasse - Degnerstrasse - Weißenseer Weg - Steuerhaus - Dimitroffstrasse - Leninplatz - Alexanderplatz, Memhardstrasse - Hackescher Markt, Große Präsidentenstrasse",20,38.0,10.2,63,strassenbahn,Ost,1960,,
"Hohensch nhausen, Falkenberger Strasse - Degnerstrasse - Weißenseer Weg - Steuerhaus - Dimitroffstrasse - Leninplatz - Alexanderplatz, Grunestrasse - Jacobystrasse - U-Bhf. Neanderstrasse - Spittelmarkt - D nhoffplatz",20,39.0,10.2,64,strassenbahn,Ost,1960,,
Belziger Strasse - Hauptstrasse (Sch neberg) - Innsbrucker Platz - Traegerstrasse - Cecilieng rten - Rembrandtstrasse - Canovastrasse (Krankenhaus) - Thorwaldsenstrasse - Bergstrasse,10,12.0,,66,strassenbahn,West,1960,,
"Johannisthal, Haeckelstrasse - Königsweide - Bhf. Schöneweide - Wilhelminenhofstrasse - S-Bhf. Karlshorst - Hochschule f r  konomie - Tierpark Berlin - Schlossstrasse  Ecke Alt-Friedrichsfelde - Bhf. Lichtenberg - BVG-Bf. Lichtenberg, Siegfriedstrasse - Klubhaus VEB Elektrokohle - Roederplatz - Steuerhaus - Dimitroffstrasse - Leninplatz - Alexanderplatz, Memhardstrasse - Hackescher Markt - Oranienburger Tor - Invalidenstrasse Ecke Chausseestrasse - Walter-Ulbricht-Stadion",20,82.0,21.4,69,strassenbahn,Ost,1960,,
