,line_name,Stops,Frequency_7-30,Length (time),type,east-west,year
33,82,"Mahlsdorf-Süd, Hubertus - S-Bhf. Köpenick - Seelenbinderstrasse - Bahnhofstrasse Ecke Lindenstrasse - Parkstrasse - Wilhelminenhof- Ecke Edisonstrasse - Heinrich-Duncker-Strasse Ecke Ehrlichstrasse - Klingenberg, Blockdammweg - Kraftwerk Klingenberg - Hauptstrasse Ecke Karlshorster Strasse - S-Bhf. Ostkreuz - Stralauer Allee Ecke Markgrafendamm - Warschauer Strasse - Ostbahnhof - S-Bhf. Jannowitzbrücke - Alexanderplatz, Elisabethstrasse",20.0,64.0,strassenbahn,Ost,1961
34,83,Wendenschloß Ecke Ekhofstrasse - VEB Schiffswerft - Bhf. Köpenick - Bahnhofstrasse Ecke Lindenstrasse - Seelenbinderstrasse - S-Bhf. Köpenick - Mahlsdorf-Süd - Bürgerwäldchen - Rathaus Mahlsdorf - S-Bhf. Mahlsdorf,20.0,50.0,strassenbahn,Ost,1961
35,84,"Altglienicke, Am Falkenberg - Köpenicker Strasse - Benzolwerk - S-Bhf. Adlershof - Marktplatz Adlershof - S-Bhf. Spindlersfeld - Köllnischer Platz - Schüßlerplatz - Bahnhofstrasse Ecke Lindenstrasse - Seelenbinderstrasse - Hirschgarten - Fürstenwalder Damm - S-Bhf. Friedrichshagen - Brauerei - Friedrichshagen, Wasserwerk",20.0,52.0,strassenbahn,Ost,1961
36,86,"Alt-Schmöckwitz - Karolinenhof Mitte - Richtershorn - Freibad Grünau - S-Bhf. Grünau - Chemische Fabrik - Köllnischer Platz - Bahnhofstrasse Ecke Lindenstrasse - Seelenbinderstrasse - S-Bhf. Köpenick - Hirtestrasse - Mahlsdorf-Süd, Hubertus",20.0,43.0,strassenbahn,Ost,1961
37,87,"Rahnsdorf - Wasserwerk - S-Bhf. Friedrichshagen - Bölschestrasse, Brauerei -  Hirschgarten - Seelenbinderstrasse Ecke Bahnhofstrasse - Bahnhofstrasse Ecke Lindenstrasse - Parkstrasse - Wilhelminenhof- Ecke Edisonstrasse - Bhf. Schöneweide, Brückenstrasse - Köpenicker Landstrasse Ecke Baumschulenstrasse - S-Bhf. Plänterwald - Am Treptower Park Ecke Elsenstrasse - Wiener Brücke",20.0,69.0,strassenbahn,Ost,1961
38,92,"Oberspree, Bruno-Bürgel-Weg - Bhf. Schöneweide - Kali-Chemie - Baumschulenstrasse - S-Bhf. Plänterwald - S-Bhf. Tremptower Park, Elsenstrasse - Wiener Brücke",20.0,30.0,strassenbahn,Ost,1961
39,95,Krankenhaus Köpenick - Bahnhofstrasse Ecke Lindenstrasse - Parkstrasse - Edisonstrasse - Bhf. Schöneweide - Kali-Chemie - Baumschulenstrasse - S-Bhf. Baumschulenweg,20.0,33.0,strassenbahn,Ost,1961
40,95P,S-Bhf. Baumschulenweg - Sonnenallee,20.0,3.0,strassenbahn,Ost,1961
58,A 22,"Hessenwinkel, Lindenstrasse - Fahlenbergstrasse Ecke Fürstenwalder Allee - S-Bhf. Wilhelmshagen - Zentralschule - Waldschänke - S-Bhf. Rahnsdorf - Fichtenau, Stadtgrenze",20.0,29.0,bus,Ost,1961
59,A 23,"Altglienicke, Kirche - Gerosteig - Dankmarsteig - Altglienicke, Kirche ",20.0,13.0,bus,Ost,1961
62,A 26,VEB Bautransporte - Bhf. Schöneweide,15.0,5.0,bus,Ost,1961
63,A 27,"S-Bhf. Kaulsdorf, Planitzstrasse - Chemnitzer Strasse Ecke Alt-Kaulsdorf - Ulmenstrasse - Wongrowitzer Strasse - S-Bhf. Köpenick - Bahnhofstrasse Ecke Lindenstrasse - Köpenick, Krankenhaus - Müggelseeperle - Müggelheim",10.0,43.0,bus,Ost,1961
71,A 38,"Waltersdorf - Bohnsdorf, Waldstrasse - Eichbuschplatz - Joachimstrasse - S-Bhf. Grünau",20.0,18.0,bus,Ost,1961
72,A 39,"Wartenberg, Siedlung - Wartenberg, Dorfstrasse - Falkenberger Chaussee - Kolonie ""Land in Sonne"" - Hohenschönhausen, Falkenberger Strasse",16.0,13.0,bus,Ost,1961
74,A 42,"Buch, Kiesgruben - Karower Strasse Ecke Alt-Buch - Strasse 78 - Karow, Bahnhofstrasse - Güteraußenring - Blankenburg, Bahnhofstrasse - Heinersdorf, Kirche - Am Steinberg - Prenzlauer Promenade (Spitze)",12.0,31.0,bus,Ost,1961
75,A 43,"Bürknersfelde - Marzahn, Berliner Chaussee - Güterbahnhof Springpfuhl - S-Bhf. Friedrichsfelde-Ost - Alt-Friedrichsfelde Ecke Am Tierpark - U-Bhf. Friedrichsfelde",20.0,19.0,bus,Ost,1961
76,A 44,"Hönow, Dorfstrasse - Greifswalder Strasse - Am Rosenhag - S-Bhf. Mahlsdorf",13.0,13.0,bus,Ost,1961
77,A 44E,Greifswalder Strasse - Am Rosenhag - S-Bhf. Mahlsdorf,10.0,8.0,bus,Ost,1961
78,A 45,"Wilhelmsruh, Fontanestrasse - Hauptstrasse Ecke Edelweißstrasse - Ehrenmal - Heinrich-Mann-Platz - Pankow, Rathaus - Pankow, Kirche - Prenzlauer Promenade Ecke Kissingenstrasse - Am Steinberg - Langhans Strasse Ecke Gustav-Adolf-Strasse - Hamburger Platz - Pistoriusstrasse Ecke Klement-Gottwald-Allee - Klement-Gottwald-Allee Ecke Rennbahnstrasse - Weißensee, Schwarzelfenweg",23.0,42.0,bus,Ost,1961
79,A 46,"Ahrensfeld, Kirche - LPG Falkenberg - Strasse nach Wartenberg - Malchower Weg - Buschallee Ecke Klement-Gottwald-Alle - Klement-Gottwald-Allee Ecke Rennbahnstrasse - Feldtmannstrasse - Malchow, Dorfstrasse",15.0,30.0,bus,Ost,1961
80,A 47,"Bhf. Schöneweide - Sterndamm - Johannisthaler Chaussee - Baumschulenstrasse  Ecke Südostallee - S-Bhf. Baumschulenweg - Eichbuschallee - Treptow, Rathaus - S-Bhf. Treptower Park",15.0,26.0,bus,Ost,1961
82,A 49,"Kaulsdorf, Bausdorfstrasse - Ridbacher Strasse - Grottkauer Strasse - Uckermarkstrasse - Kaulsdorf, Bausdorfstrasse",20.0,14.0,bus,Ost,1961
88,A 55,"Wilhelmsruh, Fontanestrasse - Hauptstrasse Ecke Edelweißstrasse - Ehrenmal - Heinrich-Mann-Platz - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow - Prenzlauer Promenade Ecke Granitzstrasse - Am Steinberg - Langhansstrasse Ecke Gustav-Adolf-Strasse - Hamburger Platz - Gustav-Adolf-Strasse Ecke Rennbahnstrasse - Große Seestrasse Ecke Berliner Allee - Weißensee, Liebermannstrasse Ecke Piesporter Strasse ",20.0,42.0,bus,Ost,1961
89,A 56,"Weißensee, Nüßlerstrasse - Rennbahnstrasse Ecke Gustav-Adolf-Strasse - Hamburger Platz - Prenzlauer Promenade - Wicherstrasse Ecke Prenzlauer Allee",15.0,13.0,bus,Ost,1961
90,A 57,Kniprodestrasse Ecke Ermländische Strasse - Königstor - S-Bhf. Alexanderplatz - Marx-Engels-Platz - Friedrichstrasse Ecke Unter den Linden - Bhf. Friedrichstrasse - Schumannstrasse Ecke Luisenstrasse - Robert-Koch-Platz - Scharnhorststrasse,7.0,24.0,bus,Ost,1961
102,A 7,"Glienicke, Kirche - Elsässer Strasse - Schildow, Kirche - Blankenfelde, Hauptstrasse - Nordend - Kurt-Fischer-Platz - Pankow, Rathaus - U-Bhf. Vinetastrasse",10.0,37.0,bus,Ost,1961
111,A 8,"Waldesruh, Malhlsdorfer Allee - Fichtestrasse Ecke Schopenhauerstrasse - Hultschiner Damm - Sadowastrasse - Chemnitzer Ecke Ulmenstrasse - Alt-Biesdorf, Oberfeldstrasse - Alt-Friedrichsfelde Ecke Am Tierpark - U-Bhf. Friedrichsfelde",8.0,36.0,bus,Ost,1961
112,A 8 E,"Sadowastrasse - Chemnitzer Ecke Ulmenstrasse - Alt-Biesdorf, Oberfeldstrasse - Alt-Friedrichsfelde Ecke Am Tierpark - U-Bhf. Friedrichsfelde",11.0,24.0,bus,Ost,1961
113,A 82 P,Kinderheim - Friedrich-Junge-Strasse - Markgrafendamm,20.0,5.0,bus,Ost,1961
114,A 9,Kurische Strasse - Dimitroffstrasse - Königstor - S-Bhf. Alexanderplatz - Marx-Engels-Platz - Friedrichstrasse Ecke Unter den Linden - Bhf. Friedrichstrasse - Oranienburger Tor - Platz vor dem Neuen Tor - Scharnhorststrasse Ecke Kieler Strasse,6.0,27.0,bus,Ost,1961
115,Flughafen Schönefeld <> Strausberger Platz,Flughafen Schönefeld - Bhf. Schöneweide - Ostbahnhof - Strausberger Platz,10.0,45.0,bus,Ost,1961
116,AD/36,"Diepensee, Flughafen - Waltersdorfer Chaussee (Spinne) - Schönefeld, Siedlung - Bohnsdorf, Kirche - Gartenstadtweg - S-Bhf. Grünau",7.5,27.0,bus,Ost,1961
117,A L,"Neu-Lindenberg - Lindenberg - Malchow, Dorfstrasse",45.0,15.0,bus,Ost,1961
121,A Z,"Groß Ziethen - Bhf. Groß  Ziethen - Klein Ziethen - Waßmannsdorf, Warteh. - Selchow - Waltersforder Chaussee (Spinne) - Schönefeld, Siedlung - S-Bhf. Grünau",60.0,36.0,bus,Ost,1961
131,A,Pankow (Vinetastr.) - Schönhauser Allee - Dimitroffstr. - Senefelderplatz - Luxemburgplatz - Alexanderplatz - Klosterstr. - Märkisches Museum - Spittelmarkt - Hausvogteiplatz - Stadtmitte - Thälmannplatz,2.5,19.0,u-bahn,Ost,1961
132,E,Alexanderplatz - Schillingstr. - Strausberger Platz - Marchlewskistr. - Frankfurter Tor - Samariterstr. - Stalinallee (Ringbahn) - Magdalenenstr. - Bahnhof Lichtenberg (Zentralfriedhof) - Friedrichsfelde (Tierpark),5.0,16.0,u-bahn,Ost,1961
136,KBS 101,Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Nöldnerplatz - Lichtenberg - Friedrichsfelde Ost - Biesdorf - Kaulsdorf - Mahlsdorf - Hoppegarten (Mark) - Neuenhagen (b Bln) - Fredersdorf (b Bln) - Giebelsee - Strausberg,,,s-bahn,Ost,1961
138,KBS 101c,Strausberg - Strausberg Stadt - Strausberg Nord,,,s-bahn,Ost,1961
139,KBS 102,Potsdam - Babelsberg - Griebnitzsee,,,s-bahn,Ost,1961
140,KBS 102,Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Rummelsburg - Betriebsbahnhof Rummelsburg - Karlshorst - Wuhlheide - Köpenick - Hirschgarten - Friedrichshagen - Rahnsdorf - Wilhelmshagen - Erkner,,,s-bahn,Ost,1961
142,KBS 103,Falkensee - Albrechtshof,,,s-bahn,Ost,1961
143,KBS 103,Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - Schöneweide - Betriebsbahnhof Schöneweide - Adlershof - Grünau - Eichwalde - Zeuthen - Wildau - Königs Wusterhausen,,,s-bahn,Ost,1961
144,KBS 103a,Greifswalder Str. - Leninallee - Zentralviehhof - Stalinallee - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - Schöneweide - Oberspree - Spindlersfeld,,,s-bahn,Ost,1961
148,KBS 104,Oranienburg - Lehnitz - Borgsdorf - Birkenwerder - Hohen-Neuendorf (b Bln),,,s-bahn,Ost,1961
149,KBS 105,Velten (Mark) - Hohenschöpping - Hennigsdorf Nord - Hennigsdorf (b Bln),,,s-bahn,Ost,1961
151,KBS 105,Mahlow - Blankenfelde - Dahlewitz - Rangsdorf,,,s-bahn,Ost,1961
153,KBS 106,Bernau (b Bln) - Zepernick (b Bernau) - Röntgental - Buch - Karow - Blankenburg - Pankow-Heinersdorf - Pankow - Schönhauser Allee - Prenzlauer Allee - Greifswalder Str. - Leninallee - Zentralviehhof - Stalinallee - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - Schöneweide - Betriebsbahnhof Schöneweide - Adlershof - Grünau,,,s-bahn,Ost,1961
154,O 30,Kosterstrasse - Andreasstrasse - Küstriner Platz - Warschauer Strasse - Boxhagenerstrasse Ecke Holteistrasse - S-Bhf. Rummelsburg - Bhf. Lichtenberg - Bf. Siegfriedstrasse - Roederplatz - Proskauer Ecke Dolziger Strasse - Ebertystrasse Ecke Leninallee - Greifswalderstrasse Ecke Dimitroffstrasse - S-Bhf. Alexanderplatz - Klosterstrasse,20.0,72.0,bus,Ost,1961
155,O 37,"Dimitroffstrasse Ecke Leninallee - Steuerhaus - Weißenseer Weg - Genslerstrasse Ecke Siegfriedstrasse - Dingelstädter Strasse - Bürknersfelde - Marzahner Chaussee - Alt-Marzahn, Kirche - Elisabethstrasse - S-Bhf. Biesdorf - Alt-Biesdorf, Oberfeldstrasse -  Alt-Friedrichsfelde Ecke Am Tierpark - Bhf. Lichtenberg",20.0,46.0,bus,Ost,1961
156,O 40,Ostbahnhof - Küstriner Platz - Stalinallee - Leninplatz - Königstor - Prenzlauer Tor - Rosenthaler Platz - Oranienburger Tor - Robert-Koch-Platz,10.0,23.0,bus,Ost,1961
157,"S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)","S-Bhf. Friedrichshagen - Schöneiche, Goethepark - Dorfaue - Rüdersdorf, Thälmannstrasse - Post - Rüdersdorf, Karl-Marx-Platz",20.0,40.0,bus,Ost,1961
158,S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),S-Bhf. Rahnsdorf - Goethestrasse - Eichendamm - Lerchenstrasse - Fasanenstrasse - Thälmannplatz - Blumenstrasse - Woltersdorfer Schleuse,20.0,22.0,bus,Ost,1961
159,Schmöckwitz<>Eichwalde (VEB Kraftverkehr Schöneiche-Rüdersdorf),"Alt-Schmöckwitz - Eichwalde, Uhlandstrasse - Bhf. Eichwalde",60.0,14.0,bus,Ost,1961
160,"S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)","S-Bhf. Grünau - Walterdorfer Chaussee (Spinne) - Selchow - Glasow - Bhf. Mahlow - Bhf. Teltow - Carl-von-Ossietzky-Werk - Stahnsdorf, Waldschänke - Bhf. Drewitz - Lutherplatz - Potsdam, Bassinplatz",30.0,49.0,bus,Ost,1961
161,Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf),"Reifenwerk - Alt-Schmöckwitz - Konsum Wernsdorf - Konsum Ziegenhals - Ziegenhals, VA Dienststelle",56.0,19.0,bus,Ost,1961
