,stop_id,stop_name,type,in_lines
374,375,Sonnenallee,strassenbahn,{'95P'}
375,376,Spindlersfeld,s-bahn,{'KBS 103a'}
376,377,Spittelmarkt,strassenbahn,"{'72', '74', '64', '74E'}"
377,378,Spittelmarkt,u-bahn,{'A'}
378,379,Stadion Buschallee,strassenbahn,{'70'}
379,380,Stadtmitte,u-bahn,{'A'}
380,381,"Stahnsdorf, Waldschänke",bus,"{'S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)'}"
381,382,Stalinallee,bus,{'O40'}
382,383,Stalinallee,s-bahn,"{'KBS 106', 'KBS 103a'}"
383,384,Stalinallee (Ringbahn),u-bahn,{'E'}
384,385,Sterndamm,bus,{'A47'}
385,386,Steuerhaus,bus,{'O37'}
386,387,Steuerhaus,strassenbahn,"{'64', '63'}"
387,388,Stralauer Allee Ecke Markgrafendamm,strassenbahn,{'82'}
388,389,Strasse 78,bus,{'A42'}
389,390,Strasse nach Wartenberg,bus,{'A46'}
390,391,Strausberg,s-bahn,"{'KBS 101', 'KBS 101c'}"
391,392,Strausberg Nord,s-bahn,{'KBS 101c'}
392,393,Strausberg Stadt,s-bahn,{'KBS 101c'}
393,394,Strausberger Platz,bus,{'Flughafen Schönefeld <> Strausberger Platz'}
394,395,Strausberger Platz,u-bahn,{'E'}
395,396,Taubenstrasse,strassenbahn,{'72'}
396,397,Thälmannplatz,bus,{'S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf)'}
397,398,Thälmannplatz,u-bahn,{'A'}
398,399,Tierpark Berlin,strassenbahn,{'69'}
399,400,"Treptow, Rathaus",bus,{'A47'}
400,401,Treptower Park,s-bahn,"{'KBS 103', 'KBS 106', 'KBS 103a'}"
401,402,U-Bhf. Dimitroffstrasse,strassenbahn,"{'13', '4', '70', '49', '46', '22'}"
402,403,U-Bhf. Friedrichsfelde,bus,"{'A8E', 'A8', 'A43'}"
403,404,U-Bhf. Strausberger Platz,strassenbahn,{'1'}
404,405,U-Bhf. Vinetastrasse,bus,{'A7'}
405,406,U-Bhf. Vinetastrasse,strassenbahn,"{'46', '49', '22'}"
406,407,Uckermarkstrasse,bus,{'A49'}
407,408,Ulmenstrasse,bus,{'A27'}
408,409,VEB Bautransporte,bus,{'A26'}
409,410,VEB Schiffswerft,strassenbahn,{'83'}
410,411,Velten (Mark),s-bahn,{'KBS 105'}
411,412,"Waldesruh, Malhlsdorfer Allee",bus,{'A8'}
412,413,Waldschänke,bus,{'A22'}
413,414,Walterdorfer Chaussee (Spinne),bus,"{'S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)'}"
414,415,Waltersdorf,bus,{'A38'}
415,416,Waltersdorfer Chaussee (Spinne),bus,{'AD/36'}
416,417,Waltersforder Chaussee (Spinne),bus,{'AZ'}
417,418,Warschauer Brücke,strassenbahn,"{'3', '4'}"
418,419,Warschauer Str.,s-bahn,"{'KBS 101', 'KBS 102', 'KBS 103'}"
419,420,Warschauer Strasse,bus,{'O30'}
420,421,Warschauer Strasse,strassenbahn,"{'82', '3', '4'}"
421,422,"Wartenberg, Dorfstrasse",bus,{'A39'}
422,423,"Wartenberg, Siedlung",bus,{'A39'}
423,424,Wasserwerk,strassenbahn,{'87'}
424,425,"Waßmannsdorf, Warteh.",bus,{'AZ'}
425,426,"Weißensee, Liebermannstrasse Ecke Piesporter Strasse",bus,{'A55'}
426,427,"Weißensee, Nüßlerstrasse",bus,{'A56'}
427,428,"Weißensee, Pasedagplatz",strassenbahn,"{'72', '74'}"
428,429,"Weißensee, Schwarzelfenweg",bus,{'A45'}
429,430,Weißenseer Weg,bus,{'O37'}
430,431,Weißenseer Weg,strassenbahn,"{'64', '63'}"
431,432,Wendenschloß Ecke Ekhofstrasse,strassenbahn,{'83'}
432,433,Wicherstrasse Ecke Prenzlauer Allee,bus,{'A56'}
433,434,Wiener Brücke,strassenbahn,"{'92', '87'}"
434,435,Wildau,s-bahn,{'KBS 103'}
435,436,Wilhelminenhof- Ecke Edisonstrasse,strassenbahn,"{'82', '87'}"
436,437,Wilhelminenhofstrasse,strassenbahn,{'69'}
437,438,Wilhelmshagen,s-bahn,{'KBS 102'}
438,439,"Wilhelmsruh, Fontanestrasse",bus,"{'A55', 'A45'}"
439,440,Woltersdorfer Schleuse,bus,{'S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf)'}
440,441,Wongrowitzer Strasse,bus,{'A27'}
441,442,Wuhlheide,s-bahn,{'KBS 102'}
442,443,Zentralschule,bus,{'A22'}
443,444,Zentralviehhof,s-bahn,"{'KBS 106', 'KBS 103a'}"
444,445,Zepernick (b Bernau),s-bahn,{'KBS 106'}
445,446,Zeuthen,s-bahn,{'KBS 103'}
446,447,"Ziegenhals, VA Dienststelle",bus,{'Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf)'}
