Column,stop_name,type,in_lines,location,identifier,coordinate location,previous_in_lines,stop_description
1,Aalemannufer,bus,{'97'},"52.5733104403596, 13.212604386897702",,,,
2,Adalbertstrasse,bus,"{'28', '41', '29'}","52.50129291709333, 13.419290274823087",,,,
3,Adamstrasse,bus,"{'31', '34', '97'}","52.521029117218866, 13.19780699419913",,,"['97', '34']+ ['13', '35']+ {'97', '34'}+ {'13', '35'}+ {'97', '34'}+ {'13', '35'}",
4,Adenauer Platz,u-bahn,{'7'},"52.499722, 13.307222",Q570939,,{'7'}+ {'7'},
5,Adlershof,s-bahn,"{'141', '115', '140', '110'}","52.434722222222,13.541388888889",Q323551,,"['KBS 141', 'KBS 140', 'KBS 115', 'KBS 110']+ {'141', '115', '140', '110'}+ {'141', '110', '140', '115'}",
6,Adolf-Martens-Strasse,bus,"{'48', '11'}","52.4439303939079, 13.288858198599703",,,['11']+ {'11'},
7,Adolf-Scheidt-Platz,bus,"{'96', '84'}","52.47821090531725, 13.378362193477425",,,,
8,Afrikanische Strasse,bus,{'64'},"52.54630534791768, 13.343982606132034",,,"{'89', '65'}+ {'89', '65'}",
9,Afrikanische Strasse,u-bahn,{'6'},"52.560027777778,13.334633333333",Q559239,,{'6'}+ {'6'},
10,Ahlener Weg,bus,{'96'},"52.41018636532425, 13.305096327494242",,,,
11,Ahrensfelde,strassenbahn,"{'14', '18', '12', '18E'}","52.5727427,13.5748224",Q65680009,"52.5727427,13.5748224",,
12,Ahrensdorfer Strasse,bus,{'11'},"52.40904426274492, 13.359316733496573",,,{'52'}+ {'52'},
13,Ahrensfelde,s-bahn,{'102'},"52.5711,13.5653",Q111307724,"52.5711,13.5653",,
14,Ahrensfelde,strassenbahn,{'110'},"52.5727427,13.5748224",Q65680009,"52.5727427,13.5748224",,
16,Albertinenstrasse,strassenbahn,"{'28', '24'}","52.5497016,13.457371",Q65548844,,"{'28', '24'}",
17,Albertstrasse,bus,"{'48', '4'}","52.4844490887776, 13.352821218973295",,,['48']+ {'48'}+ {'48'},
18,Alboinstrasse,bus,"{'25', '68'} ; {'73', '74'}","52.455726944420924, 13.369959548978303 ; 52.469830364927105, 13.372107866799311",,,,
19,Albrechtstrasse,bus,"{'96', '84', '68'} ; {'33'}","52.461538575992826, 13.376822231146619 ; 52.45315327156886, 13.331151200025692",,,,
20,Alexanderplatz,bus,{'9'},"52.5219449,13.4143847",,,"['78', '9', '78E', '112']+ {'78', '9', '78E'}+ {'78E', '9', '78'}",
21,Alexanderplatz,s-bahn,"{'100', '102', '115', '101', '110'}","52.521388888889,13.411944444444",Q111324700,"52.521388888889,13.411944444444",,
22,Alexanderplatz,u-bahn,"{'E', 'A'}","52.5214,13.4119",Q17173458,,"['E', 'A']+ {'A', 'E'}+ {'E', 'A'}",
23,Alexandrinenstrasse,bus,"{'41', '29'}","52.50514667360263, 13.4052810548807",,,"['41', '29']+ {'41', '29'}+ {'41'}",
24,Allee der Kosmonauten,strassenbahn,"{'16', '117'}","52.5259894,13.5186756",Q65683164,"52.5259894,13.5186756",,
25,Allee der Kosmonauten Ecke Rhinstrasse,strassenbahn,"{'17', '19'}","52.5259894,13.5186756",Q65683164,"52.5259894,13.5186756",,
26,Almazeile,bus,{'20'},"52.57055394314068, 13.231144617194559",,,,
27,Almutstrasse,bus,{'12'},"52.61487259810248, 13.317126459002127",,,,
28,Alt-Buckow,bus,{'91'},"52.42367373113363, 13.436635183302798",,,{'91'}+ {'91'},
29,Alt-Heiligensee,bus,"{'13', '14', '27'}","52.60510283029124, 13.209634214081166",,,,
30,Alt-Lankwitz,bus,"{'81', '84', '96'}","52.43848298401557, 13.354194783337245",,,,
31,Alt-Lichtenrade,bus,"{'79'} ; {'82', '78', '30'}","52.399164324940045, 13.409893933297578 ; 52.3942712199115, 13.411090669345343",,,,
32,Alt-Lübars,bus,{'20'},"52.618077245223354, 13.3545277751898",,,,
33,Alt-Mahlsdorf,strassenbahn,{'83'},"52.5051992,13.6133347",Q66364530,,['83']+ {'83'}+ {'83'},
34,Alt-Mariendorf,u-bahn,{'6'},"52.4391,13.3877",Q262168,,['6']+ {'6'}+ {'6'},
35,Alt-Marienfelde,bus,{'79'},"52.413385082183694, 13.36338063003787",,,"['11', '52']+ {'52', '11'}+ {'11', '79'}",
36,Alt-Marzahn,bus,{'80'},"52.54208620315265, 13.563823392369315",,,"['92', '54']+ {'54', '92'}+ {'99', '92', '91', '54', '95'}",
37,Alt-Marzahn,strassenbahn,"{'5', '18E', '10', '18', '11', '110', '117'}","52.541869,13.5636472",Q65681298,"52.541869,13.5636472",,
38,Alt-Moabit,bus,"{'1', '90'} ; {'24'}","52.52380039728512, 13.32970876502685 ; 52.523661599694925, 13.356860765439553",,,,
39,Alt-Müggelheim,bus,{'115'},"52.41018331064196, 13.665897531850348",,,['27']+ {'27'}+ {'27'},
40,Alt-Pichelsdorf,bus,{'94'},"52.51323191124814, 13.196075876012538",,,,
41,Alt-Reinickendorf,bus,"{'22', '8'}","52.574266616811165, 13.359104073379417",,,,
42,Alt-Schmöckwitz,strassenbahn,"{'124', '86'}","52.3752767,13.649549",Q66459540,"52.3752767,13.649549",,
43,Alt-Tempelhof,u-bahn,{'6'},"52.465952777778,13.385897222222",Q559212,,['6']+ {'6'}+ {'6'},
44,Alt-Wittenau,bus,"{'15', '21', '64', '14', '26', '62'} ; {'22'}","52.58969906598296, 13.334242657555432 ; 52.58947352667074, 13.338861757244912",,,,
45,Alt-Wittenau/roedernallee,bus,{'12'},"52.58937448201057, 13.338921724230955",,,,
46,Alte Alllee,bus,{'69'},"52.491863318172165, 13.263455464213534",,,,
47,Alte Jakobstrasse,bus,"{'41', '29'}","52.506142489130255, 13.401714081179867",,,"['95']+ ['41', '29']+ {'95'}+ {'41', '29'}+ {'41'}",
48,Alte-Jakobstrasse,bus,{'95'},"52.5002692447757, 13.39706198217149",,,,
49,Altglienicke,s-bahn,"{'115', '140'}","52.4073,13.5588",Q4736651,,"['KBS 140', 'KBS 115']+ {'115', '140'}+ {'140', '115'}",
50,"Altglienicke, Kirche",bus,{'23'},"52.421845729296805, 13.539407702079252",,,['23']+ {'23'}+ {'23'},
51,"Altglienicke, Kirche",strassenbahn,"{'84', '114'}","52.421845729296805, 13.539407702079252",,,,
52,Altmarkstrasse,bus,{'68'} ; {'76'},"52.45883267385395, 13.34244502718679 ; 52.46303718976784, 13.342738343306689",,,,
53,Altstadt Spandau,u-bahn,{'7'},"52.538888888889,13.206388888889",Q571402,"52.538888888889,13.206388888889",,
54,Altstädter Ring,bus,{'63'},"52.53863114887998, 13.20072365952397",,,,
55,Am Birkenhügel,bus,{'18'},"52.411778850838175, 13.137747908083908",,,,
56,Am Birkenknick,bus,{'10'},"52.41517565297431, 13.266072690862536",,,,
57,Am Bogen,bus,{'92'},"52.552315584249754, 13.15948880688053",,,,
58,Am Brachfeldwinkel,bus,{'20'},"52.59836217591009, 13.29831159279189",,,,
59,Am Brandpfuhl,bus,{'93'},"52.4417734014742, 13.424861715835172",,,,
60,Am Dachsbau,bus,{'13'},"52.60655284387061, 13.22984370797522",,,,
61,Am Dianaplatz,bus,{'20'},"52.606727147275635, 13.312809212946904",,,,
62,Am Eichenquast,bus,{'91'},"52.41781715081436, 13.449467038795506",,,{'91'}+ {'91'},
63,Am Falkenberg,strassenbahn,"{'84', '114'}","52.41079970042163, 13.570452931545786",,,,
64,Am Faulen See,strassenbahn,{'70'},"52.5505971,13.4947298",Q66123506,,{'70'}+ {'70'},
65,Am Fischtal,bus,{'3'},"52.446544920731824, 13.258299284111082",,,,
66,Am Fließ,bus,{'15'},"52.6034575714732, 13.289613652822638",,,,
67,Am Friedrichshain,bus,{'9'},"52.52873150888438, 13.424352760138131",,,"['9', '32', '57', '40']+ {'57', '9', '40', '32'}+ {'40', '32', '57/E', '9'}",
68,Am Friedrichshain,strassenbahn,{'113'},"52.528512,13.4241398",Q65548972,"52.528512,13.4241398",,
69,Am Graben,bus,"{'36', '34', '35'}","52.47903894280096, 13.179293877143383",,,,
70,Am Großen Wannsee,bus,"{'3', '66', '18', '6'}","52.42051316636229, 13.167193939552037",,,,
71,Am Hegewinkel,bus,{'11'},"52.453653833722605, 13.263275828446185",,,,
72,Am Heidefriedhof,bus,"{'81', '93', '77'}","52.43998235203173, 13.393010546456246",,,['81']+ {'81'},
73,Am Hügel,bus,{'14'},"52.59390573222537, 13.316475420496932",,,,
74,Am Kesselpfuhl,bus,{'14'},"52.59304857266118, 13.311358122244556",,,,
75,Am Kiesteich,bus,"{'5', '92'}","52.55116793458805, 13.165433581104907",,,,
76,Am Kleinen Wannsee,bus,{'66'},"52.42038822283073, 13.166405542911209",,,{'6'},
77,Am Kupfergraben,strassenbahn,"{'71', '70', '121', '46', '22'}","52.5194208,13.3953839",Q65055027,"52.5194208,13.3953839",,
78,Am Nordgraben ; Am Nordgraben Ecke Oranienburgerstrasse,bus,"{'64', '14'} ; {'15', '64', '26', '21', '62'}","52.59205674224151, 13.306239907008253 ; 52.58750884902961, 13.334593970402263",,,,
79,Am Nordhafen,bus,{'90'},"52.53868315849872, 13.363248409190426",,,"['70']+ {'90', '83', '70'}+ {'70', '90'}",
80,Am Oberhafen,bus,{'41'},"52.46512193503729, 13.45121909363926",,,,
81,Am Omnibushof,bus,"{'13', '35'}","52.517897245023185, 13.18497677087069",,,"['13', '35']+ {'13', '35'}+ {'13', '35'}",
82,Am Pilz,bus,{'15'},"52.64251497264632, 13.300908054411988",,,['15']+ {'15'}+ {'15'},
83,Am Rohrgarten,bus,{'3'},"52.42649792470347, 13.227190829472208",,,,
84,Am Rötepfuhl,bus,{'79'},"52.41541586760276, 13.420508432549338",,,{'79'},
85,Am Sandwerder,bus,{'18'},"52.427237057183255, 13.186090014641609",,,,
87,Am Steinberg,strassenbahn,"{'113', '71'}","52.5585796,13.4333751",Q65103320,"52.5585796,13.4333751",,
88,Am Vierrutenberg,bus,{'20'},"52.613535544271876, 13.343827205969221",,,['20']+ {'20'}+ {'20'},
89,Am Volkspark,bus,"{'1', '60', '74'}","52.483272071407725, 13.32031410232607",,,,
90,Am Waldwinkel,bus,{'14'},"52.60900558018299, 13.257767219066817",,,,
91,Am Wasserwerk,strassenbahn,{'25'},"52.4560563,13.6419956",Q66362601,"52.4560563,13.6419956",,
92,Amalienstrasse,bus,"{'96', '84'}","52.430150812046016, 13.334039923561416",,,,
93,Amfortasweg,bus,{'88'},"52.4458677095568, 13.324594238605897",,,['88']+ {'88'}+ {'88'},
94,Amrumer Strasse,bus,{'89'},"52.5462955560136, 13.343933965140167",,,{'16'}+ {'16'},
95,Amrumer Strasse,u-bahn,{'9'},"52.5425,13.350277777778",Q557577,,{'9'}+ {'9'},
96,Amtsgericht Charlottenburg,bus,"{'94', '10', '74'}","52.50571853839105, 13.295347400894903",,,,
97,An den Achterhöfen,bus,{'91'},"52.42153737967532, 13.437968958661244",,,"{'78', '91'}+ {'91'}",
98,An der Buche,bus,{'12'},"52.63096952759466, 13.28450545985036",,,,
99,An der Heilandsweide,bus,{'79'},"52.41760670857809, 13.366580060034295",,,"['11', '32']+ {'32', '11'}",
100,An der Rehwiese,bus,"{'53', '18'}","52.43422344388058, 13.199161827610604",,,"['53']+ {'3', '53'}+ {'53', '18'}",
101,An der Schneise,bus,{'13'},"52.6010210582109, 13.246989547682471",,,,
102,An der Urania,bus,"{'73', '19', '29'}","52.50105115240182, 13.346687197381181",,,['29']+ {'29'},
103,Andreezeile,bus,{'84'},"52.41045530884584, 13.267166498461183",,,,
104,Anemonenstrasse,bus,{'69'},"52.44348370546986, 13.593511422511465",,,['68']+ {'68'},
105,Anhalter Bahnhof,s-bahn,"{'1', '2'}","52.503055555556,13.381944444444",Q111324573,,"['KBS 153', 'KBS 152']+ {'152', '153'}",
106,Anton-Saefkow-Platz,strassenbahn,"{'17', '102'}","52.5280674,13.4693612",Q65685759,"52.5280674,13.4693612",,
107,Antonienstrasse,bus,{'61'},"52.57159353871337, 13.311887532747956",,,{'61'},
108,Antonplatz,strassenbahn,"{'72', '70', '24', '20', '3', '113', '28', '103'}","52.5484803,13.4517416",Q65548849,"52.5484803,13.4517416",,
109,Apoldaer Strasse,bus,{'87'},"52.41921601398978, 13.345898721237718",,,,
110,Arendsweg,strassenbahn,"{'12', '11', '14', '103', '6'}","52.5348378,13.5045097",Q65640296,"52.5348378,13.5045097",,
111,Argentinische Allee,bus,{'11'},"52.43767451883506, 13.23233406765131",,,['53'],
112,Aristide-Briand-Brücke,bus,"{'21', '62'}","52.55507014561194, 13.306685514448079",,,,
113,Armbrustweg,bus,{'22'},"52.57439384610549, 13.364900045290112",,,,
114,Arnikaweg/Efeuweg,bus,"{'52', '41'}","52.4298447916533, 13.477730286648733",,,,
115,Arnimallee,bus,"{'1', '17'}","52.45775873226606, 13.298600334872932",,,,
116,Aroser Allee,bus,{'22'} ; {'8'},"52.57376245122369, 13.351970705456408 ; 52.57376706520514, 13.35201441269534",,,"['22', '14']+ ['8']+ {'22', '14'}+ {'8'}+ {'22', '14'}+ {'8'}",
117,Artur-Becker-Strasse,strassenbahn,"{'102', '13', '4'}","52.5325286,13.4406868",,,,
118,Artur-Becker-Strasse Ecke Dimitroffstrasse,strassenbahn,{'21'},"52.5325286,13.4406868",Q65707391,"52.5325286,13.4406868",,
119,Asbestweg,bus,{'79'},"52.42145291920868, 13.41511134634306",,,{'78'},
120,Askanierring,bus,"{'34', '92'}","52.545679974269035, 13.194267325495874",,,"['63']+ {'63', '34'}+ {'34', '63'}",
121,Asternplatz,bus,{'48'},"52.44943428965909, 13.30387630211606",,,,
122,Atillastrasse,bus,{'84'},"52.455093870319914, 13.37485037075167",,,,
123,Attilaplatz,bus,"{'25', '84', '96'}","52.45590179888225, 13.376512495751076",,,,
124,Attilaplatz/Arnulfstrasse,bus,{'68'},"52.45548188162613, 13.374658287417903",,,,
125,Attilastrasse,bus,{'96'} ; {'76'},"52.45466367114267, 13.374244697298153 ; 52.44966087297262, 13.36690894042674",,,,
126,Auerbacher Strasse,bus,{'86'},"52.48727809591285, 13.263791910416627",,,,
127,Auf dem Grat,bus,"{'10', '50'}","52.45568053046946, 13.273305825258568",,,,
128,Augsburger Strasse,bus,{'82'},"52.38405300860467, 13.418875775571463",,,{'82'},
129,Augsburger Strasse,u-bahn,{'2'},"52.500555555556,13.336388888889",Q667035,,{'2'}+ {'2'},
130,Auguste-Viktoria-Allee,bus,"{'21', '61', '62'}","52.569268504658915, 13.329801350092811",,,"['62']+ {'62'}+ {'21', '62'}",
131,Auguste-Viktoria-Krankenhaus,bus,"{'25', '87'}","52.46341150853563, 13.348084962500614",,,,
132,Ausstellungshallen,bus,{'69'},"52.504582468661596, 13.279537216184954",,,"['94', '4']+ {'4', '92'}+ {'4', '92', '94'}",
133,BMW-Maschinenfabrik,bus,{'13'},"52.537251895204555, 13.223205797129593",,,['55']+ {'55'}+ {'55'},
134,BWF Marzahn,strassenbahn,"{'14', '12', '11', '6'}","52.53886802247272, 13.533795479358202",,,,
135,Bachstelzenweg,bus,{'17'},"52.458612201547375, 13.284184350324349",,,,
136,Badener Ring,bus,{'28'},"52.482120846016734, 13.377457132164842",,,,
137,Badewiese,bus,"{'34', '35'}","52.47619434952022, 13.17658983104847",,,,
138,Baerwaldstrasse,bus,{'28'} ; {'95'},"52.49636123260476, 13.40504829506296 ; 52.49400261608628, 13.402912697183803",,,,
139,Bahnhof-/Lindenstrasse,strassenbahn,"{'19', '26', '25', '21', '16', '82'}","52.4505094,13.572684",Q66095701,"52.4505094,13.572684",,
140,Bahnhofstrasse,bus,{'79'},"52.38669657650959, 13.400768756755067",,,,
141,Bahnhofstrasse,strassenbahn,{'120'},"52.59614952903345, 13.432832916180004",,,,
142,Bahnhofstrasse/Lindenstrasse,bus,{'115'},"52.451010736631545, 13.571997901503376",,,,
143,Bahnhofstrasse/Lindenstrasse,strassenbahn,"{'83', '83E', '85', '124', '86', '84', '114'}","52.4505094,13.572684",Q66095701,"52.4505094,13.572684",,
144,Baldesheimer Weg,bus,{'79'},"52.41205416724484, 13.419150628927985",,,,
145,Baluscheckweg,bus,{'31'},"52.52396976555441, 13.166371234591457",,,,
146,Barbarossastrasse,bus,"{'73', '16', '85'}","52.491919179981245, 13.345139286455641",,,"['85']+ {'73', '85'}+ {'85'}",
147,Barfusstrasse/Müllerstrasse,bus,{'12'},"52.554349257897016, 13.345171639571214",,,,
148,Barnetstrasse,bus,"{'79', '76'}","52.39384206889992, 13.406703683360332",,,"['76E']+ {'76E', '76'}+ {'82'}+ {'76'}+ {'82'}",
149,Barnetstrasse/Steinstrasse,bus,{'30'},"52.39608730108232, 13.39770919370786",,,,
150,Baseler Strasse,bus,{'68'},"52.423992666785175, 13.294310873428383",,,,
151,Baumschulenweg,s-bahn,"{'143', '115', '141', '140', '142', '110'}","52.4675,13.489722",Q324336,,"['KBS 141', 'KBS 115', 'KBS 142', 'KBS 110', 'KBS 140']+ {'141', '140', '142', '143', '115', '110'}+ {'140', '115', '141', '143', '142', '110'}",
152,Baußnernweg,bus,{'11'},"52.40552764373322, 13.356400744655776",,,['52']+ {'52'}+ {'52'},
153,Bayerischer Platz,u-bahn,"{'7', '4'}","52.488333333333,13.340277777778",Q668574,,"['7', '4']+ {'4', '7'}+ {'4', '7'}",
154,Bayernring,bus,"{'96', '84'}","52.48259600808144, 13.381244476373883",,,,
155,Bayreuther Strasse,bus,"{'69', '9'}","52.50163998582795, 13.343660724504073",,,"{'69', '9'}+ {'69', '9'}",
156,Beerwinkel,bus,{'92'},"52.55182005096064, 13.16198767427483",,,,
157,Beeskowdamm,bus,{'10'},"52.40965729397744, 13.267276648061404",,,{'96E'},
158,Begastrasse,bus,{'87'},"52.47122720447945, 13.343662923208962",,,,
159,Behring-Krankenhaus,bus,{'1'},"52.42410894567823, 13.251764544509987",,,['10']+ {'10'}+ {'10'},
160,Bekassinenweg,bus,{'13'},"52.60531271452996, 13.232759916672416",,,,
161,Bellermannstrasse,bus,{'64'},"52.55029997471302, 13.390872087905544",,,,
162,Bellevue,s-bahn,{'3'},"52.52,13.348055555556",Q374018,,['KBS 156']+ {'156'}+ {'3'},
163,Bendastrasse,bus,{'77'},"52.46695300094916, 13.436394446161026",,,"['65']+ {'77', '65'}+ {'65', '77'}",
164,Benediktinerstrasse,bus,{'12'},"52.63088824742843, 13.27285891763221",,,,
165,Benzstrasse,bus,{'32'},"52.42213471688902, 13.384629271327148",,,,
166,Bergfelde,s-bahn,{'140'},"52.6702,13.3203",Q4891640,,{'140'}+ {'140'},
167,Bergiusstrasse,bus,"{'77', '41'}","52.46630647994592, 13.457664818410066",,,{'77'}+ {'77'},
168,Bergiusstrasse 28,bus,{'77'},"52.4635746646696, 13.458843380196376",,,,
169,Bergmannstrasse,bus,{'24'} ; {'53'},"52.489124238094966, 13.393979780733876 ; 52.4373217563866, 13.252245756871813",,,,
170,Bergstrasse,bus,"{'68'} ; {'81', '2'} ; {'12'}","52.45912267051696, 13.347754149766443 ; 52.45864238031579, 13.339313656444501 ; 52.531798873537284, 13.389747899965492",,,,
171,Berkaer Strasse,bus,{'29'},"52.48209270683341, 13.281182952838728",,,"{'17', '60'}+ {'60', '17'}",
172,Berkaer Strasse/Breite Strasse,bus,{'60'},"52.47539685650277, 13.290375782047313",,,,
173,Berkaerstrasse/Breite Strasse,bus,{'86'},"52.475410865036835, 13.290355238783807",,,,
174,Berlichingenstrasse,bus,"{'71', '70'} ; {'89', '72'}","52.53229386405063, 13.324782196710832 ; 52.527801231890905, 13.324934437234585",,,,
175,Berliner Strasse,bus,"{'48'} ; {'50'} ; {'11'} ; {'74'}","52.43506583975424, 13.26059425842995 ; 52.488556780082085, 13.308069303624698 ; 52.44187339521801, 13.28270331346 ; 52.488325108810194, 13.306663005450444",,,,
176,Berliner Strasse,u-bahn,"{'7', '9'}","52.487222222222,13.330833333333",Q637739,,"{'7', '9'}+ {'7', '9'}",
177,Berlinickeplatz,bus,"{'96', '84', '73'}","52.46607292094852, 13.378516406213421",,,,
178,Bernau,s-bahn,{'141'},"52.6763,13.5931",Q479789,,{'141'}+ {'141'},
179,Bernauer Strasse,bus,{'71'},"52.53828665458276, 13.396036842411949",,,{'90'}+ {'90'},
180,Bernauer Strasse Ecke Wollinger Strasse,bus,{'64'},"52.53981740645869, 13.401574390020418",,,{'64'}+ {'64'},
181,Bernburger Strasse,bus,{'24'},"52.505185833276784, 13.378698341045757",,,,
182,Bernhard-Beyer-Strasse,bus,{'18'},"52.39620579032023, 13.139705979265079",,,['18']+ {'18'}+ {'18'},
183,Bernhard-Lichtenberg-Strasse,bus,{'23'},"52.53948689001794, 13.297544009475953",,,{'23'},
184,Bernhausener Ring,bus,{'22'},"52.60292493848701, 13.331949268636139",,,,
185,Bersarinplatz,strassenbahn,{'4'},"52.519215,13.4525257",Q65706258,,{'4'}+ {'4'},
186,Besarinplatz,strassenbahn,"{'21', '13'}","52.519215,13.4525257",Q65706258,,"{'13', '21'}+ {'13', '21'}",
187,Bessemerstrasse,bus,{'74'},"52.459724220506814, 13.366495698294047",,,,
188,Betriebsbhf. Rummelsburg,s-bahn,{'105'},"52.4939,13.4978",Q829009,,['KBS 105']+ {'105'}+ {'105'},
189,Betriebsbhf. Schöneweide,s-bahn,"{'141', '115', '140', '110'}","52.44676,13.52391",Q4526101,,"['KBS 141', 'KBS 140', 'KBS 115', 'KBS 110']+ {'141', '110', '140', '115'}",
190,Betriebshof Britz,bus,"{'81', '73'}","52.45263370242191, 13.43576617092093",,,,
191,Betriebshof Köpenick,strassenbahn,"{'83', '83E', '85'}","52.4399134,13.5817824",Q66370900,"52.4399134,13.5817824",,
193,Betriebshof Lichtenberg,strassenbahn,"{'102', '5', '20', '110'}","52.5206411,13.4994454",Q66014798,"52.5206411,13.4994454",,
194,Betriebshof Marzahn,bus,"{'80', '116', '107'}","52.5488458991351, 13.581968378042017",,,,
195,Betriebshof Marzahn,strassenbahn,"{'10', '103', '117', '6'}","52.5490095,13.5826417",Q65557997,"52.5490095,13.5826417",,
196,Betriebshof Oberschönweide,strassenbahn,{'88'},"52.46349288779076, 13.509536347410494",,,,
197,Betriebshof Weißensee,strassenbahn,{'10'},"52.558537,13.469867",Q831919,"52.558537,13.469867",,
198,Beusselbrücke,bus,"{'89', '23'}","52.53703440287271, 13.326592117328232",,,,
199,Beusselstrasse,bus,"{'71', '23'} ; {'70', '72'}","52.532954498382246, 13.328418982430646 ; 52.527425402042326, 13.32863388550879",,,,
200,Bhf. Berlin-Schöneweide,strassenbahn,{'16'},"52.4553413,13.5110449",Q65950245,"52.4553413,13.5110449",,
201,Bhf. Frankfurter Allee,bus,{'109'},"52.51348937839463, 13.476952028085847",,,,
202,Bhf. Frankfurter Allee,strassenbahn,"{'3', '19', '12', '29'}","52.5138037,13.4773772",Q65948557,"52.5138037,13.4773772",,
203,Bhf. Friedrichstrasse,strassenbahn,"{'71', '70', '121', '46', '22'}","52.5192805,13.3884107",Q65095382,"52.5192805,13.3884107",,
204,Bhf. Karlshorst,strassenbahn,"{'17', '16', '19'}","52.481331,13.5254433",Q65952829,"52.481331,13.5254433",,
205,Bhf. Lichtenberg,strassenbahn,"{'102', '5', '20', '110'}","52.5123603,13.4977547",Q66013733,"52.5123603,13.4977547",,
206,Bhf. Lichtenberg,u-bahn,{'E'},"52.510556,13.496389",Q3831986,,{'E'}+ {'E'},
207,Bhf. Rosa-Luxemburg-Platz,strassenbahn,"{'63', '63E'}","52.5286105,13.4104123",Q65690179,"52.5286105,13.4104123",,
208,Bhf. Schildow,bus,{'7'},"52.6364725302849, 13.374512017906921",,,{'7'},
209,Bhf. Schöneweide,strassenbahn,"{'26', '85', '25', '88', '114'}","52.4553413,13.5110449",Q65950245,"52.4553413,13.5110449",,
210,Bhf. Schönhauser Allee,strassenbahn,"{'121', '22', '46', '49'}","52.5493619,13.4135734",Q65088013,"52.5493619,13.4135734",,
211,Biberburg,bus,"{'34', '35'}","52.49793517605448, 13.18007783317155",,,,
212,Biebricher Strasse,bus,{'91'},"52.48191090485555, 13.424864072036069",,,{'91'}+ {'91'},
213,Biesdorf,s-bahn,{'100'},"52.5131,13.5554",Q4892357,,['KBS 100']+ {'100'}+ {'100'},
214,Biesdorf Süd,u-bahn,{'E'},"52.4997,13.5465",Q551805,"52.4997,13.5465",,
215,Bingelstrasse,bus,{'23'},"52.54110382840951, 13.26264025879124",,,,
216,Binger Strasse,bus,{'86'},"52.47860731690142, 13.309502331957327",,,{'60'}+ {'60'},
217,Birkbuschstrasse,bus,"{'85', '88', '68', '86'} ; {'17'}","52.452746371165205, 13.319710019070339 ; 52.442446070952045, 13.33208709992057",,,"['17']+ ['85', '88']+ {'17'}+ {'85', '88'}+ {'17'}+ {'88', '85'}",
218,Birkenhaag,bus,{'75'},"52.377899718217215, 13.416802447033023",,,,
219,Birkenstrasse,bus,"{'70', '72', '16'}","52.53080561475373, 13.347179251718906",,,,
220,Birkenstrasse,u-bahn,{'9'},"52.532222222222,13.341388888889",Q555998,,['9']+ {'9'}+ {'9'},
221,Birkenwerder,s-bahn,{'140'},"52.6885,13.2888",Q2343634,,['KBS 140']+ {'140'}+ {'140'},
222,Bismarckplatz,bus,"{'10', '29'}","52.492064537089135, 13.28493897027407",,,['29']+ {'29'},
223,Bismarckstrasse,bus,"{'81', '2', '32', '30'} ; {'76'} ; {'68'} ; {'62'} ; {'54'} ; {'17'} ; {'1'}","52.46453299284658, 13.338948638529873 ; 52.451077257451146, 13.337987210292113 ; 52.45863645532154, 13.339278312465295 ; 52.5112718983791, 13.301545525402801 ; 52.51261596846751, 13.320677053040193 ; 52.45106420836671, 13.337976493020832 ; 52.512187220197646, 13.314756889658081",,,,
224,Bismarckstrasse,u-bahn,"{'1', '7'}","52.511388888889,13.305",Q686132,,"['1', '7']+ {'7', '1'}+ {'7', '1'}",
225,Björnsonstrasse,bus,{'33'},"52.465537379031005, 13.313402757322454",,,['33']+ {'33'}+ {'33'},
226,Björnsonstrasse,strassenbahn,{'3'},"52.5537705,13.4138898",Q65076842,,"['22', '3']+ {'22', '3'}+ {'22', '3'}",
227,Björnsonstrasse Ecke Bornholmer Strasse,strassenbahn,{'103'},"52.5544232,13.4030585",Q65920495,"52.5544232,13.4030585",,
228,Blanckertzweg,bus,{'86'},"52.418939820711046, 13.319398641042543",,,,
229,Blankenburg,s-bahn,"{'141', '140', '143', '142'}","52.5915,13.4435",Q800469,,"['KBS 141', 'KBS 140', 'KBS 142', 'KBS 143']+ {'141', '140', '143', '142'}+ {'143', '141', '142', '140'}",
230,Blankenburger Strasse,strassenbahn,{'49'},"52.58856735400595, 13.430204947038318",,,{'49'}+ {'49'},
231,Blankenfelde,bus,{'101'},"52.61834588206829, 13.390559367661176",,,['7']+ {'7'}+ {'7'},
232,Blankenfelder Strasse,strassenbahn,{'49'},"52.6020289,13.4313613",Q66192067,,{'49'}+ {'49'},
233,Blankenhainer Strasse,bus,{'87'},"52.422064922075364, 13.349229519170768",,,,
234,Blankenheiner Strasse,bus,{'2'},"52.42207842149277, 13.349138495372655",,,,
235,Blaschkoallee,bus,{'41'},"52.452525422138564, 13.45215713772726",,,['41']+ {'41'}+ {'91'}+ {'41'},
236,Blaschkoallee,u-bahn,{'7'},"52.451944444444,13.449444444444",Q666911,,['7']+ {'7'}+ {'7'},
237,Bleibtreustrasse,bus,"{'9', '19', '29'}","52.50162717169989, 13.319466346593028",,,"['9', '19', '29']+ {'29', '9', '19'}+ {'9', '19'}",
238,Blissestrasse,u-bahn,{'7'},"52.486666666667,13.321944444444",Q571397,,['7']+ {'7'}+ {'7'},
239,Blohmstrasse,bus,"{'7', '76', '82'}","52.38867742311699, 13.394332823924712",,,,
