Column,stop_name,type,in_lines,location,identifier,coordinate location,previous_in_lines,stop_description
1666,Scharfestrasse/Stadtbad,bus,"{'18', '50'}","52.438278904643745, 13.262300871906115",,,,
1667,Scharfestrasse/Stadtbad,bus,{'3'},"52.43823520652844, 13.262277654910868",,,,
1668,Scharnweberstrasse,bus,{''8'},"52.562532664969844, 13.330619069387337",,,,
1669,Scharnweberstrasse,strassenbahn,"{'3', '19', '12', '29'}","52.5119866,13.4696737",Q65948629,"52.5119866,13.4696737",,
1670,Scharnweberstrasse,u-bahn,{'6'},"52.566944444444,13.312777777778",Q557586,,['6']+ {'6'}+ {'6'},
1671,Scheelestrasse,bus,{'17'} ; {'86'},"52.41427359380742, 13.326324461578174 ; 52.41198906128881, 13.320421535122936",,,,
1672,Scheidemannstrasse,bus,{'69'},"52.51779630712406, 13.370667023616866",,,,
1673,Schichauweg,bus,"{'7', '30'}","52.39705295902242, 13.381940142093688",,,"['30', '7']+ {'7', '30'}+ {'7'}+ {'82'}",
1674,Schildow,bus,{'101'},"52.6364725302849, 13.374512017906921",,,['7']+ {'7'},
1675,Schildower Strasse,bus,{'12'},"52.61770477683327, 13.315845041269004",,,,
1676,Schillerplatz,bus,{'86'},"52.471575628703825, 13.324097705356825",,,,
1677,Schillingstrasse,u-bahn,{'E'},"52.520277777778,13.421666666667",Q552899,,['E']+ {'E'}+ {'E'},
1678,Schillstrasse,bus,{'69'},"52.50315616974142, 13.349934162695778",,,,
1679,Schlachtensee,s-bahn,{'1'},"52.4401,13.2153",Q800509,"52.4401,13.2153",,
1680,Schlesische Strasse Ecke Heckmannufer,bus,{'28'},"52.49754552939811, 13.44838500299095",,,{'28'}+ {'28'},
1681,Schlesisches Tor,u-bahn,{'1'},"52.500833333333,13.441666666667",Q602282,,['1']+ {'1'}+ {'1'},
1682,Schleuse Plötzensee,bus,{'23'},"52.54311619620167, 13.32312813003648",,,{'23'},
1683,Schlieperstrasse,bus,{'13'},"52.58700788140214, 13.286247436384425",,,,
1684,Schlosserweg,bus,{'91'},"52.43814390706308, 13.434963685745927",,,{'91'}+ {'91'},
1685,Schloß Bellevue,bus,"{'24', '69'}","52.51679066883996, 13.354261133973138",,,"['24', '69']+ {'24'}+ {'24'}",
1686,Schloß Glienicke,bus,{'6'},"52.413238847603985, 13.096224949185206",,,{'6'}+ {'6'},
1687,Schloß Ruhwald,bus,{'54'},"52.52151738052651, 13.26082991484378",,,,
1688,Schloßbrücke,bus,{'62'},"52.52195875177292, 13.300119182683678",,,['62']+ {'62'}+ {'62'},
1689,Schloßplatz,bus,{'115'},"52.444440717970195, 13.575132622824544",", ",,"['27'], [ '68']+ {'68'}",
1690,Schloßplatz,strassenbahn,"{'83', '19', '26', '85', '83E', '124', '21', '84', '86', '114'}","52.4443409,13.5753837",Q66095688,"52.4443409,13.5753837",,
1691,Schloßstrasse,bus,"{'68'} ; {'85'}","52.51943271687508, 13.29596906584401 ; 52.45465165398508, 13.319482763551365",,,{'74'}+ {'74'},
1692,Schloßstrasse,u-bahn,{'9'},"52.46083,13.32444",Q554474,,['9']+ {'9'}+ {'9'},
1693,Schloßstrasse/Schloß,bus,{'74'},"52.51941466334103, 13.295913467957902",,,,
1694,Schluchseestrasse,bus,"{'22', '20'}","52.60903932504055, 13.327855698577459",,,,
1695,Schlüterstrasse,bus,{'94'},"52.50609789260962, 13.317525850369835",,,['94']+ {'66'}+ {'94'},
1696,Schmalenbachstrasse,bus,{'77'},"52.460506857564475, 13.469364633289723",,,,
1697,Schmidt-Knobelsdorf-Strasse,bus,{'92'},"52.52169952022556, 13.188973651128686",,,{'92'}+ {'92'},
1698,Schmidt-Ott-Strasse,bus,{'17'},"52.45976812438521, 13.308255414234473",,,,
1699,Schmiljanstrasse,bus,{'86'},"52.46999940548562, 13.330857741563229",,,,
1700,Schmitzweg,bus,"{'22', '12'}","52.586084116544406, 13.341430642751332",,,,
1701,Scholzplatz,bus,{'94'},"52.50678815703117, 13.22840316297602",,,"['94']+ {'92'}+ {'92', '94'}",
1702,Schopenhauerstrasse,bus,{'18'},"52.43396079599251, 13.212005960129133",,,,
1703,Schorfheidestrasse,bus,"{'21', '22'}","52.5915185112632, 13.346110544760768",,,['21']+ {'21'}+ {'21'},
1704,Schreiberring,bus,"{'96', '84'}","52.48094301004415, 13.37940294028387",,,,
1705,Schriftsetzerweg,bus,{'57'},"52.42112526430139, 13.481499629874458",,,,
1706,Schrockstrasse,bus,{'1'},"52.427642204638246, 13.254920552372587",,,,
1707,Schulenburg-Park,bus,{'95'},"52.466486149886556, 13.470396332300556",,,['95']+ {'95'},
1708,Schulzendorfer Strasse,bus,{'14'} ; {'71'} ; {'15'} ; {'98'},"52.614428340554646, 13.244890960105387 ; 52.54031453358579, 13.37562359980745 ; 52.61061092972171, 13.295473465245077 ; 52.614211627445975, 13.316630030350344",,,,
1709,Schulzendorfer Weg,bus,"{'13', '20'}","52.59901996179592, 13.260318585104402",,,['20']+ {'20'}+ {'20'},
1710,Schulzenstrasse,bus,{'63'},"52.5392529538661, 13.178250341773861",,,['63']+ {'63'}+ {'63'},
1711,Schulzentrum,bus,{'96'} ; {'5'},"52.41439463757737, 13.302119502774552 ; 52.549075993365214, 13.155858549584032",,,,
1712,Schwabinger Weg,bus,{'34'},"52.458263887634004, 13.13811991086473",,,,
1713,Schwanter Weg,bus,{'63'},"52.558138150844556, 13.182270913730692",,,['63']+ {'63'}+ {'63'},
1715,Schwarzspechtweg,bus,{'20'},"52.58152297628805, 13.227130276155703",,,,
1716,Schwechtenstrasse,bus,{'7'},"52.41494068172494, 13.392325068409658",,,{'7'},
1717,Schweiggerweg,bus,{'23'},"52.538177571206845, 13.28254585291399",,,,
1718,Schweizerhof,bus,{'10'},"52.42413891140201, 13.262682955246325",,,,
1719,Schwelmer Strasse,bus,{'96'},"52.412220380063275, 13.299138193147765",,,,
1720,Schwiebusser Strasse,bus,{'24'},"52.48584971964283, 13.394381215160319",,,,
1721,Schäferberg,bus,{'6'},"52.41562661861071, 13.12630868100336",,,['6']+ {'6'},
1722,Schäferstrasse,bus,"{'31', '56', '97'} ; {'18'}","52.55171707875505, 13.209450864447486 ; 52.41284087426642, 13.141605946581722",,,,
1723,Schönbaumer Weg,bus,{'14'},"52.61453925750482, 13.218879999999997",,,,
1724,Schöneberg,s-bahn,{'1'},"52.4794,13.3517",Q543855,"52.4794,13.3517",,
1725,Schöneberger Strasse,bus,{'29'},"52.50229147009539, 13.377643277072153",,,,
1726,Schöneberger Ufer,bus,{'24'},"52.503548723912665, 13.373243955105984",,,,
1727,Schönefelder Chaussee Ecke Dankmarsteig,bus,{'23'},"52.41245811141923, 13.528697881616933",,,,
