stop_name,type,line_name,stop_id,location,identifier,neighbourhood,district,east_west,postal_code
"Alexanderplatz, Memhardstr.",tram,11,196558_east,"52.52334390,13.41107730",Q65227406,Mitte,Mitte,east,10178
Rosenthalerplatz,tram,11,196559_east,"52.53017690,13.40161210",Q65093945,Mitte,Mitte,east,10119
Brunnenstr. Ecke Invalidenstr.,tram,11,196560_east,"52.53245420,13.39742360",Q65691740,Mitte,Mitte,east,10115
Invalidenstr. Ecke Chausseestr.,tram,11,196561_east,"52.53041580,13.38273020",Q65552697,Mitte,Mitte,east,10115
Oranienburger Tor,tram,11,196562_east,"52.52560310,13.38727450",Q65095375,Mitte,Mitte,east,10117
Clara-Zetkin-Str. Ecke Friedrichstr.,tram,11,196563_east,"52.51870903,13.38852889",,Mitte,Mitte,east,10117
Am Kupfergraben,tram,11,196564_east,"52.51942080,13.39538390",Q65055027,Mitte,Mitte,east,10117
Hönower Wiesenweg Ecke Blockdammweg,tram,13,196565_east,"52.48430451,13.50580476",,Karlshorst,Lichtenberg,east,10317
Kraftwerk Klingenberg,tram,13,196566_east,"52.48813740,13.49586850",Q66079524,Rummelsburg,Lichtenberg,east,10317
S-Bhf. Rummelsburg,tram,13,196567_east,"52.50105580,13.47623920",Q66069079,Rummelsburg,Lichtenberg,east,10317
Holteistr. Ecke Boxhagenerstr.,tram,13,196568_east,"52.50882350,13.46596900","Q65675805, Q65675805",Friedrichshain,Friedrichshain-Kreuzberg,east,10245
Frankfurter Tor,tram,13,196569_east,"52.51539030,13.45401720",Q65706246,Friedrichshain,Friedrichshain-Kreuzberg,east,10243
Bersarinplatz,tram,13,196570_east,"52.51921500,13.45252570",Q65706258,Friedrichshain,Friedrichshain-Kreuzberg,east,10249
Leninallee Ecke Dimitroffstr.,tram,13,196571_east,"52.52593430,13.44623680",Q65553230,Friedrichshain,Friedrichshain-Kreuzberg,east,10249
Kniprodestr. Ecke Dimitroffstr.,tram,13,196572_east,"52.53212517,13.44148683",,Prenzlauer Berg,Pankow,east,10407
Greifswalderstr. Ecke Dimitroffstr.,tram,13,196573_east,"52.53649750,13.43340450",Q65548960,Prenzlauer Berg,Pankow,east,10405
Prenzlauerallee Ecke Dimitroffstr.,tram,13,196574_east,"52.53919786,13.42420107",,Prenzlauer Berg,Pankow,east,10405
U-Bhf. Dimitroffstr.,tram,13,196575_east,"52.54019280,13.41139790",Q65088313,Prenzlauer Berg,Pankow,east,10435
Oderbergerstr. Ecke Eberswalderstr.,tram,13,196576_east,"52.54061077,13.40455993",,Prenzlauer Berg,Pankow,east,10437
"Rosenthal, Hauptstr.",tram,22,196577_east,"52.59700630,13.37639160",Q65364985,Rosenthal,Pankow,east,13158
Nordendstr.,tram,22,196578_east,"52.58853400,13.38829520",Q65428345,Niederschönhausen,Pankow,east,13156
Kurt-Fischer-Platz,tram,22,196579_east,"52.57866800,13.39830160",Q65032974,Niederschönhausen,Pankow,east,13156
"Pankow, Rathaus",tram,22,196580_east,"52.56948160,13.40380450",Q65055060,Pankow,Pankow,east,13187
"Pankow, Kirche",tram,22,196581_east,"52.57064520,13.41031150",Q65055066,Pankow,Pankow,east,13187
S-Bhf. Pankow,tram,22,196582_east,"52.56756920,13.41216410",Q65055075,Pankow,Pankow,east,13187
U-Bhf. Pankow,tram,22,196583_east,"52.56721534,13.41219922",,Pankow,Pankow,east,13187
S-Bhf. Schönhauserallee,tram,22,196584_east,"52.54936190,13.41357340",Q65088013,Prenzlauer Berg,Pankow,east,10439
U-Bhf. Dimitroffstr.,tram,22,196585_east,"52.54019280,13.41139790",Q65088313,Prenzlauer Berg,Pankow,east,10435
Rosenthalerplatz,tram,22,196586_east,"52.53017690,13.40161210",Q65093945,Mitte,Mitte,east,10119
"Alexanderplatz, Memhardstr.",tram,22,196587_east,"52.52334390,13.41107730",Q65227406,Mitte,Mitte,east,10178
S-Bhf. Jannowitzbrücke,tram,22,196588_east,"52.51478600,13.41805624",,Mitte,Mitte,east,10179
Nordend,tram,46,196589_east,"52.59021040,13.40275240",Q65032696,Niederschönhausen,Pankow,east,13156
Ossietzkyplatz,tram,46,196590_east,"52.58100580,13.40401481",,Niederschönhausen,Pankow,east,13156
Kurt-Fischer-Platz,tram,46,196591_east,"52.57866800,13.39830160",Q65032974,Niederschönhausen,Pankow,east,13156
"Pankow, Kirche",tram,46,196592_east,"52.57064520,13.41031150",Q65055066,Pankow,Pankow,east,13187
S-Bhf. Pankow,tram,46,196593_east,"52.56756920,13.41216410",Q65055075,Pankow,Pankow,east,13187
U-Bhf. Pankow,tram,46,196594_east,"52.56721534,13.41219922",,Pankow,Pankow,east,13187
S-Bhf. Schönhauserallee,tram,46,196595_east,"52.54936190,13.41357340",Q65088013,Prenzlauer Berg,Pankow,east,10439
U-Bhf. Dimitroffstr.,tram,46,196596_east,"52.54019280,13.41139790",Q65088313,Prenzlauer Berg,Pankow,east,10435
Brunnenstr. Ecke Invalidenstr.,tram,46,196597_east,"52.53245420,13.39742360","Q65691740, Q65691740",Mitte,Mitte,east,10115
Oranienburger Tor,tram,46,196598_east,"52.52560310,13.38727450",Q65095375,Mitte,Mitte,east,10117
Bhf. Friedrichstr.,tram,46,196599_east,"52.51928050,13.38841070","Q65095382, Q65095382",Mitte,Mitte,east,10117
Am Kupfergraben,tram,46,1965100_east,"52.51942080,13.39538390",Q65055027,Mitte,Mitte,east,10117
"Niederschönhausen, Idastr.",tram,46P,1965101_east,"52.58375905,13.41188774",,Niederschönhausen,Pankow,east,13156
Ossietzkyplatz,tram,46P,1965102_east,"52.58100580,13.40401481",,Niederschönhausen,Pankow,east,13156
"Buchholz, Hauptstr.",tram,49,1965103_east,"52.61907206,13.39338336",,Blankenfelde,Pankow,east,13159
Industriebahn,tram,49,1965104_east,"52.61860431,13.39039578",,Blankenfelde,Pankow,east,13159
Galenusstr.,tram,49,1965105_east,"52.58181830,13.42876780",Q66195410,Pankow,Pankow,east,13127
S-Bhf. Pankow-Heinersdorf,tram,49,1965106_east,"52.57750782,13.42785306",,Pankow,Pankow,east,13187
Klaustalerstr. Ecke Damerowstr.,tram,49,1965107_east,"52.57341493,13.42210298",,Pankow,Pankow,east,13187
"Pankow, Kirche",tram,49,1965108_east,"52.57064520,13.41031150",Q65055066,Pankow,Pankow,east,13187
S-Bhf. Pankow,tram,49,1965109_east,"52.56756920,13.41216410",Q65055075,Pankow,Pankow,east,13187
U-Bhf. Pankow,tram,49,1965110_east,"52.56721534,13.41219922",,Pankow,Pankow,east,13187
S-Bhf. Schönhauserallee,tram,49,1965111_east,"52.54936190,13.41357340",Q65088013,Prenzlauer Berg,Pankow,east,10439
U-Bhf. Dimitroffstr.,tram,49,1965112_east,"52.54019280,13.41139790",Q65088313,Prenzlauer Berg,Pankow,east,10435
Rosenthalerplatz,tram,49,1965113_east,"52.53017690,13.40161210",Q65093945,Mitte,Mitte,east,10119
Hackescher Markt,tram,49,1965114_east,"52.52270059,13.40160586",Q65094590,Mitte,Mitte,east,10178
"Hohenschönhausen, Gartenstadt",tram,63,1965115_east,"52.55086720,13.50949940",Q65555882,Alt-Hohenschönhausen,Lichtenberg,east,13053
Falkenbergerstr. Ecke Wartenbergerstr.,tram,63,1965116_east,"52.55036672,13.50991503",,Alt-Hohenschönhausen,Lichtenberg,east,13053
Berlinerstr. Ecke Hauptstr.,tram,63,1965117_east,"52.54895095,13.50323271",,Alt-Hohenschönhausen,Lichtenberg,east,13055
Degnerstr.,tram,63,1965118_east,"52.54488037,13.49394995",,Alt-Hohenschönhausen,Lichtenberg,east,13055
Weißenseerweg,tram,63,1965119_east,"52.53225800,13.47670500",Q65942700,Fennpfuhl,Lichtenberg,east,10369
Steuerhaus,tram,63,1965120_east,"52.53049300,13.46149890",Q65553632,Prenzlauer Berg,Pankow,east,10407
Dimitroffstr. Ecke Landsbergerallee,tram,63,1965121_east,"52.52643035,13.44759679",,Friedrichshain,Friedrichshain-Kreuzberg,east,10249
Leninplatz,tram,63,1965122_east,"52.52326580,13.43264570",Q65553105,Friedrichshain,Friedrichshain-Kreuzberg,east,10249
"Alexanderplatz, Memhardstr.",tram,63,1965123_east,"52.52334390,13.41107730",Q65227406,Mitte,Mitte,east,10178
Hackescher Markt,tram,63,1965124_east,"52.52270059,13.40160586",Q65094590,Mitte,Mitte,east,10178
"Hohenschönhausen, Falkenbergerstr.",tram,64,1965125_east,"52.55086720,13.50949940",Q65555882,Alt-Hohenschönhausen,Lichtenberg,east,13053
Berlinerstr. Ecke Falkenbergerstr.,tram,64,1965126_east,"52.55500990,13.46761321",,Weißensee,Pankow,east,13088
Degnerstr.,tram,64,1965127_east,"52.54489445,13.49398483",,Alt-Hohenschönhausen,Lichtenberg,east,13055
Weißenseerweg,tram,64,1965128_east,"52.53225800,13.47670500",Q65942700,Fennpfuhl,Lichtenberg,east,10369
Steuerhaus,tram,64,1965129_east,"52.53049300,13.46149890",Q65553632,Prenzlauer Berg,Pankow,east,10407
Dimitroffstr. Ecke Landsbergerallee,tram,64,1965130_east,"52.52643035,13.44759679",,Friedrichshain,Friedrichshain-Kreuzberg,east,10249
Leninplatz,tram,64,1965131_east,"52.52326580,13.43264570",Q65553105,Friedrichshain,Friedrichshain-Kreuzberg,east,10249
"Alexanderplatz, Leninallee",tram,64,1965132_east,"52.52210316,13.41651113",,Mitte,Mitte,east,10178
S-Bhf. Jannowitzbrücke,tram,64,1965133_east,"52.51478600,13.41805624",,Mitte,Mitte,east,10179
Spittelmarkt,tram,64,1965134_east,"52.51124332,13.40494540",,Mitte,Mitte,east,10179
Dönhoffplatz,tram,64,1965135_east,"52.50995057,13.39814408",,Mitte,Mitte,east,10117
"Johannisthal, Haeckelstr.",tram,69,1965136_east,"52.44029440,13.50526380",Q66225573,Johannisthal,Treptow-Köpenick,east,12487
Bhf. Schöneweide,tram,69,1965137_east,"52.45534130,13.51104490",Q65950245,Niederschöneweide,Treptow-Köpenick,east,12439
Wilhelminenhofstr.,tram,69,1965138_east,"52.46083797,13.52105438",Q65951882,Oberschöneweide,Treptow-Köpenick,east,12459
S-Bhf. Karlshorst,tram,69,1965139_east,"52.48133100,13.52544330",Q65952829,Karlshorst,Lichtenberg,east,10318
Hochschule für Ökonomie,tram,69,1965140_east,"52.49276810,13.52660590",Q65952866,Karlshorst,Lichtenberg,east,10318
Tierpark Berlin,tram,69,1965141_east,"52.50297205,13.52091647",,Friedrichsfelde,Lichtenberg,east,10319
Alt-Friedrichsfelde Ecke Am Tierpark,tram,69,1965142_east,"52.50914094,13.51812993",,Friedrichsfelde,Lichtenberg,east,10315
Bhf. Lichtenberg,tram,69,1965143_east,"52.51236030,13.49775470",Q66013733,Lichtenberg,Lichtenberg,east,10365
Strab. Bhf. Siegfriedstr.,tram,69,1965144_east,"52.52064110,13.49944540",Q66014798,Lichtenberg,Lichtenberg,east,10365
Herzbergstr.,tram,69,1965145_east,"52.52637000,13.49903600",Q65684891,Lichtenberg,Lichtenberg,east,10365
Roederplatz,tram,69,1965146_east,"52.52660010,13.47906800",Q65685373,Fennpfuhl,Lichtenberg,east,10367
Steuerhaus,tram,69,1965147_east,"52.53049300,13.46149890",Q65553632,Prenzlauer Berg,Pankow,east,10407
Dimitroffstr. Ecke Landsbergerallee,tram,69,1965148_east,"52.52643035,13.44759679",,Friedrichshain,Friedrichshain-Kreuzberg,east,10249
Leninplatz,tram,69,1965149_east,"52.52326580,13.43264570",Q65553105,Friedrichshain,Friedrichshain-Kreuzberg,east,10249
"Alexanderplatz, Memhardstr.",tram,69,1965150_east,"52.52334390,13.41107730",Q65227406,Mitte,Mitte,east,10178
Hackescher Markt,tram,69,1965151_east,"52.52270059,13.40160586",Q65094590,Mitte,Mitte,east,10178
Oranienburger Tor,tram,69,1965152_east,"52.52560310,13.38727450",Q65095375,Mitte,Mitte,east,10117
Walter-Ulbricht-Stadion,tram,69,1965153_east,"52.53651514,13.37777572",,Mitte,Mitte,east,10115
"Johannisthal, Haeckelstr.",tram,69 E,1965154_east,"52.44029440,13.50526380",Q66225573,Johannisthal,Treptow-Köpenick,east,12487
Bhf. Schöneweide,tram,69 E,1965155_east,"52.45534130,13.51104490",Q65950245,Niederschöneweide,Treptow-Köpenick,east,12439
Wilhelminenhofstr.,tram,69 E,1965156_east,"52.46083797,13.52105438",Q65951882,Oberschöneweide,Treptow-Köpenick,east,12459
S-Bhf. Karlshorst,tram,69 E,1965157_east,"52.48133100,13.52544330",Q65952829,Karlshorst,Lichtenberg,east,10318
Hochschule für Ökonomie,tram,69 E,1965158_east,"52.49276810,13.52660590",Q65952866,Karlshorst,Lichtenberg,east,10318
Tierpark Berlin,tram,69 E,1965159_east,"52.50297205,13.52091647",,Friedrichsfelde,Lichtenberg,east,10319
Alt-Friedrichsfelde Ecke Am Tierpark,tram,69 E,1965160_east,"52.50914094,13.51812993",,Friedrichsfelde,Lichtenberg,east,10315
Bhf. Lichtenberg,tram,69 E,1965161_east,"52.51236030,13.49775470",Q66013733,Lichtenberg,Lichtenberg,east,10365
Strab. Bhf. Siegfriedstr.,tram,69 E,1965162_east,"52.52064110,13.49944540",Q66014798,Lichtenberg,Lichtenberg,east,10365
Herzbergstr.,tram,69 E,1965163_east,"52.52637000,13.49903600",Q65684891,Lichtenberg,Lichtenberg,east,10365
Roederplatz,tram,69 E,1965164_east,"52.52660010,13.47906800",Q65685373,Fennpfuhl,Lichtenberg,east,10367
Steuerhaus,tram,69 E,1965165_east,"52.53049300,13.46149890",Q65553632,Prenzlauer Berg,Pankow,east,10407
Dimitroffstr. Ecke Landsbergerallee,tram,69 E,1965166_east,"52.52643035,13.44759679",,Friedrichshain,Friedrichshain-Kreuzberg,east,10249
Kniprodestr. Ecke Dimitroffstr.,tram,69 E,1965167_east,"52.53212517,13.44148683",,Prenzlauer Berg,Pankow,east,10407
"Hohenschönhausen, Falkenbergerstr.",tram,70,1965168_east,"52.55086720,13.50949940",Q65555882,Alt-Hohenschönhausen,Lichtenberg,east,13053
Berlinerstr. Ecke Suermondtstr.,tram,70,1965169_east,"52.54900402,13.50174036",,Alt-Hohenschönhausen,Lichtenberg,east,13055
Stadion Buschallee,tram,70,1965170_east,"52.55667180,13.48698340",Q65504715,Weißensee,Pankow,east,13088
Buschallee Ecke Klement-Gottwald-Allee,tram,70,1965171_east,"52.55375980,13.46919660",Q65546661,Weißensee,Pankow,east,13088
Lichtenbergerstr. Ecke Klement-Gottwald-Allee,tram,70,1965172_east,"52.55200518,13.46547796",,Weißensee,Pankow,east,13088
Antonplatz,tram,70,1965173_east,"52.54848030,13.45174160",Q65548849,Weißensee,Pankow,east,13088
Prenzlauer Promenade Ecke Ostseestr.,tram,70,1965174_east,"52.55135441,13.43020267",,Prenzlauer Berg,Pankow,east,10409
Humannplatz,tram,70,1965175_east,"52.54936270,13.42136460",Q65962652,Prenzlauer Berg,Pankow,east,10439
U-Bhf. Dimitroffstr.,tram,70,1965176_east,"52.54019280,13.41139790",Q65088313,Prenzlauer Berg,Pankow,east,10435
Brunnenstr. Ecke Veteranenstr.,tram,70,1965177_east,"52.53245400,13.39742400",Q65691740,Mitte,Mitte,east,10115
Chausseestr. Ecke Invalidenstr.,tram,70,1965178_east,"52.53041580,13.38273020",Q65552697,Mitte,Mitte,east,10115
Oranienburger Tor,tram,70,1965179_east,"52.52560310,13.38727450",Q65095375,Mitte,Mitte,east,10117
Bhf. Friedrichstr.,tram,70,1965180_east,"52.51928050,13.38841070","Q65095382, Q65095382",Mitte,Mitte,east,10117
Am Kupfergraben,tram,70,1965181_east,"52.51942080,13.39538390",Q65055027,Mitte,Mitte,east,10117
"Heinersdorf, Romain-Rolland-Str.",tram,71,1965182_east,"52.57255110,13.43710630",Q65096052,Heinersdorf,Pankow,east,13089
"Heinersdorf, Kirche",tram,71,1965183_east,"52.56869080,13.43890530",Q65096107,Heinersdorf,Pankow,east,13089
Am Steinberg,tram,71,1965184_east,"52.55857960,13.43337510",Q65103320,Heinersdorf,Pankow,east,13089
Prenzlauer Promenade Ecke Ostseestr.,tram,71,1965185_east,"52.55135441,13.43020267",,Prenzlauer Berg,Pankow,east,10409
S-Bhf. Prenzlauerallee,tram,71,1965186_east,"52.54480750,13.42740800",Q65219791,Prenzlauer Berg,Pankow,east,10409
Dimitroffstr. Ecke Prenzlauerallee,tram,71,1965187_east,"52.53922690,13.42420920",,Prenzlauer Berg,Pankow,east,10405
Saarbrückerstr. Ecke Prenzlauerallee,tram,71,1965188_east,"52.52853948,13.41707812",,Prenzlauer Berg,Pankow,east,10405
"Alexanderplatz, Memhardstr.",tram,71,1965189_east,"52.52334390,13.41107730","Q65227406, Q65227406",Mitte,Mitte,east,10178
S-Bhf. Jannowitzbrücke,tram,71,1965190_east,"52.51478600,13.41805624",,Mitte,Mitte,east,10179
Molkenmarkt,tram,71,1965191_east,"52.51679321,13.40933062",,Mitte,Mitte,east,10178
"Weißensee, Pasedagplatz",tram,72,1965192_east,"52.55940270,13.46095940",Q65954665,Weißensee,Pankow,east,13086
Buschallee Ecke Klement-Gottwald-Allee,tram,72,1965193_east,"52.55375980,13.46919660",Q65546661,Weißensee,Pankow,east,13088
Lichtenbergerstr.,tram,72,1965194_east,"52.55203261,13.46568992",,Weißensee,Pankow,east,13088
Antonplatz,tram,72,1965195_east,"52.54848030,13.45174160",Q65548849,Weißensee,Pankow,east,13088
Prenzlauer Promenade,tram,72,1965196_east,"52.55155537,13.43032253",,Prenzlauer Berg,Pankow,east,10409
S-Bhf. Prenzlauerallee,tram,72,1965197_east,"52.54480750,13.42740800",Q65219791,Prenzlauer Berg,Pankow,east,10409
Prenzlauerallee Ecke Dimitroffstr.,tram,72,1965198_east,"52.53919786,13.42420107",,Prenzlauer Berg,Pankow,east,10405
Saarbrückerstr. Ecke Prenzlauerallee,tram,72,1965199_east,"52.52853502,13.41711798",,Prenzlauer Berg,Pankow,east,10405
"Alexanderplatz, Memhardstr.",tram,72,1965200_east,"52.52334390,13.41107730",Q65227406,Mitte,Mitte,east,10178
Spittelmarkt,tram,72,1965201_east,"52.51124332,13.40494540",,Mitte,Mitte,east,10179
Charlottenstr.,tram,72,1965202_east,"52.51050786,13.39183149",,Mitte,Mitte,east,10117
Taubenstr. Ecke Glinkastr.,tram,72,1965203_east,"52.51282808,13.38655005",,Mitte,Mitte,east,10117
Bernkastelerstr. Ecke Klement-Gottwald-Allee,tram,74 E,1965204_east,"52.55694521,13.46922740",,Weißensee,Pankow,east,13088
Klement-Gottwald-Allee Ecke Buschallee,tram,74 E,1965205_east,"52.55375980,13.46919660",Q65546661,Weißensee,Pankow,east,13088
Lichtenbergerstr. Ecke Klement-Gottwald-Allee,tram,74 E,1965206_east,"52.55200518,13.46547796",,Weißensee,Pankow,east,13088
Antonplatz,tram,74 E,1965207_east,"52.54848030,13.45174160",Q65548849,Weißensee,Pankow,east,13088
S-Bhf. Greifswalderstr.,tram,74 E,1965208_east,"52.54072340,13.43829040",Q65548932,Prenzlauer Berg,Pankow,east,10405
Dimitroffstr. Ecke Greifswalderstr.,tram,74 E,1965209_east,"52.53616929,13.43302316",,Prenzlauer Berg,Pankow,east,10405
Königstor,tram,74 E,1965210_east,"52.52821600,13.42386902",,Prenzlauer Berg,Pankow,east,10405
"Alexanderplatz, Memhardstr.",tram,74 E,1965211_east,"52.52334390,13.41107730","Q65227406, Q65227406",Mitte,Mitte,east,10178
S-Bhf. Jannowitzbrücke,tram,74 E,1965212_east,"52.51478600,13.41805624",,Mitte,Mitte,east,10179
Spittelmarkt,tram,74 E,1965213_east,"52.51124332,13.40494540",,Mitte,Mitte,east,10179
"Weißensee, Pasedagplatz",tram,74,1965214_east,"52.55940270,13.46095940",Q65954665,Weißensee,Pankow,east,13086
Buschallee Ecke Klement-Gottwald-Str.,tram,74,1965215_east,"52.55375980,13.46919660",Q65546661,Weißensee,Pankow,east,13088
Lichtenberger-Str. Ecke Klement-Gottwald-Str.,tram,74,1965216_east,"52.55217700,13.46596000",Q65548831,Weißensee,Pankow,east,13088
Antonplatz,tram,74,1965217_east,"52.54848030,13.45174160",Q65548849,Weißensee,Pankow,east,13088
S-Bhf. Greifswalderstr.,tram,74,1965218_east,"52.54072340,13.43829040",Q65548932,Prenzlauer Berg,Pankow,east,10405
Greifswalderstr. Ecke Dimitroffstr.,tram,74,1965219_east,"52.53621776,13.43301750",,Prenzlauer Berg,Pankow,east,10405
