line_name,Stops,Frequency_7-30,Length (time),type,east-west,year
A42,"Buch, Kiesgruben - Karower Strasse Ecke Alt-Buch - Strasse 78 - Karow, Bahnhofstrasse - Güteraußenring - Blankenburg, Bahnhofstrasse - Heinersdorf, Kirche - Am Steinberg - Prenzlauer Promenade (Spitze)",12,31,bus,Ost,1961
A43,"Bürknersfelde - Marzahn, Berliner Chaussee - Güterbahnhof Springpfuhl - S-Bhf. Friedrichsfelde-Ost - Alt-Friedrichsfelde Ecke Am Tierpark - U-Bhf. Friedrichsfelde",20,19,bus,Ost,1961
A44,"Hönow, Dorfstrasse - Greifswalder Strasse - Am Rosenhag - S-Bhf. Mahlsdorf",13,13,bus,Ost,1961
A44E,Greifswalder Strasse - Am Rosenhag - S-Bhf. Mahlsdorf,10,8,bus,Ost,1961
A45,"Wilhelmsruh, Fontanestrasse - Hauptstrasse Ecke Edelweißstrasse - Ehrenmal - Heinrich-Mann-Platz - Pankow, Rathaus - Pankow, Kirche - Prenzlauer Promenade Ecke Kissingenstrasse - Am Steinberg - Langhans Strasse Ecke Gustav-Adolf-Strasse - Hamburger Platz - Pistoriusstrasse Ecke Klement-Gottwald-Allee - Klement-Gottwald-Allee Ecke Rennbahnstrasse - Weißensee, Schwarzelfenweg",23,42,bus,Ost,1961
A46,"Ahrensfeld, Kirche - LPG Falkenberg - Strasse nach Wartenberg - Malchower Weg - Buschallee Ecke Klement-Gottwald-Alle - Klement-Gottwald-Allee Ecke Rennbahnstrasse - Feldtmannstrasse - Malchow, Dorfstrasse",15,30,bus,Ost,1961
A47,"Bhf. Schöneweide - Sterndamm - Johannisthaler Chaussee - Baumschulenstrasse  Ecke Südostallee - S-Bhf. Baumschulenweg - Eichbuschallee - Treptow, Rathaus - S-Bhf. Treptower Park",15,26,bus,Ost,1961
A48,Potsdamer Strasse Ecke Fischerhüttenstrasse - Teltower Damm - Sundgauer Strasse - Dahlemer Weg - Drakestrasse - Hindenburgdamm - Rathaus Steglitz - Bundesallee - Kaisereiche - Innsbrucker Platz - Dominicusstrasse - Kaiser-Wilhelm-Platz - Goeben-/Pallasstrasse - U-Bhf. Bülowstrasse - Lützowstrasse - Margaretenstrasse,10,38,bus,West,1961
A49,"Kaulsdorf, Bausdorfstrasse - Ridbacher Strasse - Grottkauer Strasse - Uckermarkstrasse - Kaulsdorf, Bausdorfstrasse",20,14,bus,Ost,1961
A5,Machandelweg - U-Bhf. Ruhleben - Friedhof Ruhleben - Hauptkinderheim - Teltower Strasse - Grenadierstrasse - Stresowplatz - Breite Strasse - Rathaus Spandau - Bhf. Spandau-West - Hochgerichtstrasse - Falkenseer Chaussee - Viersener Strasse - Wolburgsweg - Stadtrandstrasse - Waldkrankenhaus,10,24,bus,West,1961
A50,Roseneck - Hohenzollerndamm - Elsterplatz - Forckenbeckstrasse - Flinsberger Platz - Cunostrasse - Bhf. Hohenzollerndamm - Konstanzer Strasse - Ruhrstrasse - Fehrbelliner Platz - Emser Platz - Uhlandstrasse - Nassauische Strasse - Prager Platz,10,15,bus,West,1961
A51,Bhf. Wannsee - Königstrasse/Kronprinzessinnenweg - Am Grossen Wannsee - KoblanckStrasse - Colomierstrasse - Krankenhaus Wannsee - Zum Heckeshorn - Krankenhaus Heckeshorn,30,10,bus,West,1961
A52,Alt-Marienfelde - Gutshof Marienfelde - Bhf. Buckower Chaussee - Lichtenrader Damm - Bühler Weg - Buckower Friedhof - Buckower Damm - Grüner Weg - Triftweg - Rudower Strasse - Efeuweg - Wildmeisterdamm - Köpenicker Strasse - Friedhof Rudow - Kanalstrasse - Mimosenweg,30,37,bus,West,1961
A53,Schlachtensee - Waldemarplatz - Bhf. Lindenthaler Allee - U-Bhf. Krumme Lanke - Hartmannsweiler Weg - Potsdamer Strasse Ecke Fischerhüttenstrasse - Teltower Damm - Bhf. Zehlendorf - Knesebeckstrasse - Jänickestrasse - Dahlemer Weg - Osteweg - 4. Ring - Luzerner Strasse - Thuner Platz,20,26,bus,West,1961
A55,"Wilhelmsruh, Fontanestrasse - Hauptstrasse Ecke Edelweißstrasse - Ehrenmal - Heinrich-Mann-Platz - Pankow, Rathaus - Pankow, Kirche - S-Bhf. Pankow - Prenzlauer Promenade Ecke Granitzstrasse - Am Steinberg - Langhansstrasse Ecke Gustav-Adolf-Strasse - Hamburger Platz - Gustav-Adolf-Strasse Ecke Rennbahnstrasse - Große Seestrasse Ecke Berliner Allee - Weißensee, Liebermannstrasse Ecke Piesporter Strasse ",20,42,bus,Ost,1961
A56,"Weißensee, Nüßlerstrasse - Rennbahnstrasse Ecke Gustav-Adolf-Strasse - Hamburger Platz - Prenzlauer Promenade - Wicherstrasse Ecke Prenzlauer Allee",15,13,bus,Ost,1961
A57,Kniprodestrasse Ecke Ermländische Strasse - Königstor - S-Bhf. Alexanderplatz - Marx-Engels-Platz - Friedrichstrasse Ecke Unter den Linden - Bhf. Friedrichstrasse - Schumannstrasse Ecke Luisenstrasse - Robert-Koch-Platz - Scharnhorststrasse,7,24,bus,Ost,1961
A6s,Bhf. Wannsee - Königstrasse - Am Grossen Wannsee - Endestrasse - Pfaueninsel-Chaussee - Rathaus Wannsee - Friedenstrasse - Schäferberg - Nikolskoer Weg - Schloss Glienicke - Glienicker Brücke,60,13,bus,West,1961
A60,"Roseneck, Hundekehl - Warnemünder/Berkaer Strasse - Zappoter/Oeynhauser Strasse - Hamburger Strasse, Rudolf-Mosse-Platz - U-Bhf. Heidelberger Platz - Brabanter Platz - Am Volkspark - Berliner Strasse - Postamt - Güntzelstrasse - Ludwigkirchstrasse/Pariser Strasse - Kurfürstendamm - Joachimstaler Strasse - Breitscheidplatz - Wittenbergplatz",10,25,bus,West,1961
A61,"ZobeltitzStrasse - U-Bhf. Scharnweberstrasse, Sportplatz - Schillingstrasse - U-Bhf. Kurt-Schumacher-Platz - Humboldtstrasse - Sebastianfriedhof - Teichstrasse - Aroser Allee - Osloer Strasse - Exerzierstrasse - Pankstrasse - Bhf. Gesundbrunnen - Rügener Strasse - Bernauer Strasse - Gartenplatz, Feldstrasse",10,32,bus,West,1961
A62,Wittenau - Alt-Wittenau - Bonhoeffer-Heim - Auguste-Viktoria-Allee - U-Bhf. Kurt-Schumacher-Platz - Saatwinkler Damm - Heckerdamm - Bhf. Jungfernheide - Luisenplatz - Richard-Wagner-Platz - Leibnizstrasse Ecke Otto-Suhr-Allee - U-Bhf. Ernst-Reuter-Platz - Bhf. Zoo - Marburger Strasse - Wittenbergplatz,10,38,bus,West,1961
A63,Radelandstrasse - Bötzowbahn - Kisselnallee Ecke Radelandstrasse - ZweiBrücker Strasse - Askanierring - Bezirksamt - Rathaus Spandau - Bhf. Spandau-West - Staakener Strasse - Hochgerichtstrasse - Viersener Strasse - Dyotzer Strasse - Leuthingerweg - Strasse 393 - Seegefelder Weg,30,30,bus,West,1961
A64,Bernauer Strasse Ecke Wolliner Strasse - Demminer Strasse Ecke Brunnenstrasse - Ramlerstrasse Ecke Brunnenstrasse - U-Bhf. Gesundbrunnen - Prinzenallee Ecke Badstrasse - Schwedenstrasse Ecke Exerzierstrasse - Schulstrasse Ecke Exerzierstrasse - Reinickendorfer Strasse Ecke Schulstrasse - Leopoldplatz - Tegeler Strasse Ecke Trifstrasse - Augustenburger Platz - Seestrasse Ecke Afrikanische Strasse - Transvaalstrasse Ecke Africkanische Strasse - Nachtigalplatz,10,22,bus,West,1961
A65,Goebelplatz - Kurt-Schumacher-Damme - Bhf. Jungfernheide - Landgericht - SchlossBrücke - Luisenplatz - Bhf. Westend - Königin-Elisabeth-Strasse - U-Bhf. Kaiserdamm - Masurenallee - Rathenauplatz - Bhf. Hohenzollerndamm - U-Bhf. Heidelberg Platz - Bundesplatz - Innsbrucker Platz - Bhf. Schöneberg - Alt-Tempelhof Ecke Tempelhofer Damm - Hermannstrasse Ecke Silbersteinstrasse - Bhf. Neukölln - Bhf. Sonnenallee,10,56,bus,West,1961
A66,"Doppel-Süd, Berlepschstrasse - Andreezeile - Machnower Strasse Ecke Berlepschstrasse - Rathaus Zehlendorf - Clayallee Ecke Berliner Strasse - Schützallee Ecke Onkel-Tom-Strasse - U-Bhf. Onkel-Toms-Hütte",20,13,bus,West,1961
A67,"Jerusalems-Kirche, Lindenstrasse - Moritzplatz - Oranienplatz - U-Bhf. Kottbusser Tor - Kottbusser Brücke - Hohenstaufenplatz - Hermannplatz - Reuterstrasse - Fuldastrasse - Erkstrasse - Hertzbergplatz - Bhf. Sonnenallee - Dammweg - Neuköllnische Allee - Am Oberhafen - U-Bhf. Grenzallee",10,25,bus,West,1961
A68,Clayallee Ecke Königin-Luise-Strasse - Vogelsang - Thielallee/Pacelliallee - U-Bhf. Dahlem-Dorf - Arnimallee - Botanischer Garten - Lepsiusstrasse - Rathaus Steglitz - Breite Strasse - Bergstrasse - Bergstrasse Ecke Bismarckstrasse - Munsterdamm Ecke Grazer Damm - Alboinstrasse Ecke Arnulfstrasse - Attilaplatz - Tempehofer Damm Ecke Friedrich-Karl-Strasse - Kaiserin-Augusta-Strasse Ecke Tempelhofer Damm - Alt-Tempelhof Ecke Tempelhofer Damm - Bhf. Tempelhof,15,36,bus,West,1961
A69,Eichkamp - Trabener Strasse - Bhf. Halensee - Joachim-Friedrich-Strasse Ecke Kurfürsten Damm - Wilmersdorfer Strasse Ecke Kurfürstendamm - Leibnizstrasse Ecke Kurfürstendamm - Bleibtreustrasse Ecke Kurfürstendamm - Uhlandstrasse Ecke Kurfürstendamm - Joachimstaler Strasse Ecke Kurfürstendamm - Nürnberger Strasse Ecke Kurfürstenstrasse - Nettelbeckstrasse  - Lützowplatz - Tiergartenstrasse - Großer Stern - Kongreßhalle,20,29,bus,West,1961
A7,"Glienicke, Kirche - Elsässer Strasse - Schildow, Kirche - Blankenfelde, Hauptstrasse - Nordend - Kurt-Fischer-Platz - Pankow, Rathaus - U-Bhf. Vinetastrasse",10,37,bus,Ost,1961
A70,"Bhf. Wollankstrasse - Osloer Strasse - Badstrasse - Wiesenstrasse - Bhf. Wedding - Weddingplatz - Am Nordhafen - Rathenower Strasse - Turmstrasse/Rathenower Strasse - Krankenhaus Moabit - Stromstrasse - Rathaus Tiergarten - Waldstrasse/Gotzkowskystrasse - Reuchlinstrasse - Wiebestrasse, Strassenbahnhof",10,28,bus,West,1961
A71,"Bhf. Wilhelmsruh - Lindauer Strasse - Emmentaler Strasse - Schäfersee, Pankower Allee - Letteplatz, Strassenbahnhof - Provinzstrasse/Pankower Allee - Ritterlandweg - Prinzenallee/Soldiner Strasse - Osloer Strasse - Badstrasse/Prinzenallee - Bhf. Gesundbrunnen - Ramlerstrasse - Rügener Strasse - Usedomer Strasse - Bernauer Strasse/Brunnenstrasse - Bernauer Strasse Ecke Wolliner Strasse",15,22,bus,West,1961
A72,"Alt-Reinickendorf Ecke Rödern Allee - Lindauer Strasse Ecke Residenzstrasse - Pankower Allee Ecke Residenzstrasse - Luise-Schröder-Platz - Nauener Platz - Weddingplatz - Rathenower Strasse Ecke Perleberger Strasse - Turmstrasse Ecke Stromstrasse - Waldstrasse Ecke Turmstrasse - Wiebestrasse Ecke Kaiserin-Augusta-Allee - Tauroggener Strasse Ecke Osnabrücker Strasse - Landgericht - Jakob-Kaiser-Platz - Quellweg Ecke Nonnendamm Allee - Nonnendammallee, Siemensstadt",15,41,bus,West,1961
A73,Bhf. Zoo - Wittenbergplatz - Motzstrasse - Grunewaldstrasse - Rathaus Schöneberg - Hauptstrasse Ecke Dominicusstrasse - Bhf. Schöneberg - Bhf. Papestrasse - Berlinickeplatz - Alt-Tempelhof Ecke Tempelhofer Damm - Rohdestrasse Ecke Germaniastrasse - Gottlieb-Dunkel-Strasse Ecke Tempelhofer Weg - Britzer Damm Ecke Gradestrasse - Buschkrug Alle Ecke Blaschko-Allee,12,36,bus,West,1961
A74,Königin-Elisabeth-Strasse - Spandauer Damm - Klausenerplatz - Schlossstrasse Ecke Seelingstrasse - Kaiser-Friedrich-Strasse - Stuttgarter Platz - Kurfürstendamm Ecke Konstanzer Strasse - Fehrbelliner Platz - Bundesallee - Martin-Luther-Strasse Ecke Grunewaldstrasse - Rathaus Schöneberg - Hauptstrasse (Schöneberg) - Bhf. Papestrasse - Bosestrasse - Eythstrasse,15,40,bus,West,1961
A75,Munsterdamm Ecke Steglitzer Damm - Bergstrasse Ecke Bismarckstrasse - Lauenburger Platz - Kaisereiche - Innsbrucker Platz - Hauptstrasse Ecke Dominicusstrasse - Kaiser-Wilhelm-Platz - U-Bhf. Bülowstrasse - Am Karlsbad - Askanischer Platz - U-Bhf. Kochstrasse - Oranienstrasse - U-Bhf. Moritzplatz - Skalitzer Strasse - Spreewaldplatz - Wiener Brücke,10,42,bus,West,1961
A76,Blohmstrasse Ecke Wünsdorfer Strasse - Bhf. Lichtenrade - Marienfelder Strasse Ecke Lichtenrader Damm - Goethestrasse Ecke Lichtenrader Damm - Buckower Chaussee Ecke Lichtenrader Damm - Rennbahn - Alt-Mariendorf Ecke Tempelhofer Damm - Kaiserstrasse Ecke Mariendorfer Damm - Burgemeister Strasse Ecke Tempelhofer Damm - Alt-Tempelhof Ecke Tempelhofer Damm - U-Bhf. Tempelhof - Thuyring - Flughafen Tempelhof - Platz der Luftbrücke,10,36,bus,West,1961
A77,Daimlerstrasse - Bhf. Marienfelde - Körtingstrasse - Mariendorfer Damm - Kaiserstrasse Ecke Mariendorfer Damm - Markgrafenstrasse Ecke Mariendorfer Damm - Burgemeister Strasse Ecke Tempelhofer Damm - Rathaus Tempelhof - Alt-Tempelhof Ecke Tempelhofer Damm - U-Bhf. Tempelhof - Thuyring - Paradestrasse - Flughafen Tempelhof - Platz der Luftbrücke,10,25,bus,West,1961
A8,"Waldesruh, Malhlsdorfer Allee - Fichtestrasse Ecke Schopenhauerstrasse - Hultschiner Damm - Sadowastrasse - Chemnitzer Ecke Ulmenstrasse - Alt-Biesdorf, Oberfeldstrasse - Alt-Friedrichsfelde Ecke Am Tierpark - U-Bhf. Friedrichsfelde",8,36,bus,Ost,1961
A8 E,"Sadowastrasse - Chemnitzer Ecke Ulmenstrasse - Alt-Biesdorf, Oberfeldstrasse - Alt-Friedrichsfelde Ecke Am Tierpark - U-Bhf. Friedrichsfelde",11,24,bus,Ost,1961
A82 P,Kinderheim - Friedrich-Junge-Strasse - Markgrafendamm,20,5,bus,Ost,1961
A9,Kurische Strasse - Dimitroffstrasse - Königstor - S-Bhf. Alexanderplatz - Marx-Engels-Platz - Friedrichstrasse Ecke Unter den Linden - Bhf. Friedrichstrasse - Oranienburger Tor - Platz vor dem Neuen Tor - Scharnhorststrasse Ecke Kieler Strasse,6,27,bus,Ost,1961
Flughafen Schönefeld <> Strausberger Platz,Flughafen Schönefeld - Bhf. Schöneweide - Ostbahnhof - Strausberger Platz,10,45,bus,Ost,1961
AD/36,"Diepensee, Flughafen - Waltersdorfer Chaussee (Spinne) - Schönefeld, Siedlung - Bohnsdorf, Kirche - Gartenstadtweg - S-Bhf. Grünau",7.5,27,bus,Ost,1961
AL,"Neu-Lindenberg - Lindenberg - Malchow, Dorfstrasse",45,15,bus,Ost,1961
AS1,Bhf. Zoo - U-Bhf. Ernst-Reuter-Platz - Cauerstrasse - Luisenplatz - Fürstenbrunner Weg - Schloss Ruhwald - U-Bhf. Ruhleben - Teltower Strasse - Rathaus Spandau - Hafenplatz - Lynastrasse - Klinkeplatz - Hohenzollernring,15,28,bus,West,1961
AS2,"Bhf. Zoo - HardenbergStrasse - Kurfürstendamm - Rankeplatz, Bundeshaus - Berliner Strasse - Bundesplatz - Schlossstrasse, Wilhelm-Schreiber-Platz - Canovastrasse - Attilaplatz - Mariendorfer Damm - Alt-Mariendorf - Tauernallee, Adlermühle - Buckower Chaussee - Lichtenrade, Goethestrasse - Goltzstrasse - Bhf. Lichtenrade - Lichtenrade, Blohmstrasse Ecke  Wünsdorfer Strasse",20,40,bus,West,1961
AS3,"Bhf. Zoo - HardenbergStrasse - Kurfürstendamm - Rankeplatz/Bundeshaus - U-Bhf. Fehrbelliner Platz - Bhf. Hohenzollerndamm - Berkaer Strasse, Elsterplatz - Roseneck - Pücklerstrasse - Königin-Luise-Strasse - U-Bhf. Oskar-Helene-Heim - Sundgauer Strasse - Winfriedstrasse - Clayallee/Teltower Damm - Rathaus Zehlendorf",15,24,bus,West,1961
AZ,"Groß Ziethen - Bhf. Groß  Ziethen - Klein Ziethen - Waßmannsdorf, Warteh. - Selchow - Waltersforder Chaussee (Spinne) - Schönefeld, Siedlung - S-Bhf. Grünau",60,36,bus,Ost,1961
A I,Gleisdreieck - Bülowstr. - Nollendorfplatz - Wittenbergplatz - Zoologischer Garten - Ernst-Reuter-Platz - Deutsche Oper (Bismarckstr.) - Sophie-Charlotte-Platz - Kaiserdamm (Messedamm) - Reichskanzlerplatz,10,18.5,u-bahn,West,1961
A II,Kottbusser Tor - Prinzenstrasse - Hallesches Tor - Möckernbrücke - Gleisdreieck - Kurfürstenstrasse - Nollendorfplatz - Wittenbergplatz - Augsburger Str. - Spichernstr. (Bundesallee) - Hohenzollernplatz - Fehrbelliner Platz - Heidelberger Platz - Rüdesheimer Platz - Breitenbachplatz - Podbielskiallee - Dahlem-Dorf - Thielplatz - Oskar-Helene-Heim - Onkel Toms Hütte - Krumme Lanke,10,36.5,u-bahn,West,1961
A III,Deutsche Oper (Bismarckstr.) - Richard-Wagner-Platz,10,1.5,u-bahn,West,1961
B I,Schlesisches Tor - Görlitzer Bahnhof (Oranienstr.) - Kottbusser Tor - Prinzenstr. - Hallesches Tor - Möckernbrücke - Gleisdreieck - Kurfürstenstr. - Nollendorfplatz - Wittenbergplatz - Zoologischer Garten - Ernst-Reuter-Platz - Deutsche Oper (Bismarckstr.) - Sophie-Charlotte-Platz - Kaiserdamm (Messedamm) - Reichskanzlerplatz - Neu-Westend - Olympia-Stadion - Ruhleben,10,35.5,u-bahn,West,1961
B II,Schlesisches Tor - Görlitzer Bahnhof (Oranienstr.) - Kottbusser Tor - Prinzenstr. - Hallesches Tor - Möckernbrücke - Gleisdreieck - Kurfürstenstr. - Nollendorfplatz - Wittenbergplatz - Augsburger Str. - Hohenzollernplatz - Fehrbelliner Platz - Heidelberger Platz - Rüdesheimer Platz - Breitenbachplatz - Podbielskiallee - Dahlem-Dorf - Thielplatz - Oskar-Helene-Heim - Onkel Toms Hütte - Krumme Lanke,10,40,u-bahn,West,1961
B III,Nollendorfplatz - Viktoria-Luise-Platz - Bayerischer Platz - Rathaus Schöneberg - Innsbrucker Platz (Hauptstr.),5,6,u-bahn,West,1961
C I,Tegel - Borsigwerke - Holzhauser Str. - Seidelstr. (Flughafen Tegel) - Scharnweberstr. (Eichborndamm) - Kurt-Schumacher-Platz - Afrikanische Str. - Rehberge - Seestr. - Leopoldplatz - Bahnhof Wedding - Reinickendorfer Str. - Bahnhof Friedrichstr. (Stadtbahn) - Kochstr. - Hallesches Tor - Mehringdamm - Gneisenaustr. - Südstern - Hermannplatz - Rathaus Neukölln - Karl-Marx-Str. - Neukölln (Südring) - Grenzallee,5,40,u-bahn,West,1961
C II,Mehringdamm - Flughafen - Paradestr. - Tempelhof (Südring),5,5,u-bahn,West,1961
D,Gesundbrunnen - Voltastr. - Moritzplatz - Kottbusser Tor - Kottbusser Damm (Schönleinstr.) - Hermannplatz - Boddinstr. - Leinestr.,10,19.5,u-bahn,West,1961
A,Pankow (Vinetastr.) - Schönhauser Allee - Dimitroffstr. - Senefelderplatz - Luxemburgplatz - Alexanderplatz - Klosterstr. - Märkisches Museum - Spittelmarkt - Hausvogteiplatz - Stadtmitte - Thälmannplatz,2.5,19,u-bahn,Ost,1961
E,Alexanderplatz - Schillingstr. - Strausberger Platz - Marchlewskistr. - Frankfurter Tor - Samariterstr. - Stalinallee (Ringbahn) - Magdalenenstr. - Bahnhof Lichtenberg (Zentralfriedhof) - Friedrichsfelde (Tierpark),5,16,u-bahn,Ost,1961
KBS 100,Gesundbrunnen - Wedding - Putlitzstr. - Beusselstr. - Jungfernheide - Westend - Witzleben - Westkreuz - Halensee - Hohenzollerndamm - Schmargendorf - Wilmersdorf - Innsbrucker Platz - Schöneberg - Papestr. - Tempelhof - Hermannstr. - Neukölln - Sonnenallee,,,s-bahn,West,1961
KBS 100a,Wilmersdorf - Innsbrucker Platz - Schöneberg - Papestr. - Tempelhof - Hermannstr. - Neukölln - Köllnische Heide - Baumschulenweg - Schöneweide - Betriebsbahnhof Schöneweide - Adlershof - Grünau,,,s-bahn,West,1961
KBS 100c,Gartenfeld - Siemensstadt - Wernerwerk - Jungfernheide,,,s-bahn,West,1961
KBS 101,Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Nöldnerplatz - Lichtenberg - Friedrichsfelde Ost - Biesdorf - Kaulsdorf - Mahlsdorf - Hoppegarten (Mark) - Neuenhagen (b Bln) - Fredersdorf (b Bln) - Giebelsee - Strausberg,,,s-bahn,Ost,1961
KBS 101,Spandau West - Spandau - Pichelsberg - Olympiastadion - Heerstr. - Eichkamp - Westkreuz - Charlottenburg - Savignyplatz - Zoologischer Garten - Tiergarten - Bellevue - Lehrter Stadtbahnhof - Friedrichstr.,,,s-bahn,West,1961
KBS 101c,Strausberg - Strausberg Stadt - Strausberg Nord,,,s-bahn,Ost,1961
KBS 102,Potsdam - Babelsberg - Griebnitzsee,,,s-bahn,Ost,1961
KBS 102,Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Rummelsburg - Betriebsbahnhof Rummelsburg - Karlshorst - Wuhlheide - Köpenick - Hirschgarten - Friedrichshagen - Rahnsdorf - Wilhelmshagen - Erkner,,,s-bahn,Ost,1961
KBS 102,Wannsee - Nikolassee - Grunewald - Westkreuz - Charlottenburg - Savignyplatz - Zoologischer Garten - Tiergarten - Bellevue - Lehrter Stadtbahnhof - Friedrichstr.,,,s-bahn,West,1961
KBS 103,Falkensee - Albrechtshof,,,s-bahn,Ost,1961
KBS 103,Friedrichstr. - Marx-Engels-Platz - Alexanderplatz - Jannowitzbrücke - Ostbahnhof - Warschauer Str. - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - Schöneweide - Betriebsbahnhof Schöneweide - Adlershof - Grünau - Eichwalde - Zeuthen - Wildau - Königs Wusterhausen,,,s-bahn,Ost,1961
KBS 103a,Greifswalder Str. - Leninallee - Zentralviehhof - Stalinallee - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - Schöneweide - Oberspree - Spindlersfeld,,,s-bahn,Ost,1961
KBS 103a,Spandau West - Spandau - Siemensstadt-Fürstenbrunn - Jungfernheide,,,s-bahn,West,1961
KBS 104a,Zehlendorf - Düppel-Kleinmachnow,,,s-bahn,West,1961
KBS 104,Gesundbrunnen - Humboldthain - Friedrichstr. - Anhalter Bahnhof - Großgörschenstr. - Schöneberg - Friedenau - Feuerbachstr. - Steglitz - Botanischer Garten - Lichterfelde West - Sundgauer Str. - Zehlendorf - Lindenthaler Allee - Schlachtensee - Nikolassee - Wannsee,,,s-bahn,West,1961
KBS 104,Oranienburg - Lehnitz - Borgsdorf - Birkenwerder - Hohen-Neuendorf (b Bln),,,s-bahn,Ost,1961
KBS 105,Velten (Mark) - Hohenschöpping - Hennigsdorf Nord - Hennigsdorf (b Bln),,,s-bahn,Ost,1961
KBS 105,Heiligensee - Schulzendorf (b Tegel) - Tegel - Eichbornstr. - Wittenau (Kremmener Bahn) - Reinickendorf - Schönholz - Wollankstr. - Gesundbrunnen - Humboldthain - Friedrichstr. - Anhalter Bahnhof - Yorckstr. - Papestr. - Priesterweg - Mariendorf - Marienfelde - Buckower Ch. - Lichtenrade,,,s-bahn,West,1961
KBS 105,Mahlow - Blankenfelde - Dahlewitz - Rangsdorf,,,s-bahn,Ost,1961
KBS 106,Frohnau - Hermsdorf - Waidmannslust - Wittenau (Nordbahn) - Wilhelmsruh - Schönholz - Wollankstr. - Gesundbrunnen - Humboldthain - Friedrichstr. - Anhalter Bahnhof - Yorckstr. - Papestr. - Priesterweg - Südende - Lankwitz - Lichterfelde Ost - Lichterfelde Süd,,,s-bahn,West,1961
KBS 106,Bernau (b Bln) - Zepernick (b Bernau) - Röntgental - Buch - Karow - Blankenburg - Pankow-Heinersdorf - Pankow - Schönhauser Allee - Prenzlauer Allee - Greifswalder Str. - Leninallee - Zentralviehhof - Stalinallee - Ostkreuz - Treptower Park - Plänterwald - Baumschulenweg - Schöneweide - Betriebsbahnhof Schöneweide - Adlershof - Grünau,,,s-bahn,Ost,1961
O 30,Kosterstrasse - Andreasstrasse - Küstriner Platz - Warschauer Strasse - Boxhagenerstrasse Ecke Holteistrasse - S-Bhf. Rummelsburg - Bhf. Lichtenberg - Bf. Siegfriedstrasse - Roederplatz - Proskauer Ecke Dolziger Strasse - Ebertystrasse Ecke Leninallee - Greifswalderstrasse Ecke Dimitroffstrasse - S-Bhf. Alexanderplatz - Klosterstrasse,20,72,bus,Ost,1961
O 37,"Dimitroffstrasse Ecke Leninallee - Steuerhaus - Weißenseer Weg - Genslerstrasse Ecke Siegfriedstrasse - Dingelstädter Strasse - Bürknersfelde - Marzahner Chaussee - Alt-Marzahn, Kirche - Elisabethstrasse - S-Bhf. Biesdorf - Alt-Biesdorf, Oberfeldstrasse -  Alt-Friedrichsfelde Ecke Am Tierpark - Bhf. Lichtenberg",20,46,bus,Ost,1961
O 40,Ostbahnhof - Küstriner Platz - Stalinallee - Leninplatz - Königstor - Prenzlauer Tor - Rosenthaler Platz - Oranienburger Tor - Robert-Koch-Platz,10,23,bus,Ost,1961
"S-Bhf. Friedrichshagen <> Rüdersdorf, Karl-Marx-Platz (VEB Schöneiche-Rüdersdorf)","S-Bhf. Friedrichshagen - Schöneiche, Goethepark - Dorfaue - Rüdersdorf, Thälmannstrasse - Post - Rüdersdorf, Karl-Marx-Platz",20,40,bus,Ost ,1961
S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf),S-Bhf. Rahnsdorf - Goethestrasse - Eichendamm - Lerchenstrasse - Fasanenstrasse - Thälmannplatz - Blumenstrasse - Woltersdorfer Schleuse,20,22,bus,Ost ,1961
Schmöckwitz<>Eichwalde (VEB Kraftverkehr Schöneiche-Rüdersdorf),"Alt-Schmöckwitz - Eichwalde, Uhlandstrasse - Bhf. Eichwalde",60,14,bus,Ost,1961
"S-Bhf. Grünau <> Potsdam, Bassinplatz (VEB Potsdam-Babelsberg)","S-Bhf. Grünau - Walterdorfer Chaussee (Spinne) - Selchow - Glasow - Bhf. Mahlow - Bhf. Teltow - Carl-von-Ossietzky-Werk - Stahnsdorf, Waldschänke - Bhf. Drewitz - Lutherplatz - Potsdam, Bassinplatz",30,49,bus,Ost,1961
Schmöckwitz<>Ziegenhals (VEB Kraftverkehr Schöneiche-Rüdersdorf),"Reifenwerk - Alt-Schmöckwitz - Konsum Wernsdorf - Konsum Ziegenhals - Ziegenhals, VA Dienststelle",56,19,bus,Ost,1961
Wannsee<>Kladow (Betrieb durch Stern und Kreisschiffahrt),Kladow - Wannsee,60,20,Fähre,West,1961
