line_name,Stops,Frequency_7-30,Length (time),type,east-west,year
54,"Richard-Wagner-Platz - Luisenplatz - Klausenerplatz - Königin-Elisabeth-Strasse - Kirschenallee - Schloss Ruhwald - U-Bhf. Ruhleben - Teltower Strasse - Bhf. Spandau - Spandau, Markt - Hafenplatz - Lynastrasse Ecke Neuendorfer Strasse - Hohenzollernring - Johannesstift",20,43,strassenbahn,West,1961
55,"Nollendorfplatz - Wittenbergplatz - Bhf. Zoo - U-Bhf. Ernst-Reuter-Platz - Cauerstrasse - Richard-Wagner-Platz - Luisenplatz - OsnaBrücker Strasse - Bhf. Jungfernheide - Jakob-Kaiser-Platz - Quellweg - Paulsternstrasse - Zitadellenweg - Spandau, Markt - Rathaus Spandau - Nauener Strasse",12,54,strassenbahn,West,1961
60,Königin-Elisabeth-Strasse - Sophie-Charlotten-Platz - Stuttgarter Platz - Fehrbelliner Platz - Bundesallee - Rathaus Schöneberg - Hauptstrasse (Schöneberg) - Bhf. Papestrasse - Eythstrasse,15,49,strassenbahn,West,1961
63,"Hohenschönhausen, Gartenstadt - Falkenbergerstrasse Ecke Wartenberger Strasse - Hohenschönhausen, Hauptstrasse - Degnerstrasse - Weißenseer Weg - Steuerhaus - Dimitroffstrasse - Leninplatz - Alexanderplatz, Memhardstr. - Hackescher Markt, Große Präsidentenstrasse",20,36,strassenbahn,Ost,1961
64,"Hohenschönhausen, Falkenberger Strasse - Hohenschönhausen, Hauptstrasse - Degnerstrasse - Weißenseer Weg - Steuerhaus - Dimitroffstrasse - Leninplatz - Alexanderplatz, Leninallee - S-Bhf. Jannowitzbrücke - Heinrich-Heine-Strasse - Spittelmarkt - Dönhoffplatz",20,27,strassenbahn,Ost,1961
66,Belziger Strasse - Hauptstrasse (Schöneberg) - Innsbrucker Platz - Traegerstrasse - Ceciliengärten - Rembrandtstrasse - Canovastrasse (Krankenhaus) - Thorwaldsenstrasse - Bergstrasse,10,12,strassenbahn,West,1961
69,"Johannisthal, Haeckelstrasse - Bhf. Schöneweide - Wilhelminenhofstrasse - S-Bhf. Karlshorst - Hochschule für Ökonomie - Tierpark Berlin - Alt-Friedrichsfelde Ecke Am Tierpark - Bhf. Lichtenberg - Bhf. Siegfriedstrasse",10,40,strassenbahn,Ost,1961
70,"Hohenschönhausen, Falkenberger Strasse - Hauptstrasse Ecke Suermondtstrasse - Stadion Buschallee - Buschallee Ecke Klement-Gottwald-Allee - Lichtenberger Strasse Ecke Berliner Allee - Antonplatz - Prenzlauer Promenade - Humannplatz - U-Bhf. Dimitroffstrasse - Brunnenstrasse - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",12,49,strassenbahn,Ost,1961
71,"Heinersdorf, Romain-Rolland-Str. - Heinersdorf, Kirche - Am Steinberg - Prenzlauer Allee Ecke Wisbyer Strasse - S-Bhf. Prenzlauer Allee - Dimitroffstrasse - SaarBrücker Strasse - Prenzlauer Tor - Alexanderplatz, Grunerstrasse - Jüdenstrasse, Molkenmarkt",10,32,strassenbahn,Ost,1961
72,"Weißensee, Pasedagplatz - Klement-Gottwald-Allee Ecke Rennbahnstrasse - Buschallee Ecke Berliner Allee - Lichtenberger Strasse Ecke Berliner Allee - Antonplatz - Prenzlauer Promenade - S-Bhf. Prenzlauer Allee - Dimitroffstrasse - SaarBrücker Strasse - Alexanderplatz, Memhardstr. - Molkenmarkt - Spittelmarkt - Charlottenstrasse Ecke Leipziger Strasse - Taubenstrasse",12,44,strassenbahn,Ost,1961
73,Bhf. Lichterfelde-Ost - Wiesenbaude  - Moltkestrasse - Händelplatz - Schlossstrasse - Rathaus Steglitz - Bundesallee Ecke Rheinstrasse - Kaisereiche - Lauterplatz - Innsbrucker Platz - Dominicusstrasse - Albertstrasse - Kaiser-Wilhelm-Platz - U-Bhf. Bülowstrasse - Lützowstrasse - Potsdamer Platz,20,42,strassenbahn,West,1961
74,Finckensteinallee - Wiesenbaude - Moltkestrasse - Händelplatz - Schlossstrasse - Rathaus Steglitz - Bundesallee - Kaisereiche - Lauterplatz - Innsbrucker Platz - Dominicusstrasse - Albertstrasse - Kaiser-Wilhelm-Platz - U-Bhf. Bülowstrasse - Lützowstrasse - Potsdamer Platz ,20,39,strassenbahn,West,1961
74,"Weißensee, Pasedagplatz - Klement-Gottwald-Allee Ecke Rennbahnstrasse - Lichtenberger Strasse Ecke Berliner Allee - Antonplatz - S-Bhf. Greifswalder Strasse - Dimitroffstrasse - Königstor - Alexanderplatz, Memhardstr. - Molkenmarkt - Spittelmarkt - Friedrichstrasse Ecke Leipzigerstrasse - Leipziger Strasse Ecke Wilhelmstrasse",8,39,strassenbahn,Ost,1961
74E,"Klement-Gottwald-Allee Ecke Rennbahnstrasse - Lichtenberger Strasse Ecke Berliner Allee - Antonplatz - S-Bhf. Greifswalder Strasse - Dimitroffstrasse - Königstor - Alexanderplatz, Memhardstr. - Molkenmarkt - Spittelmarkt",8,31,strassenbahn,Ost,1961
