line_id,year,line_name,type,start_stop,length (time),length (km),east_west,frequency (7:30)
19711,1971,7,autobus,"Glienicke, Kirche<> U-Bhf. Pankow",34,,east,12.0
19712,1971,8,autobus,Mahlsdorferallee<> U-Bhf. Friedrichsfelde,33,,east,10.0
19713,1971,9,autobus,Kurischestr.<> Otto-Grotewohlstr.,16,,east,8.0
19714,1971,16,autobus,Arkonaplatz<> Adalbertstr.,17,,east,8.0
19715,1971,18,autobus,Adalbertstr.<> Robert-Koch-Platz,20,,east,6.0
19716,1971,22,autobus,"Hessenwinkel, Lutherstr.<> Fichtenau, Post",37,,east,20.0
19717,1971,23,autobus,Falkenhöhe<> Kanalbrücke,20,,east,20.0
19718,1971,26,autobus,VEB Bautransporte<> Bhf. Schöneweide,5,,east,7.0
19719,1971,27,autobus,S-Bhf. Kaulsdorf<> Müggelheim,41,,east,10.0
197110,1971,27E,autobus,Chemnitzerstr.<> Müggelheim,22,,east,10.0
197111,1971,30,autobus,Ostbahnhof<> Robert-Koch-Platz,66,,east,13.0
197112,1971,31,autobus,S-Bhf. Buch<> Ostseestr.,30,,east,10.0
197113,1971,32,autobus,Hans-Beimlerstr.<> U-Bhf. Thälmannplatz,23,,east,8.0
197114,1971,34,autobus,Alt-Stralau<> U-Bhf. Marchlewskistr.,15,,east,15.0
197115,1971,35,autobus,Pirolstr.<> S-Bhf. Nöldnerplatz,20,,east,0.0
197116,1971,36,autobus,Zentralflughafen<> S-Bhf. Grünau,20,,east,0.0
197117,1971,37,autobus,Bhf. Lichtenberg<> Dimitroffstr. (Cotheniusstr.),46,,east,15.0
197118,1971,39,autobus,"Wartenberg, Siedlung<> Falkenbergerstr.",13,,east,15.0
197119,1971,40,autobus,Ostbahnhof<> Robert-Koch-Platz,20,,east,7.5
197120,1971,42,autobus,Buch<> Ostseestr.,31,,east,10.0
197121,1971,43,autobus,"Marzahnerchaussee, Springpfuhl<> S-Bhf. Nöldnerplatz",32,,east,10.0
197122,1971,44,autobus,"Hönow, Dorfstr.<> S-Bhf. Mahlsdorf",12,,east,30.0
197123,1971,45,autobus,"Wilhelmsruh, Schillerstr.<> Weißensee, Schwarzelfenweg",39,,east,6.0
197124,1971,47,autobus,"Bhf. Schöneweide<> Treptow, Eichenstr.",26,,east,12.0
197125,1971,48,autobus,Bhf. Schöneweide<> Bhf. Schöneweide,17,,east,7.0
197126,1971,49,autobus,"Bhf. Kaulsdorf, Bausdorfstr.<> Bhf. Kaulsdorf, Bausdorfstr.",14,,east,20.0
197127,1971,50,autobus,"Niederschönhausen, Rolandstr.<> U-Bhf. Pankow (Vinetastr.)",15,,east,5.0
197128,1971,52,autobus,"Pankow, Achtermannstr.<> U-Bhf. Pankow",12,,east,15.0
197129,1971,53,autobus,"Hohenschönhausen, Marzahnerstr.<> U-Bhf. Friedrichsfelde",22,,east,0.0
197130,1971,55,autobus,"Wilhelmsruhe, Fontanestr.<> Piesporterstr.",31,,east,10.0
197131,1971,56,autobus,"Weißensee, Nüßlerstr.<> Dimitroffstr.",27,,east,6.0
197132,1971,57,autobus,Kniprodestr.<> Scharnhorststr.,26,,east,8.0
197133,1971,58,autobus,Fontanestr.<> U-Bhf. Pankow (Vinetastr.),18,,east,20.0
197134,1971,59,autobus,Walther-Ulbricht-Stadion<> U-Bhf. Thälmannplatz,13,,east,10.0
197135,1971,65,autobus,Oberspree<> VEB Autotrans,12,,east,15.0
197136,1971,44E,autobus,S-Bhf. Mahlsdorf<> S-Bhf. Mahlsdorf,16,,east,10.0
197137,1971,51/B,autobus,S-Bhf. Buch<> Akademie der Wissenschaften,5,,east,20.0
197138,1971,D/38,autobus,"Diepensee<> Bohnsdorf, Waldstr.",13,,east,20.0
197139,1971,L/41,autobus,"Ahrensfeld, Kirche<> Malchow, Dorfstr.",30,,east,15.0
197140,1971,291,ferry,Wilhelmstrand<> Baumschulenweg,0,,east,10.0
197141,1971,292,ferry,Wendenschloß<> Grünau,0,,east,10.0
197142,1971,293,ferry,Schmöckwitz<> Krampenburg,0,,east,0.0
197143,1971,294,ferry,Rahnsdorf<> Müggelhort,0,,east,0.0
197144,1971,295,ferry,Müggelheim<> Rahnsdorf,0,,east,0.0
197145,1971,KBS 100,s-bahn,Friedrichstr.<> Strausberg Nord,65,,east,20.0
197146,1971,KBS 105,s-bahn,Friedrichstr.<> Erkner,45,,east,20.0
197147,1971,KBS 110,s-bahn,Friedrichstr.<> Königs Wusterhausen,45,,east,20.0
197148,1971,KBS 115,s-bahn,Friedrichstr.<> Zentralflughafen Berlin-Schönefeld,39,,east,20.0
197149,1971,KBS 135,s-bahn,Hennigsdorf (b Bln)<> Velten (Mark),8,,east,30.0
197150,1971,KBS 140,s-bahn,Oranienburg<> Zentralflughafen Berlin-Schönefeld,83,,east,20.0
197151,1971,KBS 141,s-bahn,Bernau (b Bln)<> Zeuthen,64,,east,20.0
197152,1971,KBS 142,s-bahn,Blankenburg<> Spindlersfeld,41,,east,20.0
197153,1971,KBS 143,s-bahn,Alexanderplatz<> Blankenburg,0,,east,20.0
197154,1971,3,tram,Björnsonstr.<> Revalerstr.,43,,east,15.0
197155,1971,4,tram,Eberswalderstr. Ecke Oderbergerstr.<> Revalerstr.,26,,east,12.0
197156,1971,13,tram,Oderbergerstr. Ecke Eberswalderstr.<> Hönower Wiesenweg Ecke Blockdammweg,41,,east,8.0
197157,1971,17,tram,Haeckelstr.<> Kniprodestr.,58,,east,20.0
197158,1971,19,tram,Mahlsdorferstr.<> Kniprodestr.,69,,east,20.0
197159,1971,21,tram,S-Bhf. Ostkreuz<> S-Bhf. Baumschulenweg,32,,east,20.0
197160,1971,22,tram,Hauptstr.<> Am Kupfergraben,48,,east,15.0
197161,1971,46,tram,Nordend<> Am Kupfergraben,47,,east,0.0
197162,1971,49,tram,Hauptstr.<> Hackescher Markt,38,,east,12.0
