line_id,year,line_name,type,start_stop,length (time),length (km),east_west,frequency (7:30)
19511,1951,1,tram,Hallesches Tor (Stresemannstr.)<> Charlottenstr. Ecke Unter den Linden,0,,unified,12.0
19512,1951,2,tram,Werftstr. Ecke Alt-Moabit<> Mansteinstr. (Bhf. Großgörschenstr.),0,,unified,15.0
19513,1951,3,tram,Osloerstr. Ecke Grüntalerstr.<> Hermannplatz,0,,unified,15.0
19514,1951,3,tram,"Osloerstr. Ecke Grüntalerstr.<> Treptow, Elsenstr.",0,,unified,20.0
19515,1951,4,tram,Strelitzerstr. Ecke Bernauerstr.<> Schlesisches Tor,0,,unified,12.0
19516,1951,6,tram,Kurfürstendamm Ecke Joachimstalerstr.<> Elsenstr. Ecke Heidelbergerstr.,0,,unified,15.0
19517,1951,13,tram,Kraftwerk Klingenberg<> Leninallee Ecke Dimitroffstr.,0,,unified,16.0
19518,1951,14,tram,Bersarinplatz<> Scheffelstr. Ecke Möllendorferstr.,0,,unified,17.0
19519,1951,15,tram,"Marienfelde, Daimlerstr.<> Neukölln, Schulenburgpark",0,,unified,15.0
195110,1951,21,tram,"Moabit, Wiebestr.<> Friesenstr. Ecke Schwiebusserstr.",0,,unified,115.0
195111,1951,23,tram,"Rosenthal, Quickbornerstr.<> Augustenburgerplatz (Virchow-Krankenhaus)",0,,unified,15.0
195112,1951,24,tram,"Buchholz, Hauptstr.<> Bhf. Gesundbrunnen",0,,unified,15.0
195113,1951,25,tram,"Tegel, Alt-Tegel<> Schöneberg, Gotenstr.",0,,unified,15.0
195114,1951,26,tram,"Görlitzer Bhf., Spreewaldplatz<> Wilhelm-Borgmann Brücke",0,,unified,15.0
195115,1951,27,tram,"Neukölln, Hermannplatz<> Buckow-West, Alt-Buckow",0,,unified,15.0
195116,1951,28,tram,"Tegelort, Kurzestr.<> Rügenesrstr. Ecke Brunnenstr.",0,,unified,30.0
195117,1951,29,tram,"Heiligensee, Dorfaue<> Rügenesrstr. Ecke Brunnenstr.",0,,unified,30.0
195118,1951,35,tram,"Siemensstadt (Verwaltungsgebäude)<> Wilhelmsruh, Hauptstr.",0,,unified,15.0
195119,1951,36,tram,"Wilhelmsruh, Hauptstr.<> Rügenerstr. Ecke Brunnenstr.",0,,unified,15.0
195120,1951,40,tram,"Dahlem, Clayallee<> Steglitz, Birkbuschstr. Ecke Siemensstr.",0,,unified,15.0
195121,1951,41,tram,"Tegel, Alt-Tegel<> Rügenerstr. Ecke Brunnenstr.",0,,unified,15.0
195122,1951,44,tram,"Sandkrugbrücke, Lehrter Bahnhof<> Birkbuschstr. Ecke Siemensstr.",0,,unified,17.0
195123,1951,46,tram,"Nordend, Kaiser-Wilhelmstr.<> Dönhoffplatz",0,,unified,15.0
195124,1951,47,tram,"Hermannplatz<> Rudow, Stadtgrenze",0,,unified,12.0
195125,1951,49,tram,"Buchholz, Hauptstr.<> Große Präsidentenstr.",0,,unified,15.0
195126,1951,51,tram,Roseneck<> Bhf. Zoo,0,,unified,15.0
195127,1951,54,tram,"Spandau, Johannesstift<> U-Bhf. Richard-Wagner-Platz, Wintersteinstr.",0,,unified,20.0
195128,1951,55,tram,"Spandau, Nauenerstr.<> Kurfürstendamm V. Marmorhaus",0,,unified,15.0
195129,1951,57,tram,Emserplatz<> Roseneck,0,,unified,10.0
195130,1951,60,tram,"Königin-Elisabethstr. Ecke Kaiserdamm<> Lindenhof, Eythstr.",0,,unified,15.0
195131,1951,64,tram,"Hohenschönhausen, Falkenbergerstr.<> Dönhoffplatz, Krausenstr.",0,,unified,15.0
195132,1951,65,tram,"Hackescher Markt<> Loeperplatz, Scheffelstr.",0,,unified,15.0
195133,1951,66,tram,"Schöneberg, Belzigerstr. (Straßenbahnhof)<> Schöneberg, Thorwaldsenstr. (August-Viktoria-Krankenhaus",0,,unified,15.0
195134,1951,68,tram,"Wittenau, Nordbahn<> Nettelbeckplatz",0,,unified,15.0
195135,1951,69,tram,Hackescher Markt<> Wilhelminenhofstr. Ecke Edisonstr.,0,,unified,16.0
195136,1951,70,tram,"Weißensee, Buschallee<> Kupfergraben",0,,unified,12.0
195137,1951,71,tram,"Heinersdorf, Helgestr.<> Jüdenstr., Rathaus",0,,unified,10.0
195138,1951,72,tram,"Weißensee, Rennbahnstr. Ecke Parkstr.<> Charlottenstr. Ecke Taubenstr.",0,,unified,10.0
195139,1951,73,tram,"Bhf. Lichterfelde-Ost<> Rennbahnstr., Weißensee",0,,unified,20.0
195140,1951,74,tram,"Lichtefelde, Finckensteinallee<> Rennbahnstr., Weißensee",0,,unified,20.0
195141,1951,75,tram,Spandau Hakenfelde<> Bhf. Zoo,0,,unified,10.0
195142,1951,76,tram,Hundekehle über Königsallee<> Anhalter Bhf.,0,,unified,20.0
195143,1951,76E,tram,Hundekehlenstr. Ecke Teplitzerstr.<> Nollendorfplatz,0,,unified,15.0
195144,1951,77,tram,"Bhf. Zoo<> Lichterfelde, Goerzallee",0,,unified,20.0
195145,1951,78,tram,"Lichterfelde-Süd, Lindenstr.<> Bhf. Zoo",0,,unified,15.0
195146,1951,82,tram,Breitestr. Ecke Mühlendamm<> Alt-Stralau,0,,unified,20.0
195147,1951,83,tram,Wendenschloß Ecke Ekhofstr.<> S-Bhf. Mahlsdorf,0,,unified,25.0
195148,1951,84,tram,"Bhf. Friedrichshagen<> Alt-Glienicke, Am Falkenberg",0,,unified,20.0
195149,1951,86,tram,"Mahlsdorf-Süd, Hubertus<> Alt-Schmöckwitz",0,,unified,20.0
195150,1951,87,tram,"Dönhoffplatz, Krausenstr.<> Rahnsdorf (Mühle)",0,,unified,25.0
195151,1951,88,tram,"Steglitz, Stadtpark<> Wiener Brücke",0,,unified,15.0
195152,1951,91,tram,"Treptow, Rathaus<> Friedrichstr., Johannisthal",0,,unified,20.0
195153,1951,92,tram,"Dönhoffplatz, Krausenstr.<> Bhf. Oberspree, Sedanstr.",0,,unified,20.0
195154,1951,95,tram,"Attilaplatz<> Köpenick, Krankenhaus",0,,unified,15.0
195155,1951,96,tram,Machnower Schleuse<> Bhf. Tempelhof,0,,unified,20.0
