line_id,year,line_name,type,start_stop,length (time),length (km),east_west,frequency (7:30)
196169,1961,A77,autobus,Daimlerstr.<> Platz der Luftbrücke,25,,west,10.0
196170,1961,AS1,autobus,Bhf. Zoo<> Hohenzollernring,28,,west,15.0
196171,1961,AS2,autobus,"Bhf. Zoo<> Lichtenrade, Blohmstr. Ecke Wünsdorferstr.",40,,west,20.0
196172,1961,AS3,autobus,Bhf. Zoo<> Rathaus Zehlendorf,24,,west,15.0
196173,1961,A I,u-bahn,Gleisdreieck<> Reichskanzlerplatz,18,,west,10.0
196174,1961,A II,u-bahn,Kottbusser Tor<> Krumme Lanke,36,,west,10.0
196175,1961,A III,u-bahn,Deutsche Oper (Bismarckstr.)<> Richard-Wagner-Platz,1,,west,10.0
196176,1961,B I,u-bahn,Schlesisches Tor<> Ruhleben,35,,west,10.0
196177,1961,B II,u-bahn,Schlesisches Tor<> Krumme Lanke,40,,west,10.0
196178,1961,B III,u-bahn,Nollendorfplatz<> Innsbruckerplatz (Hauptstr.),6,,west,5.0
196179,1961,C I,u-bahn,Tegel<> Grenzallee,40,,west,5.0
196180,1961,C II,u-bahn,Mehringdamm<> Tempelhof (Südring),5,,west,5.0
196181,1961,D,u-bahn,Gesundbrunnen<> Leinestr.,19,,west,10.0
196182,1961,KBS 100,s-bahn,Gesundbrunnen<> Sonnenallee,0,,west,0.0
196183,1961,KBS 100a,s-bahn,Wilmersdorf<> Grünau,0,,west,0.0
196184,1961,KBS 100c,s-bahn,Gartenfeld<> Jungfernheide,0,,west,0.0
196185,1961,KBS 101,s-bahn,Spandau West<> Friedrichstr.,0,,west,0.0
196186,1961,KBS 102,s-bahn,Wannsee<> Friedrichstr.,0,,west,0.0
196187,1961,KBS 103a,s-bahn,Spandau West<> Jungfernheide,0,,west,0.0
196188,1961,KBS 104a,s-bahn,Zehlendorf<> Düppel-Kleinmachnow,0,,west,0.0
196189,1961,KBS 104,s-bahn,Gesundbrunnen<> Wannsee,0,,west,0.0
196190,1961,KBS 105,s-bahn,Heiligensee<> Lichtenrade,0,,west,0.0
196191,1961,KBS 106,s-bahn,Frohnau<> Lichterfelde Süd,0,,west,0.0
196192,1961,Wannsee<>Kladow (Betrieb durch Stern und Kreisschiffahrt),ferry,Kladow<> Wannsee,20,,west,60.0
