,line_id,year,line_name,type,start_stop,Length (time),east_west,Frequency
0,19801,1980,1,bus,"Moabit, Waldstrasse<> Lichterfelde, Lindenstrasse",66,West,12
1,19802,1980,10,bus,"Haselhorster Damm<> Zehlendorf-Süd, Sachtlebenstrasse Ecke Lupsteiner Weg",67,West,12
2,19803,1980,11,bus,Dahlem Waldfriedhof<> U-Bhf. Alt-Mariendorf,43,West,7
3,19804,1980,11,strassenbahn,S-Bhf. Marzahn<> Stadion der Weltjugend,47,Ost,20
4,19805,1980,12,bus,"Wedding, Bernauerstrasse<> Maximiliankorso Ecke Hainbuchenstrasse",63,West,15
5,19806,1980,12,strassenbahn,S-Bhf. Marzahn<> Müggelstrasse,27,Ost,20
6,19807,1980,12E,bus,U-Bhf. Leopoldplatz<> Zeltinger Platz,0,West,20
7,19808,1980,13,bus,Alt-Heiligensee<> Spandau Weinmeisterhornweg,68,West,12
8,19809,1980,13,strassenbahn,Eberswalderstrasse<> Hönower Wiesenweg,40,Ost,10
9,198010,1980,14,bus,U-Bhf. Osloerstrasse<> Alt-Heiligensee,60,West,15
10,198011,1980,14E,bus,Alt-Heiligensee<> Falkenplatz,9,West,30
11,198012,1980,15,bus,Wittenauerstrasse Märkisches Viertel<> Frohnau Invalidensiedlung,58,West,20
12,198013,1980,15,strassenbahn,Bhf. Lichtenberg<> Hackescher Markt,37,Ost,20
13,198014,1980,16,bus,Reinickendorf Klemkestrasse/Sommerstrasse<> Breitenbachplatz,63,West,15
14,198015,1980,17,bus,Grunewald Fontanestrasse<> Lichterfelde Celsiusstrasse,56,West,12
15,198016,1980,17,strassenbahn,"Besarinstrasse<> Johannisthal, Haeckelstrasse",56,Ost,12
16,198017,1980,18,bus,U-Bhf. Oskar-Helene-Heim<> Steinstücken,33,West,20
17,198018,1980,18,strassenbahn,"Biesdorf, Karl-Maron-Strasse<> Stadion der Weltjugend",49,Ost,20
18,198019,1980,19,bus,Grunewald Roseneck<> Platz der Luftbrücke,44,West,10
19,198020,1980,19,strassenbahn,"Köpenick, Krankenhaus<> Artur-Becker-Strasse",73,Ost,20
20,198021,1980,2,bus,"U-Bhf. Friedrich-Wilhelm-Platz<> Marienfelde, Waldsassenerstrasse",36,West,7
21,198022,1980,20,bus,Tegelort<> Lübars Alt-Lübars,41,West,15
22,198023,1980,20,strassenbahn,Bhf. Lichtenberg<> Hackerscher Markt,50,Ost,20
23,198024,1980,21,bus,Quickbornerstrasse Märkisches Viertel<> Fehrbelliner Platz,63,West,15
24,198025,1980,21,strassenbahn,"Eberswalderstrasse<> Köpenick, Krankenhaus",72,Ost,20
25,198026,1980,22,bus,U-Bhf. Osloerstrasse<> Waidmannslust Titiseestrasse,37,West,15
26,198027,1980,22,strassenbahn,"Rosenthal, Hauptstrasse<> Am Kupfergraben",50,Ost,15
27,198028,1980,22E,bus,"U-Bhf. Holzhauserstrasse<> Wittenau, Kirche",11,West,15
28,198029,1980,23,bus,Falkenhöhe<> Rudower Chaussee,28,Ost,20
29,198030,1980,23,bus,"Zoo, Hardenbergplatz<> Saatwinkler Damm Mäkeritzwiesen",53,West,15
30,198031,1980,24,bus,Moabit Wiebestrasse<> Platz der Luftbrücke,41,West,15
31,198032,1980,24,strassenbahn,Pasedagplatz<> Stadion der Weltjugend,36,Ost,12
32,198033,1980,25,bus,Britz-Süd<> U-Bhf. Friedrich-Wilhelm-Platz,40,West,12
