line_id,jahr,linien_name,typ,dauer (min),ost_west,frequenz,länge (km),start,ziel
194664,1946,A2,u-bahn,10.0,both/unkown,10,,Wittenbergplatz,Krumme Lanke
194665,1946,B,u-bahn,12.0,both/unkown,12,,Hallesches Tor,Warschauer Brücke
194666,1946,B1,u-bahn,10.0,both/unkown,10,,Innsbrucker Platz,Nollendorfplatz
194667,1946,B2,u-bahn,10.0,both/unkown,10,,Wittenbergplatz,Uhlandstrasse
194668,1946,C,u-bahn,7.0,both/unkown,6,,Seestrasse,Grenzallee
194669,1946,D,u-bahn,7.0,both/unkown,6,,Gesundbrunnen,Leinestrasse
194670,1946,E,u-bahn,10.0,both/unkown,10,,Alexanderplatz,Friedrichsfelde
194671,1946,Wannsee-Pichelsberg,fähre,120.0,both/unkown,120,,"Pichelsberg, Stössenseebrücke",Wannsee
19511,1951,1,straßenbahn,,both/unkown,12,,Hallesches Tor (Stresemannstrasse),Charlottenstrasse Ecke Unter den Linden
19512,1951,2,straßenbahn,,both/unkown,15,,Werftstrasse Ecke Alt-Moabit,Mansteinstrasse (Bhf. Großgörschenstrasse)
19513,1951,3,straßenbahn,,both/unkown,15,,Osloerstrasse Ecke Grüntalerstrasse,Hermannplatz
19514,1951,3,straßenbahn,,both/unkown,20,,Osloerstrasse Ecke Grüntalerstrasse,"Treptow, Elsenstrasse"
19515,1951,4,straßenbahn,,both/unkown,12,,Strelitzerstrasse Ecke Bernauerstrasse,Schlesisches Tor
19516,1951,6,straßenbahn,,both/unkown,15,,Kurfürstendamm Ecke Joachimstalerstrasse,Elsenstrasse Ecke Heidelbergerstrasse
19517,1951,13,straßenbahn,,both/unkown,16,,Kraftwerk Klingenberg,Leninallee Ecke Dimitroffstrasse
19518,1951,14,straßenbahn,,both/unkown,17,,Bersarinplatz,Scheffelstrasse Ecke Möllendorferstrasse
19519,1951,15,straßenbahn,,both/unkown,15,,"Marienfelde, Daimlerstrasse","Neukölln, Schulenburgpark"
195110,1951,21,straßenbahn,,both/unkown,115,,"Moabit, Wiebestrasse",Friesenstrasse Ecke Schwiebusserstrasse
195111,1951,23,straßenbahn,,both/unkown,15,,"Rosenthal, Quickbornerstrasse",Augustenburger Platz (Virchow-Krankenhaus)
195112,1951,24,straßenbahn,,both/unkown,15,,"Buchholz, Hauptstrasse",Rügenerstrasse Ecke Brunnenstrasse
195113,1951,25,straßenbahn,,both/unkown,15,,"Tegel, Alt-Tegel","Schöneberg, Gotenstrasse"
195114,1951,26,straßenbahn,,both/unkown,15,,"Görlitzer Bhf., Spreewaldplatz",Wilhelm-Borgmann Brücke
195115,1951,27,straßenbahn,,both/unkown,15,,"Neukölln, Hermannplatz","Buckow-West, Alt-Buckow"
195116,1951,28,straßenbahn,,both/unkown,30,,"Tegelort, Kurzestrasse",Rügenesrstrasse Ecke Brunnenstrasse
195117,1951,29,straßenbahn,,both/unkown,30,,"Heiligensee, Dorfaue",Rügenesrstrasse Ecke Brunnenstrasse
195118,1951,35,straßenbahn,,both/unkown,15,,Siemensstadt (Verwaltungsgebäude),"Wilhelmsruh, Hauptstrasse"
195119,1951,36,straßenbahn,,both/unkown,15,,"Wilhelmsruh, Hauptstrasse",Rügenerstrasse Ecke Brunnenstrasse
195120,1951,40,straßenbahn,,both/unkown,15,,"Dahlem, Clayallee","Steglitz, Birkbuschstrasse Ecke Siemensstrasse"
195121,1951,41,straßenbahn,,both/unkown,15,,"Tegel, Alt-Tegel",Rügenerstrasse Ecke Brunnenstrasse
195122,1951,44,straßenbahn,,both/unkown,17,,"Sandkrugbrücke, Lehrter Bahnhof",Birkbuschstrasse Ecke Siemensstrasse
195123,1951,46,straßenbahn,,both/unkown,15,,"Nordend, Kaiser-Wilhelm-Strasse",Dönhoffplatz
195124,1951,47,straßenbahn,,both/unkown,12,,Hermannplatz,"Rudow, Stadtgrenze"
195125,1951,49,straßenbahn,,both/unkown,15,,"Buchholz, Hauptstrasse",Große Präsidentenstrasse
195126,1951,51,straßenbahn,,both/unkown,15,,Roseneck,Bhf. Zoo
195127,1951,54,straßenbahn,,both/unkown,20,,"Spandau, Johannesstift","U-Bhf. Richard-Wagner-Platz, Wintersteinstrasse"
195128,1951,55,straßenbahn,,both/unkown,15,,"Spandau, Nauener Strasse",Kurfürstendamm v. Marmorhaus
195129,1951,57,straßenbahn,,both/unkown,10,,Emser Platz,Roseneck
195130,1951,60,straßenbahn,,both/unkown,15,,Königin-Elisabeth-Strasse Ecke Kaiserdamm,"Lindenhof, Eythstrasse"
195131,1951,64,straßenbahn,,both/unkown,15,,"Hohenschönhausen, Falkenberger Strasse","Dönhoffplatz, Krausenstrasse"
195132,1951,65,straßenbahn,,both/unkown,15,,Hackescher Markt,"Loeperplatz, Scheffelstrasse"
195133,1951,66,straßenbahn,,both/unkown,15,,"Schöneberg, Belzigerstrasse (Straßenbahnhof)","Schöneberg, Thorwaldsenstrasse (August-Viktoria-Krankenhaus"
195134,1951,68,straßenbahn,,both/unkown,15,,"Wittenau, Nordbahn",Nettelbeckplatz
195135,1951,69,straßenbahn,,both/unkown,16,,Hackescher Markt,Wilhelminenhofstrasse Ecke Edisonstrasse
195136,1951,70,straßenbahn,,both/unkown,12,,"Weißensee, Buschallee",Kupfergraben
195137,1951,71,straßenbahn,,both/unkown,10,,"Heinersdorf, Helgestrasse","Jüdenstrasse, Rathaus"
195138,1951,72,straßenbahn,,both/unkown,10,,"Weißensee, Rennbahnstrasse Ecke Parkstrasse",Charlottenstrasse Ecke Taubenstrasse
195139,1951,73,straßenbahn,,both/unkown,20,,Bhf. Lichterfelde-Ost,"Rennbahnstrasse, Weißensee"
195140,1951,74,straßenbahn,,both/unkown,20,,"Lichtefelde, Finckensteinallee","Rennbahnstrasse, Weißensee"
195141,1951,75,straßenbahn,,both/unkown,10,,Spandau Hakenfelde,Bhf. Zoo
195142,1951,76,straßenbahn,,both/unkown,20,,Hundekehle über Königsallee,Anhalter Bhf.
195143,1951,76E,straßenbahn,,both/unkown,15,,Hundekehlenstrasse Ecke Teplitzerstrasse,Nollendorfplatz
195144,1951,77,straßenbahn,,both/unkown,20,,Bhf. Zoo,"Lichterfelde, Goerzallee"
195145,1951,78,straßenbahn,,both/unkown,15,,"Lichterfelde-Süd, Lindenstrasse",Bhf. Zoo
195146,1951,82,straßenbahn,,both/unkown,20,,Breitestrasse Ecke Mühlendamm,Alt-Stralau
195147,1951,83,straßenbahn,,both/unkown,25,,Wendenschloß Ecke Ekhofstrasse,S-Bhf. Mahlsdorf
195148,1951,84,straßenbahn,,both/unkown,20,,Bhf. Friedrichshagen,"Alt-Glienicke, Am Falkenberg"
195149,1951,86,straßenbahn,,both/unkown,20,,"Mahlsdorf-Süd, Hubertus",Alt-Schmöckwitz
195150,1951,87,straßenbahn,,both/unkown,25,,"Dönhoffplatz, Krausenstrasse",Rahnsdorf (Mühle)
195151,1951,88,straßenbahn,,both/unkown,15,,"Steglitz, Stadtpark",Wiener Brücke
195152,1951,91,straßenbahn,,both/unkown,20,,"Treptow, Rathaus","Friedrichstrasse, Johannisthal"
195153,1951,92,straßenbahn,,both/unkown,20,,"Dönhoffplatz, Krausenstrasse","Bhf. Oberspree, Sedanstrasse"
195154,1951,95,straßenbahn,,both/unkown,15,,Attilaplatz,"Köpenick, Krankenhaus"
195155,1951,96,straßenbahn,,both/unkown,20,,Machnower Schleuse,Bhf. Tempelhof
195156,1951,98,straßenbahn,,both/unkown,15,,U-Bhf. Tempelhof,Daimlerstrasse Ecke Birnhornweg
195157,1951,99,straßenbahn,,both/unkown,15,,Mehringplatz/Hallesches Tor,Bhf. Lichtenrade
195158,1951,76E,straßenbahn,,both/unkown,10,,Hundekehle über Königsallee,Nollendorfplatz
195159,1951,A I,u-bahn,,both/unkown,10,,Pankow (Vinetastr.),Ruhleben
195160,1951,A II,u-bahn,,both/unkown,10,,Wittenbergplatz,Krumme Lanke
195161,1951,A III,u-bahn,,both/unkown,10,,Deutsches Opernhaus (Bismarckstr.),Richard-Wagner-Platz
195162,1951,A1 (Obus),autobus,,both/unkown,15,,"Moabit, Waldstrasse Ecke Turmstrasse","Lichterfelde-Süd, Lindenstrasse"
195163,1951,A10,autobus,,both/unkown,15,,"Westend, Königin-Elisabeth-Strasse","Machnowerstrasse Ecke Andreezeile, Zehlendorf"
195164,1951,A11,autobus,,both/unkown,20,,U-Bhf. Dahlem-Dorf,"Lankwitz, Trippsteinstrasse"
195165,1951,A12,autobus,,both/unkown,10,,"Frohnau, Sigismundkorso",Seestrasse Ecke Müllerstrasse
195166,1951,A13,autobus,,both/unkown,15,,"Spandau, Weinmeisterhornweg",Bhf. Tegel
195167,1951,A14,autobus,,both/unkown,20,,Bhf. Tegel,Reinickendorf Hauptstrasse Ecke Aroserallee
195168,1951,A15,autobus,,both/unkown,30,,Bhf. Wittenau,Bhf. Tegel
195169,1951,A16,autobus,,both/unkown,6,,U-Bhf. Seestrasse,U-Bhf. Breitenbachplatz
195170,1951,A17,autobus,,both/unkown,15,,Roseneck,Saaleckplatz (Lichterfelde)
195171,1951,A9,autobus,,both/unkown,0,,"Arnswalder Platz, Elbingerstrasse",Scharnhorststrasse Ecke Kielerstrasse
195172,1951,A2,autobus,,both/unkown,10,,Rathaus Zehlendorf,"Lankwitz, Trippsteinstrasse"
195173,1951,A27,autobus,,both/unkown,40,,Müggelheim (An der Großen Krampe),Bhf. Kaulsdorf
195174,1951,A3,autobus,,both/unkown,8,,Rathaus Zehlendorf,"Stölpchensee, Wilhelmplatz"
195175,1951,A31,autobus,,both/unkown,10,,"Staaken, Heidelbergplan",Bhf. Spandau
195176,1951,A32 (Obus),autobus,,both/unkown,12,,Breitenbachplatz,Bhf. Marienfelde
195177,1951,A33 (Obus),autobus,,both/unkown,8,,Bhf. Steglitz,"Mariendorf, Kaiserstrasse Ecke Mariendorfer Damm"
195178,1951,A34,autobus,,both/unkown,30,,"Spandau, Askanierring","Alt-Kladow, Kladow"
195179,1951,A35,autobus,,both/unkown,30,,S-Bhf. Tegel,"Lübars, Dorfplatz"
