,line_id,year,line_name,type,start_stop,Length (time),east_west,Frequency
0,19711,1971,7,bus,"Glienicke, Kirche<> U-Bhf. Pankow",34,Ost,12
1,19712,1971,8,bus,Mahlsdorfer Allee<> U-Bhf. Friedrichsfelde,33,Ost,10
2,19713,1971,9,bus,Kurische Strasse<> Otto-Grotewohl-Strasse,16,Ost,8
3,19714,1971,16,bus,Arkonaplatz<> Adalbertstrasse,17,Ost,8
4,19715,1971,18,bus,Adalbertstrasse<> Robert-Koch-Platz,20,Ost,6
5,19716,1971,18,bus ,Robert-Koch-Platz<> Adalbertstrasse,16,Ost ,15
6,19717,1971,22,bus ,"Hessenwinkel, Lutherstrasse<> Fichtenau, Post",37,Ost ,20
7,19718,1971,23,bus ,"Falkenhöhe<> Altglienicke, Kirche",20,Ost ,20
8,19719,1971,26,bus,VEB Bautransporte<> Bhf. Schöneweide,5,Ost,7
9,197110,1971,27,bus ,"S-Bhf. Kaulsdorf, Planitzstrasse<> Müggelheim",41,Ost ,10
10,197111,1971,30,bus ,Ostbahnhof<> Robert-Koch-Platz,66,Ost ,13
11,197112,1971,31,bus,S-Bhf. Buch<> Ostseestrasse,30,Ost,10
12,197113,1971,32,bus ,H.- Beimler-Strasse<> U-Bhf. Thälmannplatz,23,Ost ,8
13,197114,1971,34,bus ,Alt-Stralau<> U-Bhf. Marchlewskistrasse,15,Ost ,15
14,197115,1971,35,bus ,Pirolstrasse<> S-Bhf. Nöldnerplatz,20,Ost ,0
15,197116,1971,36,bus ,Zentralflughafen<> S-Bhf. Grünau,20,Ost ,0
16,197117,1971,37,bus ,Bhf. Lichtenberg<> Dimitroffstrasse,46,Ost ,15
17,197118,1971,39,bus ,"Wartenberg, Siedlung<> Falkenberger Strasse",13,Ost ,0
18,197119,1971,40,bus ,Ostbahnhof<> Robert-Koch-Platz,20,Ost ,0
19,197120,1971,42,bus,Buch<> Ostseestrasse,31,Ost,10
20,197121,1971,43,bus,"Marzahner Chaussee, Springpfuhl<> S-Bf. Nöldnerplatz",32,Ost,10
21,197122,1971,44,bus,"Hönow, Dorfstrasse<> S-Bhf. Mahlsdorf",12,Ost,30
22,197123,1971,45,bus,"Wilhelmsruh, Schillerstrasse<> Weißensee, Schwarzelfenweg",39,Ost,6
23,197124,1971,47,bus,"Bhf. Schöneweide<> Treptow, Eichenstrasse",26,Ost,12
24,197125,1971,48,bus,Bhf. Schöneweide<> Bhf. Schöneweide,17,Ost,7
25,197126,1971,49,bus,"Bhf. Kaulsdorf, Bausdorfstrasse<> Bhf. Kaulsdorf, Bausdorfstrasse",14,Ost,20
26,197127,1971,50,bus,"Niederschönhausen, Rolandstrasse<> U-Bhf. Pankow (Vinetastrasse)",15,Ost,5
27,197128,1971,52,bus,"Pankow, Achtermannstrasse<> U-Bhf. Pankow",12,Ost,15
28,197129,1971,A1,bus,"Moabit, Waldstrasse Ecke Turmstrasse<> Lindenstrasse Ecke Müllerstrasse",57,West,12
29,197130,1971,A10,bus,Haselhorster Damm Ecke Gartenfelderstrasse<> Lupsteiner Weg,67,West,10
30,197131,1971,A11,bus,"Dahlem, Waldfriedhof<> U-Bhf. Alt-Mariendorf",42,West,10
31,197132,1971,A12,bus,Bernauerstrasse Ecke Gartenstrasse<> Hainbuchenstrasse Ecke Maximilian-Korso,57,West,15
32,197133,1971,A13,bus,Heiligensee<> Weinmeisterhornweg Ecke Wilhelmstrasse,57,West,15
33,197134,1971,A14,bus,Heiligensee Ecke Alt-Heiligensee<> Rügenerstrasse Ecke Brunnenstrasse,55,West,15
34,197135,1971,A14E,bus,Alt-Heiligensee<> Falkenplatz,9,West,30
35,197136,1971,A15,bus,"Wittenauer Strasse Ecke Eichhorsterweg<> Frohnau, Invalidensiedlung",55,West,20
36,197137,1971,A16,bus,Osloer Strasse Ecke Koloniestrasse<> Englerallee,58,West,15
37,197138,1971,A17,bus,"Grunewald, Fontanestrasse<> Celsiusstrasse",53,West,10
38,197139,1971,A18,bus,U-Bhf. Oskar-Helene-Heim<> Machnowerstrasse Ecke Königsweg,33,West,20
39,197140,1971,A19,bus,Roseneck<> Flughafen,39,West,10
40,197141,1971,A2,bus,U-Bhf. Friedrich-Wilhelm-Platz<> Waldsassener Strasse Ecke Ahrensdorfer Strasse,31,West,10
41,197142,1971,A20,bus,"Tegelort, Almazeile<> Lübars, Alt-Lübars",40,West,15
42,197143,1971,A21,bus,"Quickborner Strasse, Märkische Viertel<> Fehrbelliner Platz",56,West,15
43,197144,1971,A22,bus,Kurt-Schumacher-Platz<> Wittenauer Strasse Ecke Eichhorster Weg,27,West,15
44,197145,1971,A23,bus,Hardenbergplatz<> Buolstrasse Ecke Rohrdamm,46,West,10
