Column,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
0,4. Ring,bus,['A53'],"52.42250630689789, 13.2869490566549",nan,A53+ A53+ A53+ ['A53'],4. Ring+ 4. Ring+ 4. Ring+ nan
1,Aalemannufer,bus,['A97'],"52.573301564012375, 13.21256902162699",,,
2,Adalbertstrasse,bus,"['18', '16']","52.50548699996121, 13.42221404498021",nan,"A1P+ ['A18']+ ['75', '78']",nan+ nan+ nan
3,Adamstrasse,bus,['A34'],"52.521029117218866, 13.19780699419913",nan,"A35,A34+ A34,A35+ A34,A35+ ['35', '97', '34']",Adamstrasse Ecke Pichelsdorfer Strasse+ Adamstrasse Ecke Pichelsdorfer Strasse+ Adamstrasse Ecke Pichelsdorfer Strasse+ nan
4,Adamstrasse Ecke Földerichstrasse,bus,['A35'],"52.52102086498055, 13.194032268450048",,,
5,Adlershof,s-bahn,"['KBS 140', 'KBS 110', 'KBS 141', 'KBS 115']","52.434722222222,13.541388888889",Q323551,"['KBS 100a', 'KBS 100c']+ ['KBS 100a', 'KBS 103']+ ['KBS 100a', 'KBS 103']+ KBS 103,KBS 100a+ KBS 103,KBS 100a,KBS 106+ KBS 106a,KBS 103,KBS 103a+ ['KBS 103', 'KBS 103a', 'KBS 106a', 'KBS 105']+ ['110', '140', '141', '115']",nan+ nan+ nan+ Berlin-Adlershof station+ Berlin-Adlershof station+ Berlin-Adlershof station+ nan+ nan
6,Afrikanische Str. (Friedrich-Ebert-Siedlung),u-bahn,['6'],"52.560027777778,13.334633333333",Q559239,['6'],nan
7,Afrikanischestrasse Ecke Seestrasse,bus,['A89'],"52.54623694310499, 13.343930832086308",nan,['A89'],nan
8,"Ahrensfeld, Kirche",bus,['L/41'],"52.57532170199278, 13.576515606968998",nan,A46+ A46+ A46+ ['A46'],"Ahrensfeld, Kirche+ Ahrensfeld, Kirche+ Ahrensfeld, Kirche+ nan"
9,Akademie der Wissenschaften,bus,['51/B'],"52.6361286884856, 13.501898618531815",nan,['51B']+ ['51'],nan+ nan
10,Alboinplatz,bus,['A74'],"52.46105995730699, 13.369787146273511",nan,['74'],nan
