,stop_id,stop_name,type,location,in_lines,identifier
0,19710,4. Ring,bus,"52.42250630689789, 13.2869490566549",['A53'],nan
1,19711,Aalemannufer,bus,"52.573301564012375, 13.21256902162699",['A97'],nan
2,19712,Adalbertstrasse,bus,"52.50548699996121, 13.42221404498021","['18', '16']",nan
3,19713,Adamstrasse,bus,"52.521029117218866, 13.19780699419913",['A34'],nan
4,19714,Adamstrasse Ecke Földerichstrasse,bus,"52.52102086498055, 13.194032268450048",['A35'],nan
5,19715,Adlershof,s-bahn,"52.434722222222,13.541388888889","['KBS 140', 'KBS 110', 'KBS 141', 'KBS 115']",Q323551
6,19716,Afrikanische Str. (Friedrich-Ebert-Siedlung),u-bahn,"52.560027777778,13.334633333333",['6'],Q559239
7,19717,Afrikanischestrasse Ecke Seestrasse,bus,"52.54623694310499, 13.343930832086308",['A89'],nan
8,19718,"Ahrensfeld, Kirche",bus,"52.57532170199278, 13.576515606968998",['L/41'],nan
9,19719,Akademie der Wissenschaften,bus,"52.6361286884856, 13.501898618531815",['51/B'],nan
10,197110,Alboinplatz,bus,"52.46105995730699, 13.369787146273511",['A74'],nan
11,197111,Alboinstrasse Ecke Sachsenstrasse,bus,"52.46985636940087, 13.37221719273455",['A74'],nan
12,197112,Albrechtstrasse,bus,"52.52326162787168, 13.383794910016247",['18'],"nan+nan, nan"
13,197113,Alexanderplatz,bus,"52.52005246558073, 13.413957243449447","['57', '18', '16']",Q65548996+nan
14,197114,Alexanderplatz,s-bahn,"52.521388888889,13.411944444444","['KBS 105', 'KBS 110', 'KBS 143', 'KBS 100', 'KBS 115']",Q111324700
15,197115,Alexanderplatz,u-bahn,"52.5214,13.4119","['E', 'A']",Q17173458
16,197116,"Alexanderplatz, Memhardstrasse",strassenbahn,"52.5233439,13.4110773",['69'],Q65227406
17,197117,Almutstrasse Ecke Berlinerstrasse,bus,"52.61484859496036, 13.317090157101475",['A12'],nan
18,197118,Alt-Buckow Ecke Buckower Damm,bus,"52.42365120067525, 13.436635949176258",['A78'],nan
19,197119,Alt-Friedrichsfelde,bus,"52.51072943298707, 13.504877027235766",['53'],nan
20,197120,Alt-Friedrichsfelde Ecke Am Tierpark,strassenbahn,"52.50914093654053, 13.518129930582422",['69'],nan
21,197121,Alt-Heiligensee,bus,"52.60616921042186, 13.210646859320935",['A14E'],nan
22,197122,Alt-Karow,bus,"52.60931228539711, 13.481265848599735","['42', '31']",nan
23,197123,Alt-Kladow,bus,"52.454591413254434, 13.144488043956764",['A34'],nan
24,197124,Alt-Kladow Ecke Kladowerdamm,bus,"52.4534507839138, 13.143940237573299",['A35'],nan
25,197125,"Alt-Lankwitz, Dorfaue",bus,"52.43908382575332, 13.354417745001864",['A81'],nan
26,197126,Alt-Lichtenrade Ecke Goethestrasse,bus,"52.404390044430414, 13.406152459156118",['A82'],nan
27,197127,Alt-Mahlsdorf,strassenbahn,"52.5051992,13.6133347",['83'],Q66364530
28,197128,Alt-Mariendorf,u-bahn,"52.4391,13.3877",['6'],Q262168
29,197129,Alt-Mariendorf Ecke Am Heidefriedhof,bus,"52.44081073153032, 13.391780012949221",['A81'],nan
30,197130,Alt-Marienfelde Ecke Marienfelder Allee,bus,"52.4136021515511, 13.363298817592286","['A52', 'A32']",nan
31,197131,Alt-Marienfelde Ecke Marienfelderallee,bus,"52.41357787421618, 13.363330517921128",['A11'],nan
32,197132,Alt-Marzahn,bus,"52.542116682742, 13.563854841402105",['37'],nan
33,197133,Alt-Moabit Ecke Gotzkowskystrasse,bus,"52.52377875537158, 13.329735095213607",['A90'],"nan, nan"
34,197134,Alt-Moabit Ecke Paulstrasse,bus,"52.5236531216349, 13.356947166921918",['A24'],nan
35,197135,"Alt-Reinickendorf, Klemkestrasse Ecke Kopenhagenerstrasse",bus,"52.574256376916765, 13.359170017495833",['A72'],nan
36,197136,Alt-Schmöckwitz,strassenbahn,"52.3752767,13.649549",['86'],Q66459540
37,197137,Alt-Stralau,bus,"52.49250215076991, 13.477901745330643",['34'],nan
38,197138,Alt-Tempelhof,u-bahn,"52.465952777778,13.385897222222",['6'],Q559212
39,197139,Alt-Wittenau Ecke Eichborndamm,bus,"52.59187977745068, 13.32645957736823","['A21', 'A15']",nan
40,197140,Alt-Wittenau Ecke Oranienburgerstrasse,bus,"52.58969312574067, 13.334180930412149",['A62'],nan
41,197141,Altglienicke,s-bahn,"52.4073,13.5588","['KBS 140', 'KBS 115']",Q4736651
42,197142,"Altglienicke, Kirche",bus,"52.421845729296805, 13.539407702079252",['23'],nan
43,197143,"Altglienicke, Kirche",strassenbahn,"52.421845729296805, 13.539407702079252",['84'],nan
44,197144,"Altglienicke, Schönefelder Chaussee",bus,"52.41855858218425, 13.537270832952125",['23'],nan
45,197145,Am Falkenberg,strassenbahn,"52.41079970042163, 13.570452931545786",['84'],nan
46,197146,Am Großen Wannsee Ecke Königsstrasse,bus,"52.4205011149842, 13.167199951771506",['A66'],nan
47,197147,Am Großen Wannsee Ecke Königstrasse,bus,"52.420496581432594, 13.167192967572669",['A3'],nan
48,197148,Am Kupfergraben,strassenbahn,"52.5194208,13.3953839","['22', '46', '71', '70']",Q65055027
49,197149,Am Nordhafen,bus,"52.53868315849872, 13.363248409190426",['A90'],nan
50,197150,Am Pilz,bus,"52.64251497264632, 13.300908054411988",['A15'],nan
51,197151,Am Rosenhag,bus,"52.52474356253909, 13.621775828105108",['44E'],nan
52,197152,Am Steinberg,bus,"52.55648144940878, 13.429306764151775",['45'],nan
53,197153,Am Tierpark,bus,"52.50960268197341, 13.518977597557999","['43', '35', '37', '8']",nan
54,197154,Am Treptower Park Ecke Elsenstrasse,strassenbahn,"52.4917648672198, 13.457703881892664",['87'],nan
55,197155,Am Vierrutenberg,bus,"52.613535544271876, 13.343827205969221",['A20'],nan
56,197156,Amrumer Str. (Rudolf-Virchow-Krankenhaus),u-bahn,"52.5425,13.350277777778",['9'],Q557577
57,197157,Amtsgericht,bus,"52.50682617853116, 13.297391449613752","['A94', 'A66', 'A10', 'A21', 'A92']",nan
58,197158,Anhalter Bahnhof,s-bahn,"52.503055555556,13.381944444444","['KBS 154', 'KBS 153', 'KBS 152']",Q111324573
59,197159,Annenstrasse,bus,"52.50661086998676, 13.417803115980485","['18', '16']",nan
60,197160,Antonplatz,strassenbahn,"52.5484803,13.4517416","['74', '70', '73', '72', '3', '75']",Q65548849
61,197161,Argentinische Allee Ecke Matterhornstrasse,bus,"52.43687625139372, 13.231432320777976",['A53'],nan
62,197162,Arkonaplatz,bus,"52.53753415367688, 13.401767623579223",['16'],nan
63,197163,Arnswalder Platz,strassenbahn,"52.5342216,13.4371245","['4', '13']",Q65707667
64,197164,Aroser Allee Ecke Lindauerallee,bus,"52.57375413056441, 13.35199910931917","['A61', 'A14']",nan
65,197165,Askanierring,bus,"52.54583446317149, 13.19375616188106",['A34'],nan
66,197166,Askanischer Platz,bus,"52.50447796179715, 13.38228227112231",['A24'],nan
67,197167,Askanischer Platz,bus,"52.50447897041404, 13.382295467838158","['A29', 'A75']",nan
68,197168,Attilaplatz,bus,"52.45590179888225, 13.376512495751076","['A68', 'A96', 'A25']",nan
69,197169,Attilastrasse Ecke Gersdorferstrasse,bus,"52.44968867870124, 13.366818238390186",['A76'],nan
70,197170,Augsburger Str.,u-bahn,"52.500556,13.336389",['2'],Q667035
71,197171,Bahnhof Friedrichstr. (Stadtbahn),u-bahn,"52.520111111111,13.388305555556",['6'],Q3753274
72,197172,Bahnhof Lichtenberg,u-bahn,"52.510556,13.496389",['E'],Q3831986
73,197173,Bahnhof Wedding,u-bahn,"52.5425,13.366111",['6'],Q4018733
74,197174,Bahnhofstrasse Ecke Lindenstrasse,bus,"52.45096281111, 13.572146868709519",['27'],nan
75,197175,Bahnhofstrasse Ecke Lindenstrasse,strassenbahn,"52.4505094,13.572684","['87', '84']",Q66095701
76,197176,Barnetstrasse Ecke Halker Zeile,bus,"52.394463314120856, 13.401552919137444",['A82'],nan
77,197177,Baumschulenstrasse Ecke Köpenicker Landstrasse,strassenbahn,"52.46911904990173, 13.491364972283247",['95'],nan
78,197178,Baumschulenweg,Fähre,"52.471902047468866, 13.494764218354444",['291'],nan
79,197179,Baumschulenweg,s-bahn,"52.4675,13.489722","['KBS 110', 'KBS 141', 'KBS 142', 'KBS 140', 'KBS 115']",Q324336
80,197180,Bautzener Strasse Ecke Yorckstrasse,bus,"52.49265331044414, 13.370954942054576",['A19'],nan
81,197181,Bayerischer Platz,u-bahn,"52.488333333333,13.340277777778","['4', '7']",Q668574
82,197182,Bayreuther Strasse Ecke Kurfürstenstrasse,bus,"52.50431823032154, 13.344357205819867",['A69'],nan
83,197183,Beeskowdamm Ecke Teltowerdamm,bus,"52.40897629863205, 13.26737851553465",['A1'],nan
84,197184,Behring-Krankenhaus,bus,"52.42410894567823, 13.251764544509987",['A10'],nan
85,197185,Bellevue,s-bahn,"52.52,13.348055555556","['KBS 157', 'KBS 156']",Q374018
86,197186,Belßstrasse Ecke Malteserstrasse,bus,"52.42913175860308, 13.354643221492394","['A83', 'A32']",nan
87,197187,Bergfelde (b Bln),s-bahn,"52.6702,13.3203",['KBS 140'],Q4891640
88,197188,Bergstrasse Ecke Torwaldsenstrasse,bus,"52.459125690917176, 13.347734087971094",['A83'],nan
89,197189,Berkaer Strasse Ecke Breitestrasse,bus,"52.47542198905493, 13.29028401578501",['A60'],nan
90,197190,Berkaer Strasse Ecke Teplitzerstrasse,bus,"52.48211582945816, 13.28117555753196",['A29'],nan
91,197191,Berliner Strasse,u-bahn,"52.487222222222,13.330833333333","['7', '9']",Q637739
92,197192,Berliner Strasse Ecke Suermondtstrasse,strassenbahn,"52.54900402056681, 13.501740363652805",['70'],nan
93,197193,Berliner Strasse Ecke Uhlandstrasse,bus,"52.48646943337342, 13.32251322728172",['A60'],nan
94,197194,Berliner Strasse Ecke Unter den Eichen,bus,"52.44190336030053, 13.282745145492171",['A10'],nan
95,197195,Berlinickeplatz,bus,"52.46607292094852, 13.378516406213421","['A96', 'A73']",nan
96,197196,Berlinickestrasse,bus,"52.456112285980474, 13.323909362999927",['A33'],nan
97,197197,Bernau (b Bln),s-bahn,"52.6763,13.5931",['KBS 141'],Q479789
98,197198,Bernauer Strasse Ecke Berlinerstrasse,bus,"52.57630801212322, 13.294727707293017",['A13'],nan
99,197199,Bernauerstrasse Ecke Gartenstrasse,bus,"52.53343779711892, 13.387504723908156",['A12'],nan
100,1971100,Bernkastelerstrasse,strassenbahn,"52.55700474140414, 13.467005851524313",['75'],nan
101,1971101,Bersarinstrasse,strassenbahn,"52.5259343,13.4462368",['74'],Q65553230
102,1971102,Betriebsbhf. Rummelsburg,s-bahn,"52.4939,13.4978",['KBS 105'],Q829009
103,1971103,Betriebsbhf. Schöneweide,s-bahn,"52.44676,13.52391","['KBS 140', 'KBS 110', 'KBS 141', 'KBS 115']",Q4526101
104,1971104,Beusselstr.,s-bahn,"52.534444444444,13.329166666667","['KBS 150', 'KBS 158']",Q323219
105,1971105,Beusselstrasse Ecke Seestrasse,bus,"52.53817989911527, 13.326092760688702",['A89'],nan
106,1971106,Bf.Karlshorst,strassenbahn,"52.481331,13.5254433",['17'],Q65952829
107,1971107,Bf.Lichtenberg,strassenbahn,"52.511250083190305, 13.499453104242638",['17'],nan
108,1971108,Bf.Schöneweide,strassenbahn,"52.45640818289644, 13.509916574756422",['17'],nan
109,1971109,Bhf. Friedrichstrasse,bus,"52.5205606637086, 13.388231915342985","['59', '57', '18']",nan
110,1971110,Bhf. Friedrichstrasse,strassenbahn,"52.5192805,13.3884107","['22', '46', '70']",Q65095382
111,1971111,"Bhf. Kaulsdorf, Bausdorfstrasse",bus,"52.513154384485595, 13.590937789889518",['49'],nan
112,1971112,Bhf. Lichtenberg,bus,"52.5112875601879, 13.499591119128855","['30', '37']",nan
113,1971113,Bhf. Lichtenberg,strassenbahn,"52.5123603,13.4977547",['69'],Q66013733
114,1971114,Bhf. Schönefeld,bus,"52.38192403313463, 13.511545079208773",['36'],nan
115,1971115,Bhf. Schöneweide,bus,"52.45374952013775, 13.510200397684477","['26', '65', '47', '48']",nan
116,1971116,Bhf. Schöneweide,strassenbahn,"52.45640818289644, 13.509916574756422","['85', '69', '95', '87', '21']",nan
117,1971117,"Bhf. Zoo, Hardenbergplatz",bus,"52.506961767508, 13.333080958799588",['A90'],nan
118,1971118,Bhf.Karlshorst,strassenbahn,"52.481331,13.5254433",['19'],Q65952829
119,1971119,Bhf.Lichtenberg,strassenbahn,"52.511250083190305, 13.499453104242638",['19'],nan
120,1971120,Biesdorf,s-bahn,"52.5131,13.5554",['KBS 100'],Q4892357
121,1971121,Birkbuschstrasse,bus,"52.449324076994074, 13.324073234408644",['A86'],nan
122,1971122,Birkenstr.,u-bahn,"52.532222222222,13.341388888889",['9'],Q555998
123,1971123,Birkenstrasse Ecke Perlebergerstrasse,bus,"52.53079514810484, 13.347236521814704",['A16'],nan
124,1971124,Birkenwerder,s-bahn,"52.6885,13.2888",['KBS 140'],Q2343634
125,1971125,Bismarckplatz,bus,"52.492064537089135, 13.28493897027407",['A29'],nan
126,1971126,Bismarckstrasse,bus,"52.51151302872893, 13.305218972850954",['A89'],nan
127,1971127,Bismarckstrasse Ecke Albrechtstrasse,bus,"52.451041676452135, 13.337951596673708","['A32', 'A17']",nan
128,1971128,Bismarckstrasse Ecke Bergstrasse,bus,"52.45863794281251, 13.339298022918376","['A68', 'A81']",nan
129,1971129,Bismarckstrasse Ecke Feuerbachstrasse,bus,"52.46451202484802, 13.338933433636415",['A76'],nan
130,1971130,Bismarckstrasse Ecke Steglitzer Damm,bus,"52.45103871422625, 13.337949524239141","['A33', 'A75']","nan, nan"
131,1971131,Bismarcktrasse Ecke Feuerbachstrasse,bus,"52.464518416712124, 13.338951404956155",['A2'],nan
132,1971132,Björnsonstrasse,strassenbahn,"52.5544232,13.4030585",['3'],Q65920495
133,1971133,Blankenburg,bus,"52.5814876422036, 13.445171400473535",['42'],nan
134,1971134,Blankenburg,bus,"52.591378021706056, 13.45353759854294",['31'],nan
135,1971135,Blankenburg,s-bahn,"52.5915,13.4435","['KBS 141', 'KBS 142', 'KBS 140', 'KBS 143']",Q800469
136,1971136,"Blankenfelde, Hauptstrasse",bus,"52.63002534735451, 13.38262328371393",['7'],nan
137,1971137,Blaschkoallee,u-bahn,"52.451944444444,13.449444444444",['7'],Q666911
138,1971138,Blaschkoallee Ecke Buschkrugallee,bus,"52.45253617529973, 13.452185710736664",['A67'],nan
139,1971139,Blissestrasse,u-bahn,"52.486666666667,13.321944444444",['7'],Q571397
140,1971140,Blohmstrasse Ecke Illigstrasse,bus,"52.389006433128735, 13.385624567347648","['A82', 'A76']",nan
141,1971141,Blumenstrasse,strassenbahn,"52.44907887643158, 13.760106955990562",['S-Bhf. Rahnsdorf <> Woltersdorfer Schleuse (VEB Woltersdorf)'],nan
142,1971142,Boddinstr.,u-bahn,"52.48,13.425277777778",['8'],Q819495
143,1971143,"Bohnsdorf, Kirche",bus,"52.39948771402893, 13.555574431978044",['36'],nan
