Column,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
576,Oranienburger Tor,bus,['A40'],"52.52716314203455, 13.38710905184874",,"['A9', 'O40']+ O40+ O40,A9+ A9,O40,A59","+ Oranienburger Tor, Hannoversche Strasse/Torstrasse+ Oranienburger Tor, Hannoversche Strasse/Torstrasse+ Oranienburger Tor, Hannoversche Strasse/Torstrasse"
577,Oranienburger Tor,strassenbahn,"['46', '1', '70']","52.5256031,13.3872745",Q65095375,"['46', '11', '70', '69', '1']+ 70,69,46+ 46,70,11,1+ 11,1,70,46,69",U Oranienburger Tor+ U Oranienburger Tor+ U Oranienburger Tor
578,Oranienburger Tor,u-bahn,['C I'],"52.524886111111,13.387477777778",Q571485,"['C I']+ C I,C II",Oranienburger Tor metro station
579,Oranienburgerstrasse Ecke Hauptstrasse,bus,"['A12', 'A14']","52.58969044372097, 13.334199973833837",,,
580,Orankestrasse,strassenbahn,['64'],"52.544048109588445, 13.492293861074563",,['64'],
581,Oskar-Helene-Heim,u-bahn,['A II'],"52.450277777778,13.269722222222",Q681336,"['A II']+ B II,A II+ A II,B II+ A II",Oskar-Helene-Heim metro station+ Oskar-Helene-Heim metro station+ Oskar-Helene-Heim metro station
582,Oskarplatz,strassenbahn,['3'],"52.5570174,13.3659987",Q65767112,"['3', '35']",
583,Osloerstrasse Ecke Grüntalerstrasse,strassenbahn,['3'],"52.555331,13.3909979",Q65807452,,
584,Oslowerstrasse Ecke Schwedenstrasse,strassenbahn,['41'],"52.5567809592854, 13.373700854387844",,,
585,Osnabrückerstrasse Ecke Taurroggenerstrasse,strassenbahn,['3'],"52.52580610727766, 13.30190571033404",,,
586,Ossietzkyplatz,bus,['A7'],"52.58150700684141, 13.404249587640239",,['A7']+ A7,Ossietzkyplatz
587,Ostbahnhof,s-bahn,"['KBS 101', 'KBS 103', 'KBS 102']","52.51,13.4347",Q111325075,"['KBS 102', 'KBS 101', 'KBS 103']+ KBS 102,KBS 103,KBS 101+ KBS 101,KBS 103,KBS 102+ KBS 101,KBS 102,KBS 103,KBS 103a,KBS 104",S-Bahnhof Berlin Ostbahnhof+ S-Bahnhof Berlin Ostbahnhof+ S-Bahnhof Berlin Ostbahnhof
588,Ostkreuz,s-bahn,"['KBS 102', 'KBS 101', 'KBS 103', 'KBS 100']","52.5031,13.4689",Q111251530,"['KBS 100', 'KBS 103', 'KBS 103a', 'KBS 100c', 'KBS 102', 'KBS 101', 'KBS 100b']+ KBS 103,KBS 100,KBS 102,KBS 100c,KBS 103a,KBS 100b,KBS 101+ KBS 103a,KBS 106,KBS 101,KBS 103,KBS 102+ KBS 106a,KBS 101,KBS 102,KBS 103,KBS 103a,KBS 104,KBS 106",S-Bahnhof Ostkreuz+ S-Bahnhof Ostkreuz+ S-Bahnhof Ostkreuz
589,Ostseestrasse Ecke Prenzlauer Allee,bus,['A42'],"52.55116452216239, 13.430123120535931",,,
590,Pacellialle Ecke Im Dol,bus,['A1 (Obus)'],"52.46544699374904, 13.288567375747721",,,
591,Pacelliallee Ecke Königin-Luise-strasse,strassenbahn,['40'],"52.458241504510376, 13.287119612652985",,,
592,Pallasstrasse Ecke Potsdamerstrasse,strassenbahn,"['73', '88', '74']","52.49433490661493, 13.361066683851742",,['73']+ ['88'],
593,Pankow (Vinetastr.),u-bahn,['A I'],"52.559166666667,13.413333333333",Q570906,"['A I']+ A I,A II+ A+ A",Vinetastraße metro station+ Vinetastraße metro station+ Vinetastraße metro station
594,"Pankow, Elsa-Brandströmstrasse",bus,['A7'],"52.55986825294424, 13.413193853407195",,,
595,"Pankow, Kirche",bus,['A7'],"52.57124680898358, 13.410670715665145",,"A55,A45+ A55,A45+ A45,A55,A58","Pankow, Kirche+ Pankow, Kirche+ Pankow, Kirche"
596,"Pankow, Kirche",strassenbahn,"['49', '24', '46']","52.5706452,13.4103115",Q65055066,"['22', '49', '46']+ 46E,49,46,22+ 49,22+ 46,49,22",Pankow Kirche+ Pankow Kirche+ Pankow Kirche
597,"Pankow, Rathaus",bus,['A7'],"52.56953908840178, 13.404186437171612",,"['A7']+ A55,A45,A7+ A55,A45,A7+ A7,A45,A55,A58,A7E","+ Pankow, Rathaus+ Pankow, Rathaus+ Pankow, Rathaus"
598,"Pankow, Rathaus",strassenbahn,"['24', '23', '46']","52.5694816,13.4038045",Q65055060,"46E,46,22+ 46",Rathaus Pankow+ Rathaus Pankow
599,Pankow-Heinersdorf,s-bahn,['KBS 106'],"52.5780653,13.4295093",Q4892366,"['KBS 106', 'KBS 100b']+ KBS 106,KBS 100b+ KBS 106+ KBS 104,KBS 106",Berlin-Pankow-Heinersdorf station+ Berlin-Pankow-Heinersdorf station+ Berlin-Pankow-Heinersdorf station
