,line_id,year,line_name,type,start_stop,Length (time),Length (km),east_west,Frequency
0,19511,1951,1,strassenbahn,Hallesches Tor (Stresemannstrasse)<> Charlottenstrasse Ecke Unter den Linden,0,,both/unkown,12
1,19512,1951,2,strassenbahn,Werftstrasse Ecke Alt-Moabit<> Mansteinstrasse (Bhf. Großgörschenstrasse),0,,both/unkown,15
2,19513,1951,3,strassenbahn,Osloerstrasse Ecke Grüntalerstrasse<> Hermannplatz,0,,both/unkown,15
3,19514,1951,3,strassenbahn,"Osloerstrasse Ecke Grüntalerstrasse<> Treptow, Elsenstrasse",0,,both/unkown,20
4,19515,1951,4,strassenbahn,Strelitzerstrasse Ecke Bernauerstrasse<> Schlesisches Tor,0,,both/unkown,12
5,19516,1951,6,strassenbahn,Kurfürstendamm Ecke Joachimstalerstrasse<> Elsenstrasse Ecke Heidelbergerstrasse,0,,both/unkown,15
6,19517,1951,13,strassenbahn,Kraftwerk Klingenberg<> Leninallee Ecke Dimitroffstrasse,0,,both/unkown,16
7,19518,1951,14,strassenbahn,Bersarinplatz<> Scheffelstrasse Ecke Möllendorferstrasse,0,,both/unkown,17
8,19519,1951,15,strassenbahn,"Marienfelde, Daimlerstrasse<> Neukölln, Schulenburgpark",0,,both/unkown,15
9,195110,1951,21,strassenbahn,"Moabit, Wiebestrasse<> Friesenstrasse Ecke Schwiebusserstrasse",0,,both/unkown,115
10,195111,1951,23,strassenbahn,"Rosenthal, Quickbornerstrasse<> Augustenburger Platz (Virchow-Krankenhaus)",0,,both/unkown,15
11,195112,1951,24,strassenbahn,"Buchholz, Hauptstrasse<> Rügenerstrasse Ecke Brunnenstrasse",0,,both/unkown,15
12,195113,1951,25,strassenbahn,"Tegel, Alt-Tegel<> Schöneberg, Gotenstrasse",0,,both/unkown,15
13,195114,1951,26,strassenbahn,"Görlitzer Bhf., Spreewaldplatz<> Wilhelm-Borgmann Brücke",0,,both/unkown,15
14,195115,1951,27,strassenbahn,"Neukölln, Hermannplatz<> Buckow-West, Alt-Buckow",0,,both/unkown,15
15,195116,1951,28,strassenbahn,"Tegelort, Kurzestrasse<> Rügenesrstrasse Ecke Brunnenstrasse",0,,both/unkown,30
16,195117,1951,29,strassenbahn,"Heiligensee, Dorfaue<> Rügenesrstrasse Ecke Brunnenstrasse",0,,both/unkown,30
17,195118,1951,35,strassenbahn,"Siemensstadt (Verwaltungsgebäude)<> Wilhelmsruh, Hauptstrasse",0,,both/unkown,15
18,195119,1951,36,strassenbahn,"Wilhelmsruh, Hauptstrasse<> Rügenerstrasse Ecke Brunnenstrasse",0,,both/unkown,15
19,195120,1951,40,strassenbahn,"Dahlem, Clayallee<> Steglitz, Birkbuschstrasse Ecke Siemensstrasse",0,,both/unkown,15
20,195121,1951,41,strassenbahn,"Tegel, Alt-Tegel<> Rügenerstrasse Ecke Brunnenstrasse",0,,both/unkown,15
21,195122,1951,44,strassenbahn,"Sandkrugbrücke, Lehrter Bahnhof<> Birkbuschstrasse Ecke Siemensstrasse",0,,both/unkown,17
22,195123,1951,46,strassenbahn,"Nordend, Kaiser-Wilhelm-Strasse<> Dönhoffplatz",0,,both/unkown,15
23,195124,1951,47,strassenbahn,"Hermannplatz<> Rudow, Stadtgrenze",0,,both/unkown,12
24,195125,1951,49,strassenbahn,"Buchholz, Hauptstrasse<> Große Präsidentenstrasse",0,,both/unkown,15
25,195126,1951,51,strassenbahn,Roseneck<> Bhf. Zoo,0,,both/unkown,15
26,195127,1951,54,strassenbahn,"Spandau, Johannesstift<> U-Bhf. Richard-Wagner-Platz, Wintersteinstrasse",0,,both/unkown,20
27,195128,1951,55,strassenbahn,"Spandau, Nauener Strasse<> Kurfürstendamm v. Marmorhaus",0,,both/unkown,15
28,195129,1951,57,strassenbahn,Emser Platz<> Roseneck,0,,both/unkown,10
29,195130,1951,60,strassenbahn,"Königin-Elisabeth-Strasse Ecke Kaiserdamm<> Lindenhof, Eythstrasse",0,,both/unkown,15
30,195131,1951,64,strassenbahn,"Hohenschönhausen, Falkenberger Strasse<> Dönhoffplatz, Krausenstrasse",0,,both/unkown,15
31,195132,1951,65,strassenbahn,"Hackescher Markt<> Loeperplatz, Scheffelstrasse",0,,both/unkown,15
32,195133,1951,66,strassenbahn,"Schöneberg, Belzigerstrasse (Straßenbahnhof)<> Schöneberg, Thorwaldsenstrasse (August-Viktoria-Krankenhaus",0,,both/unkown,15
33,195134,1951,68,strassenbahn,"Wittenau, Nordbahn<> Nettelbeckplatz",0,,both/unkown,15
34,195135,1951,69,strassenbahn,Hackescher Markt<> Wilhelminenhofstrasse Ecke Edisonstrasse,0,,both/unkown,16
35,195136,1951,70,strassenbahn,"Weißensee, Buschallee<> Kupfergraben",0,,both/unkown,12
36,195137,1951,71,strassenbahn,"Heinersdorf, Helgestrasse<> Jüdenstrasse, Rathaus",0,,both/unkown,10
37,195138,1951,72,strassenbahn,"Weißensee, Rennbahnstrasse Ecke Parkstrasse<> Charlottenstrasse Ecke Taubenstrasse",0,,both/unkown,10
38,195139,1951,73,strassenbahn,"Bhf. Lichterfelde-Ost<> Rennbahnstrasse, Weißensee",0,,both/unkown,20
39,195140,1951,74,strassenbahn,"Lichtefelde, Finckensteinallee<> Rennbahnstrasse, Weißensee",0,,both/unkown,20
40,195141,1951,75,strassenbahn,Spandau Hakenfelde<> Bhf. Zoo,0,,both/unkown,10
41,195142,1951,76,strassenbahn,Hundekehle über Königsallee<> Anhalter Bhf.,0,,both/unkown,20
42,195143,1951,76E,strassenbahn,Hundekehlenstrasse Ecke Teplitzerstrasse<> Nollendorfplatz,0,,both/unkown,15
43,195144,1951,77,strassenbahn,"Bhf. Zoo<> Lichterfelde, Goerzallee",0,,both/unkown,20
44,195145,1951,78,strassenbahn,"Lichterfelde-Süd, Lindenstrasse<> Bhf. Zoo",0,,both/unkown,15
45,195146,1951,82,strassenbahn,Breitestrasse Ecke Mühlendamm<> Alt-Stralau,0,,both/unkown,20
46,195147,1951,83,strassenbahn,Wendenschloß Ecke Ekhofstrasse<> S-Bhf. Mahlsdorf,0,,both/unkown,25
47,195148,1951,84,strassenbahn,"Bhf. Friedrichshagen<> Alt-Glienicke, Am Falkenberg",0,,both/unkown,20
48,195149,1951,86,strassenbahn,"Mahlsdorf-Süd, Hubertus<> Alt-Schmöckwitz",0,,both/unkown,20
49,195150,1951,87,strassenbahn,"Dönhoffplatz, Krausenstrasse<> Rahnsdorf (Mühle)",0,,both/unkown,25
50,195151,1951,88,strassenbahn,"Steglitz, Stadtpark<> Wiener Brücke",0,,both/unkown,15
51,195152,1951,91,strassenbahn,"Treptow, Rathaus<> Friedrichstrasse, Johannisthal",0,,both/unkown,20
52,195153,1951,92,strassenbahn,"Dönhoffplatz, Krausenstrasse<> Bhf. Oberspree, Sedanstrasse",0,,both/unkown,20
53,195154,1951,95,strassenbahn,"Attilaplatz<> Köpenick, Krankenhaus",0,,both/unkown,15
54,195155,1951,96,strassenbahn,Machnower Schleuse<> Bhf. Tempelhof,0,,both/unkown,20
55,195156,1951,98,strassenbahn,U-Bhf. Tempelhof<> Daimlerstrasse Ecke Birnhornweg,0,,both/unkown,15
56,195157,1951,99,strassenbahn,Mehringplatz/Hallesches Tor<> Bhf. Lichtenrade,0,,both/unkown,15
57,195158,1951,76E,strassenbahn,Hundekehle über Königsallee<> Nollendorfplatz,0,,both/unkown,10
58,195159,1951,A I,u-bahn,Pankow (Vinetastr.)<> Ruhleben,0,,both/unkown,10
59,195160,1951,A II,u-bahn,Wittenbergplatz<> Krumme Lanke,0,,both/unkown,10
