,stop_id,stop_name,type,location,in_lines,identifier
0,19510,Adamstrasse Ecke Wilhelmstrasse,bus,"52.5210974258045, 13.187990320264987",['A13'],nan
1,19511,Adlershof,s-bahn,"52.434722222222,13.541388888889","['KBS 100a', 'KBS 103']",Q323551
2,19512,"Adlershof, Oppenbrücke (Benzolwerk)",strassenbahn,"52.42607491619971, 13.555219462749426",['84'],nan
3,19513,Alboinstrasse Ecke Schönebergerstrasse,strassenbahn,"52.4698434808757, 13.372061552266187",['6'],nan
4,19514,Albrechtshof,s-bahn,"52.5494,13.1283",['KBS 103'],Q800470
5,19515,Alexanderplatz,s-bahn,"52.521388888889,13.411944444444","['KBS 101', 'KBS 103', 'KBS 102']",Q111324700
6,19516,Alexanderplatz,strassenbahn,"52.5219449,13.4143847",['1'],Q65548996
7,19517,Alexanderplatz,u-bahn,"52.5214,13.4119","['A I', 'D', 'E']",Q17173458
8,19518,"Alexanderplatz, Grunerstrasse",strassenbahn,"52.52008326268696, 13.41408418961877","['73', '71', '72', '74']",nan
9,19519,"Alexanderplatz, Grunestrasse",strassenbahn,"52.52008326268696, 13.41408418961877",['64'],nan
10,195110,"Alexanderplatz, Neue Königsstrasse",strassenbahn,"52.52208108570033, 13.416386259940168","['69', '65']",nan
11,195111,"Alt-Blankenburg, Kirche",bus,"52.59331569949531, 13.453672869643954",['A42'],nan
12,195112,"Alt-Buch, Kirche",bus,"52.63517918139864, 13.498694001682974",['A42'],nan
13,195113,"Alt-Glienicke, Am Falkenberg",strassenbahn,"52.418565185694725, 13.54870199909426",['84'],nan
14,195114,"Alt-Karow, Kirche",bus,"52.612016271884954, 13.483134353282757",['A42'],nan
15,195115,"Alt-Kladow, Kladow",bus,"52.452286936783146, 13.148573109235501",['A34'],nan
16,195116,Alt-Kladow/Postamt,bus,"52.45329658628831, 13.143672713561154",['A6'],nan
17,195117,Alt-Mariendorf Ecke Mariendorfer Damm,strassenbahn,"52.440183277735734, 13.387302593017989",['99'],nan
18,195118,"Alt-Marzahn, Kirche",bus,"52.542423454435976, 13.564061751343658",['A37'],nan
19,195119,Alt-Schmöckwitz,strassenbahn,"52.3752767,13.649549",['86'],Q66459540
20,195120,Alt-Stralau,strassenbahn,"52.49468919413395, 13.469335878032831",['82'],nan
21,195121,Alt-Tegel,strassenbahn,"52.58996564977717, 13.283262344042182","['29', '28']",nan
22,195122,Alt-Tempelhof Ecke Manteuffelstrasse,strassenbahn,"52.46634095404091, 13.37810810086383",['95'],nan
23,195123,Alt-Tempelhof Ecke Tempelhofer Damm,strassenbahn,"52.46570700613851, 13.385583393690512","['99', '98', '96']",nan
24,195124,Am Knie,bus,"52.512731625753695, 13.321879176786634",['A2'],nan
25,195125,Am Pilz,bus,"52.64251497264632, 13.300908054411988",['A12'],nan
26,195126,Am Vierrutenberg,bus,"52.613535544271876, 13.343827205969221",['A35'],nan
27,195127,Amtsgericht,strassenbahn,"52.50682617853116, 13.297391449613752",['75'],nan
28,195128,Amtsgerichtsplatz,strassenbahn,"52.50684966542204, 13.295305350985814",['60'],nan
29,195129,Andreasplatz,strassenbahn,"52.515147470791824, 13.431936833016952",['1'],nan
30,195130,Anhalter Bahnhof,s-bahn,"52.503055555556,13.381944444444","['KBS 105', 'KBS 104', 'KBS 105b', 'KBS 106']",Q111324573
31,195131,Anhalter Bahnhof,strassenbahn,"52.50453275122, 13.382326534592197",['88'],nan
32,195132,Anhalter Bhf.,strassenbahn,"52.50449054956299, 13.382289924849571","['76', '21']",nan
33,195133,Antonplatz,strassenbahn,"52.5484803,13.4517416","['73', '74', '70', '72']",Q65548849
34,195134,"Arnswalder Platz, Elbingerstrasse",bus,"52.53376530892205, 13.438121296337357",['A9'],nan
35,195135,Attilaplatz,strassenbahn,"52.455498340147045, 13.375619638525905","['95', '96']",nan
36,195136,Augustenburger Platz,bus,"52.542186362228115, 13.34942313975666",['A16'],nan
37,195137,Augustenburger Platz (Virchow-Krankenhaus),strassenbahn,"52.54262309891454, 13.350809060614289",['23'],nan
38,195138,Ausstellungshallen,strassenbahn,"52.506444118860614, 13.282481087316041",['75'],nan
39,195139,Babelsberg,s-bahn,"52.3914,13.0928",['KBS 102'],Q801326
40,195140,Badewiese Ecke Kladower Damm,bus,"52.47885441421296, 13.179170959997965",['A34'],nan
41,195141,Badstrasse Ecke Pankstrasse,strassenbahn,"52.55227848989899, 13.381428333797949","['36', '23']",nan
42,195142,Bahnhof Wedding,u-bahn,"52.5425,13.366111",['C I'],Q4018733
43,195143,Bahnhofstrasse Ecke Lindenstrasse,bus,"52.45096281111, 13.572146868709519",['A27'],nan
44,195144,Baselerstrasse,strassenbahn,"52.43778761993494, 13.295382291568542",['77'],nan
45,195145,Baumschulenstrasse,strassenbahn,"52.469081846595664, 13.491329912138305",['91'],nan
46,195146,Baumschulenstrasse Ecke Köpenicker Landstrasse,strassenbahn,"52.46911904990173, 13.491364972283247","['92', '87']",nan
47,195147,Baumschulenweg,s-bahn,"52.4675,13.489722","['KBS 100a', 'KBS 103']",Q324336
