,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
0,Achtermannstrasse,bus,['52'],"52.57652468032656, 13.418517187666131",nan,['52'],nan
1,Adalbertstrasse,bus,"['78', '75', '78E']",,,,
2,Adamstrasse,bus,"['97', '34', '13', '35']",,,,
3,Adenauerplatz,u-bahn,['7'],,,,
4,Adlershof,s-bahn,"['KBS 141', 'KBS 140', 'KBS 115', 'KBS 110']",,,,
5,Adolf-Martens-Strasse,bus,['11'],"52.4439303939079, 13.288858198599703",nan,['11'],nan
6,Adolf-Scheidt-Platz/Krankenhaus,bus,['96'],"52.47818518185836, 13.37828632745728",nan,['96'],nan
7,Adolfstrasse,bus,['112'],,,,
8,Afrikanischestrasse,bus,"['65', '89']",,,,
9,Afrikanischestrasse (Friedrich-Ebert-Siedlung),u-bahn,['6'],,,,
10,Ahrensdorferstrasse,bus,['52'],,,,
11,"Ahrensfelde, Kirche",bus,['41'],,,,
12,Albertstrasse,bus,['48'],"52.4844490887776, 13.352821218973295",nan,"['75', '48']",nan
13,Alboinstrasse,bus,"['65', '25']",,,,
14,Albrechtstrasse,bus,"['2', '81', '84', '17', '30', '96']",,,,
15,Alexanderplatz,bus,"['78', '9', '78E', '112']",,,,
16,Alexanderplatz,s-bahn,"['KBS 105', 'KBS 115', 'KBS 100', 'KBS 143', 'KBS 110']",,,,
17,Alexanderplatz,u-bahn,"['E', 'A']","52.5214,13.4119",Q17173458,"['E', 'A', 'D']+ ['A I', 'D', 'E']+ ['D', 'E', 'A I']+ E,D,A I,A II+ A,E+ A,E+ ['A', 'E']+ ['E', 'A']+ ['A', 'E']",nan+ nan+ nan+ Alexanderplatz u-bahn station+ Alexanderplatz u-bahn station+ Alexanderplatz u-bahn station+ nan+ nan+ nan
18,Alexanderstrasse,bus,['79'],"52.51386856319859, 13.417677915769008+52.51778540833277, 13.418077932963259",nan,['1']+ ['79'],nan+ nan
19,Alexandrinenstrasse,bus,"['41', '29']","52.50514667360263, 13.4052810548807",nan,"['41', '29']",nan
20,Allee der Kosmonauten,bus,['53'],,,,
21,Allee der Kosmonauten,strassenbahn,"['19', '17']",,,,
22,Alsen-/Fregestrasse,bus,['2'],"52.46381573178922, 13.33148620356095",nan,['76'],nan
23,Alsen-/Fregstrasse,bus,['81'],"52.46374242546418, 13.331639020201665",nan,"['81', '2']",nan
24,Alt-Biesdorf,bus,['54'],"52.508805788386496, 13.558724778261455",nan,['H'],nan
25,Alt-Blankenburg,bus,"['42', '31']",,,,
26,Alt-Gatow,bus,['34E'],"52.48354259089879, 13.182970819429137",nan,['34E'],nan
27,Alt-Heiligensee,bus,"['14E', '13', '14']",,,,
28,Alt-Karow,bus,"['42', '31']","52.60931228539711, 13.481265848599735",nan,"A42+ ['A42']+ ['42', '31']+ ['31', '42']",nan+ nan+ nan+ nan
29,Alt-Lankwitz,bus,['81'],"52.43848298401557, 13.354194783337245",nan,['81'],nan
30,"Alt-Lankwitz, Dorfaue",bus,['81'],"52.43908382575332, 13.354417745001864",nan,A81+ ['A81']+ ['A81']+ ['81'],nan+ nan+ nan+ nan
31,Alt-Lankwitz/Krankenhaus,bus,['96'],"52.43730490015878, 13.358440903360284",nan,['96'],nan
32,Alt-Lichtenrade,bus,"['30', '79']",,,,
33,Alt-Mahlsdorf,strassenbahn,['83'],"52.5051992,13.6133347",Q66364530,['83']+ ['83'],nan+ nan
34,Alt-Mariendorf,bus,"['11', '81']",,,,
35,Alt-Mariendorf,u-bahn,['6'],"52.4391,13.3877",Q262168,['6']+ ['6'],nan+ nan
36,Alt-Marienfelde,bus,"['11', '52']","52.413385082183694, 13.36338063003787",nan,"A52+ A52+ A52+ ['11', '52']",Alt-Marienfelde Ecke Marienfelder Allee+ Alt-Marienfelde Ecke Marienfelder Allee+ Alt-Marienfelde Ecke Marienfelder Allee+ nan
37,Alt-Marzahn,bus,"['92', '54']",,,,
38,Alt-Moabit,bus,"['24', '1', '16']",,,,
39,Alt-Müggelheim,bus,['27'],"52.41018331064196, 13.665897531850348",nan,['A27']+ A27+ ['27'],nan+ Alt-Müggelheim+ nan
40,Alt-Pichelsdorf/Freybrücke,bus,['94'],"52.5122477912736, 13.200889215866068",nan,['94'],nan
41,Alt-Rudow,bus,['57'],,,,
42,Alt-Rüdersdorf,strassenbahn,['S-Bhf. Friedrichshagen <> Alt-Rüdersdorf'],,,,
43,"Alt-Schmöckwitz""",strassenbahn,['86'],,,,
44,Alt-Stralau,bus,['34'],"52.49250215076991, 13.477901745330643",nan,['34']+ ['34'],nan+ nan
45,Alt-Tegel/U-Bhf. Tegel,bus,"['15', '20']","52.58989357817254, 13.283311087588116",nan,"['15', '20', '13']",nan
46,Alt-Tempelhof,u-bahn,['6'],"52.465952777778,13.385897222222",Q559212,['6']+ ['6'],nan+ nan
47,Alt-Wittenau,bus,"['22E', '62', '21', '14']",,,,
48,"Alt-Wittenau, Kirche",bus,['15'],"52.591892471479916, 13.3264195185693",nan,['15'],nan
49,Alte Jakobstrasse,bus,"['95', '41', '29']",,,,
50,Altenheim Hottengrund,bus,['35E'],"52.44892366863784, 13.114237745947817",nan,A35E+ ['A35E']+ ['35E'],nan+ nan+ nan
51,Altglienicke,s-bahn,"['KBS 140', 'KBS 115']","52.4073,13.5588",Q4736651,"['KBS 103a', 'KBS 106a']+ ['KBS 140', 'KBS 115']+ ['140', '115']",nan+ nan+ nan
52,"Altglienicke, Kirche",bus,['23'],"52.421845729296805, 13.539407702079252",nan,['A23']+ A23+ A23+ A23+ ['A23']+ ['23']+ ['23'],"nan+ Altglienicke, Kirche+ Altglienicke, Kirche+ Altglienicke, Kirche+ nan+ nan+ nan"
53,"Altglienicke, Kirche",strassenbahn,['84'],"52.421845729296805, 13.539407702079252",nan,84+ ['84']+ ['84']+ ['84'],nan+ nan+ nan+ nan
54,Am Falkenberg,strassenbahn,['84'],"52.41079970042163, 13.570452931545786",nan,84+ ['84']+ ['84']+ ['84'],nan+ nan+ nan+ nan
55,Am Friedrichshain,bus,"['9', '32', '57', '40']",,,,
56,Am Graben,bus,['35'],"52.47903536411806, 13.17933172348599",nan,['35'],nan
57,Am Großen Wannsee,bus,"['18', '3']",,,,
58,Am Heidefriedhof,bus,['81'],"52.43998235203173, 13.393010546456246",nan,['81'],nan
59,Am Juliusturm,bus,"['55', '97', '13']",,,,
60,Am Kiesteich,bus,['5'],"52.551166212587965, 13.165323363657249",nan,"['99', '5']",nan
61,Am Kupfergraben,strassenbahn,"['70', '71', '46', '22']",,,,
62,Am Nordgraben,bus,"['12', '22']",,,,
63,Am Nordhafen,bus,['70'],"52.53868315849872, 13.363248409190426",nan,"A70+ A70+ A70+ ['A90']+ ['83', '70', '90']",Am Nordhafen+ Am Nordhafen+ Am Nordhafen+ nan+ nan
64,Am Omnibushof,bus,"['13', '35']",,,,
65,Am Pilz,bus,['15'],"52.64251497264632, 13.300908054411988",nan,['A12']+ A15+ ['A15']+ ['A15'],nan+ nan+ nan+ nan
66,Am Rosenhag,bus,"['44', '95']",,,,
67,Am Steinberg,bus,"['45', '42', '31']",,,,
68,Am Steinberg,strassenbahn,['71'],"52.5585796,13.4333751",Q65103320,71+ 71+ 71+ ['71'],Am Steinberg+ Am Steinberg+ Am Steinberg+ nan
69,Am Tierpark,bus,['112'],,,,
70,Am Vierrutenberg,bus,['20'],"52.613535544271876, 13.343827205969221",nan,['A35']+ ['A20']+ ['A20']+ ['20'],nan+ nan+ nan+ nan
71,Am Volkspark,bus,['86'],"52.483222065143515, 13.32036833862448",nan,A60+ A60+ A60+ ['86'],Am Volkspark Ecke Blissestrasse+ Am Volkspark Ecke Blissestrasse+ Am Volkspark Ecke Blissestrasse+ nan
72,Amalienstrasse,bus,['96'],"52.430150812046016, 13.334039923561416",nan,['96'],nan
73,Amfortasweg,bus,['88'],"52.4458677095568, 13.324594238605897",nan,['88'],nan
74,Amrumerstrasse,bus,['16'],,,,
75,Amrumerstrasse (Rudolf-Virchow-Krankenhaus),u-bahn,['9'],,,,
76,Amtgerichtsplatz,bus,['10'],"52.50682826380543, 13.295178534915353",nan,['10'],nan
77,Amtsgericht Charlottenburg,bus,['21'],"52.50571853839105, 13.295347400894903",nan,['A21']+ A21+ A21+ A21+ ['A21']+ ['21'],nan+ Amtsgericht Charlottenburg+ Amtsgericht Charlottenburg+ Amtsgericht Charlottenburg+ nan+ nan
78,An der Heilandsweide,bus,"['11', '32']",,,,
79,An der Rehwiese,bus,['53'],"52.43422344388058, 13.199161827610604",nan,['53'],nan
