,line_name,type,east-west,Stops,Frequency_7-30,Length (time),direction,Length (km),year,Info
17,64,strassenbahn,east,"Hohenschönhausen, Falkenberger Strasse - Hauptstrasse/Berliner Strasse - Degnerstrasse - Weißenseer Weg Ecke Berliner Strasse - Steuerhaus - Dimitroffstrasse Ecke Leninallee - Leninplatz - Alexanderplatz, Leninallee - S-Bhf. Jannowitzbrücke - Heinrich-Heine-Strasse - Spittelmarkt - Dönhoffplatz",20,40,both,,1963,
18,69,strassenbahn,east,"Johannisthal, Haeckelstrasse - Bhf. Schöneweide - Wilhelminenhofstrasse - S-Bhf. Karlshorst - Hochschule für Ökonomie - Tierpark Berlin - Alt-Friedrichsfele/Am Tierpark - Bhf. Lichtenberg - Bf. Siegfriedstrasse - Siegfriedstrasse Ecke Herzbergstrasse - Roederplatz - Steuerhaus - Dimitroffstrasse Ecke Leninallee - Leninplatz - Alexanderplatz, Leninallee - Hackescher Markt - Oranienburger Tor - Walter-Ulbricht-Stadion",10,81,both,,1963,
19,70,strassenbahn,east,"Hohenschönhausen, Falkenberger Strasse - Hauptstrasse/Suermondstrasse - Stadion Buschallee - Buschallee/K.-Gottwald-Allee - Lichtenberger Strasse Ecke Buschallee - Antonplatz - Prenzlauer Promenade - Humannplatz - U-Bhf. Dimitroffstrasse - Brunnenstrasse Ecke Invalidenstrasse - Oranienburger Tor - Bhf. Friedrichstrasse - Am Kupfergraben",10,49,both,,1963,
20,71,strassenbahn,east,"Heinersdorf, Romain-Rolland-Strasse - Heinersdorf, Kirche - Am Steinberg - Prenzlauer Promenade (Spitze) - S-Bhf. Prenzlauer Allee - Dimitroffstrasse Ecke Prenzlauer Allee - Saarbrücker Strasse Ecke Prenzlauer Allee - Alexanderplatz, Memhardstrasse - S-Bhf. Jannowitzbrücke - Molkenmarkt",10,32,hin,,1963,
21,71,strassenbahn,east,"Heinersdorf, Romain-Rolland-Strasse - Heinersdorf, Kirche - Am Steinberg - Prenzlauer Promenade (Spitze) - S-Bhf. Prenzlauer Allee - Dimitroffstrasse Ecke Prenzlauer Allee - Prenzlauer Tor - Alexanderplatz, Grunerstrasse - Wallnerstrasse Ecke Alexanderstrasse - Jüdenstrasse",10,32,zurück,,1963,
22,72,strassenbahn,east,"Weißensee, Pasedagplatz - Klement-Gottwald-Allee/Rennbahnstrasse - Buschallee - Lichtenberger Strasse - Antonplatz - Prenzlauer Promenade - S-Bhf. Prenzlauer Allee - Dimitroffstrasse Ecke Prenzlauer Allee - Saarbrücker Strasse Ecke Prenzlauer Allee - Alexanderplatz, Memhardstrasse - Molkenmarkt - Spittelmarkt - Charlottenstrasse - Taubenstrasse Ecke Glinkastrasse",12,46,both,,1963,
23,74,strassenbahn,east,"Weißensee, Pasedagplatz/Klement-Gottwald-Allee - Antonplatz - S-Bhf. Greifswalder Strasse - Dimitroffstrasse Ecke Greifswalderstrasse - Königstor - Alexanderplatz, Memhardstrasse - Molkenmarkt - Spittelmarkt - Wilhelmstrasse",3,37,hin,,1963,
24,74,strassenbahn,east,"Rennbahnstrasse Ecke Bernkasteler Strasse - Lichtenberger Strasse - Antonplatz - S-Bhf. Greifswalder Strasse - Dimitroffstrasse Ecke Greifswalderstrasse - Königstor - Alexanderplatz, Memhardstrasse - Molkenmarkt - Spittelmarkt - Wilhelmstrasse",6,37,zurück,,1963,
25,82,strassenbahn,east,"Mahlsdorf-Süd, Hubertus - S-Bhf. Köpenick - Lindenstrasse/Hegelschule - Parkstrasse Ecke An der Wuhlheide - Edisonstrasse Ecke An der Wuhlheide - Ehrlichstrasse Ecke Treskowallee - Kraftwerk Klingenberg - S-Bhf. Ostkreuz - Stralauer Allee - Warschauer Strasse - Ostbahnhof - S-Bhf. Jannowitzbrücke - Alexanderplatz, Memhardstrasse - Rosenthaler Platz - Brunnenstrasse Ecke Invalidenstrasse - Invalidenstrasse Ecke Chausseestrasse - Walter-Ulbricht-Stadion",20,88,both,,1963,
26,83,strassenbahn,east,Wendenschloß - VEB Schiffswerft - Strab. Bf. Köpenick - Bahnhofstrasse/Lindenstrasse - Seelenbinderstrasse - S-Bhf. Köpenick - Mahlsdorf-Süd - Bürgerwäldchen - Rahnsdorfer Strasse Ecke Hultschiner Damm - S-Bhf. Mahlsdorf,10,39,both,,1963,
