,station_id,stop_name,line_count,type,in_lines
430,332,Baumschulenstrasse,4,Autobus,['A 47']
431,333,S-Bhf. Plänterwald,2,strassenbahn,"['87', '92']"
432,334,Elsenstrasse/S-Bhf. Treptower Park,2,strassenbahn,"['87', '92']"
433,335,"Wiener Brücke, Krüllstrasse",1,strassenbahn,['87']
434,336,"Oberspree, Bruno-Bürgel-Weg",1,strassenbahn,['92']
435,337,Bhf. Schöneweide,5,strassenbahn,"['69', '92', '95']"
436,337,Bhf. Schöneweide,5,Autobus,"['A 47', 'A 26']"
437,338,Kali-Chemie,3,strassenbahn,"['87', '92', '95']"
438,339,Baumschulenstrasse,4,strassenbahn,"['87', '92', '95']"
439,339,Baumschulenstrasse,4,Autobus,['A 47']
440,340,S-Bhf. Plänterwald,2,strassenbahn,"['87', '92']"
441,341,Elsenstrasse/S-Bhf. Treptower Park,2,strassenbahn,"['87', '92']"
442,342,Wiener Brücke,1,strassenbahn,['92']
443,343,Krankenhaus Köpenick,2,strassenbahn,['95']
444,343,Krankenhaus Köpenick,2,Autobus,['A 27']
445,344,Lindenstrasse Ecke Bahnhofstrasse,1,strassenbahn,['95']
446,345,Parkstrasse Ecke An der Wulheide,1,strassenbahn,['95']
447,346,Edisonstrasse Ecke An der Wuhlheide,2,strassenbahn,"['82', '95']"
448,347,Bhf. Schöneweide,5,strassenbahn,"['69', '92', '95']"
449,347,Bhf. Schöneweide,5,Autobus,"['A 47', 'A 26']"
450,348,Kali-Chemie,3,strassenbahn,"['87', '92', '95']"
451,349,Baumschulenstrasse,4,strassenbahn,"['87', '92', '95']"
452,349,Baumschulenstrasse,4,Autobus,['A 47']
453,350,S-Bhf. Baumschulenweg,3,strassenbahn,"['95P', '95']"
454,350,S-Bhf. Baumschulenweg,3,Autobus,['A 47']
455,351,S-Bhf. Baumschulenweg,3,strassenbahn,"['95P', '95']"
456,351,S-Bhf. Baumschulenweg,3,Autobus,['A 47']
457,352,Sonnenallee,1,strassenbahn,['95P']
458,353,Klosterstrasse,1,Omnibus,['O 30']
459,354,Andreasstrasse,1,Omnibus,['O 30']
460,355,Küstriner Platz,2,Omnibus,"['O 30', 'O 40']"
461,356,Warschauer Strasse,2,strassenbahn,['82']
462,356,Warschauer Strasse,2,Omnibus,['O 30']
463,357,Boxhagenerstrasse Ecke Holteistrasse,1,Omnibus,['O 30']
464,358,S-Bhf. Rummelsburg,1,Omnibus,['O 30']
465,359,Bhf. Lichtenberg,3,strassenbahn,['69']
466,359,Bhf. Lichtenberg,3,Omnibus,"['O 30', 'O 37']"
467,360,Bf. Siegfriedstrasse,3,strassenbahn,['69']
468,360,Bf. Siegfriedstrasse,3,Omnibus,"['O 30', 'O 37']"
469,361,Roederplatz,3,strassenbahn,"['69', '3']"
470,361,Roederplatz,3,Omnibus,['O 30']
471,362,Proskauerstrasse Ecke Dolziger Strasse,1,Omnibus,['O 30']
472,363,Bertystrasse Ecke Leninallee,1,Omnibus,['O 30']
473,364,Greifswalderstrasse Ecke Dimitroffstrasse,1,Omnibus,['O 30']
474,365,S-Bhf. Alexanderplatz,4,Omnibus,['O 30']
475,365,S-Bhf. Alexanderplatz,4,Autobus,"['A 57', 'A 9']"
476,366,Klosterstrasse,2,u-bahn,['A']
477,366,Klosterstrasse,2,Omnibus,['O 30']
478,367,Bf. Siegfriedstrasse,3,strassenbahn,['69']
479,367,Bf. Siegfriedstrasse,3,Omnibus,"['O 30', 'O 37']"
480,368,Bhf. Lichtenberg,3,strassenbahn,['69']
481,368,Bhf. Lichtenberg,3,Omnibus,"['O 30', 'O 37']"
482,369,Alt-Friedrichsfelde/Am Tierpark,3,Omnibus,['O 37']
483,369,Alt-Friedrichsfelde/Am Tierpark,3,Autobus,"['A 43', 'A 8']"
484,370,"Alt-Biesdorf, Oberfelderstrasse",2,Omnibus,['O 37']
485,370,"Alt-Biesdorf, Oberfelderstrasse",2,Autobus,['A 8']
486,371,S-Bhf. Biesdorf,1,Omnibus,['O 37']
487,372,Elisabethstrasse,1,Omnibus,['O 37']
488,373,"Alt-Marzahn, Kirche",1,Omnibus,['O 37']
489,374,Marzahner Chaussee,1,Omnibus,['O 37']
490,375,Bürnersfelde,1,Omnibus,['O 37']
491,376,Dingelstädter Strasse,1,Omnibus,['O 37']
492,377,Genslerstrasse/Siegfriedstrasse,1,Omnibus,['O 37']
493,378,Weißenseer Weg,3,strassenbahn,['63']
494,378,Weißenseer Weg,3,Omnibus,['O 37']
495,379,Steuerhaus,5,strassenbahn,"['69', '63', '64']"
496,379,Steuerhaus,5,Omnibus,['O 37']
497,380,Dimitroffstrasse/Leninallee,1,Omnibus,['O 37']
498,381,Ostbahnhof,3,strassenbahn,"['82', '1']"
499,381,Ostbahnhof,3,Omnibus,['O 40']
500,382,Küstriner Platz,2,Omnibus,"['O 30', 'O 40']"
501,383,Karl-Marx-Allee,1,Omnibus,['O 40']
502,384,Leninplatz,6,strassenbahn,"['1', '63', '69', '64']"
503,384,Leninplatz,6,Omnibus,['O 40']
504,385,Königstor,6,strassenbahn,['74']
505,385,Königstor,6,Omnibus,['O 40']
506,385,Königstor,6,Autobus,"['A 57', 'A 9']"
507,386,Prenzlauer Tor,2,strassenbahn,['71']
508,386,Prenzlauer Tor,2,Omnibus,['O 40']
509,387,Rosenthaler Platz,6,strassenbahn,"['22', '49', '82']"
510,387,Rosenthaler Platz,6,Omnibus,['O 40']
511,388,Oranienburger Tor,9,strassenbahn,"['1', '46', '70', '11', '69']"
512,388,Oranienburger Tor,9,Omnibus,['O 40']
513,388,Oranienburger Tor,9,Autobus,"['A 9', 'A 59']"
514,389,Robert-Koch-Platz,2,Omnibus,['O 40']
515,389,Robert-Koch-Platz,2,Autobus,['A 57']
516,390,"Glienicke, Kirche",1,Autobus,['A 7']
517,391,Elsässer Strasse,1,Autobus,['A 7']
518,392,"Schildow, Kirche",1,Autobus,['A 7']
519,393,"Blankenfelde, Hauptstrasse",1,Autobus,['A 7']
520,394,Nordend,2,strassenbahn,['46']
521,394,Nordend,2,Autobus,['A 7']
522,395,Kurt-Fischer-Platz,4,strassenbahn,"['22', '46']"
523,395,Kurt-Fischer-Platz,4,Autobus,['A 7']
524,396,"Pankow, Rathaus",7,strassenbahn,"['22', '46']"
525,396,"Pankow, Rathaus",7,Autobus,"['A 45', 'A 55', 'A 58', 'A 7']"
526,397,U-Bhf. Pankow (Vinetastrasse),4,strassenbahn,['49']
527,397,U-Bhf. Pankow (Vinetastrasse),4,Autobus,"['A 58', 'A 7']"
528,398,"Waldesruh, Mahlsdorfer Allee",1,Autobus,['A 8']
529,399,Fichtestrasse Ecke Schopenhauerstrasse,1,Autobus,['A 8']
530,400,Hultschiner Damm,1,Autobus,['A 8']
531,401,Sadowastrasse,1,Autobus,['A 8']
532,402,Chemnitzerstrasse Ecke Ulmenstrasse,1,Autobus,['A 8']
