line_id,year,line_name,type,start_stop,length (time),length (km),east_west,frequency (7:30),profile,capacity
19611_east,1961,1,tram,Ostbahnhof<> Am Kupfergraben,39,,east,20.0,,195
19612_east,1961,3,tram,Warschauerstr.<> Björnsonstr.,46,,east,12.0,,195
19613_east,1961,4,tram,Warschauerstr.<> Eberswalderstr. Ecke Oderbergerstr.,25,,east,8.0,,195
19614_east,1961,11,tram,Heinrich-Heinestr.<> Hannoverschestr.,19,,east,20.0,,195
19615_east,1961,13,tram,"Klingenberg, Blockdammweg<> U-Bhf. Dimitroffstr.",35,,east,8.0,,195
19616_east,1961,22,tram,Bhf. Rosenthal<> Elisabethstr.,48,,east,12.0,,195
19617_east,1961,46,tram,"Niederschönhausen, Schillerstr.<> Am Kupfergraben",52,,east,12.0,,195
19618_east,1961,49,tram,"Buchholz, Hauptstr.<> Hackescher Markt, Große Präsidentenstr.",41,,east,15.0,,195
19619_east,1961,63,tram,"Hohenschönhausen, Gartenstadt<> Hackescher Markt, Große Präsidentenstr.",36,,east,20.0,,195
196110_east,1961,64,tram,"Hohenschönhausen, Falkenbergerstr.<> Dönhoffplatz",27,,east,20.0,,195
196111_east,1961,69,tram,"Johannisthal, Haeckelstr.<> Bhf. Siegfriedstr.",40,,east,10.0,,195
196112_east,1961,70,tram,"Hohenschönhausen, Falkenbergerstr.<> Am Kupfergraben",49,,east,12.0,,195
196113_east,1961,71,tram,"Heinersdorf, Romain-Rollandstr.<> Alexanderplatz, Grunerstr.",32,,east,10.0,,195
196114_east,1961,72,tram,"Weißensee, Pasedagplatz<> Taubenstr.",44,,east,12.0,,195
196115_east,1961,74,tram,"Weißensee, Pasedagplatz<> Leipzigerstr. Ecke Wilhelmstr.",39,,east,8.0,,195
196116_east,1961,74E,tram,Klement-Gottwald-Allee Ecke Rennbahnstr.<> Spittelmarkt,31,,east,8.0,,195
196117_east,1961,82,tram,"Mahlsdorf-Süd, Hubertus<> Alexanderplatz, Elisabethstr.",64,,east,20.0,,195
