Column,stop_name,type,in_lines,location,identifier
767,Osloerstrasse Ecke Schwedenstrasse,strassenbahn,['41'],"52.55673816805014, 13.373819940687156",
768,Osnabrückerstrasse Ecke Tauroggenerstrasse,strassenbahn,['3'],"52.52582913610088, 13.301920465528912",
769,Ossietzkyplatz,bus,['A7'],"52.58150700684141, 13.404249587640239",
770,Ossietzkyplatz,strassenbahn,['46'],"52.58100580136794, 13.404014807678767",
771,Ostbahnhof,bus,['O40'],"52.50976670730252, 13.43372198235041",
772,Ostbahnhof,s-bahn,"['KBS 102', 'KBS 101', 'KBS 103']","52.51,13.4347",Q111325075
773,Ostbahnhof,strassenbahn,['82'],"52.509107635417394, 13.43550619008533",
774,Ostkreuz,s-bahn,"['KBS 100', 'KBS 103', 'KBS 103a', 'KBS 100c', 'KBS 102', 'KBS 101', 'KBS 100b']","52.5031,13.4689",Q111251530
775,Ostseestrasse Ecke Prenzlauerallee,bus,['A42'],"52.551163338390026, 13.430159248011455",
776,Pacelliallee/Thielallee,strassenbahn,['40'],"52.45822300734783, 13.287066898066222",
777,Pallasstrasse,strassenbahn,['74'],"52.49433531886079, 13.361034439138953",
778,Pallasstrasse Ecke Potsdamerstrasse,strassenbahn,['88'],"52.49434438235142, 13.361071570325102",
779,Pankow,s-bahn,"['KBS 106', 'KBS 100b']","52.5667,13.4111",Q111273850
780,Pankow (Vinetastr.),u-bahn,['A I'],"52.559166666667,13.413333333333",Q570906
781,"Pankow, Kirche",strassenbahn,"['22', '49', '46']","52.5706452,13.4103115",Q65055066
782,"Pankow, Rathaus",bus,['A7'],"52.56953908840178, 13.404186437171612",
783,Pankow-Heinersdorf,s-bahn,"['KBS 106', 'KBS 100b']","52.5780653,13.4295093",Q4892366
784,Pankower Allee Ecke Provinzstrasse,strassenbahn,['36'],"52.564687007235015, 13.378064380060506",
785,"Pankower Allee, Schäfersee",strassenbahn,['36'],"52.56380596476722, 13.36429105979567",
786,"Pankower Allee, Strassenbahnhof",strassenbahn,['36'],"52.56413459612286, 13.371439913700597",
787,Pankowerallee (Schäfersee),strassenbahn,['41'],"52.563819246507876, 13.364340886677011",
788,Pankowerallee Ecke Provinzstrasse,bus,['A14'],"52.56468310933743, 13.378061412582335",
789,Pankowerallee Ecke Residenzstrasse,strassenbahn,['35'],"52.56382389768817, 13.364287138448507",
790,Pankstrasse Ecke Badstrasse,strassenbahn,['36'],"52.55232675891994, 13.381359506860218",
791,Pankstrasse/Prinzenallee,strassenbahn,"['41', '28', '29']","52.55229630055077, 13.381421035926673",
792,Papestr.,s-bahn,"['KBS 106', 'KBS 100', 'KBS 100a', 'KBS 105']","52.4756,13.3644",Q111323139
793,Paradestrasse,u-bahn,['C II'],"52.478055555556,13.386111111111",Q557543
794,Paradiesgarten,bus,['A22'],"52.44194344887106, 13.68660586923869",
795,Parchimerallee Ecke Rudowerstrasse,strassenbahn,['47'],"52.44546832801967, 13.455025325633102",
796,Parkstrasse,strassenbahn,['87'],"52.45876522318908, 13.53993545855609",
797,Paul-Heyse-Strasse,strassenbahn,"['13', '4']","52.5291682,13.4447186",Q65706974
798,Pfaueninselchaussee,bus,['A6'],"52.418854030922695, 13.153074716476008",
799,Pichelsberg,s-bahn,"['KBS 101', 'KBS 103']","52.5103,13.2271",Q800488
800,Pichelsdorfer Strasse Ecke Heerstrasse,strassenbahn,['75'],"52.513085070592794, 13.196815633639886",
801,Pionierrepublik,strassenbahn,"['82', '95', '87']","52.4575779,13.5436031",Q66104117
802,Plänterwald,s-bahn,"['KBS 103a', 'KBS 103']","52.4786,13.4733",Q7205917
803,Plötzensee,strassenbahn,['3'],"52.54143051047615, 13.334522358003783",
804,Podbielskiallee,u-bahn,['A II'],"52.464444444444,13.296388888889",Q571324
805,Podbielskiallee (Botanischer Garten),strassenbahn,['40'],"52.45866344963711, 13.303795091272793",
806,Potsdam,s-bahn,['KBS 102'],"52.3917,13.0667",Q647973
807,"Potsdamer Brücke, Am Karlsbad",bus,['A48'],"52.50552546320693, 13.368019266643435",
808,Potsdamer Chaussee Ecke Spanische Allee,bus,['A3'],"52.42963465458752, 13.224071111730964",
809,Potsdamer Platz,s-bahn,"['KBS 106', 'KBS 105', 'KBS 104']","52.5094,13.3766",Q106086519
810,Potsdamer Platz,u-bahn,['A I'],"52.5092,13.3782",Q3909578
811,"Potsdamer Platz, Linkstrasse",strassenbahn,"['74', '73']","52.50856492805897, 13.377132677663122",
812,Potsdamer Strasse,strassenbahn,['3'],"52.497947693481, 13.362087448651582",
813,Potsdamer Strasse Ecke Bülowstrasse,bus,['A19'],"52.497900834061184, 13.362004472211375",
814,Potsdamer Strasse Ecke Clayallee,bus,"['A1', 'A18']","52.43504800046437, 13.260425575475969",
815,Potsdamer Strasse Ecke Fischerhüttenstrasse,bus,['A48'],"52.4357751453625, 13.256027995378796",
816,Potsdamer Strasse Ecke Lützowstrasse,bus,"['A24', 'A29']","52.50309197205672, 13.36572928290069",
817,Potsdamerstrasse Ecke Berlinerstrasse,bus,['A3E'],"52.43503284838459, 13.260476479199593",
818,Potsdamerstrasse Ecke Lützowstrasse,strassenbahn,['88'],"52.50308960322814, 13.365693026618919",
819,Prenzlauer Allee,s-bahn,"['KBS 100', 'KBS 103a', 'KBS 100c', 'KBS 100b']","52.544775,13.426116",Q32661483
820,Prenzlauer Allee,strassenbahn,"['13', '4']","52.5396522,13.4244789",Q65222180
821,Prenzlauer Promenade Ecke Gustav-Adolf-Strasse,strassenbahn,"['70', '3']","52.551756288963574, 13.43036423385003",
822,Prenzlauer Promenade Ecke Thulestrasse,bus,['A45'],"52.556408509119564, 13.42916030906555",
823,Prenzlauer Promenade Ecke Wisbyer Strasse,strassenbahn,['71'],"52.55114992903115, 13.430157632309445",
824,Prenzlauer Tor,bus,['O40'],"52.52709114016772, 13.415809370320808",
825,Prenzlauerstrasse Ecke Granitzstrasse,bus,['A55'],"52.572073843408724, 13.428739624379482",
826,Priesterweg,s-bahn,"['KBS 106', 'KBS 105']","52.4601,13.3563",Q800508
827,Prinzenallee Ecke Badstrasse,strassenbahn,['24'],"52.55229397230918, 13.381436969273926",
828,Prinzenallee Ecke Osloer Strasse,strassenbahn,['3'],"52.5559072,13.3837614",Q65807451
829,Prinzenstr.,u-bahn,['B I'],"52.498333333333,13.406111111111",Q689797
830,Prinzenstrasse,u-bahn,['A II'],"52.498333333333,13.406111111111",Q689797
831,Proskauer Ecke Dolziger Strasse,bus,['O30'],"52.519874079766325, 13.463289228834057",
832,Provinzstrasse,bus,"['A55', 'A45']","52.57446959285376, 13.380786692860628",
833,Prühßstrasse,strassenbahn,['98'],"52.443274813352325, 13.38622115632198",
834,Putlitzstr.,s-bahn,"['KBS 100', 'KBS 103a']","52.536,13.344",Q465972
835,Päwesiner Weg Ecke Seeburgerstrasse,bus,['A13'],"52.526347644869524, 13.181851254649866",
836,Quantzstrasse Ecke Potsdamer Chaussee,bus,['A18'],"52.423187276655185, 13.202235240977128",
837,Rahnsdorf,s-bahn,['KBS 102'],"52.4516372,13.6899776",Q800489
838,Rahnsdorf,strassenbahn,['87'],"52.443531694444445,13.685038",Q66361311
839,Rahnsdorferstrasse,strassenbahn,['83'],"52.4985173,13.613101",Q66364532
840,Rangsdorf,s-bahn,['KBS 105'],"52.294444,13.430278",Q801345
841,"Treptow, Rathaus",strassenbahn,['91'],"52.483613037029144, 13.480317575778315",
842,Rathaus Lichtenberg,strassenbahn,['3'],"52.5156658,13.4788562",Q65948511
843,Rathaus Neukölln,strassenbahn,['26'],"52.4815671803902, 13.434281220930867",
844,Rathaus Neukölln,bus,['A4'],"52.48152537358512, 13.434381079123925",
845,Rathaus Neukölln,u-bahn,['C I'],"52.481666666667,13.434166666667",Q628770
846,Rathaus Schöneberg,bus,"['A16', 'A4']","52.48515473887597, 13.345086596743203",
847,Rathaus Schöneberg,strassenbahn,['6'],"52.48509787554474, 13.345072009289709",
848,Rathaus Schöneberg,u-bahn,['B II'],"52.483116666667,13.341930555556",Q570926
849,Rathaus Schöneberg (Belzigerstrasse),strassenbahn,['25'],"52.48461294697747, 13.345170808707232",
850,Rathaus Spandau,bus,"['A31', 'A5', 'A13', 'A35', 'A34']","52.534578361518356, 13.199490942441287",
851,Rathaus Spandau,strassenbahn,['75'],"52.53488081670858, 13.199058849732252",
852,Rathaus Steglitz,bus,"['A48', 'A32 (Obus)', 'A17']","52.45683244954579, 13.320757398114617",
853,Rathaus Steglitz,strassenbahn,"['73', '77', '40', '74', '78']","52.45691682931275, 13.320745348424166",
854,Rathaus Wannsee,bus,"['A6', 'A18', 'A3']","52.418440129670444, 13.148872492834737",
855,Rathaus Zehlendorf,bus,['A3'],"52.433207520111885, 13.259531923613192",
856,Rathenower Strasse Ecke Turmstrasse,bus,['A24'],"52.52674219932397, 13.3553876111091",
857,Rathenowerstrasse Ecke Invalidenstrasse,strassenbahn,['44'],"52.5236499477288, 13.356930609567168",
858,Rathenowerstrasse Ecke Perlebergstrasse,strassenbahn,['35'],"52.532491398196385, 13.35056839552805",
859,Ruppiner Chaussee Ecke Karolinenstrasse,strassenbahn,['29'],"52.597947472486396, 13.275065027135373",
860,Regattahäuser,strassenbahn,['86'],"52.4114287,13.5880881",Q66490561
861,Rehberge,u-bahn,['C I'],"52.5567,13.3412",Q253850
862,Reichenberger Strasse,strassenbahn,['26'],"52.495535248263636, 13.430362951622532",
863,Reichskanzlerplatz,bus,['A4'],"52.50929184084697, 13.27265693784035",
864,Reichskanzlerplatz,strassenbahn,['75'],"52.5089140766086, 13.272251406623242",
865,Reichskanzlerplatz,u-bahn,['A I'],"52.509722222222,13.273055555556",Q657857
866,Reichssportfeld,s-bahn,"['KBS 101', 'KBS 103']","52.511,13.2416",Q800506
867,Reinickendorf,s-bahn,['KBS 105'],"52.5779,13.3506",Q800496
868,"Reinickendorf, Teichstrasse Ecke Humboldtstrasse",strassenbahn,['35'],"52.574634934155156, 13.346000182216187",
869,Reinickendorfer Str.,u-bahn,['C I'],"52.539911111111,13.370377777778",Q559249
870,Reinickendorferstrasse Ecke Schulstrasse,strassenbahn,"['28', '29']","52.55157643054178, 13.367360408407965",
871,Rennbahn,strassenbahn,"['99']","52.430060594099295, 13.39244351468167",
872,Rennbahnstrasse,bus,['A45'],"52.557029825201695, 13.466976894786637",
873,Residenzstrasse Ecke Alt-Reinickendorf,strassenbahn,"['41', '36', '35']","52.574255171209124, 13.359159577429239",
874,Residenzstrasse/Kopenhagenerstrasse,bus,['A14'],"52.574253400902535, 13.359169613216297",
875,Richard-Wagner-Platz,u-bahn,['A III'],"52.5175,13.306388888889",Q662201
876,Richardstrasse,strassenbahn,['15'],"52.47097391592754, 13.446301038467002",
877,Richtershorn,strassenbahn,['86'],"52.40105,13.6248473",Q66481215
878,Ridbacher Strasse,bus,['A49'],"52.527457204488485, 13.606447755554132",
879,Ringstrasse Ecke Drakestrasse,bus,['A11'],"52.43979421249329, 13.300201657021095",
880,Rittberg-Krankenhaus,strassenbahn,"['77', '78']","52.42987951650218, 13.288961460110901",
881,Robert-Koch-Platz,bus,['O40'],"52.527570508835595, 13.37877230286134",
882,Roedernallee Ecke Reinickdorferstrasse,bus,['A14'],"52.57584197969028, 13.347821878274898",
883,Roederplatz,bus,['O30'],"52.52671388514014, 13.479662353432392",
884,Roederplatz,strassenbahn,"['3', '69']","52.5266001,13.479068",Q65685373
885,"Rohrdammbrücke (Bhf. Siemensstadt, Fürstenbrunn)",bus,['A10'],"52.53894892076107, 13.263781763827655",
886,Roseneck,bus,"['A29', 'A17']","52.47580089902253, 13.282411270445099",
887,"Roseneck, Grunewald",bus,['A19'],"52.477204856992834, 13.280639294338984",
888,"Roseneck, Grunewald",strassenbahn,['51'],"52.476834885293094, 13.280925334015338",
889,"Roseneck, Rheinbabenallee, Grunewald",bus,['A50'],"52.47687414320646, 13.281021071068828",
890,"Rosenthal, Siedlung",strassenbahn,['22'],"52.59500971124665, 13.38035213667906",
891,Rosenthaler Platz,bus,['O40'],"52.5296729549826, 13.401428926082492",
892,Rosenthaler Platz,strassenbahn,"['1', '22', '49', '11']","52.5301769,13.4016121",Q65093945
893,Rosenthaler Platz,u-bahn,['D'],"52.53,13.401111111111",Q663231
894,Roßstrasse Ecke Breitestrasse,strassenbahn,['72'],"52.512044719873295, 13.408694600852993",
895,Rubensstrasse Ecke Grazer Platz,bus,['A25'],"52.46748000817942, 13.344120481042479",
896,"Rudow, Bahnhofstrasse",strassenbahn,['47'],"52.40195520982694, 13.51319617947882",
897,"Rudow, Kanalstrasse Ecke Mimosenweg",bus,['A52'],"52.42676343930019, 13.506125149904188",
899,Ruhleben,u-bahn,['A I'],"52.525555555556,13.241388888889",Q656401
900,Ruhlsdorfer Platz,strassenbahn,['96'],"52.40085341513547, 13.268853571967181",
901,Rummelsburg,s-bahn,['KBS 102'],"52.501244,13.478545",Q15107132
902,Ruppiner Chaussee Ecke Karolinenstrasse,strassenbahn,['28'],"52.59794146808619, 13.275024358001108",
903,Röblingstrasse Ecke Arnulfstrasse,bus,['A25'],"52.45674603255616, 13.359408554060307",
904,Röntgental,s-bahn,['KBS 106'],"52.6487,13.5136",Q801386
905,Rüdesheimer Platz,u-bahn,['A II'],"52.473333333333,13.314444444444",Q167147
906,Rügenerstrasse Ecke Brunnenstrasse,strassenbahn,"['36', '29', '24']","52.54468383613832, 13.391054406802407",
907,Rügenesrstrasse Ecke Brunnenstrasse,strassenbahn,['28'],"52.54471634192088, 13.391012495632392",
908,S-Bhf. Adlershof,strassenbahn,['84'],"52.435251,13.5408489",Q66363728
909,"S-Bhf. Baumschulenweg, Glanzstrasse",bus,['A47'],"52.46785040523502, 13.489799682908586",
910,S-Bhf. Biesdorf,bus,"['A37', 'O37']","52.513432593832405, 13.555387279249894",
911,S-Bhf. Friedrichsfelde-Ost,bus,['A43'],"52.51324537165634, 13.524030584354616",
912,S-Bhf. Friedrichshagen,strassenbahn,"['84', '87']","52.4564126,13.6253656",Q66360784
913,S-Bhf. Friedrichstrasse,bus,['A9'],"52.519653499291785, 13.388483515392778",
914,S-Bhf. Greifswalder Strasse,strassenbahn,['74'],"52.5407234,13.4382904",Q65548932
915,S-Bhf. Grünau,bus,"['A36', 'A38']","52.41361515857581, 13.573796290663196",
916,S-Bhf. Karlshorst,strassenbahn,['69'],"52.481331,13.5254433",Q65952829
917,"S-Bhf. Kaulsdorf, Planitzstrasse",bus,['A27'],"52.51113864301491, 13.58755467300039",
918,S-Bhf. Köpenick,bus,['A27'],"52.45882190200453, 13.579564677172508",
919,S-Bhf. Köpenick,strassenbahn,"['82', '83', '86']","52.4582153,13.5790435",Q66370784
920,S-Bhf. Leninallee,strassenbahn,['64'],"52.52851097343215, 13.455862308166953",
921,"S-Bhf. Leninallee ; Leninallee, Dimitroffstrasse",strassenbahn,['63'] ; ['63'],"52.52851097343215, 13.455862308166953 ; 52.52635268845449, 13.447647811228835",
922,S-Bhf. Mahlsdorf,bus,"['A44E', 'A44']","52.51234908870327, 13.61221793610957",
923,S-Bhf. Mahlsdorf,strassenbahn,['83'],"52.51221826761895, 13.612190748726157",
924,S-Bhf. Ostkreuz,strassenbahn,['82'],"52.50243021718411, 13.469020052690205",
925,"S-Bhf. Pankow, Florastrasse",strassenbahn,"['22', '49', '46']","52.56665022842682, 13.409775813699397",
926,S-Bhf. Pankow-Heinersdorf,strassenbahn,['49'],"52.577507820515834, 13.427853061920917",
927,S-Bhf. Prenzlauer Allee,strassenbahn,"['71', '72']","52.5448075,13.427408",Q65219791
928,S-Bhf. Rahnsdorf,bus,['A22'],"52.451628368326396, 13.691579101298974",
929,S-Bhf. Rummelsburg,bus,['O30'],"52.50179539105723, 13.478028581044718",
930,S-Bhf. Schöneweide,strassenbahn,['95'],"52.4553413,13.5110449",Q65950245
931,S-Bhf. Schönhauser Allee,strassenbahn,"['22', '49', '46']","52.5493619,13.4135734",Q65088013
932,S-Bhf. Spindlersfeld,strassenbahn,['84'],"52.4457311,13.5624298",Q66363397
933,S-Bhf. Wilhelmshagen,bus,['A22'],"52.43886122089184, 13.721060252199655",
934,Saarbrücker Strasse Ecke Prenzlauer Tor,strassenbahn,['71'],"52.528602411479305, 13.417036440468811",
935,"Saarbrücker Strasse, Prenzlauer Tor",strassenbahn,['72'],"52.528602411479305, 13.417036440468811
",
936,Saargemünder Strasse,bus,"['A18', 'A11']","52.450918082089416, 13.270922488527036",
937,Saargemünderstrasse,bus,['A3E'],"52.45100999300224, 13.270719781407637",
938,Saatwinkler Damm,bus,['A21'],"52.54802938567344, 13.300569461587116",
939,Sachsendamm Ecke Alboinstrasse,strassenbahn,['60'],"52.47043068842395, 13.372774905947711",
940,"Saganerstrasse, Güterbahn",strassenbahn,['13'],"52.49537114725559, 13.488310191715467",
941,Samariterstr.,u-bahn,['E'],"52.514722222222,13.464444444444",Q552891
942,"Sandkrugbrücke, Lehrter Bahnhof",strassenbahn,['44'],"52.52767207168016, 13.37315298082495",
943,Savignyplatz,s-bahn,"['KBS 102', 'KBS 101', 'KBS 103']","52.5051746,13.3190659",Q554382
944,"Scharnhorststrasse, Volkspolizeikrankenhaus",bus,['A9'],"52.534871028835916, 13.3697264570911",
945,"Schildow, Kirche",bus,['A7'],"52.63581867397586, 13.377719168374458",
946,Schillingbrücke (Ostbahnhof),strassenbahn,['1'],"52.51050795350326, 13.430220315575571",
947,Schillingstr.,u-bahn,['E'],"52.520278,13.421667",Q552899
948,Schlachtensee,s-bahn,['KBS 104'],"52.4401,13.2153",Q800509
949,Schlesisches Tor,u-bahn,['B I'],"52.500833333333,13.441666666667",Q602282
950,Schlesischestrasse Ecke Heckmannufer,bus,['A28'],"52.49754552939811, 13.44838500299095",
951,Schlossstrasse Ecke Alt-Friedrichsfelde,bus,['O37'],"52.50943477223745, 13.518813938774796",
952,Schlossstrasse Ecke Alt-Friedrichsfelde,strassenbahn,['69'],"52.50962902699515, 13.518687787679205",
953,Schlossstrasse Ecke Suarezstrasse,strassenbahn,['60'],"52.51097987249772, 13.297346871756105",
954,Schloß Ruhwald,strassenbahn,['54'],"52.52172956608864, 13.25972836899749",
955,Schloßstrasse Ecke Bundesallee,bus,['A2'],"52.464963007508956, 13.328430457757777",
956,Schloßstrasse Ecke Albrechtstrasse,strassenbahn,['44'],"52.45689966776005, 13.320717501470192",
957,Schloßstrasse Ecke Alt-Friedrichsfelde,bus,['A8'],"52.509610401707185, 13.519032193156905",
958,Schloßstrasse Ecke Bundesallee,strassenbahn,"['73', '78', '77']","52.464945681945046, 13.328508519102458",
959,Schloßstrasse Ecke Spandauer Damm,strassenbahn,['54'],"52.51943665353602, 13.295856149320608",
960,Schmargendorf,s-bahn,"['KBS 100', 'KBS 100a']","52.479672222222,13.312441666667",Q302810
961,Scholzplatz,strassenbahn,['75'],"52.50686709880324, 13.22787843505697",
962,Schulenburgpark,strassenbahn,"['15', '95']","52.466660612786704, 13.470292593214328",
963,Schulstrasse Ecke Müllerstrasse,strassenbahn,['68'],"52.546390098849415, 13.359141321985554",
964,Schulstrasse Ecke Reinickendorferstrasse,strassenbahn,['35'],"52.55156144326628, 13.367366569642245",
965,Schulzendorf (b Tegel),s-bahn,['KBS 105'],"52.6128,13.2462",Q800487
966,"Schulzestrasse, S-Bhf. Wollkanstrasse",bus,['A55'],"52.56642190833653, 13.392165766141737",
967,Schwartzkopffstr.,u-bahn,['C I'],"52.535277777778,13.377222222222",Q554360
968,Schwedenstrasse/Uferstrasse,strassenbahn,['36'],"52.553911062442545, 13.377083433527124",
969,Schöneberg,s-bahn,"['KBS 100', 'KBS 100a', 'KBS 104']","52.4794,13.3517",Q543855
970,"Schöneberg, Gotenstrasse",strassenbahn,['25'],"52.48139451073493, 13.360284897059513",
971,"Schönefeld, Dorfplatz",bus,['A36'],"52.342093062255294, 13.510465453623498",
972,Schöneweide,s-bahn,"['KBS 103a', 'KBS 100a', 'KBS 103']","52.455,13.509444444444",Q111323931
973,"Schönfließ , Kirche",bus,['AN'],"52.656068668442224, 13.338922030955636",
974,Schönhauser Allee,s-bahn,"['KBS 100', 'KBS 103a', 'KBS 100c', 'KBS 100b']","52.549329,13.413706",Q111264493
975,Schönhauser Allee,strassenbahn,"['70', '3']","52.5537705,13.4138898",Q65076842
976,Schönhauser Allee,u-bahn,['A I'],"52.549328888889,13.413706111111",Q47014936
977,Schönholz,s-bahn,"['KBS 105', 'KBS 104']","52.5714,13.3814",Q800490
978,Schüßlerplatz,strassenbahn,"['84', '83', '86']","52.44553303566032, 13.576935078888754",
979,Seeburger Strasse Ecke Klosterstrasse,strassenbahn,['75'],"52.529132883770416, 13.19560053430765",
980,Seelenbinderstrasse,strassenbahn,"['84', '87']","52.4554632,13.5769303",Q66324934
981,Seestr.,u-bahn,['C I'],"52.55056,13.35194",Q554391
982,Seestrasse Ecke Amrumerstrasse,bus,['A16'],"52.546219138042765, 13.344049906089847",
983,Seestrasse Ecke Müllerstrasse,strassenbahn,"['68', '28', '29', '25']","52.55044753588031, 13.351974539230612",
984,Senefelderplatz,u-bahn,['A I'],"52.53242,13.412743",Q32661454
985,Siedlung Haselhorst,strassenbahn,['55'],"52.54187453996567, 13.23587661353632",
986,Siegfriestrasse,bus,['O41'],"52.53435088055727, 13.499697796899122",
987,Siemensstadt,s-bahn,['KBS 100d'],"52.53923,13.26365",Q96080453
988,Siemensstadt-Fürstenbrunn,s-bahn,['KBS 103a'],"52.528,13.2695",Q18747940
989,"Siemensstradt, Nonnendammallee",strassenbahn,['35'],"52.538287573206645, 13.247726107146976",
990,Siemensstrasse Ecke Leonorenstrasse,bus,['A2'],"52.44438216972009, 13.338842091785603",
991,Sonnenallee,s-bahn,['KBS 100'],"52.473,13.4558",Q481364
992,Sonnenallee,strassenbahn,['26'],"52.48608535616972, 13.4303114768788",
993,Sonnenallee Ecke Schwarzer Weg,strassenbahn,['95'],"52.46218348846541, 13.477104416215733",
994,Sophie-Charlotte-Platz,u-bahn,['A I'],"52.510833333333,13.296666666667",Q657879
995,Sophie-Charlotte-Strasse,bus,['A3E'],"52.44597915575293, 13.267817468250367",
996,Sophie-Charlotten-Strasse,bus,['A18'],"52.44594955353092, 13.267788405970709",
997,Sophienstrasse,bus,['A7'],"52.630731213748696, 13.334026700101015",
998,Spandau,s-bahn,"['KBS 103a', 'KBS 101', 'KBS 103']","52.532, 13.2089",Q800491
999,Spandau West,s-bahn,"['KBS 103a', 'KBS 101', 'KBS 103']","52.5347,13.1958",Q111325678
1000,"Spandau, Friedhof",bus,['A34'],"52.553136286584845, 13.179674445908985",
1001,"Spandau, Johannesstift",strassenbahn,['54'],"52.567653498027326, 13.191830361576441",
1002,"Spandau, Markt",bus,['A5'],"52.537581553341596, 13.203797305616401",
1003,"Spandau, Markt",strassenbahn,"['75', '55', '54']","52.53784349532438, 13.204135429364628",
1004,"Spandau, Nauenerstrasse",strassenbahn,['55'],"52.53843224737293, 13.182345389221855",
1005,"Spandau, Waldkrankenhaus",bus,['A5'],"52.56214542863615, 13.158340085815741",
1006,"Spandau, Weinmeisterhornweg",bus,['A13'],"52.51105909016346, 13.171587026206698",
1007,Spandauer Damm Ecke Königin-Elisabeth-Strasse,bus,['A10'],"52.51837002948088, 13.28016802012015",
1008,Spandauer Damm Königin-Elisabeth-Strasse,strassenbahn,['60'],"52.51838060187781, 13.28020893113207",
1009,"Spandauerstrasse, Rathaus",bus,['A9'],"52.518410763356016, 13.407213957047396",
1010,Spanische Allee Ecke Potsdamer Chaussee,bus,['A18'],"52.42964101999663, 13.224040761562332",
1011,Spindlersfeld,s-bahn,['KBS 103a'],"52.4472,13.5613",Q4892371
1012,Spittelmarkt,strassenbahn,"['74', '82', '64']","52.511243321361405, 13.40494539543245",
1013,Spittelmarkt,u-bahn,['A I'],"52.511111111111,13.403611111111",Q569489
1014,Sportplatz Reinickendorf,bus,['A21'],"52.56795889171696, 13.312035395866104",
1015,Spreewaldplatz,strassenbahn,"['26', '88']","52.49792227545992, 13.430617008810609",
1016,Staaken,s-bahn,['KBS 101'],"52.5378,13.1414",Q477545
1017,Stadion Buschallee,strassenbahn,['70'],"52.5566718,13.4869834",Q65504715
1018,Stadion Lichterfelde-Ost,bus,['A17'],"52.43855446658727, 13.324891642446353",
1019,Stadthaus Teltow,strassenbahn,['96'],"52.401109556161956, 13.26263746561454",
1020,Stadtmitte (Leipziger Str.),u-bahn,['C I'],"52.5122,13.3894",Q660066
1021,Stadtmitte (Mohrenstr.),u-bahn,['A I'],"52.5122,13.3894",Q660066
1022,"Stadtpark ; Spandau, Stadtpark",strassenbahn,"['88'] ; ['54']","52.45106715288867, 13.337967917367436 ; 52.56203117454324, 13.197052969822593",
1023,Stadtpark Steglitz,bus,"['A33 (Obus)', 'A32 (Obus)', 'A2', 'A17']","52.45110500206577, 13.337263231840865",
1024,Stahnsdorf,s-bahn,['KBS 104b'],"52.38972222,13.19",Q23787450
1025,Stalinallee,bus,"['O40', 'O30']","52.51715128685504, 13.440640767102789",
1026,Stalinallee,s-bahn,"['KBS 100', 'KBS 103a', 'KBS 100c', 'KBS 100b']","52.514166666667,13.474722222222",Q111250033
1027,Stalinallee,strassenbahn,['1'],"52.51808306742478, 13.432938339097822",
1028,Stalinallee,u-bahn,['E'],"52.514166666667,13.474722222222",Q552872
1029,Steglitz,s-bahn,['KBS 104'],"52.4562,13.3216",Q111264179
1030,"Steglitz, Birkbuschstrasse Ecke Siemensstrasse",strassenbahn,['40'],"52.44243083769542, 13.332094600927585",
1031,Sterndamm Ecke Königsheideweg,bus,['A47'],"52.44657996862236, 13.506480255725577",
1032,Steuerhaus,bus,['A41'],"52.530493,13.4614989",
1033,Steuerhaus,strassenbahn,"['63', '69', '64']","52.530493,13.4614989",Q65553632
1034,"Strasse 46, Güteraußenring",bus,['A42'],"52.60084857563519, 13.470163623329423",
1035,Strasse nach Wartenberg,bus,['A46'],"52.56866269126953, 13.520582099858125",
1036,Strassenbahnhof Köpenick,strassenbahn,['83'],"52.4399134,13.5817824",Q66370900
1037,Strausberg,s-bahn,"['KBS 101a', 'KBS 101']","52.531933,13.836933",Q7622326
1038,Strausberg Nord,s-bahn,['KBS 101a'],"52.5902,13.9084",Q7622324
1039,Strausberg Stadt,s-bahn,['KBS 101a'],"52.5766,13.8878",Q7622325
1040,Strausberger Platz,u-bahn,['E'],"52.518055555556,13.430833333333",Q570999
1041,Stromstrase Ecke Turmstrasse,strassenbahn,['23'],"52.5263049551978, 13.34320465990971",
1042,Stromstrasse Ecke Alt-Moabit,strassenbahn,['44'],"52.525423127112404, 13.34283986840417",
1043,Stromstrasse Ecke Turmstrasse,bus,['A24'],"52.526341844675855, 13.343124963846464",
1044,Stromstrasse Ecke Turmstrasse,strassenbahn,['25'],"52.52632254227867, 13.343185347872527",
1045,Stuttgarter Platz,bus,['A21'],"52.50551610729052, 13.302923303561508",
1046,Stuttgarter Platz,strassenbahn,['60'],"52.50566810519856, 13.306864497506904",
1047,Stölpchensee,bus,['A18'],"52.41228329093362, 13.141800667623677",
1048,"Stölpchensee, Wilhelmplatz",bus,['A3'],"52.41240583089011, 13.141644518533106",
1049,Stößenseebrücke,strassenbahn,['75'],"52.508894368243524, 13.217475972829826",
1050,Suermondtstrasse Ecke Hauptstrasse,strassenbahn,['70'],"52.54903058024453, 13.50161484830381",
1051,Summterstrasse,bus,['A8'],"52.47786081005491, 13.613221000132798",
1052,Sundgauer Str.,s-bahn,['KBS 104'],"52.436291,13.273772",Q800513
1053,Sundgauer Strasse Ecke Berlinerstrasse,bus,['A48'],"52.43833636899285, 13.271438368698744",
1054,Süd-West-Korso Ecke Bundesallee,bus,['A25'],"52.4772524189012, 13.328479355917244",
1055,Südende,s-bahn,['KBS 106'],"52.4481,13.3536",Q800511
