Column,stop_name,type,in_lines,location,identifier
544,Kladow,Fähre,['Wannsee<>Kladow (Betrieb durch Stern und Kreisschiffahrt)'],"52.45151498638808, 13.147961938847912",
545,"Kladow, Hottengrund (Stadtgrenze)",bus,['A35'],"52.44607912406518, 13.12629608245484",
546,Klausenerplatz,strassenbahn,['60'],"52.519202008553854, 13.291867366490655",
547,Kleine Frankfurterstrasse,strassenbahn,"['63', '64']","52.52316104022035, 13.427849786497696",
549,Klement-Gottwald-Allee Ecke Bernkasteler Strasse,strassenbahn,"['74', '72']","52.557020581568636, 13.466903185329526",
550,Klement-Gottwald-Allee Ecke Falkenbergerstrasse,bus,['A46'],"52.555008425434956, 13.467651295944174",
551,Klement-Gottwald-Allee/Lichtenberger Strasse,strassenbahn,['3'],"52.55197851771295, 13.465492657377409",
552,"Klingenberg, Blockdammweg",strassenbahn,['13'],"52.4842462,13.5104609",Q66085182
553,"Klingenberg, Hauptstrasse",strassenbahn,['13'],"52.49911536933863, 13.480658310279543",
554,Klingsorstrasse Ecke Birkbuschstrasse,strassenbahn,['40'],"52.44753002135401, 13.326343877499239",
555,Klosterstr.,u-bahn,['A I'],"52.516111111111,13.412222222222",Q657893
556,Klosterstrasse,bus,['O30'],"52.51798604342281, 13.412126746747086",
557,Knie,strassenbahn,['55'],"52.51266887977092, 13.321859924761794",
558,Koblanckstrasse,bus,['A51'],"52.42616031178746, 13.1614370371839",
559,Kochstr.,u-bahn,['C I'],"52.505897222222,13.390611111111",Q201849
560,Kohlhasenbrück,bus,['A18'],"52.399386850068794, 13.141401147548066",
561,Koloniestrasse Ecke Drontheimerstrasse,bus,['A14'],"52.55659295123383, 13.377186424053912",
562,Konstanzerstrasse Ecke Brandenburgischestrasse,strassenbahn,['60'],"52.49353646131809, 13.310142408780207",
563,Konstanzerstrasse Ecke Hohenzollerndamm,bus,['A50'],"52.488557879230406, 13.307970125730856",
564,Kosterstrasse,bus,['O30'],"52.51798604342281, 13.412126746747086",
565,Kottbusser Damm (Schönleinstr.),u-bahn,['D'],"52.493055555556,13.421944444444",Q666868
566,Kottbusser Tor,strassenbahn,['94'],"52.49904927716114, 13.418240814761639",
567,Kottbusser Tor,u-bahn,"['D', 'B I', 'A II']","52.499166666667,13.418055555556",Q819768
568,Kraftwerk Klingenberg,strassenbahn,"['13', '82']","52.4881374,13.4958685",Q66079524
569,Krankenhaus Heckeshorn,bus,['A51'],"52.43498872792054, 13.161716693825408",
570,Krankenhaus Neukölln,strassenbahn,['47'],"52.43977054074335, 13.459359057866306",
571,Krankenhaus Tegel-Süd,bus,['A13'],"52.57573397877684, 13.278749331662",
572,Krankenhaus Wannsee,bus,['A51'],"52.43102764694952, 13.164964517227903",
573,Kriminalgericht,strassenbahn,['25'],"52.52664,13.35458",Q121863924
574,Krumme Lanke,u-bahn,['A II'],"52.443333333333,13.241388888889",Q663945
575,Kufsteinerstrasse Ecke Wexstrasse,bus,['A16'],"52.47882775194336, 13.336919580493483",
576,Kurfürstendamm Ecke Brandenburgischestrasse,strassenbahn,['3'],"52.4999887817538, 13.30701206865973",
577,Kurfürstendamm Ecke Joachim-Friedrich-Strasse,bus,['A21'],"52.49794483473113, 13.29620731326561",
578,Kurfürstendamm Ecke Joachimstalerstrasse,bus,['A25'],"52.503821761621026, 13.331324056667572",
579,Kurfürstendamm Ecke Konstanzer Strasse,bus,['A1'],"52.500599097108285, 13.31304940813286",
580,Kurfürstendamm Ecke Wilmersdorferstrasse,strassenbahn,"['44', '60']","52.499999022801454, 13.307019457045545",
581,Kurfürstenstr.,u-bahn,['B I'],"52.5,13.361944444444",Q690203
582,Kurfürstenstrasse,u-bahn,['A II'],"52.5,13.361944",Q690203
583,Kurt-Fischer-Platz,bus,['A7'],"52.57973292845757, 13.398330728468228",
584,Kurt-Fischer-Platz,strassenbahn,"['22', '46']","52.578668,13.3983016",Q65032974
585,Kurt-Schuhmacher-Platz,strassenbahn,"['41', '68', '25']","52.56335709197197, 13.327155109650729",
586,Kurt-Schumacher-Platz,bus,['A21'],"52.563438249109005, 13.32713028618972",
587,Kurt-Schumacher-Platz,strassenbahn,"['28', '29']","52.56337002830784, 13.327125115241373",
588,Kurt-Schumacher-Platz,u-bahn,['C I'],"52.563555555556,13.326572222222",Q555916
589,Köpenick,s-bahn,['KBS 102'],"52.4586,13.5808",Q800479
590,Köllnische Heide,s-bahn,['KBS 100a'],"52.4694,13.4675",Q800505
591,Köllnischer Platz,strassenbahn,"['84', '86']","52.4447189,13.5686225",Q66363379
592,Königin-Elisabeth-Strasse Ecke Kaiserdamm,strassenbahn,['60'],"52.510016445572965, 13.281838957682126",
593,Königin-Elisabeth-Strasse Ecke Spandauer Damm,strassenbahn,['54'],"52.518365980839796, 13.280210738296512",
594,"Königin-Luise-Strasse, Dahlem-Dorf",bus,['A10'],"52.45807171681151, 13.289705778474532",
595,Königs Wusterhausen,s-bahn,['KBS 103'],"52.2966,13.6311",Q178002
596,Königsheideweg,strassenbahn,['91'],"52.4467799,13.5066707",Q66236157
597,Königstor,bus,"['A9', 'O40', 'O30']","52.52520269485428, 13.419834994127731",
598,Königstor,strassenbahn,['74'],"52.52821600265539, 13.423869016265495",
599,Königstrasse Ecke Am Grossen Wannsee,bus,['A51'],"52.42052024120557, 13.167173648441983",
600,Königstrasse Ecke Bahnhofstrasse,bus,['A6'],"52.419951974527734, 13.17530842784429",
601,Königsweide,strassenbahn,['69'],"52.4467799,13.5066707",Q66236157
602,"Köpenick, Hirtestrasse",strassenbahn,['82'],"52.4590446,13.5838302",Q66459446
603,"Köpenick, Krankenhaus",bus,['A27'],"52.43861200573594, 13.592411258792163",
604,"Köpenick, Krankenhaus",strassenbahn,['95'],"52.4388396,13.5920763",Q66091900
605,"Köpenick, Lindenstrasse Ecke Bahnhofstrasse",strassenbahn,['95'],"52.4505094,13.572684",Q66095701
606,Köpenicker Landstrasse Ecke Baumschulenstrasse,strassenbahn,['87'],"52.46913201072182, 13.491340045687773",
607,Köpenicker Strasse,strassenbahn,['84'],"52.420483475304536, 13.538745338445915",
608,Köpenicker Strasse Ecke Adalbertstrasse,strassenbahn,['11'],"52.50851870094253, 13.425367474591651",
609,Köpenicker landstrasse,strassenbahn,['95'],"52.464462017739535, 13.49806222885837",
610,Küstriner Platz,bus,"['O40', 'O30']","52.51324778107561, 13.439333192026231",
611,Landsberger Chaussee Ecke Weißenseer Weg,strassenbahn,['3'],"52.533024946185236, 13.476229453708001",
612,Lange Strasse Ecke Lorenzstrasse,bus,['A11'],"52.424014090614754, 13.333133243045594",
613,Lankwitz,s-bahn,['KBS 106'],"52.4386,13.3417",Q800481
