,stop_id,stop_name,type,location,in_lines,identifier
0,19560,Adamstrasse Ecke Wilhelmstrasse,bus,"52.5210974258045, 13.187990320264987",['A13'],nan
1,19561,Adlershof,s-bahn,"52.434722222222,13.541388888889","['KBS 100a', 'KBS 103']",Q323551
2,19562,Adolf-Scheidt-Platz,strassenbahn,"52.478194856980814, 13.37836902238447",['95'],nan
3,19563,Afrikanische Str.,u-bahn,"52.560027777778,13.334633333333",['C I'],Q559239
4,19564,"Ahrensfeld, Lindenbergerstrasse",bus,"52.57534151289329, 13.576465760668366",['A46'],nan
5,19565,Alboinstrasse Ecke Schönebergerstrasse,strassenbahn,"52.4698434808757, 13.372061552266187",['6'],nan
6,19566,Albrechtshof,s-bahn,"52.5494,13.1283",['KBS 103'],Q800470
7,19567,Alexanderplatz,s-bahn,"52.521388888889,13.411944444444","['KBS 102', 'KBS 101', 'KBS 103']",Q111324700
8,19568,Alexanderplatz,u-bahn,"52.5214,13.4119","['D', 'E', 'A I']",Q17173458
9,19569,"Alexanderplatz, Grunerstrasse",strassenbahn,"52.52008326268696, 13.41408418961877","['74', '22', '71', '72']",nan
10,195610,"Alexanderplatz, Grunestrasse",strassenbahn,"52.52008326268696, 13.41408418961877",['64'],nan
11,195611,"Alexanderplatz, Memhardstr.",strassenbahn,"52.5233439,13.4110773",['1'],Q65227406
12,195612,"Alexanderplatz, Memhardstrasse",strassenbahn,"52.5233439,13.4110773","['63', '69', '11']",Q65227406
13,195613,"Alt-Biesdorf, Oberfeldstrasse",bus,"52.50918606891929, 13.553347058493491",['A8'],nan
14,195614,Alt-Kladow,bus,"52.454591413254434, 13.144488043956764",['A34'],nan
15,195615,Alt-Kladow Ecke Kladower Damm,bus,"52.453456955410275, 13.143930501157236",['A35'],nan
16,195616,Alt-Mariendorf,strassenbahn,"52.4401532176395, 13.387265005984174",['99'],nan
17,195617,Alt-Marienfelde Ecke Marienfelderallee,bus,"52.41357787421618, 13.363330517921128",['A52'],nan
18,195618,"Alt-Marzahn, Kirche",bus,"52.542423454435976, 13.564061751343658","['A37', 'O37']",nan
19,195619,Alt-Moabit/Paulstrasse,bus,"52.52362366662573, 13.356925243183808",['A24'],nan
20,195620,Alt-Müggelheim,bus,"52.41018331064196, 13.665897531850348",['A27'],nan
21,195621,Alt-Reinickendorf Ecke Roedernstrasse,bus,"52.575847957276935, 13.347790909547232","['A12', 'A12S']",nan
22,195622,Alt-Schmöckwitz,strassenbahn,"52.3752767,13.649549",['86'],Q66459540
23,195623,Alt-Tegel,bus,"52.58954346115138, 13.283679780746766",['A15'],nan
24,195624,Alt-Tegel Ecke Schloßstrasse,strassenbahn,"52.58969334067717, 13.283400910032718","['28', '29']",nan
25,195625,Alt-Tegel/Gorkistrasse,bus,"52.58966264834485, 13.283744661306388",['A13'],nan
26,195626,Alt-Tempelhof,strassenbahn,"52.4660774066416, 13.3856316379907","['98', '99']",nan
27,195627,Alt-Tempelhof Ecke Tempelhofer Damm,strassenbahn,"52.465914246760505, 13.385603415873367",['96'],nan
28,195628,Alt-Wittenau Ecke Holzhauserstrasse,bus,"52.59184437684138, 13.326382322502273","['A21', 'A15']",nan
29,195629,Alt-Wittenau Ecke Oranienburgerstrasse,strassenbahn,"52.58971750833865, 13.33418249504555",['68'],nan
30,195630,"Altglienicke, Am Falkenberg",strassenbahn,"52.41079970042163, 13.570452931545786",['84'],nan
31,195631,"Altglienicke, Kirche",bus,"52.421845729296805, 13.539407702079252",['A23'],nan
32,195632,Am Grossen Wannsee,bus,"52.420496581432594, 13.167192967572669",['A6'],nan
33,195633,Am Knie,bus,"52.512731625753695, 13.321879176786634",['A2'],nan
34,195634,Am Knie,strassenbahn,"52.51266887977092, 13.321859924761794",['2'],nan
35,195635,Am Kupfergraben,strassenbahn,"52.5194208,13.3953839","['1', '46']",Q65055027
36,195636,Am Rosenhag,bus,"52.52474356253909, 13.621775828105108","['A44E', 'A44']",nan
