year,Stops,Frequency,Length (time),line_name,type,east-west
1946,"Tegelort - Conradshöher Chaussee - Tegeler Forst - Conradshöher Chaussee Ecke Carolinenstrasse - Tegel, Schloßstrasse - Berlinerstrasse Ecke Seidelstrasse - Reinickendorf, Scharnweberstrasse - Scharnweberstrasse Ecke Berliner Strasse - Müllerstrasse - Müllerstrasse Ecke Seestrasse - Iranische Strasse Ecke Reinickendorfer Strasse - Exerzierstrasse - Badstrassse - Badstrasse Ecke Pankstrassse - Brunnenstrasse, Gesundbrunnen - Brunnenstrasse - Ramlerstrasse",30.0,,28,strassenbahn,
1946,"Heiligensee - Kirschallee - Tegeler Forst - Carolinenstrasse Ecke Conradshöher Chaussee - Tegel, Schloßstrasse  - Berlinerstrasse Ecke Seidelstrasse - Reinickendorf, Scharnweberstrasse - Scharnweberstrasse  Ecke Berliner Strasse - Müllerstrasse - Müllerstrasse Ecke Seestrasse - Iranische Strasse Ecke Reinickendorfer Strasse - Exerzierstrasse - Badstrassse - Badstrasse Ecke Pankstrassse - Brunnenstrasse, Gesundbrunnen - Brunnenstrasse - Ramlerstrasse",30.0,,128,strassenbahn,
1946,"Tegel, Alt-Tegel - Berlinerstrasse Ecke Seidelstrasse - Reinickendorf, Scharnweberstrasse - Reinickendorf-West, Berliner Strasse - Humboldtstrasse - Humboldtstrasse Ecke Berliner Strasse - Reinickendorf-Ost, Hauptstrasse - Hauptstrasse Ecke Residenzstrasse - Markstrasse - Oskarplatz - Reinickendorfer Strasse - Reinickendorfer Strasse Ecke Iranische Strasse - Exerzierstrasse - Badstrassse - Badstrasse Ecke Pankstrassse - Brunnenstrasse, Gesundbrunnen - Ramlerstrasse",15.0,20.0,41,strassenbahn,
1946,"Wilhelmsruh, Hauptstrasse - Kopenhagener Strasse  - Reinickendorf, Residenzstrasse - Residenzstrasse Ecke Hauptstrasse - Marktstrasse - Oskarplatz - Reinickendorfer Strasse - Reinickendorfer Strasse Ecke Iranische Strasse - Exerzierstrasse - Badstrassse - Badstrasse Ecke Pankstrassse - Brunnenstrasse, Gesundbrunnen - Ramlerstrasse",15.0,20.0,141,strassenbahn,
1946,"Nordend - Niederschönhausen, Friedensplatz - Bismarckstrasse - Bismarckplatz - Grabbeallee - Pankow, Breite Strasse - Breite Strasse Ecke Berliner Strasse - Berliner Strasse Ecke Vinetastrasse - Schönhauser Allee - Schönhauser Allee Ecke Dänenstrasse - Schönhauser Allee Ecke Danziger Strasse - U-Bahnhof Danziger Strasse",10.0,,47,strassenbahn,
1946,"Britz, Rudower Strasse (Teltowkanal) - Buschkrug - Buckow-Ost, Rudower Strasse - Rudow, Neuköllner Strasse - Walterdorfer Chaussee - Schönefeld",15.0,,147,strassenbahn,
1946,"Buchholz - Pasewalker Strasse - Pankow, Damerowstrasse - Breite Strasse Ecke Berliner Strasse - Berliner Strasse Ecke Vinetastrasse - Schönhauser Allee - Schönhauser Allee Ecke Wisbyer Strasse - Schönhauser Allee Ecke Dänenstrasse - Schönhauser Allee Ecke Danziger Strasse - U-Bahnhof Danziger Strasse",15.0,,49,strassenbahn,
1946,"Spandau, Johannesstrift - Schönwalder Allee - Schönwalder Strasse - Hafenplatz - Carl-Schurz-Strasse - Spandau Markt - Grenadierstrasse - Grunewaldstrasse - Ruhlebener Strasse - Charlottenburger Chaussee, U-Bhf. Ruhleben - Spandauer Chaussee - Spandauer Berg - Spandauer Strasse Ecke Schloßstrasse - Richard-Wagner-Platz (Spreestrasse)",15.0,,54,strassenbahn,
1946,"Spandau markt - Haselhorst, Gartenfelder Strasse - Paulsternstrasse - Nonnendammallee - Siemensstadt - Bhf. Jungfernheide - Tegeler Weg - Osnabrücker Strasse - Kaiserin-Augusta-Allee Ecke Wiebestrasse - Gotzkowskystrasse",6.0,20.0,55,strassenbahn,
1946,"Weißensee, Rennbahnstrasse - Berliner Allee, Antonplatz - Greifswalder Strasse - Bhf. Weißensee - Greifswalder Strasse Ecke Danziger Strasse - Neue Königstrasse - Jostystrasse - Prenzlauer Strasse Ecke Prenzlauer Allee - Alexanderplatz - Molkenmarkt - Rathaus (Jüdenstrasse)",5.0,15.0,60,strassenbahn,
1946,"Charlottenburg, Königin-Elisabeht-Strasse (U-Bahnhof Kaiserdamm) - Spandauer Strasse Ecke Schloßtrasse - Suarezstrasse Ecke Kaiserdamm - Suarezstrasse - Kantstrasse - Bhf. Charlottenburg - Stuttgarter Platz - Wilmersdorfer Strasse - Wilmersdorfer Strasse Ecke Kurfürstendamm - Brandenburgische Strasse - Fehrbelliner Platz - Hohenzollerndamm - Wilmersdorf, Emser Platz",15.0,20.0,62,strassenbahn,
1946,"Hohenschönhausen, Degener Strasse - Weißenseer Weg Ecke Hohenschönhauser Strasse - Hohenschönhauser Strasse - Landsberger Allee, Steuerhaus - Bhf. Lansberger Allee - Landsberger Allee Ecke Elbinger Strasse - Alexanderplatz - Molkenmarkt - Rathaus (Jüdenstrasse)",10.0,15.0,64,strassenbahn,
1946,"Lichtenberg, Scheffelstrasse - Eldenaer Strasse - Forkenbeckplatz - Baltenplatz - Petersburger Strasse Ecke Landsberger Allee - Alexanderplatz - Molkenmarkt - Rathaus (Jüdenstrasse)",10.0,,65,strassenbahn,
1946,"Wittenau, Nordbahnhof - Oranienburger Strasse Ecke Wilhelmsruher Damm - Reinickendorf, Berliner Strasse Ecke Waldstrasse - Berliner Strasse Ecke Humboldtstrasse - Berliner Strasse Ecke Scharnweberstrasse - Müllerstrasse - Müllerstrasse Ecke Seestrasse - Togostrasse ",7.5,15.0,68,strassenbahn,
1946,"Landsberger Allee Ecke Elbinger Strasse - Bhf. Landsberger Allee - Landsberger Allee, Steuerhaus - Lichtenberg, Röderplatz - Herzbergstrasse - Siegfriedstrasse - Bhf. Lichtenberg - Alt-Friedrichsfelde - Karlshorst, Treskowallee - Treskowallee Ecke Warmbader Strasse - Karlshorster Chaussee - Oberschöneweide, Edisonstrass Ecke Wilhelminenhofstrasse",7.5,20.0,69,strassenbahn,
1946,"Weißensee, Rennbahnstrasse - Berliner Allee, Antonplatz - Langhansstrasse - Gustav-Adolf-Strasse Ecke Prenzlauer Allee - Prenzlauer Allee - Bhf. Prenzlauer Allee - Prenzlauer Allee  Ecke Danziger Strasse - Prenzlauer Strasse Ecke Prenzlauer Allee - Alexanderplatz - Molkenmarkt - Rathaus (Jüdenstrasse)",7.5,15.0,72,strassenbahn,
1946,Heinersdorf - Prenzlauer Promenade - Prenzlauer Promenade Ecke Gustav-Adolf-Strasse - Prenzlauer Allee - Bhf. Prenzlauer Allee - Prenzlauer Allee  Ecke Danziger Strasse - Prenzlauer Strasse Ecke Prenzlauer Allee - Alexanderplatz - Molkenmarkt - Rathaus (Jüdenstrasse),15.0,,73,strassenbahn,
1946,"Lichterfelde, Händelplatz - Hindenburgdamm - Steglitz, Rathaus - Friedenau, Rheinstrasse - Innsbrucker Platz - Hauptstrasse Ecke Mühlenstrasse - Postdamer Strasse Ecke Hauptstrasse - Potsdamer Strasse Ecke Pallasstrasse - Potsdamer Strasse Ecke Kurfürstenstrasse - Potsdamer Platz - Leipziger Strasse Ecke Friedrichstrasse - Dönhoffplatz - Spittelmarkt",5.0,10.0,74,strassenbahn,
1946,"Hakenfelde - Niederneuendorfer Allee - Streitstrasse - Neuendorfer Strasse - Hafenplatz - Oranienburger Tor - Spandau, Markt - Carl-Schurz-Strasse - Klosterstrasse Ecke Seeburgerstrasse - Pichelsdorfer Strasse - Alt-Pichelsdorf (Freybrücke)",5.0,10.0,75,strassenbahn,
1946,"Freybrücke - Bhf. Heerstrasse - Reichskanzlerplatz - Kaiserdamm - Masurenallee (Ausstellungshallen) - Kantstrasse - Bhf. Charlottenburg - Wilmersdorfer Strasse - Wilmersdorfer Strasse Ecke Kurfürstendamm - Halensee - Grunewald, Hubertusallee",15.0,,75,strassenbahn,
1946,Joachimstaler Strasse - Kurfürstendamm - Kurfürstendamm Ecke Wilmersdorfer Strasse - Bhf. Halensee - Hubertusallee - Hagenplatz - Roseneck,15.0,,76,strassenbahn,
1946,"Lichterfelde-Süde, Goerzallee Ecke Appenzeller Strasse - Ringstrasse Ecke Finckensteinallee - Lichterfelde-West, Drakestrasse - Händelplatz - Hindenburgdamm - Steglitz, Rathaus - Friedenau, Rheinstrasse - Friedenau, Friedrich-Wilhelm-Platz - Kaiserallee Ecke Berliner Strasse - Kaiserallee Ecke Spichernstrasse - Joachimstaler Strasse Ecke Kurfürstendamm - Kantstrasse (Bhf. Zoologischer Garten)",10.0,,77,strassenbahn,
1946,Molkenmarkt - Schicklerstrasse Ecke Alexanderstrasse - Jannowitzbrücke - Am Schlesischen Bahnhof - Mühlenstrasse - Stralauer Allee Ecke Warschauerstrasse - Markgrafendamm,15.0,,82,strassenbahn,
1946,"Köpenick, Marienhain über Wendenschloßstrasse - Wendenschloßstrasse Ecke Müggelheimer Strasse - Dammbrücke - Bahnhofstrasse Ecke Lindenstrasse - Bhf. Köpenick - Mahlsdorfer Strasse - Mahlsdorfer Strasse Ecke Kohlisstrasse - Hultschiner Damm Ecke Alt-Mahlsdorf - Treskowstrasse Ecke Hönowerstrasse - Bhf. Mahlsdorf",20.0,,83,strassenbahn ,
1946,Bhf. Grünau - Sportpromenade - Vetschauer Allee - Schmöckwitz,20.0,,86,strassenbahn,
1946,"Dönhoffplatz - Spittelmarkt - Märkisches Museum - Neanderstrasse Ecke Köpenicker Strasse - Köpenicker Strasse - Schlesisches Tor - Treptow, Elsenstrasse - Am Treptower Park - Köpenicker Landstrasse - Bhf. Baumschulenweg - Oberschöneweide, Nalepastrasse Ecke Karlshorsterstrasse - Wilhelminenhofstrasse - Ostendstrasse - Weißkopfstrasse - An der Wuhlheide - Lindenstrasse Ecke Bahnhofstrasse - Köpenick, Bellevuestrasse - Müggelseedamm - Bhf. Friedrichshagen - Fürstenwalder Damm - Rahnsdorf",10.0,30.0,87,strassenbahn,
1946,"Treptow, Rathaus - Bulgarische Strasse - Köpenicker Landstrasse Ecke Baumschulenstrasse - Bahnhof Schöneweide - Sternendamm - Johannisthal",15.0,,91,strassenbahn,
1946,"Hermannplatz (Urbanstrasse) - Sonnenallee - Sonnenallee Ecke Erkstrasse - Sonnenallee, S-Bahn - Baumschulenstrasse - Bhf. Baumschulenweg - Köpenicker Landstrasse - Bhf. Schöneweide - Oberschöneweide, Nalepastrasse Ecke Karlshorsterstrasse - Wilhelminenhofstrasse - Ostendstrasse - Weißkopfstrasse - An der Wuhlheide - Lindenstrasse Ecke Bahnhofstrasse - Dammbrücke - Wendenschloßstrasse Ecke Müggelheimer Strasse - Köpenick, Krankenhaus",7.0,15.0,95,strassenbahn,
1946,"Machnower Schleuse - Stahnsdorf - Potsdamer Strasse - Teltow, Hindenburgplatz - Schützenplatz - Kranoldplatz - Lankwitz, Kaiser-Wilhelm-Strasse - Attilastrasse - Bhf. Mariendorf - Attilaplatz - Friedrich-Karl-Strasse - Bhf. Tempelhof",15.0,,96,strassenbahn,
1946,"Baerwaldstrasse Ecke Gneisenaustrasse - Franz-Mehring-Strasse Ecke Gneisenaustrasse - Bhf. Tempelhof - Berliner Strasse Ecke Dorfstrasse - Friedrich-Karl-strasse - Attilaplatz - Mariendorf, Zastrowstrasse - Chausseestrasse - Lichtenrader Chaussee - Bahnhofstrasse - Bhf. Lichtenrade",5.0,10.0,99,strassenbahn,
1946,"Nordend - Bismarckplatz - Grabbeallee - Pankow, Wollankstrasse - Wollankstrasse Ecke Brehmestrasse - Badstrasse Ecke Pankstrasse - Brunnenstrasse, Gesundbrunnen - Ramlerstrasse",10.0,15.0,199,strassenbahn,
1946,Gesundbrunnen - Schönhauser Allee - Prenzlauer Allee - Greifswalder Str. - Frankfurter Allee - Ostkreuz - Treptower Park - Sonnenallee - Neukölln - Hermannstr. - Tempelhof - Papestr. - Schöneberg - Innsbrucker Platz - Wilmersdorf - Schmargendorf - Hohenzollerndamm - Halensee - Westkreuz - Witzleben - Westend - Jungfernheide - Beusselstr. - Putlitzstr. - Wedding - Gesundbrunnen,10.0,,KBS 100,s-bahn,
1946,Hermannstr. - Neukölln - Köllnische Heide - Baumschulenweg - Schöneweide - Betriebsbahnhof Schöneweide – Adlershof - Grünau,30.0,,KBS 100a,s-bahn,
1946,Jungfernheide - Wernerwerk - Siemensstadt - Gartenfeld,30.0,,KBS 100b,s-bahn,
