,stop_name,line_count,type,in_lines
0,Flughafen,1,bus,['1']
1,Franz-Mehring-Strasse,3,bus,['1']
2,Franz-Mehring-Strasse,3,strassenbahn,['99']
3,Franz-Mehring-Strasse,3,u-bahn,['C']
4,Hallesches Tor,3,bus,['1']
5,Hallesches Tor,3,u-bahn,"['B', 'C']"
6,Lindenstrasse,1,bus,['1']
7,Jerusalemer Strasse,1,bus,['1']
8,Dönhoffplatz,3,bus,['1']
9,Dönhoffplatz,3,strassenbahn,"['87', '74']"
10,Werderscher markt,1,bus,['1']
11,Schloßplatz,2,bus,"['1', '9']"
12,Alexanderplatz,12,bus,"['1', '9']"
13,Alexanderplatz,12,strassenbahn,"['72', '64', '73', '65', '60']"
14,Alexanderplatz,12,s-bahn,"['KBS 101', 'KBS 100c']"
15,Alexanderplatz,12,u-bahn,"['E', 'A', 'D']"
16,Alexanderstrasse,2,bus,['1']
17,Alexanderstrasse,2,strassenbahn,['82']
18,Holzmarkstrasse,1,bus,['1']
19,Schlesischer Bahnhof,3,bus,['1']
20,Schlesischer Bahnhof,3,s-bahn,"['KBS 101', 'KBS 100c']"
21,Am Schlesischen Bahnhof,2,bus,['1']
22,Am Schlesischen Bahnhof,2,strassenbahn,['82']
23,Fruchtstrasse,1,bus,['1']
24,Kürstriner Platz,1,bus,['1']
25,Frankfurter Allee,4,bus,['1']
26,Frankfurter Allee,4,strassenbahn,['69']
27,Frankfurter Allee,4,s-bahn,['KBS 100']
28,Frankfurter Allee,4,u-bahn,['E']
29,Frankfurter Allee Ecke Warschauer Strasse,1,bus,['1']
30,Frankfurter Allee Ecke Gürtelstrasse,1,bus,['1']
31,Alt-Friedrichsfelde,1,bus,"['H', '1']"
32,Alt-Friedrichsfelde,1,strassenbahn,['69']
33,Hackescher Markt,1,strassenbahn,['1']
34,Rosenthaler Strasse,1,strassenbahn,['1']
35,Rosenthaler Platz,2,strassenbahn,['1']
36,Rosenthaler Platz,2,u-bahn,['D']
37,Invalidenstrasse,1,strassenbahn,['1']
38,Stettiner Bhf.,2,strassenbahn,['1']
39,Stettiner Bhf.,2,u-bahn,['C']
40,Chausseestrasse,3,strassenbahn,"['1', '27', '99']"
41,Friedrichstrasse,3,strassenbahn,"['87', '86', '1']"
42,Weidendammbrücke,1,strassenbahn,['1']
43,Prinz-Louis-Ferdinand-Strasse,1,strassenbahn,['1']
44,Dorotheenstrasse,1,strassenbahn,['1']
45,Hindenburgplatz,2,strassenbahn,"['21', '1']"
46,Potsdamer Platz,7,strassenbahn,"['21', '74', '1']"
47,Potsdamer Platz,7,s-bahn,"['KBS 105a', 'KBS 103', 'KBS 104a']"
48,Potsdamer Platz,7,u-bahn,['A']
49,Stresemannstrasse,2,strassenbahn,"['21', '1']"
50,Anhalter Bahnhof,4,strassenbahn,['1']
51,Anhalter Bahnhof,4,s-bahn,"['KBS 105a', 'KBS 103', 'KBS 104a']"
52,"Zehlendorf, Rathaus",1,bus,"['17', '5']"
53,Potsdamer Chaussee,1,bus,['17']
54,Bhf. Nikolassee,1,bus,['17']
55,Bhf. Wannsee,1,bus,['17']
56,Königstrasse,7,bus,"['17', '9']"
57,Königstrasse,7,strassenbahn,"['72', '64', '73', '65', '60']"
58,Stölpchensee,1,bus,['17']
59,Wiebestrasse,1,strassenbahn,['21']
60,Thälmannstrasse,2,strassenbahn,"['21', '3']"
61,Thälmannstrasse Ecke Waldstrasse,1,strassenbahn,['21']
62,Rathenower Strasse,1,strassenbahn,['21']
63,Alt-Moabit,1,strassenbahn,['21']
64,Moltkebrücke,1,strassenbahn,['21']
65,Lehrter Bhf.,1,strassenbahn,['21']
66,Moltkestrasse,1,strassenbahn,['21']
67,Fürst-Bismarck-Strasse,1,strassenbahn,['21']
68,Roonstrasse,1,strassenbahn,['21']
69,Köngsplatz,1,strassenbahn,['21']
70,Hindenburgplatz,2,strassenbahn,"['21', '1']"
71,Potsdamer Platz,7,strassenbahn,"['21', '74', '1']"
72,Potsdamer Platz,7,s-bahn,"['KBS 105a', 'KBS 103', 'KBS 104a']"
73,Potsdamer Platz,7,u-bahn,['A']
74,Stresemannstrasse,2,strassenbahn,"['21', '1']"
75,Anhalter Bhf.,1,strassenbahn,['21']
76,Rosenthal,1,strassenbahn,['23']
77,Reichskanzlerdamm,1,strassenbahn,['23']
