line_name,type,east-west,Stops,Frequency,Length (time),Length (km),year,Route
1,bus,West,"Moabit, Waldstrasse Ecke Turmstrasse - Turmstrasse - Alt-Moabit - Franklinstrasse - Otto-Suhr-Allee - Bismarckstrasse - Kantstrasse - Kurfürstendamm - Olivaer Platz - U-Bhf. Konstanzer Strasse - U-Bhf. Fehrbelliner Platz - U-Bhf. Blissestrasse - Hildegardstrasse - Laubacher Strasse - U-Bhf. Breitenbachplatz - U-Bhf. Dahlem-Dorf - Pacelli-/Thielallee - Königin-Luise-Strasse - U-Bhf. Oskar-Helene-Heim - Winfriedstrasse - Berliner Strasse -  Rathaus Zehlendorf - Hampsteadstrasse - Wismarer Strasse - Lichterfelde, Lindenstrasse",12,69,,1982,
10,bus,West,"Haselhorster Damm - Gartenfelder Strasse - Paulsternstrasse - Nonnendammallee - U-Bhf. Rohrdamm - Fürstenbrunner Weg/Friedhof -  Spandauer Damm - U-Bhf. Kaiserdamm - ICC/Omnibusbahnhof - Dernburgstrasse - Amtgerichtsplatz - Kurfürstendamm - Henriettenplatz - Rathenauplatz - Herbertstrasse/BSC-Sportplatz - Elsterplatz - Hundekehlestrasse - Königen-Luise-Strasse/Museum Dahlem - U-Bhf. Thielplatz - Corrensplatz - Berliner Strasse - Teltower Damm - Rathaus Zehlendorf - Behring-Krankenhaus - Zehlendorf-Süd, Sachtlebenstrasse Ecke Lupsteiner Weg",12,67,,1982,
11,bus,West,Dahlem Waldfriedhof - U-Bhf. Oskar-Helene-Heim - Garystrasse - Corrensplatz - Berliner Strasse - Adolf-Martens-Strasse - Drakestrasse - Gardeschützenweg - Hindenburgdamm/Wiesenbaude - Ostpreußendamm - Marienstrasse/Königswarter Krankenhaus - Morgensternstrasse - Kranoldplatz - Hildburghauser Strasse - Marienfelder Allee - Alt-Marienfelde - An der Heilandsweide - Stegerwaldstrasse - Hranitzkystrasse - Daimlerstrasse - Wilhelm-von-Siemens-Strasse - Alt-Mariendorf - U-Bhf. Alt-Mariendorf,12,43,,1982,
11,strassenbahn,Ost,"S-Bhf. Marzahn - BWF Marzahn - Rhinstrasse - Genslerstrasse - Zechliner Strasse - Ho-Chi-Minh-Strasse - S-Bhf. Leninallee - Dimitroffstrasse - Krankenhaus Friedrichshain - Mollstrasse - Hans-Beimler-Strasse - U-Bhf. Rosa-Luxemburg-Platz - Rosenthaler Platz - Veteranenstrasse - Invalidenstrasse, Post - Stadion der Weltjugend",20,47,,1982,
12,bus,West,"Wedding, Bernauer Strasse - Voltastrasse - Scheringstrasse - Nettelbeckplatz - U-Bhf. Leopoldplatz - Limburger Strasse/Rathaus Wedding - U-Bhf. Seestrasse - Barfusstrasse - Holländerstrasse - Emmentaler Strasse - Roedernallee - Am Nordgraben - Oranienburger Strasse - Eichborndamm - Hermsdorfer Strasse - Cyclopstrasse - Zabel-Krüger-Damm - Dianastrasse - Hermsdorfer Damm - Burgfrauen Strasse - Zeltinger Platz - Ludolfinger Platz - Donnersmarckplatz - Maximiliankorso Ecke Hainbuchenstrasse",15,61,,1982,
12,strassenbahn,Ost,S-Bhf. Marzahn - BWF Marzahn - Rhinstrasse - Genslerstrasse - Zechliner Strasse - Mittelstrasse - Ho-Chi-Minh-Strasse - Leninallee - Herzbergstrasse - Rathaus Lichtenberg - Bhf. Frankfurter Allee - Scharnweberstrasse,20,27,,1982,
13,bus,West,Alt-Heiligensee - Heiligenseestrasse - Konradshöher Strasse - Karolinenstrasse - U-Bhf. Tegel - U-Bhf. Borsigwerke - U-Bhf. Holzhauser Strasse - Neheimer Strasse - Marienwerder Weg - Paulsternstrasse - Haselhorster Damm - Am Juliusturm - Zur Zitadelle - Rathaus Spandau - Brunsbütteler Damm - Seeburger Strasse - Päwesiner Weg - Kolonie Hasenheide - Adamstrasse - Am Omnibushof - Heerstrasse - Spandau Weinmeisterhornweg,12,66,,1982,
13,strassenbahn,Ost,Eberswalder Strasse - U-Bhf. Dimitroffstrasse - Prenzlauer Allee - Greifswalder Strasse - Bötzowstrasse - Artur-Becker-Strasse - Leninallee - Besarinplatz - Frankfurter Tor - Holteistrasse - Hauptstrasse - VEB Chemiehandel - Kraftwerk - Hönower Wiesenweg,10,40,,1982,
14,bus,West,U-Bhf. Osloer Strasse - Drontheimer Strasse - Pankower Allee - Emmentaler Strasse - Residenzstrasse - Aroser Allee - Roedernallee - Ollenhauerstrasse - Karl-Bonhoeffer-Nervenklinik - Tessenowstrasse - Jansenstrasse - Alt-Wittenau - Eichborndamm - Hermsdorfer Strasse - Ziekowstrasse - U-Bhf. Tegel - Ruppiner Chausee - Diakoniezentrum -  Hennigsdorfer Strasse - Heiligenseestrasse - Fährstrasse - Alt-Heiligensee,15,60,,1982,
14E,bus,West,Alt-Heiligensee - Fährstrasse - Havelblick - Strandbad Heiligensee - Gemeindefriedhof - Rallenweg - Rohrweihstrasse - Sperberstrasse - Habichtstrasse/Strandbad - Falkenplatz,30,9,,1982,
