,stop_name,line_count,type,in_lines
0,"Moabit, Waldstrasse Ecke Turmstrasse",1,bus,{'1'}
1,Turmstrasse,4,bus,"{'1', '70', '16'}"
2,Turmstrasse,4,u-bahn,{'9'}
3,Alt-Moabit,4,bus,"{'24', '1', '90', '16'}"
4,Franklinstrasse,2,bus,"{'1', '90'}"
5,Otto-Suhr-Allee,1,bus,{'1'}
6,Bismarckstrasse,12,bus,"{'76', '21', '1', '32', '68', '2', '17', '30', '81', '33'}"
7,Bismarckstrasse,12,u-bahn,"{'7', '1'}"
8,Kantstrasse,5,bus,"{'21', '1', '9', '60', '69'}"
9,Kurfürstendamm,3,bus,"{'10', '21', '1'}"
10,Olivaer Platz,2,bus,"{'69', '1'}"
11,U-Bhf. Konstanzer Strasse,2,bus,"{'1', '74'}"
12,U-Bhf. Fehrbelliner Platz,3,bus,"{'4', '50', '1'}"
13,U-Bhf. Blissestrasse,4,bus,"{'4', '1', '60', '86'}"
14,Hildegardstrasse,1,bus,{'1'}
15,Laubacher Strasse,1,bus,{'1'}
16,U-Bhf. Breitenbachplatz,2,bus,"{'33', '1'}"
17,U-Bhf. Dahlem-Dorf,2,bus,"{'68', '1'}"
18,Pacelli-/Thielallee,1,bus,{'1'}
19,Königin-Luise-Strasse,1,bus,{'1'}
20,U-Bhf. Oskar-Helene-Heim,4,bus,"{'18', '1', '60', '11'}"
21,Winfriedstrasse,2,bus,"{'3', '1'}"
22,Berliner Strasse,9,bus,"{'21', '1', '50', '11', '10', '48'}"
23,Berliner Strasse,9,strassenbahn,{'63'}
24,Berliner Strasse,9,u-bahn,"{'7', '9'}"
25,Rathaus Zehlendorf,4,bus,"{'3', '10', '1', '53'}"
26,Hampsteadstrasse,1,bus,{'1'}
27,Wismarer Strasse,2,bus,"{'96', '1'}"
28,"Lichterfelde, Lindenstrasse",1,bus,{'1'}
29,Haselhorster Damm,3,bus,"{'10', '13', '55'}"
30,Gartenfelder Strasse,4,bus,"{'99', '10', '55', '72'}"
31,Paulsternstrasse,5,bus,"{'99', '10', '13', '55', '72'}"
32,Nonnendammallee,1,bus,{'10'}
33,U-Bhf. Rohrdamm,5,bus,"{'99', '10', '23', '55', '72'}"
34,Fürstenbrunner Weg/Friedhof,1,bus,{'10'}
35,Spandauer Damm,3,bus,"{'10', '65', '74'}"
36,U-Bhf. Kaiserdamm,1,bus,{'10'}
37,ICC/Omnibusbahnhof,4,bus,"{'10', '4', '65', '92'}"
38,Dernburgstrasse,2,bus,"{'10', '66'}"
39,Amtgerichtsplatz,1,bus,{'10'}
40,Kurfürstendamm,3,bus,"{'10', '21', '1'}"
41,Henriettenplatz,5,bus,"{'29', '10', '19', '69', '4'}"
42,Rathenauplatz,3,bus,"{'69', '10', '65'}"
43,Herbertstrasse/BSC-Sportplatz,1,bus,{'10'}
44,Elsterplatz,2,bus,"{'10', '60'}"
45,Hundekehlestrasse,1,bus,{'10'}
46,Königen-Luise-Strasse/Museum Dahlem,1,bus,{'10'}
47,U-Bhf. Thielplatz,1,bus,{'10'}
48,Corrensplatz,2,bus,"{'10', '11'}"
49,Berliner Strasse,9,bus,"{'21', '1', '50', '11', '10', '48'}"
50,Berliner Strasse,9,strassenbahn,{'63'}
51,Berliner Strasse,9,u-bahn,"{'7', '9'}"
52,Teltower Damm,3,bus,"{'10', '48', '53'}"
53,Rathaus Zehlendorf,4,bus,"{'3', '10', '1', '53'}"
54,Behring-Krankenhaus,1,bus,{'10'}
