Column,stop_name,type,in_lines,location,identifier,previous_in_lines,stop_description
0,4. Ring,bus,['A53'],"52.42250630689789, 13.2869490566549",nan,A53+ A53+ A53,4. Ring+ 4. Ring+ 4. Ring
1,Aalemannufer Ecke Nieder-Neuendorfer Allee,bus,['A97'],"52.57329463126187, 13.21256579715856",,,
2,Adalbertstrasse,bus,['A18'],"52.50548699996121, 13.42221404498021",nan,A1P,nan
3,Adamstrasse Ecke Pichelsdorferstrasse,bus,"['A34', 'A97']","52.52107038475246, 13.197796510648292",,,
4,Adamstrasse Ecke Wilhelmstrasse,bus,['A35'],"52.5210974258045, 13.187990320264987",nan,['A13']+ ['A13'],nan+ nan
5,Adenauerdamm (Messedamm),u-bahn,['1'],"52.51,13.2822",Q656409,,
6,Adlershof,s-bahn,"['KBS 103', 'KBS 103a', 'KBS 106a', 'KBS 105']","52.434722222222,13.541388888889",Q323551,"['KBS 100a', 'KBS 103']+ ['KBS 100a', 'KBS 103']+ KBS 103,KBS 100a+ KBS 103,KBS 100a,KBS 106+ KBS 106a,KBS 103,KBS 103a",nan+ nan+ Berlin-Adlershof station+ Berlin-Adlershof station+ Berlin-Adlershof station
7,Afrikanische Str. (Friedrich-Ebert-Siedlung),u-bahn,['6'],"52.560027777778,13.334633333333",Q559239,,
8,Afrikanischestrasse Ecke Seestrasse,bus,['A89'],"52.54623694310499, 13.343930832086308",,,
9,"Ahrensfeld, Kirche",bus,['A46'],"52.57532170199278, 13.576515606968998",nan,A46+ A46+ A46,"Ahrensfeld, Kirche+ Ahrensfeld, Kirche+ Ahrensfeld, Kirche"
10,Akademie der Wissenschaften,bus,['51B'],"52.6361286884856, 13.501898618531815",,,
11,Alboinstrasse Ecke Prellerweg,bus,['A68'],"52.45573169907433, 13.369923338330747",nan,A68,nan
12,Alexanderplatz,bus,['A18'],"52.5219449,13.4143847",Q65548996,,
13,Alexanderplatz,s-bahn,"['KBS 103', 'KBS 102', 'KBS 101', 'KBS 103a']","52.521388888889,13.411944444444",Q111324700,"['KBS 101', 'KBS 103', 'KBS 102']+ ['KBS 102', 'KBS 101', 'KBS 103']+ KBS 102,KBS 103,KBS 101+ KBS 101,KBS 103,KBS 102+ KBS 101,KBS 102,KBS 103,KBS 103a,KBS 104",nan+ nan+ S-Bahnhof Berlin Alexanderplatz+ S-Bahnhof Berlin Alexanderplatz+ S-Bahnhof Berlin Alexanderplatz
14,Alexanderplatz,u-bahn,"['A', 'E']","52.5214,13.4119",Q17173458,"['A I', 'D', 'E']+ ['D', 'E', 'A I']+ E,D,A I,A II+ A,E+ A,E",nan+ nan+ Alexanderplatz u-bahn station+ Alexanderplatz u-bahn station+ Alexanderplatz u-bahn station
15,"Alexanderplatz, Memhardstrasse",strassenbahn,['69'],"52.5233439,13.4110773",Q65227406,"['63', '69', '11']+ 63,69,11,22+ 11,72,74E,82,22,74,63,69",nan+ Memhardstraße+ nan
16,Alexandrinenstrasse Ecke Neuenburgerstrasse,bus,['A24'],"52.49949226647086, 13.400403454687233",nan,A24,nan
17,Almutstrasse Ecke Berliner Strasse,bus,['A12'],"52.61486318631112, 13.31700949454557",nan,A12,nan
18,Alsenstrasse Ecke Bismarckstrasse,bus,['A81'],"52.46375478831606, 13.331491421282983",,,
19,Alsenstrasse Ecke Feuerbachstrasse,bus,['A2'],"52.46363778457808, 13.331097884872523",,,
20,"Alt-Biesdorf, Oberfeldstrasse",bus,"['O37', 'A8', 'A8E']","52.50918606891929, 13.553347058493491",",+nan","['A8']+ A8+ O37, A8,A8E+ O37,A8,A8E","nan+ Alt-Biesdorf, Oberfeldstrasse+ , Alt-Biesdorf, Oberfeldstrasse+ nan+ Alt-Biesdorf, Oberfeldstrasse"
