,line_id,year,line_name,type,start_stop,Length (time),east_west,Frequency
60,196761,1967,A4,bus,Brixplatz<> Teuptitzerstrasse Ecke Kiehl-Ufer,55,West,10
61,196762,1967,A41,bus,"Gradestrasse Ecke Tempelhofer Weg<> Rudow Stadtgrenze, Waltersdorfer Chaussee",27,West,20
62,196763,1967,A42,bus,"Buch, Kiesgruben<> Ostseestrasse",32,Ost,10
63,196764,1967,A43,bus,Bürknersfelde<> S-Bhf. Nöldnerplatz,24,Ost,20
64,196765,1967,A43/R,bus,"Friedrichsfelde, Kirche<> S-Bhf. Nöldnerplatz",7,Ost,20
65,196766,1967,A44,bus,"Hönow, Nord<> S-Bhf. Mahlsdorf",23,Ost,18
66,196767,1967,A44E,bus,S-Bhf. Mahlsdorf<> S-Bhf. Mahlsdorf,17,Ost,10
67,196768,1967,A45,bus,"Wilhelmsruh, Schillerstrasse<> Weißensee, Schwarzelfenweg",39,Ost,12
68,196769,1967,A46,bus,"Ahrensfeld, Kirche<> Malchow, Dorfstrasse",30,Ost,15
69,196770,1967,A47,bus,Bhf. Schöneweide<> S-Bhf. Treptower Park,26,Ost,10
70,196771,1967,A48,bus,Bhf. Schöneweide<> Bhf. Schöneweide,17,Ost,5
71,196772,1967,A48,bus,"Potsdamer Strasse Ecke Fischerhüttenstrasse<> Philharmonie, Tiergartenstrasse",39,West,12
72,196773,1967,A49,bus,"Bhf. Kaulsdorf, Bausdorfstrasse<> Bhf. Kaulsdorf, Bausdorfstrasse",14,Ost,20
73,196774,1967,A5,bus,U-Bhf. Ruhleben<> Nervenklinik,30,West,10
74,196775,1967,A50,bus,"Niederschönhausen, Rolandstrasse<> U-Bhf. Pankow (Vinetastrasse)",15,Ost,10
75,196776,1967,A50,bus,Roseneck<> Goebenstrasse Ecke Bülowstrasse,25,West,10
76,196777,1967,51B,bus,S-Bhf. Buch<> Akademie der Wissenschaften,5,Ost,20
77,196778,1967,A51,bus,Bhf. Wannsee<> Krankenhaus Heckeshorn,10,West,29
78,196779,1967,A52,bus,"Marienfelde, Stadtrandsiedlung<> Stubenrauchstrasse Ecke Kanalstrasse",46,West,15
79,196780,1967,A53,bus,"Nikolassee, Alemannenstrasse<> Oberhofer Platz",40,West,20
80,196781,1967,A54,bus,"Zoo, Hardenbergplatz<> Johannesstift",43,West,10
81,196782,1967,A54,bus,Ostseestrasse vor Prenzlauer Promenade<> Dimitroffstrasse vor Cotheniusstrasse,14,Ost,10
82,196783,1967,A55,bus,"Zoo, Hardenbergplatz<> Hakenfelde",48,West,15
83,196784,1967,A56,bus,U-Bhf. Ruhleben<> Hakenfelde,24,West,20
84,196785,1967,A56,bus,"Weißensee, Nüßlerstrasse<> Kanzowstrasse",12,Ost,7
85,196786,1967,A57,bus,Kniprodestrasse Ecke Ermländische Strasse<> Scharnhorststrasse Ecke Kielerstrasse,25,Ost,6
86,196787,1967,A58,bus,Fontanestrasse<> U-Bhf. Pankow (Vinetastrasse),18,Ost,15
87,196788,1967,A59,bus,Walther-Ulbricht-Stadion<> U-Bhf. Thälmannplatz,13,Ost,7
88,196789,1967,A6,bus,Bhf. Wannsee<> Glienicker Brücke,13,West,30
89,196790,1967,A60,bus,"Roseneck, Hundekehl<> Wittenbergplatz",24,West,12
90,196791,1967,A61,bus,"U-Bhf. Scharnweberstrasse<> Gartenplatz, Feldstrasse",32,West,12
91,196792,1967,A62,bus,Wittenau<> Hardenbergplatz,34,West,15
92,196793,1967,A63,bus,Radelandstrasse Ecke Niederheideweg<> Seegefelder Weg,30,West,15
93,196794,1967,A64,bus,Teichstrasse Ecke Gotthardstrasse<> Vinetaplatz,29,West,10
94,196795,1967,A65,bus,Goebelplatz<> Schulenburgpark,52,West,12
95,196796,1967,A66,bus,"Doppel-Süd, Berlepschstrasse<> U-Bhf. Onkel-Toms-Hütte",17,West,15
96,196797,1967,A67,bus,Mehringplatz<> Wutzkyallee Ecke Strasse 484,38,West,10
97,196798,1967,A68,bus,Clayallee Ecke Königin-Luise-Strasse<> Bhf. Tempelhof,35,West,15
98,196799,1967,A69,bus,"Eichkamp, Dauerwaldweg<> Moltkebrücke",33,West,20
99,1967100,1967,A7,bus,"Glienicke, Kirche<> U-Bhf. Vinetastrasse",34,Ost,12
100,1967101,1967,A7E,bus,"Schildow, Kirche<> U-Bhf. Vinetastrasse",23,Ost,10
101,1967102,1967,A70,bus,Bhf. Wollankstrasse<> Wiebestrasse Ecke Sickingenstrasse,28,West,10
102,1967103,1967,A71,bus,"Wilhelmsruh, Kopenhagenerstrasse<> Vinetaplatz",23,West,15
103,1967104,1967,A72,bus,Alt-Reinickendorf Ecke Rödern Allee<> Gartenfeld,46,West,15
104,1967105,1967,A73,bus,Bhf. Zoo<> Buschkrug Alle Ecke Blaschko-Allee,35,West,10
105,1967106,1967,A74,bus,"Königin-Elisabeth-Strasse, Adenauerdamm<> Eythstrasse",41,West,15
106,1967107,1967,A75,bus,Munsterdamm Ecke Steglitzer Damm<> Hermannplatz,47,West,10
107,1967108,1967,A76,bus,Blohmstrasse Ecke Illigstrasse<> Walter-Schreiber-Platz,37,West,7
108,1967109,1967,A77,bus,"Bergiusstrasse Ecke Haberstrasse<> Marienfelde, Daimlerstrasse Ecke Hollabergweg",29,West,20
109,1967110,1967,A78,bus,U-Bhf. Alt-Mariendorf<> Buckower Damm Ecke Alt-Buckow,16,West,10
110,1967111,1967,A79,bus,Leopoldplatz<> Sommerstrasse Ecke Klemkestrasse,18,West,15
111,1967112,1967,A8,bus,"Waldesruh, Malhlsdorfer Allee<> U-Bhf. Friedrichsfelde",33,Ost,10
112,1967113,1967,A8E,bus,Sadowastrasse<> U-Bhf. Friedrichsfelde,21,Ost,10
113,1967114,1967,A80,bus,U-Bhf. Ruhleben<> Nennhauser Damm Ecke Brunsbütteler Damm,26,West,15
114,1967115,1967,A81,bus,"Bhf. Zoo, Hardenbergplatz<> Imbrosweg Ecke Dardanellenweg",45,West,10
115,1967116,1967,A82,bus,Alt-Lichtenrade Ecke Goethestrasse<> Potsdamerstrasse Ecke Goethestrasse,28,West,20
116,1967117,1967,A83,bus,Nettelbeckplatz<> Belßstrasse Ecke Prezsingstrasse,48,West,10
117,1967118,1967,A84,bus,Ringstrasse Ecke Pestalozziplatz<> Gotenstrasse Ecke Torgauerstrasse,33,West,12
118,1967119,1967,A85,bus,"Bhf. Zoo, Hardenbergplatz<> Holtheimer Weg",44,West,10
119,1967120,1967,A86,bus,Invalidenstrasse Ecke Heidestrasse<> Birkbuschstrasse Ecke Siemensstrasse,50,West,15
120,1967121,1967,A87,bus,Richard-Wagner-Platz<> Sophie-Charlotten-Strasse Ecke Pulsstrasse,10,West,20
121,1967122,1967,A88,bus,Jungfernheideweg Ecke Siemensdamm<> Jungfernheideweg Ecke Siemensdamm,22,West,15
122,1967123,1967,A89,bus,"Bornholmerstrasse, Sektorengrenze<> Mehringplatz",62,West,10
123,1967124,1967,A9,bus,Kurische Strasse<> Otto-Grotewohl-Strasse,17,Ost,6
124,1967125,1967,A90,bus,"Bhf. Zoo, Hardenbergplatz<> Vinetaplatz",35,West,15
125,1967126,1967,A91,bus,Hermannplatz<> Alt-Buckow Ecke Buckower Damm,21,West,7
126,1967127,1967,A93,bus,Waßmannsdorfer Chaussee Ecke Neuköllnerstrasse<> Waßmannsdorfer Chaussee Ecke Neuköllnerstrasse,11,West,15
127,1967128,1967,A94,bus,"Bhf. Zoo, Hardenbergplatz<> Reimerweg Ecke Heerstrasse",36,West,10
128,1967129,1967,A95,bus,Mehringplatz<> Schwarzer Weg Ecke Sonnenallee,23,West,15
129,1967130,1967,A96,bus,"Flughafen, Dudenstrasse<> Lindenstrasse Ecke Ostpreußendamm",29,West,10
130,1967131,1967,A97,bus,Reimerweg Ecke Heerstrasse<> Aalemannufer Ecke Nieder-Neuendorfer Allee,34,West,20
131,1967132,1967,A98,bus,U-Bhf. Britz-Süd<> U-Bhf. Britz-Süd,12,West,20
132,1967133,1967,A99,bus,Brunnenstrasse Ecke Lortzingstrasse<> Westerwaldstrasse Ecke Falkenseer Chaussee,48,West,10
133,1967134,1967,S1,bus,"Bhf. Zoo, Hardenbergplatz<> Hohenzollernring Ecke Schönwalderstrasse",29,West,15
134,1967135,1967,S3,bus,Hardenbergplatz<> Rathaus Zehlendorf,29,West,15
135,1967136,1967,S4,bus,"Hardenbergplatz<> Stölpchensee, Wilhelmplatz",39,West,20
136,1967137,1967,AL,bus,"Neu-Lindenberg<> Malchow, Dorfstrasse",15,Ost,36
137,1967138,1967,1,u-bahn,Schlesisches Tor<> Ruhleben,36,West,5
138,1967139,1967,2,u-bahn,Gleisdreieck<> Krumme Lanke,29,West,10
